chain_id,chain_name,from_name,is_op_transfer,tfer_from,tfer_to,to_name,trace_address,transfer_chain,tx_block_number,tx_block_time,tx_from,tx_hash,tx_method_id,tx_to,value,value_decimal,last_updated
8453,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,11",base,14946129,2024-05-26 00:00:05.000 UTC,0xd46bd800702d639b3ad20c1230d9c1c751d41ea7,0x209d25b16a466245265a8c44bf4523dc961fa4ab36e24d3155c4a53dd0cecff3,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,68514439731118080000,68.51443973111807,2024-07-23 17:02:00.246035
8453,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,11",base,17317591,2024-07-19 21:28:49.000 UTC,0x9e94612be8b16f342f2d2862179fa8eac6f57b27,0x5778df285333d8f33cc79a9cbe4843ddd747c5c956fa5a10de322711211978d8,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,22472829680801313000,22.47282968080131,2024-07-23 17:02:00.246035
8453,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,12",base,16760529,2024-07-07 00:00:05.000 UTC,0xd46bd800702d639b3ad20c1230d9c1c751d41ea7,0x9493f66f792541472b1e51fe88f4fdf0e61ecf98a8fc8234be66185d2f464ad6,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,22622176587850306000,22.622176587850305,2024-07-23 17:02:00.246035
8453,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,11",base,15853329,2024-06-16 00:00:05.000 UTC,0xd46bd800702d639b3ad20c1230d9c1c751d41ea7,0x71649595d760ecc9eb1d087ba0d89a72ac700d8f92583bf759099a36265088af,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,45537794018356950000,45.537794018356955,2024-07-23 17:02:00.246035
8453,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,11",base,16155732,2024-06-23 00:00:11.000 UTC,0xd46bd800702d639b3ad20c1230d9c1c751d41ea7,0x0faf90a245fec79d4d52d2240add975cdba1566be45efad8f40b3b79839cc024,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,15747115666379596000,15.747115666379596,2024-07-23 17:02:00.246035
7777777,Zora,Zora Disburser,True,0xe900b3edc1ba0430cfa9a204a1027b90825ac951,0xa3d596eafab6b13ab18d40fae1a962700c84adea,OP Receiver,"0,0,1",ethereum,20014153,2024-06-03 22:03:59.000 UTC,0xefcf0c8fafb425997870f845e26fc6ca6ee6dd5c,0x73914986586982364e4415e521fec47b4b48c5a4d3fa0d8123ae12fb125ed9c1,0x6a761202,0xe900b3edc1ba0430cfa9a204a1027b90825ac951,9295676233249464000,9.295676233249464,2024-07-23 17:02:00.246035
8453,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,12",base,14643729,2024-05-19 00:00:05.000 UTC,0xd46bd800702d639b3ad20c1230d9c1c751d41ea7,0x6154ec8230f760b15e87e1931b8f73ed1cdc31f631d39024c5b783521f33ebd8,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,27214747686129005000,27.214747686129005,2024-07-23 17:02:00.246035
8453,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,11",base,16458133,2024-06-30 00:00:13.000 UTC,0xd46bd800702d639b3ad20c1230d9c1c751d41ea7,0xcc69f07e398c9c7709eddfa68f3f15b3632e5baf0b977bfb2806dd8903ed4c52,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,32773884329395413000,32.773884329395415,2024-07-23 17:02:00.246035
8453,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,11",base,14487550,2024-05-15 09:14:07.000 UTC,0x8590d0dc597d7c8174cbe9d0f18f33e9274dd040,0xe35f233b6ef6babd3caf61da7012b7845dd2241f98e9dcbdebc467bea95bcd97,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,27821089945390850000,27.82108994539085,2024-07-23 17:02:00.246035
8453,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,12",base,15248533,2024-06-02 00:00:13.000 UTC,0xd46bd800702d639b3ad20c1230d9c1c751d41ea7,0xe08e4c0178f6d76ce8ed7b7def3947e1f90249aff7c50063475e71a27ba87e28,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,59038884586654280000,59.03888458665428,2024-07-23 17:02:00.246035
8453,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,11",base,15700158,2024-06-12 10:54:23.000 UTC,0x4afc2398e1b0b4596706e5e96218571eb9203d12,0x078614869b2f8d6eae03fd134c59c67fa216b6faba5a163ff0ed48028d7cf7f7,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,19911069814049382000,19.911069814049384,2024-07-23 17:02:00.246035
8453,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,11",base,15550933,2024-06-09 00:00:13.000 UTC,0xd46bd800702d639b3ad20c1230d9c1c751d41ea7,0x8134c7879c1505238d99fa3e8805a3013b16d1598099287e2b96af6a05594f31,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,43040366645740550000,43.040366645740555,2024-07-23 17:02:00.246035
8453,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,10",base,16505258,2024-07-01 02:11:03.000 UTC,0x25d457c788a9fa924dd9b285f1a614b3ba16092c,0xe9ba78bda49e0ee233e315486c5b131b948f7eb602227c96c7f7685ce9ebac00,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,2843364422821640000,2.84336442282164,2024-07-23 17:02:00.246035
8453,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,10",base,17145228,2024-07-15 21:43:23.000 UTC,0x65bcb5e473c35b999bcd05fc5193a4d348ce1ee0,0xf32b746da670df3e446d6bafcf822fccf5870fa2d06e2fe573509ff37c412018,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,6292436939311308000,6.292436939311308,2024-07-23 17:02:00.246035
