,# OP Allocated,app_name,app_name_join,op_source,category,incentive_type,duration_days,txs_per_day,num_addr_per_day,gas_fee_eth_per_day,gas_fee_usd_per_day,l2_gas_used_per_day,l1_gas_used_per_day,txs_per_day_prev,num_addr_per_day_prev,gas_fee_eth_per_day_prev,gas_fee_usd_per_day_prev,l2_gas_used_per_day_prev,l1_gas_used_per_day_prev,num_addr_per_day_after,gas_fee_eth_per_day_after,gas_fee_usd_per_day_after,l2_gas_used_per_day_after,l1_gas_used_per_day_after,incremental_txs_per_day,incremental_addr_per_day,incremental_gas_fee_eth_per_day,incremental_gas_fee_usd_per_day,incremental_l2_gas_used_per_day,incremental_l1_gas_used_per_day,incremental_txs_per_day_after,incremental_addr_per_day_after,incremental_gas_fee_eth_per_day_after,incremental_gas_fee_usd_per_day_after,incremental_l2_gas_used_per_day_after,incremental_l1_gas_used_per_day_after,cumul_last_price_net_dollar_flow,cumul_last_price_net_dollar_flow_at_program_end,net_op_deployed,op_deployed,incremental_txs_annualized_per_op,incremental_addr_annualized_per_op,incremental_gas_fee_eth_annualized_per_op,incremental_gas_fee_usd_annualized_per_op,incremental_l2_gas_used_annualized_per_op,incremental_l1_gas_used_annualized_per_op,incremental_txs_after_annualized_per_op,incremental_addr_after_annualized_per_op,incremental_gas_fee_eth_after_annualized_per_op,incremental_gas_fee_usd_after_annualized_per_op,incremental_l2_gas_used_after_annualized_per_op,incremental_l1_gas_used_after_annualized_per_op,net_tvl_per_op,op_source_length,op_source_map
10,,"<a href=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?App+Name_e4822a=Kwenta"" target=""_blank"">Kwenta</a>","<ahref=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?app+name_e4822a=kwenta""target=""_blank"">kwenta</a>",['Phase 0'],['Perpetuals'],['Trades/Swaps'],263,1874.5335820895525,483.6044776119403,2.9211914081651416,5617.253897481528,4218114675.089552,134377855.6716418,757.1666666666666,190.1,0.1092005807790833,209.98534579897503,345909028.53333336,4900500.4,,,,,,1117.3669154228855,293.5044776119403,2.811990827386058,5407.268551682553,3872205646.556219,129477355.2716418,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,1,['Phase 0']
11,,"<a href=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?App+Name_e4822a=Celer"" target=""_blank"">Celer</a>","<ahref=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?app+name_e4822a=celer""target=""_blank"">celer</a>",['Phase 0'],['Cross-Chain / Bridging'],"['Bridging, Liquidity Providing / Deposits']",264,416.4754716981132,100.18490566037735,0.2429308635479815,467.13965276947977,90963566.42264152,10598138.732075471,246.4,74.76666666666667,0.1081950929183854,208.0518605132836,46794560.73333333,6234102.4,,,,,,170.0754716981132,25.418238993710688,0.134735770629596,259.08779225619617,44169005.68930818,4364036.332075471,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,1,['Phase 0']
12,,"<a href=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?App+Name_e4822a=Slingshot"" target=""_blank"">Slingshot</a>","<ahref=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?app+name_e4822a=slingshot""target=""_blank"">slingshot</a>",['Phase 0'],['DEX (Decentralized Exchange)'],['Trades/Swaps'],264,1746.866920152091,832.5817490494296,0.3036006005495745,583.8034618162958,480993983.121673,18294659.2243346,778.7,537.5666666666667,0.093673668419783,180.1281413986248,197494928.86666667,6739800.133333334,,,,,,968.1669201520912,295.0150823827629,0.2099269321297914,403.675320417671,283499054.2550063,11554859.091001268,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,1,['Phase 0']
13,,"<a href=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?App+Name_e4822a=Synthetix"" target=""_blank"">Synthetix</a>","<ahref=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?app+name_e4822a=synthetix""target=""_blank"">synthetix</a>",['Phase 0'],"['Perpetuals, Synthetic Assets']",['Liquidity Providing / Deposits'],254,6574.703557312253,3136.4505928853755,67.59784143818814,129986.086231339,62072785682.075096,3764244376.237154,2693.133333333333,1446.4,13.156925519458296,25299.87968144577,16781149804.3,969498168.6666666,,,,,,3881.57022397892,1690.0505928853754,54.44091591872984,104686.20654989322,45291635877.7751,2794746207.5704875,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,1,['Phase 0']
14,,"<a href=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?App+Name_e4822a=Pika%20Protocol"" target=""_blank"">Pika Protocol</a>","<ahref=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?app+name_e4822a=pika%20protocol""target=""_blank"">pikaprotocol</a>",['Phase 0'],['Perpetuals'],"['Liquidity Providing / Deposits, Trades/Swaps']",250,4864.694779116466,1673.9196787148594,1.5415315472481683,2964.2611119787944,3143816324.8032126,87332808.12851405,953.8666666666668,149.83333333333334,0.1245612957405354,239.52296382158747,366390826.8666667,10495103.466666669,,,,,,3910.828112449799,1524.086345381526,1.416970251507633,2724.738148157207,2777425497.936546,76837704.66184738,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,1,['Phase 0']
15,,"<a href=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?App+Name_e4822a=1inch"" target=""_blank"">1inch</a>","<ahref=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?app+name_e4822a=1inch""target=""_blank"">1inch</a>",['Phase 0'],['DEX (Decentralized Exchange)'],['Retroactive Airdrop'],1,3238.0,811.0,4.317325622069792,8301.92575176074,5317825814.0,303350176.0,1137.5,408.7,1.5772983723778196,3033.0383024424186,2076997276.5333333,118873513.73333332,760.448275862069,1.5427956274042658,2966.6918527935586,2500725869.413793,127527131.86206897,2100.5,402.3,2.740027249691972,5268.887449318321,3240828537.4666667,184476662.26666665,390.155172413793,351.74827586206897,-0.0345027449735537,-66.34644964886002,423728592.8804598,8653618.128735632,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,1,['Phase 0']
16,,"<a href=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?App+Name_e4822a=Pickle%20Finance"" target=""_blank"">Pickle Finance</a>","<ahref=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?app+name_e4822a=pickle%20finance""target=""_blank"">picklefinance</a>",['Season 1'],['Yield Aggregator'],['Liquidity Providing / Deposits'],239,154.8655462184874,16.34453781512605,0.2734935718801356,525.9096779093994,1138273728.4411764,13974044.23529412,71.2,6.366666666666666,0.1320292384620537,253.8833135889379,486549517.8666667,6353607.466666667,,,,,,83.66554621848739,9.977871148459382,0.1414643334180818,272.02636432046154,651724210.5745097,7620436.768627452,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,1,['Season 1']
17,,"<a href=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?App+Name_e4822a=Aelin"" target=""_blank"">Aelin</a>","<ahref=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?app+name_e4822a=aelin""target=""_blank"">aelin</a>",['Phase 0'],['Other DeFi'],['Other'],3,18.0,10.666666666666666,0.1061584398635141,204.135514162847,84034551.66666667,7155104.0,10.166666666666666,6.433333333333334,0.0740192356380076,142.3339938334834,54989146.5,5041280.8,3.793103448275862,0.0342573303976989,65.87453398497345,27813360.55172414,2741294.068965517,7.833333333333334,4.2333333333333325,0.0321392042255064,61.8015203293636,29045405.16666667,2113823.2,-4.994252873563218,-2.6402298850574715,-0.0397619052403087,-76.45945984850994,-27175785.94827586,-2299986.7310344824,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,1,['Phase 0']
18,,"<a href=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?App+Name_e4822a=Beefy%20Finance"" target=""_blank"">Beefy Finance</a>","<ahref=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?app+name_e4822a=beefy%20finance""target=""_blank"">beefyfinance</a>",['Season 1'],['Yield Aggregator'],"['DEX Liquidity, Liquidity Providing / Deposits']",235,577.8717948717949,221.80769230769232,2.2405377318668847,4308.402822083129,2592209045.188034,86378865.55555555,685.9,337.8666666666667,0.6073109613100527,1167.817985109346,2285661110.4,44953422.66666666,,,,,,-108.02820512820506,-116.05897435897435,1.633226770556832,3140.584836973783,306547934.788034,41425442.88888889,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,1,['Season 1']
19,,"<a href=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?App+Name_e4822a=Polynomial%20Protocol"" target=""_blank"">Polynomial Protocol</a>","<ahref=""https://dune.com/oplabspbc/optimism-incentive-program-usage-summary?app+name_e4822a=polynomial%20protocol""target=""_blank"">polynomialprotocol</a>",['Phase 0'],['Options'],"['Liquidity Providing / Deposits, Retroactive Airdrop']",234,743.0557939914163,486.68669527897,0.2424621416565031,466.2383322108946,1095128194.639485,14238745.716738198,134.06666666666666,57.13333333333333,0.1820537866459694,350.0771430896013,268819347.6,15948590.8,,,,,,608.9891273247497,429.5533619456367,0.0604083550105337,116.16118912129338,826308847.0394849,-1709845.0832618028,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,1,['Phase 0']
