include_in_summary,num_op,num_op_override,op_source,cumul_net_dollar_flow_at_program_end,cumul_net_dollar_flow,cumul_last_price_net_dollar_flow_at_program_end,cumul_last_price_net_dollar_flow,flows_retention,last_price_net_dollar_flows_retention
31,20200001.0,800001.0,Governance - Phase 0,-16144784.833743077,-40340661.42306413,-11484426.983498007,-36857997.63469708,-0.9753662481731471,-1.231482716445612
22,3329000.0,0.0,Governance - Season 1,-7989238.381827556,-8423353.884536562,-9820261.707547225,-13215778.586107213,-1.0017245403156312,-0.5063490807963594
5,5590000.0,0.0,Governance - Season 2,101361818.3346309,99116283.88411628,103775024.00821304,100370551.57686578,-0.0022210333115031604,0.010813900422894885
10,8270000.0,3270000.0,Partner Fund,513730530.7081616,165862651.0610523,512643008.25487375,165979572.87258974,0.32073075878487184,0.32171129880103316
68,37389001.0,4070001.0,- TOTAL -,590958325.8272219,216214919.63756788,595113343.5720415,216276348.22865123,0.23824685166505757,0.24689398841871257
