include_in_summary,num_op,num_op_override,op_source,cumul_net_dollar_flow_at_program_end,cumul_net_dollar_flow,cumul_last_price_net_dollar_flow_at_program_end,cumul_last_price_net_dollar_flow,flows_retention,last_price_net_dollar_flows_retention
11,2250001.0,150001.0,Governance - Phase 0,27065791.05263024,-1209829.3799721615,27400407.522252567,-1015274.0333896375,0.04469957584537663,0.03705324574333822
2,900000.0,0.0,Governance - Season 1,3051774.703476681,-1537821.545537825,3527361.158831017,-1329014.063511138,0.5039105749798268,0.3767728915945707
1,240000.0,0.0,Governance - Season 2,2020406.4754788715,-225127.97503574766,4526685.20735561,1122212.7760083422,0.11142707062567121,0.24791049622465666
9,8585000.0,3585000.0,Partner Fund,527340756.222581,171228429.9081343,524817578.5585965,170461531.10125306,0.3247016808157757,0.32480148925160446
23,11975001.0,3735001.0,- TOTAL -,559478728.4541668,168255651.0075886,560272032.4470357,169239455.78036064,0.3007364577961293,0.30206657833908457
