time_period,l2_gas_used,num_txs,example_contract,contract_address,creator_address,fees_eth,trace_creator_address,chain,num_addr
prior 30,"92,798",2,0x44964da079005cbc71bc402b3d68a94ce2fe36c9,0x44964da079005cbc71bc402b3d68a94ce2fe36c9,0x499c59934f72982e09b942d5fcb1d9a8483cd126,0.00000081,0x499c59934f72982e09b942d5fcb1d9a8483cd126,Mode,1
prior 30,"43,973",1,0x5bc32c56105ca0dac0928e1fccace67e7aca6a8d,0x5bc32c56105ca0dac0928e1fccace67e7aca6a8d,0xcc11a92c5f1ab69d4097b2145882cb27b1cb91da,0.00000034,0xcc11a92c5f1ab69d4097b2145882cb27b1cb91da,Mode,1
prior 30,"50,718,295,579","183,538",0x1195cf65f83b3a5768f3c496d3a05ad6412c64b7,0x1195cf65f83b3a5768f3c496d3a05ad6412c64b7,0xf1c0df2381ac4a6cac9c866ddbde3c3d641a1337,0.65,0xf1c0df2381ac4a6cac9c866ddbde3c3d641a1337,Mode,"49,816"
prior 30,"88,682",2,0xf9667c7057cc08269ccee3411ddcdbf7a23b74d9,0xf9667c7057cc08269ccee3411ddcdbf7a23b74d9,0x0675305120949d8e9f506380238360d47c1d76f1,0.00000081,0x0675305120949d8e9f506380238360d47c1d76f1,Mode,1
prior 30,"18,200,433",73,0x8ff82d2b0ab704ba2ab5a567f32f1447a6158260,0x8ff82d2b0ab704ba2ab5a567f32f1447a6158260,0x6771f33cfd8c6fc0a1766331f715f5d2e1d4e0e2,0.00008079443142995097,0x6771f33cfd8c6fc0a1766331f715f5d2e1d4e0e2,Mode,42
prior 30,"43,900",1,0xd46ab04bfc06e0ef5e754bbae6d6e163e9548d6c,0xd46ab04bfc06e0ef5e754bbae6d6e163e9548d6c,0x2e3fca35cbbb34dc9005eed1cdbfeff763cceeca,0.00000023,0x2e3fca35cbbb34dc9005eed1cdbfeff763cceeca,Mode,1
last 7,"763,532",4,0x83a162da8df54ff845773169f019fd1505a9e29f,0x83a162da8df54ff845773169f019fd1505a9e29f,0x7809c9fea0e06094a58402bec5fb636e6067e919,0.00000087032,0x7809c9fea0e06094a58402bec5fb636e6067e919,Mode,2
prior 30,"29,224",1,0x2f2a406384d2f4001339150e003020b95f7aba90,0x2f2a406384d2f4001339150e003020b95f7aba90,0xf8a189da251aa4f664bef833f44afb9bdd5cde1f,0.00000045,0x76f948e5f13b9a84a81e5681df8682bbf524805e,Mode,1
last 7,"5,366,258,617","6,457",0x7e15eb462cdc67cf92af1f7102465a8f8c784874,0x7e15eb462cdc67cf92af1f7102465a8f8c784874,0x6de9109a2333845a15dde1f2f0c020b37421e1f5,0.03706972022685403,0x6de9109a2333845a15dde1f2f0c020b37421e1f5,Mode,"2,101"
prior 30,"8,874,394",1,0x18cc419f9e220bcc5be9811b16dd9fcb4d1f097d,0x18cc419f9e220bcc5be9811b16dd9fcb4d1f097d,0xbde3ad8d035905d5922f38a1fff7904387514ec4,0.0000017049,0xbde3ad8d035905d5922f38a1fff7904387514ec4,Mode,1
prior 30,"9,594,148",8,0xfcf275e484487781ca88e2782fb2f288e56389d6,0xfcf275e484487781ca88e2782fb2f288e56389d6,0xae691bb9a65fad0835e5f095cc8c2e62a7c6e2ff,0.027,0xae691bb9a65fad0835e5f095cc8c2e62a7c6e2ff,Mode,2
prior 30,"43,973",1,0x4e847c3d9177539f2f8a1ed7f72d29e9c01bc4e7,0x4e847c3d9177539f2f8a1ed7f72d29e9c01bc4e7,0x9657501e4eecec3ea63708d320a8242735f4418f,0.00000031036,0x9657501e4eecec3ea63708d320a8242735f4418f,Mode,1
prior 30,"372,396",6,0x10ee0be549963cb97af35f2bd523f8833214fc0f,0x10ee0be549963cb97af35f2bd523f8833214fc0f,0x6e55a90772b92f17f87be04f9562f3faafd0cc38,0.000009348441247039,0xc02155946dd8c89d3d3238a6c8a64d04e2cd4500,Mode,6
prior 30,"285,524",10,0x43ee20ed8c77a05dc5c8b99f8b9b73a556173f0a,0x43ee20ed8c77a05dc5c8b99f8b9b73a556173f0a,0xb1a8244113a904c0ff04e82a93bfea3a882c01b4,0.00000197366289032,0xb1a8244113a904c0ff04e82a93bfea3a882c01b4,Mode,1
prior 30,"132,054",1,0x03673b68f287359bc56627dda97b376a4772666d,0x03673b68f287359bc56627dda97b376a4772666d,0x8addee9cdec0fb4e5d8d22052e45792ee980577d,0.000000369792422013,0x76f948e5f13b9a84a81e5681df8682bbf524805e,Mode,1
prior 30,"3,812,119",3,0xc483d1da12e7d6de705b2284e5a9855001e94dab,0xc483d1da12e7d6de705b2284e5a9855001e94dab,0xdaf7bbe20724d2dd7717e0e09a06b572c3a112de,0.00004159062,0xdaf7bbe20724d2dd7717e0e09a06b572c3a112de,Mode,1
prior 30,"505,430,513","7,887",0xcda802a5bffaa02b842651266969a5bba0c66d3e,0xcda802a5bffaa02b842651266969a5bba0c66d3e,0x4d7c2c1ffa2df1ec90a4d365a961506112aed9e7,0.022164835505,0x4d7c2c1ffa2df1ec90a4d365a961506112aed9e7,Mode,"1,803"
prior 30,"259,322",1,0xb598b8c54060e69bf1c78330119b85f170a31896,0xb598b8c54060e69bf1c78330119b85f170a31896,0xe15c06355cfd80a3773f68da66afc70eae0e82c1,0.00000359110061,0x76f948e5f13b9a84a81e5681df8682bbf524805e,Mode,1
prior 30,"43,900",1,0x36cc68fed4a6e53f3a1bb7efa488a60cc86ca621,0x36cc68fed4a6e53f3a1bb7efa488a60cc86ca621,0x2e3fca35cbbb34dc9005eed1cdbfeff763cceeca,0.00000036,0x2e3fca35cbbb34dc9005eed1cdbfeff763cceeca,Mode,1
prior 30,"43,973",1,0x940a9cc612a7cd38d367e256e3efcf357c3c2b45,0x940a9cc612a7cd38d367e256e3efcf357c3c2b45,0x8411dc32cf77ea86a514de1a6d5b14447c9bd8a4,0.00000033,0x8411dc32cf77ea86a514de1a6d5b14447c9bd8a4,Mode,1
last 7,"64,062",1,0x32294e3c9589ad1942564950ce5e496907f60e8f,0x32294e3c9589ad1942564950ce5e496907f60e8f,0x4f6e437f7e90087f7090acfe967d77ba0b4c7444,0.000000244347588042,0x4f6e437f7e90087f7090acfe967d77ba0b4c7444,Mode,1
last 7,"122,500,000",49,0xfeb5617f63e2cf1680227f594e7de9eeab0cc998,0xfeb5617f63e2cf1680227f594e7de9eeab0cc998,0x056c7933d2f25904787bb92c26e9f90655529f8e,0.00013,0x056c7933d2f25904787bb92c26e9f90655529f8e,Mode,1
last 7,"1,726,148",8,0x5c14781067f15c9e106fd145b2ad76f591e8db68,0x5c14781067f15c9e106fd145b2ad76f591e8db68,0x06c897bf303586449db0e1f929a7a01f128aed50,0.000005552294996097,0x06c897bf303586449db0e1f929a7a01f128aed50,Mode,6
prior 30,"43,973",1,0x8324a66a108355d3d6ae164f34201f6f9bfeebb8,0x8324a66a108355d3d6ae164f34201f6f9bfeebb8,0x21d60f6c3a079a73400348255b0a14ebd615554a,0.00000040499093,0x21d60f6c3a079a73400348255b0a14ebd615554a,Mode,1
prior 30,"399,289,861","2,551",0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,0x9f76a95aa7535bb0893cf88a146396e00ed21a12,0.023,0x9f76a95aa7535bb0893cf88a146396e00ed21a12,Mode,"1,088"
last 7,"93,896,032",241,0x54f66fb1b1776670a512b6a9e61a94e6c2dcd512,0x54f66fb1b1776670a512b6a9e61a94e6c2dcd512,0xbd5db4c7d55c086107f4e9d17c4c34395d1b1e1e,0.0005,0xbd5db4c7d55c086107f4e9d17c4c34395d1b1e1e,Mode,140
last 7,"43,973",1,0xb6770d2a33ae3eba987bc573e3e6d71311ab7ef9,0xb6770d2a33ae3eba987bc573e3e6d71311ab7ef9,0xbda2f56159bcbb53d5b7e8ecb9a983cb84b7836c,0.00000018654708,0xbda2f56159bcbb53d5b7e8ecb9a983cb84b7836c,Mode,1
