dt,chain,network,gas_token_symbol,num_raw_txs,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l2_num_txs_per_day,l2_num_success_txs_per_day,num_users_per_day,l2_gas_used,l1_gas_used_on_l2,l1_gas_paid,blob_gas_paid,calldata_bytes_l2_per_day,l1_gas_paid_user_txs,blob_gas_paid_user_txs,l1_gas_used_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,l2_gas_used_user_txs_per_day,l2_eth_fees_per_day,l1_contrib_l2_eth_fees_per_day,l1_l1gas_contrib_l2_eth_fees_per_day,l1_blobgas_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_base_fee_per_day,l2_contrib_l2_eth_fees_priority_fee_per_day,compressedtxsize_approx_l2_per_day,compressedtxsize_approx_user_txs_l2_per_day,num_blocks,avg_l1_fee_scalar,avg_l1_blob_fee_scalar,avg_l1_gas_price_on_l2,avg_l2_gas_price,base_fee_gwei,equivalent_l1_tx_fee,active_secs_per_day,l2_num_txs_per_day_per_block,num_user_txs_per_second,l2_gas_used_per_block,l2_gas_used_per_second,l2_eth_fees_per_block,l2_eth_fees_per_second,is_initial_day,chain_name,chain_raw
2024-03-30 00:00:00+00:00,Fraxtal,mainnet,frxETH,46596,43200,29,3364,3299,167,3721216013.000000000,63381960.000000000,3169098.0000000237,,16293164.0,3169098.0000000237,0E-9,63381960.000000000,5047896.0,1238299252.000000000,0.072471701,0.068449168,0.06844918479431876,,0.004023016,1.09E-7,0.003104107,3961372.500000000,3961372.500000000,43200,0.05,0.0,21.598948595,0.003248403,1.14E-7,27.822733035,86400,0.07787037037037037,0.038935185185185184,86139.259560185,43069.629780093,0.000001678,8.39E-7,0,frax,frax
2024-02-04 00:00:00+00:00,Fraxtal,mainnet,frxETH,41475,41452,0,23,23,3,2380569451.000000000,116156.000000000,116156.0,,10782372.0,116156.0,0E-9,116156.000000000,4852.0,1464247.000000000,0.004797522,0.001491714,0.0014917143123172162,,0.003305809,0E-9,0.003305809,7259.750000000,7259.750000000,41452,1.0,0.0,12.842335414,2.257684960,2.04E-7,0.018644894,82904,0.0005548586316703657,0.00027742931583518287,57429.543833832,28714.771916916,1.16E-7,5.8E-8,0,frax,frax
2024-03-18 00:00:00+00:00,Fraxtal,mainnet,frxETH,47081,43200,27,3852,3816,239,3353913629.000000000,21334772.000000000,1066738.5999999947,,13091532.0,1066738.5999999947,0E-9,21334772.000000000,1847168.0,869599711.000000000,0.090553437,0.037033020,0.03703300729565685,,0.053521127,6.8E-8,0.052846533,1333423.250000000,1333423.250000000,43200,0.05,0.0,34.716103172,0.061546059,1.40E-7,31.718544506,86400,0.08916666666666667,0.044583333333333336,77636.889560185,38818.444780093,0.000002096,0.000001048,0,frax,frax
2024-02-19 00:00:00+00:00,Fraxtal,mainnet,frxETH,47217,43200,0,4017,4017,8,2859731944.000000000,21429280.000000000,10714640.0,,12795147.0,10714640.0,0E-9,21429280.000000000,1563147.0,378885872.000000000,0.372885723,0.344651199,0.344651183993822,,0.028234273,3E-9,0.027793504,1339330.000000000,1339330.000000000,43200,0.5,0.0,32.166380204,0.074519882,8E-9,12.249081574,86400,0.09298611111111112,0.04649305555555556,66197.498703704,33098.749351852,0.000008632,0.000004316,0,frax,frax
2024-02-18 00:00:00+00:00,Fraxtal,mainnet,frxETH,47696,43200,0,4496,4496,4,2890117959.000000000,23149632.000000000,11574816.0,,12922272.0,11574816.0,0E-9,23149632.000000000,1690272.0,410428043.000000000,0.267021669,0.266529012,0.2665290198218961,,0.000492388,,,1446852.000000000,1446852.000000000,43200,0.5,0.0,23.026631250,0.001200304,0E-9,9.469791951,86400,0.10407407407407407,0.052037037037037034,66900.878680556,33450.439340278,0.000006181,0.000003091,0,frax,frax
2024-02-14 00:00:00+00:00,Fraxtal,mainnet,frxETH,43204,43200,0,4,4,2,2483716743.000000000,409576.000000000,204788.0,,11262688.0,204788.0,0E-9,409576.000000000,30688.0,4457967.000000000,0.019095465,0.005721562,0.005721561961649582,,0.013373901,0E-9,0.013373901,25598.500000000,25598.500000000,43200,0.5,0.0,27.938951314,3.000000254,2.54E-7,0.124548963,86400,9.259259259259259e-05,4.6296296296296294e-05,57493.443125000,28746.721562500,4.42E-7,2.21E-7,0,frax,frax
2024-03-10 00:00:00+00:00,Fraxtal,mainnet,frxETH,49100,43200,109,5781,5694,529,3178516095.000000000,24498988.000000000,12249494.0,,12854982.0,12249494.0,0E-9,24498988.000000000,1577138.0,682607423.000000000,1.098330325,0.697999849,0.6979998041449356,,0.400330941,1.6E-8,0.398812114,1531186.750000000,1531186.750000000,43200,0.5,0.0,56.981929551,0.586472539,1.16E-7,38.610188336,86400,0.13381944444444444,0.06690972222222222,73576.761458333,36788.380729167,0.000025424,0.000012712,0,frax,frax
2024-05-04 00:00:00+00:00,Fraxtal,mainnet,frxETH,45658,43200,34,2423,2359,136,3426464374.000000000,13905704.000000000,695285.2000000027,,12433354.0,695285.2000000027,0E-9,13905704.000000000,1185858.0,939991887.000000000,0.012860675,0.003989510,0.00398951061935038,,0.008871736,1.4E-8,0.008097838,869106.500000000,869106.500000000,43200,0.05,0.0,5.737948427,0.009437525,4.6E-8,5.667589295,86400,0.056087962962962964,0.028043981481481482,79316.304953704,39658.152476852,2.98E-7,1.49E-7,0,frax,frax
2024-04-12 00:00:00+00:00,Fraxtal,mainnet,frxETH,48734,43200,41,5486,5393,197,11384043245.000000000,32389068.000000000,1619453.399999981,,14237097.0,1619453.399999981,0E-9,32389068.000000000,2985893.0,8897919558.000000000,0.114065195,0.060471463,0.0604714302560167,,0.053594513,6.90E-7,0.044236155,2024316.750000000,2024316.750000000,43200,0.05,0.0,37.340642377,0.006023185,8.4E-8,202.638924037,86400,0.12699074074074074,0.06349537037037037,263519.519560185,131759.759780093,0.000002640,0.000001320,0,frax,frax
2024-03-12 00:00:00+00:00,Fraxtal,mainnet,frxETH,45470,43200,18,2250,2234,193,2757172134.000000000,9910276.000000000,4955138.0,,11912806.0,4955138.0,0E-9,9910276.000000000,672926.0,271437790.000000000,0.435828884,0.300798135,0.3007981067957867,,0.135031353,2.9E-8,0.134872603,619392.250000000,619392.250000000,43200,0.5,0.0,60.704284481,0.497464912,1.53E-7,15.997469247,86400,0.052083333333333336,0.026041666666666668,63823.429027778,31911.714513889,0.000010089,0.000005044,0,frax,frax
