dt,chain,network,chain_id,block_time_sec,num_raw_txs,num_blocks,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l2_num_txs_per_day,l2_num_success_txs_per_day,num_senders_per_day,l2_gas_used,l1_gas_used_on_l2,l1_gas_paid,blob_gas_paid,calldata_bytes_l2_per_day,l1_gas_paid_user_txs,blob_gas_paid_user_txs,l1_gas_used_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,l2_gas_used_user_txs_per_day,l2_eth_fees_per_day,median_l2_eth_fees_per_tx,l1_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l1_l1gas_contrib_l2_eth_fees_per_day,l1_blobgas_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_base_fee_per_day,l2_contrib_l2_eth_fees_priority_fee_per_day,input_calldata_gas_l2_per_day,input_calldata_gas_user_txs_l2_per_day,compressedtxsize_approx_l2_per_day,compressedtxsize_approx_user_txs_l2_per_day,avg_l1_gas_price_on_l2,avg_blob_base_fee_on_l2,avg_l2_gas_price,base_fee_gwei,equivalent_l1_tx_fee,avg_l1_fee_scalar,avg_l1_blob_fee_scalar,active_secs_per_day,l2_num_txs_per_day_per_block,num_user_txs_per_second,l2_gas_used_per_block,l2_gas_used_per_second,l2_eth_fees_per_block,l2_eth_fees_per_second,chain_name,chain_raw
2023-10-17,OP Mainnet,mainnet,10,2.0,444580,43200,62007,429,382144,370968,63690,318339258817,2001716412,1369174025.808001,,169261105,1369174025.808001,0.0,2001716412,152959169,315161521681,26.684159921287435,2.86617103927305e-05,11.803904804753827,14.880255116533625,11.80390480475402,,4.849778432653217,-4.849724753169101,1377911752,1257375056,125107275.75,125107275.75,8.621186629499558,,0.04721469498295927,0.015230707653816226,2812.958264345446,0.6840000000000886,0.0,86400.0,8.845925925925926,4.422962962962963,7368964.324467593,3684482.1622337964,0.0006176888870668387,0.00030884444353341937,op,op
2023-08-28,OP Mainnet,mainnet,10,2.0,496573,43200,51253,461,444859,433351,97809,216941443666,3499209660,2393459407.440008,,281135467,2393459407.440008,0.0,3499209660,267612227,214292452697,86.4420581943617,8.57158484781155e-05,62.261559838750195,24.180498355611537,62.261559838750415,,10.467414506501683,-10.467332668709831,2736595168,2636608232,218700603.75,218700603.75,26.013209016711176,,0.11283877734043068,0.04834180653429023,5477.5116803701585,0.6839999999999777,0.0,86400.0,10.297662037037037,5.148831018518519,5021792.677453703,2510896.3387268516,0.0020009735693139285,0.0010004867846569643,op,op
2024-01-17,OP Mainnet,mainnet,10,2.0,452680,43200,51145,160,401374,390494,75058,252841231927,3169146140,2167695959.760023,,244251140,2167695959.760023,0.0,3169146140,230888508,250255010583,91.21704472918336,7.70766615892705e-05,78.01484933895361,13.202195390229797,78.0148493389538,,7.640536283651186,-7.640486284180258,2478870428,2379999012,198071633.75,198071633.75,35.98975630677995,,0.05275496925905173,0.030215305464820166,8980.329933793437,0.6840000000000525,0.0,86400.0,9.291064814814815,4.645532407407408,5852806.294606482,2926403.147303241,0.0021115056650273926,0.0010557528325136963,op,op
2024-03-14,OP Mainnet,mainnet,10,2.0,663844,43200,51252,222,612364,573992,108631,271050490361,4963140532,,,401474922,0.0,0.0,4963140532,392973043,268700470420,22.436207550074602,3.3206309166475e-06,0.6259475778988957,21.810259972175686,,,6.703988625469025,-6.703876934915547,3954031668,3873140956,310196283.25,310196283.25,53.39949748099791,,0.0811694149179735,0.024721791603191504,14099.599025027414,,0.0,86400.0,14.175092592592593,7.0875462962962965,6274316.906504629,3137158.4532523146,0.0005193566562517269,0.00025967832812586345,op,op
2022-05-12,OP Mainnet,mainnet,10,2.0,162661,162661,0,162,161107,141020,4330,129715496381,1155350156,1155350156.0,,70949957,1149100996.0,0.0,1149100996,70836349,129645524134,251.83496358813937,0.001058005725724456,251.39880957397975,0.4361540141595135,251.39880957397975,,0.0,9.28466313609e-07,536594312,535793764,72209384.75,71818812.25,217.5953396192556,,0.0033642041796114073,0.0,27332.87074956807,1.0,0.0,325322.0,0.9904463885012388,0.4952231942506194,797459.110548933,398729.5552744665,0.0015482196936459224,0.0007741098468229612,op,op
2024-01-25,OP Mainnet,mainnet,10,2.0,574928,43200,53974,306,520647,506260,57527,271089735373,3084956784,2110110440.2559943,,241937309,2110110440.2559943,0.0,3084956784,227773785,268340713148,57.691511625542006,4.937859695821e-05,50.542742326683744,7.148769298858405,50.542742326684,,1.0725144875774792,-1.0724590642008416,2159752352,2054985384,192809799.0,192809799.0,23.952652601705545,,0.02664064358700419,0.0039560723024198614,6498.310977162131,0.6839999999998772,0.0,86400.0,12.052013888888888,6.026006944444444,6275225.355856482,3137612.677928241,0.0013354516579986576,0.0006677258289993288,op,op
2023-10-15,OP Mainnet,mainnet,10,2.0,364750,43200,62204,425,302121,295370,57091,317655065697,1608143632,1099970244.2879996,,140807522,1099970244.2879996,0.0,1608143632,124457326,314469241042,16.693766270257385,2.2298961304774e-05,6.496660948057685,10.197105322199716,6.496660948057836,,5.125042446190471,-5.125008504939132,1137987104,1017074860,100508977.0,100508977.0,5.906215174268699,,0.03242639975983465,0.016130029478137544,1841.6846386396999,0.6840000000001321,0.0,86400.0,6.993541666666666,3.496770833333333,7353126.520763889,3676563.2603819445,0.0003864297747744765,0.00019321488738723825,op,op
2022-04-25,OP Mainnet,mainnet,10,2.0,63603,63603,0,766,61348,59591,5571,32161663404,411800552,411800552.0,,23542226,401309392.0,0.0,401309392,23172630,31993508025,20.46312073675377,0.000254244089565942,20.21984321519512,0.2432775215586427,20.21984321519512,,0.0,1.108918048559e-06,171160172,168608676,25737534.5,25081837.0,49.10105903693671,,0.007603965197206372,0.0,1569.121004501453,1.0,0.0,127206.0,0.9645456975299908,0.4822728487649954,505662.6794962502,252831.3397481251,0.00032173200535751096,0.00016086600267875548,op,op
2023-04-23,OP Mainnet,mainnet,10,2.0,318794,318794,0,335,317602,303057,48181,120728455687,2084548712,2084548712.0,,107219517,2079212464.0,0.0,2079212464,107057981,120651155810,85.63138033578757,0.000218889897712084,85.37524867455323,0.2561316612344146,85.37524867455323,,0.0,1.144651788633e-06,873956448,872812736,130284294.5,129950779.0,40.9562262484338,,0.00212291096189553,0.0,5159.974015525796,1.0,0.0,637588.0,0.9962609082981486,0.4981304541490743,378703.66345351544,189351.83172675772,0.00026861038895270166,0.00013430519447635083,op,op
2022-10-01,OP Mainnet,mainnet,10,2.0,213504,213504,0,452,211953,205023,24225,72241504165,1396340732,1396340732.0,,78142451,1389307908.0,0.0,1389307908,77923095,72134159685,10.599752591777632,3.4046490455964e-05,10.305231026042648,0.2945215657349863,10.305231026042648,,0.0,2.55862899944e-06,591211820,589634592,87271295.75,86831744.25,7.380169316755742,,0.0040829693867804545,0.0,547.8412333933535,1.0,0.0,427008.0,0.9927354991007195,0.4963677495503597,338361.3616840902,169180.6808420451,4.964662297557719e-05,2.4823311487788595e-05,op,op
