dt,chain,network,chain_id,block_time_sec,num_raw_txs,num_blocks,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l2_num_txs_per_day,l2_num_success_txs_per_day,num_senders_per_day,l2_gas_used,l1_gas_used_on_l2,l1_gas_paid,blob_gas_paid,calldata_bytes_l2_per_day,estimated_size_user_txs,l1_gas_paid_fjord,blob_gas_paid_fjord,l1_gas_paid_user_txs,blob_gas_paid_user_txs,l1_gas_used_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,l2_gas_used_user_txs_per_day,l2_eth_fees_per_day,median_l2_eth_fees_per_tx,l1_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l1_l1gas_contrib_l2_eth_fees_per_day,l1_blobgas_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_base_fee_per_day,l2_contrib_l2_eth_fees_priority_fee_per_day,input_calldata_gas_l2_per_day,input_calldata_gas_user_txs_l2_per_day,compressedtxsize_approx_l2_per_day_ecotone,compressedtxsize_approx_user_txs_l2_per_day_ecotone,avg_l1_gas_price_on_l2,avg_blob_base_fee_on_l2,avg_l2_gas_price_gwei,avg_base_fee_gwei,equivalent_l1_tx_fee,avg_l1_fee_scalar,avg_l1_blob_fee_scalar,active_secs_per_day,l2_num_txs_per_day_per_block,num_user_txs_per_second,l2_gas_used_per_block,l2_gas_used_per_second,l2_eth_fees_per_block,l2_eth_fees_per_second,chain_name,chain_raw
2024-09-30,OP Mainnet,mainnet,10,2.0,817650,43200,43200,158,774292,735511,70142,216600223215,3806382576,19895961724752.0,3860482691552688.0,470577512,237913951.22597992,1243576223058.2007,241295422214755.5,0.0,3860482691552688.0,3806382576,463427664,214624285135,4.935852159723214,5.542400371635e-07,0.22850383598114768,4.707348323742058,0.2285038357395409,2.4160682773625694e-10,0.24609088265543305,4.461257441086714,4297952528,4229924460,237898911.0,237898911.0,11.484207322489972,1.001290565491574e-09,0.021932971475157666,0.0011466124744487316,2380.6481382879183,5227.0,1014213.0,86400.0,17.923425925925926,8.961712962962963,5013894.055902778,2506947.027951389,0.00011425583703062996,5.712791851531498e-05,op,op
2024-09-29,OP Mainnet,mainnet,10,2.0,753788,43200,43200,162,710426,687757,68645,214404066424,3758277244,19644515154388.0,3811693638468972.0,488492841,234905077.23078197,1227848838685.2961,238243783093463.3,0.0,3811693638468972.0,3758277244,481342945,212428756209,2.692242782162523,4.472385518035e-07,0.14712332530070654,2.545119456861818,0.14712332506224732,2.3845891951366057e-10,0.2417422701963736,2.303377186665491,4412626668,4344595444,234892327.75,234892327.75,7.488870761510811,1.0009029956493303e-09,0.011981049563543,0.00113799221212091,1554.522857969515,5227.0,1014213.0,86400.0,16.445046296296297,8.222523148148149,4963057.093148148,2481528.546574074,6.232043477228062e-05,3.116021738614031e-05,op,op
2024-10-01,OP Mainnet,mainnet,10,2.0,809865,43199,43199,134,766532,713270,73656,217776919644,3806184335,19894925519045.0,3860281632953355.0,471633328,237901053.63605583,1243508807355.6711,241282341311385.75,0.0,3860281632953355.0,3806184335,464494524,215806820872,14.648146970497915,1.5696038236734998e-06,0.36486430355008986,14.283282666947855,0.3648643032785946,2.714945388483932e-10,2.6862478845428805,11.597034782404886,4306246648,4238287416,237886520.9375,237886520.9375,18.338368959706663,1.125211341609938e-09,0.06618550150191767,0.012447465162077323,4026.2150199959387,5227.0,1014213.0,86398.0,17.74420704182967,8.872103520914836,5041249.094747564,2520624.547373782,0.0003390853253662797,0.00016954266268313985,op,op
2024-09-29,Zora,mainnet,7777777,2.0,118956,43200,43200,18,75734,75525,18687,57217666304,231793043,4635860860000.0,146878906799552.0,39784097,14488335.7346842,289766714693.68445,9180736774982.938,0.0,146878906799552.0,231793043,32692665,55264520466,0.10503104289805928,4.047970541525e-07,0.03363596390665286,0.0713950789914065,0.0336359638974691,9.183741493013373e-12,1.4057490360213996e-05,0.07138102150104633,307025264,239402208,14487065.1875,14487065.1875,7.254950013572664,1.0003272919627732e-09,0.0012918791005402908,2.54367363394793e-07,402.5056110404443,20000.0,633664.0,86400.0,1.7531018518518517,0.8765509259259259,1324483.0162962964,662241.5081481482,2.4312741411587797e-06,1.2156370705793899e-06,zora,zora
2024-09-30,Zora,mainnet,7777777,2.0,111132,43200,43200,25,67901,67721,21336,39572108447,199048956,3980979120000.0,126130157654784.0,34312345,12441752.171589829,248835043431.7971,7883890448058.313,0.0,126130157654784.0,199048956,27218097,37618003679,0.09952886632282407,5.8225900475e-07,0.046706297970646286,0.0528225683521778,0.04670629796274649,7.899795764050714e-12,9.532329648277989e-06,0.052813036022529625,270207520,202572660,12440559.75,12440559.75,11.73121954008563,1.0020174634827082e-09,0.0014041831885317636,2.5339807315717176e-07,471.11321620831353,20000.0,633664.0,86400.0,1.5717824074074074,0.7858912037037037,916021.0288657408,458010.5144328704,2.3039089426579643e-06,1.1519544713289822e-06,zora,zora
2024-10-01,Zora,mainnet,7777777,2.0,112096,43199,43199,20,68876,68703,20309,43534643964,193088890,3861777800000.0,122353478392960.0,32581264,12069163.180193046,241383263603.86078,7647794217413.839,0.0,122353478392960.0,193088890,25489796,41581000449,0.13200907204211967,9.082177920579999e-07,0.07056855407194303,0.06144051797017672,0.07056855406353545,8.407591838295626e-12,1.052124901551398e-05,0.06142999672116113,251486380,183863744,12068055.625,12068055.625,18.271883879437265,1.099347787436144e-09,0.001477610382307536,2.530302037445812e-07,747.4323914363474,20000.0,633664.0,86398.0,1.5943887589990509,0.7971943794995254,1007769.7160582421,503884.85802912107,3.055836293481786e-06,1.527918146740893e-06,zora,zora
2024-10-01,Base,mainnet,8453,2.0,5127591,43199,43199,438,5083502,4724707,1536777,949166105053,22990620965,52165718969585.0,2.427262397125033e+16,2635136224,1437001648.888449,3260556741327.887,1517131734834000.8,0.0,2.427262397125033e+16,22990620965,2627850346,947152410774,55.10063884416339,8.237429423295e-07,0.9298393018718492,54.17079954228468,0.9298393002050208,1.6668081979352046e-09,8.640818600445904,45.52998094185062,24505244068,24436272196,1436913810.3125,1436913810.3125,17.82355155694257,1.098654751321571e-09,0.0571933291053191,0.009122944208508836,17401.675054221538,2269.0,1055762.0,86398.0,117.67638139771753,58.83819069885877,21971946.226833954,10985973.113416977,0.0012755072766537047,0.0006377536383268523,base,base
2024-09-30,Base,mainnet,8453,2.0,5100431,43200,43200,397,5056431,4766638,1407142,953902476111,24725444374,56102033284606.0,2.610418460318299e+16,2952433003,1545426735.5954046,3506573263066.079,1631602821225942.5,0.0,2.610418460318299e+16,24725444374,2945165298,951894403946,34.75812043763535,8.049055294650001e-07,0.6146529274324416,34.143467510202555,0.6146529257981151,1.6343218613835123e-09,5.8548977787327665,28.288569731468165,27752418328,27683582952,1545340273.375,1545340273.375,10.955345827538798,1.0016664787658841e-09,0.03586896547417795,0.006150784955202768,10463.710056293994,2269.0,1055762.0,86400.0,117.04701388888888,58.52350694444444,22081075.835902777,11040537.917951388,0.000804586121241559,0.0004022930606207795,base,base
2024-09-29,Base,mainnet,8453,2.0,5134526,43200,43198,450,5090373,4776270,1566384,949360853045,24836698954,56354469926626.0,2.6221642961072944e+16,2828677615,1552373659.3779774,3522335833128.462,1638937119372352.8,0.0,2.6221642961072944e+16,24836698954,2821386348,947343513557,15.987208549620691,5.169417919400001e-07,0.4130920877215706,15.574116461899008,0.41309208608174364,1.6398137420899846e-09,3.6121530937947033,11.961963368100907,26750026444,26681026440,1552293684.625,1552293684.625,7.32986584524761,1.0005348679408729e-09,0.01643977737644818,0.0038129285123113675,6922.213807864296,2269.0,1055762.0,86400.0,117.83270833333333,58.916354166666665,21975945.672337964,10987972.836168982,0.00037007427198196047,0.00018503713599098023,base,base
2024-10-01,Kroma,mainnet,255,2.0,196708,43199,0,0,153482,153458,140459,7854449172,300803256,,,13189643,0.0,,,0.0,0.0,300803256,4721007,5797566940,0.10131272017936833,1.5947083086149998e-07,0.025953400221673216,0.07535931995769933,0.0,0.0,1.4613224890519539e-06,0.07535785863520808,107915684,33765192,18800203.5,18800203.5,14.90418323693778,,0.012998438955100788,2.520578898312748e-07,97.5072353671111,,0.0,86398.0,3.552906317275863,1.7764531586379315,181820.1618555985,90910.08092779925,2.345256144340571e-06,1.1726280721702856e-06,kroma,kroma
