excess_blob_gas,blob_base_fee_dencun,blob_base_fee_pectra
47185920,1375002,12365
47316992,1430059,12693
47448064,1487322,13029
47579136,1546877,13375
47710208,1608817,13730
47841280,1673237,14094
47972352,1740237,14467
48103424,1809919,14851
48234496,1882392,15245
48365568,1957766,15649
48496640,2036159,16064
48627712,2117691,16490
48758784,2202487,16928
48889856,2290679,17377
49020928,2382402,17837
49152000,2477798,18310
49283072,2577014,18796
49414144,2680203,19294
49545216,2787523,19806
49676288,2899141,20331
49807360,3015228,20871
49938432,3135964,21424
50069504,3261534,21992
50200576,3392132,22576
50331648,3527959,23174
50462720,3669225,23789
50593792,3816148,24420
50724864,3968954,25067
50855936,4127879,25732
50987008,4293167,26415
51118080,4465074,27115
51249152,4643864,27834
51380224,4829813,28572
51511296,5023208,29330
51642368,5224347,30108
51773440,5433540,30906
51904512,5651109,31726
52035584,5877390,32567
52166656,6112732,33431
52297728,6357498,34318
52428800,6612064,35228
52559872,6876824,36162
52690944,7152185,37121
52822016,7438572,38105
52953088,7736427,39116
53084160,8046209,40153
53215232,8368394,41218
53346304,8703481,42311
53477376,9051985,43433
53608448,9414444,44585
53739520,9791416,45768
53870592,10183483,46981
54001664,10591249,48227
54132736,11015343,49506
54263808,11456419,50819
54394880,11915156,52167
54525952,12392261,53550
54657024,12888471,54971
54788096,13404550,56428
54919168,13941294,57925
55050240,14499530,59461
55181312,15080119,61038
55312384,15683956,62657
55443456,16311972,64318
55574528,16965135,66024
55705600,17644451,67775
55836672,18350969,69572
55967744,19085777,71417
56098816,19850008,73311
56229888,20644840,75255
56360960,21471499,77251
56492032,22331259,79300
56623104,23225446,81403
56754176,24155437,83562
56885248,25122667,85778
57016320,26128627,88052
57147392,27174867,90388
57278464,28263001,92785
57409536,29394706,95245
57540608,30571726,97771
57671680,31795876,100364
57802752,33069044,103026
57933824,34393192,105758
58064896,35770361,108562
58195968,37202675,111442
58327040,38692342,114397
58458112,40241657,117431
58589184,41853010,120545
58720256,43528885,123742
58851328,45271865,127023
58982400,47084637,130392
59113472,48969997,133850
59244544,50930849,137400
59375616,52970218,141043
59506688,55091247,144784
59637760,57297206,148623
59768832,59591496,152565
59899904,61977654,156611
60030976,64459358,160764
60162048,67040434,165027
60293120,69724861,169404
60424192,72516778,173896
60555264,75420489,178508
60686336,78440470,183242
60817408,81581377,188102
60948480,84848051,193090
61079552,88245530,198211
61210624,91779050,203467
61341696,95454059,208863
61472768,99276223,214402
61603840,103251433,220088
61734912,107385818,225924
61865984,111685752,231916
61997056,116157864,238066
62128128,120809047,244380
62259200,125646473,250860
62390272,130677598,257513
62521344,135910180,264342
62652416,141352284,271353
62783488,147012300,278549
62914560,152898954,285936
63045632,159021321,293519
63176704,165388840,301303
63307776,172011326,309293
63438848,178898989,317495
63569920,186062448,325915
63700992,193512744,334558
63832064,201261365,343431
63963136,209320256,352538
64094208,217701841,361887
64225280,226419039,371485
64356352,235485291,381336
64487424,244914574,391449
64618496,254721423,401830
64749568,264920957,412487
64880640,275528899,423426
65011712,286561604,434655
65142784,298036080,446181
65273856,309970016,458014
65404928,322381809,470160
65536000,335290595,482629
65667072,348716273,495428
65798144,362679540,508566
65929216,377201924,522053
66060288,392305812,535898
66191360,408014488,550110
66322432,424352170,564699
66453504,441344044,579674
66584576,459016305,595047
