Address,Has voted,Has published,Published at,Created at,Updated at,Projects in ballot,Votes
0x73186b2A81952C2340c4eB2e74e89869E1183dF0,false,false,,2023-11-06T11:37:07.314Z,,0,[]
0x4Fd6B3204A6Ab48978018b25821682F090840333,false,false,,2023-11-08T03:33:17.438Z,,0,[]
0x2B888954421b424C5D3D9Ce9bB67c9bD47537d12,false,false,,2023-11-06T15:38:56.251Z,,0,[]
0x1F5D295778796a8b9f29600A585Ab73D452AcB1c,false,false,,2023-11-06T15:06:23.676Z,2023-11-06T15:39:10.246Z,0,[]
0x534631Bcf33BDb069fB20A93d2fdb9e4D4dD42CF,false,false,,2023-11-06T17:04:46.560Z,,0,[]
0xF4B0556B9B6F53E00A1FDD2b0478Ce841991D8fA,false,false,,2023-11-06T17:27:14.848Z,,0,[]
0xDb150346155675dd0C93eFd960d5985244a34820,false,false,,2023-11-06T17:29:12.672Z,,0,[]
0x94Db037207F6fB697DBd33524aaDffD108819DC8,false,false,,2023-11-06T18:27:24.884Z,,0,[]
0xDaDd7c883288Cfe2E257B0A361865E5e9349808b,false,false,,2023-11-06T18:42:51.858Z,,0,[]
0xdb5781a835b60110298fF7205D8ef9678Ff1f800,false,false,,2023-11-06T19:18:14.994Z,,0,[]
0x45a10F35BeFa4aB841c77860204b133118B7CcAE,false,false,,2023-11-06T19:37:57.313Z,,0,[]
0x8f07bc36ff569312FDC41F3867D80bBd2FE94b76,false,false,,2023-11-07T00:45:36.257Z,,0,[]
0x23936429FC179dA0e1300644fB3B489c736D562F,false,false,,2023-11-27T04:56:03.143Z,,0,[]
0x490C91F38Ec57E3ab00811e0C51A62BfED7e81F4,false,false,,2023-11-07T02:05:37.022Z,,0,[]
0x576F1E53afe5e99b2257258C7E3248d3a1822548,false,false,,2023-11-11T22:22:10.545Z,,0,[]
