blockchain,dt,num_user_txs,total_gas_used,avg_base_fee_gwei,avg_priority_fee_gwei
optimism,2023-06-17 00:00:00.000 UTC,377673,1.16269705389e+11,1.6053886173438016e-05,0.04040265718655021
optimism,2023-07-16 00:00:00.000 UTC,449218,1.26476250779e+11,5.747049604755503e-07,0.07768857280279134
optimism,2023-08-17 00:00:00.000 UTC,560502,1.96391059301e+11,0.12815240345959344,0.18429442175382646
optimism,2023-07-03 00:00:00.000 UTC,475202,1.32103989564e+11,8.347761812682066e-08,0.05618480109782707
optimism,2023-07-17 00:00:00.000 UTC,526167,1.72939758893e+11,0.011690330261182878,0.08012553958997863
optimism,2023-06-30 00:00:00.000 UTC,518553,1.8873217109e+11,0.11411212973782843,0.0799691923426613
optimism,2023-08-18 00:00:00.000 UTC,432042,1.55989900821e+11,7.18560099946611e-05,0.13416676104060712
optimism,2023-07-09 00:00:00.000 UTC,442521,1.28814763839e+11,8.201383344718887e-08,0.05274317942759405
optimism,2023-07-06 00:00:00.000 UTC,385527,1.30117174577e+11,0.003687452484449914,0.06871554576058718
optimism,2023-07-31 00:00:00.000 UTC,679221,1.72970185681e+11,1.2652737436809081e-06,0.1182222845106932
optimism,2023-08-25 00:00:00.000 UTC,328085,1.09221635064e+11,2.784005375765468e-07,0.13199865088322912
optimism,2023-08-21 00:00:00.000 UTC,405521,1.53300817529e+11,3.0006756221209442e-06,0.1122971008432636
optimism,2023-08-04 00:00:00.000 UTC,645983,1.84180380957e+11,0.0031540474520336025,0.10613180472836488
optimism,2023-06-18 00:00:00.000 UTC,360670,1.16042658654e+11,8.824096688964534e-07,0.044296933478934944
optimism,2023-08-16 00:00:00.000 UTC,611121,1.83155051486e+11,0.011802458879753109,0.10403558709676448
optimism,2023-06-19 00:00:00.000 UTC,382831,1.58739837496e+11,0.0007371602041287363,0.05243236201908385
optimism,2023-08-12 00:00:00.000 UTC,388472,1.17155188304e+11,6.880992007108907e-08,0.09211680102344412
optimism,2023-08-08 00:00:00.000 UTC,824269,1.99516242033e+11,0.009432972947949878,0.11535525244685929
optimism,2023-07-15 00:00:00.000 UTC,523797,1.42759957378e+11,1.3043151459230642e-07,0.07885873909378026
optimism,2023-06-24 00:00:00.000 UTC,450329,1.31321161518e+11,0.0009249086707885819,0.04096775304504824
optimism,2023-08-22 00:00:00.000 UTC,408387,1.37005210907e+11,1.4418695257775752e-06,0.15391671171221863
optimism,2023-07-26 00:00:00.000 UTC,808336,1.96795265478e+11,0.04706490072085621,0.075016026924211
optimism,2023-08-13 00:00:00.000 UTC,394903,1.22197867722e+11,9.456859624360691e-08,0.08477297960500868
optimism,2023-06-15 00:00:00.000 UTC,501182,1.93549661477e+11,0.03131774132140209,0.0554504810043586
optimism,2023-07-12 00:00:00.000 UTC,442771,1.341155386e+11,1.8619513044514483e-06,0.07496038994091034
optimism,2023-07-24 00:00:00.000 UTC,650109,1.86856212667e+11,0.023176946799590648,0.12222340081687658
optimism,2023-06-27 00:00:00.000 UTC,614205,1.76807110042e+11,3.056637139152496e-06,0.040079720259226494
