share_elapsed_calc,dt,name,l2_num_txs_per_day,l1_gas_used_on_l2,l1_gas_used_user_txs_l2_per_day,l2_gas_used,l2_gas_used_user_txs_per_day,l2_gas_used_per_block,l2_gas_used_per_second,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,avg_l1_gas_price_on_l2,collective_contribution,net_chain_operator_margin_eth,num_l1_txs_inbox,num_l1_txs_output,num_l1_txs_combined,l1_eth_fees_combined,l1_gas_used_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_gas_used_inbox,l1_gas_used_output,l2_eth_fees_per_day,l2_fee_eth_margin,l2_fee_pct_margin,l1_contrib_l2_eth_fees_per_day,l1_margin_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_base_fees_per_day,l2_contrib_l2_eth_priority_fees_per_day,total_available_l2_gas_target,avg_l2_gas_target_used,pct_l2_eth_fees_from_l2_contrib,pct_l2_eth_fees_from_l2_base_fee,pct_l2_eth_fees_from_l2_priority_fee,avg_l2_base_fee_gwei,avg_l2_gas_price_gwei,calldata_gas_l2_per_day,calldata_bytes_l2_per_day,calldata_gas_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,calldata_bytes_l1_inbox,bytes_compression_ratio,gas_compression_ratio,calldata_bytes_l2_per_l2_tx,l2_gas_used_per_l2_tx,l1_gas_used_on_l2_per_l2_tx,calldata_gas_l2_per_l2_tx,l1_eth_fees_total,l1_gas_used_total,active_secs_per_day,l1_margin_l2_eth_fees_combined_by_day_chart,l1_eth_fees_combined_projected,l2_num_txs_per_day_projected,l2_eth_fees_per_day_projected,l2_fee_eth_margin_by_day_projected,l2_gas_used_by_day_projected,collective_contribution_by_day_projected,net_chain_operator_margin_eth_projected,l2_gas_used_per_second_by_day,l2_gas_used_per_second_by_day_projected,l2_num_txs_per_day_30dma,l2_eth_fees_per_day_30dma,l2_gas_used_30dma,l2_fee_eth_margin_30dma,l2_fee_pct_margin_30dma,collective_contribution_30dma,num_l1_txs_combined_7day,num_l1_txs_combined_30day,l1_eth_fees_combined_7day,l1_eth_fees_combined_30day,l2_gas_used_per_block_7day,l2_gas_used_per_block_30day,l1_gas_used_combined_7day,l1_gas_used_combined_30day,dt_by_day,l1_eth_fees_combined_by_day,l2_num_txs_by_day,l2_eth_fees_by_day,l2_fee_eth_margin_by_day,l2_gas_used_by_day,l1_gas_used_combined_by_day,collective_contribution_by_day,net_chain_operator_margin_eth_by_day,l2_contrib_l2_eth_fees_combined_by_day,l2_contrib_l2_eth_base_fees_by_day,l2_contrib_l2_eth_priority_fees_by_day,l1_margin_l2_eth_fees_combined_by_day,l2_gas_used_per_second_by_day,l2_num_txs_by_day_7day,l2_num_txs_by_day_30day,l2_eth_fees_by_day_7day,l2_eth_fees_by_day_30day,l1_eth_fees_combined_by_day_7day,l1_eth_fees_combined_by_day_30day,l2_fee_eth_margin_by_day_7day,l2_fee_eth_margin_by_day_30day,l2_gas_used_by_day_7day,l2_gas_used_by_day_30day,collective_contribution_by_day_7day,collective_contribution_by_day_30day,l2_gas_used_per_second_by_day_7day,l2_gas_used_per_second_by_day_30day,non_op_l1_eth_fees_by_day,non_op_l1_gas_used_by_day,pct_l1_eth_fees_by_day,pct_l1_gas_used_by_day
,2023-09-20 00:00:00.000 UTC,Base,917341,2.8925127e+09,2.8925127e+09,2.21401361668e+11,2.19034849851e+11,5.125031520092593e+06,2.5625157600462963e+06,43200,1437,13.618901971309576,14.469366761788043,13.15197671385002,3.5140661569071714,19.913041555807304,1636,24,1660,21.713990225070287,1.594270788e+09,21.68383131878642,0.03015890628386415,1.59218646e+09,2.084328e+06,45.141097937784764,23.427107712714477,0.5189751420092316,26.020905617642022,4.306915392571735,19.12019232014274,5.495429853753669,13.624762466389912,2.16e+11,1.0250063040185184,0.4235650702713288,0.12173894975544651,0.30182612051590096,0.025089294500359613,0.08729292317249757,1.126468776e+09,1.4213751e+08,1.039090792e+09,1.30260649e+08,9.7695315e+07,0.687329579644388,0.03377524150542191,154.9451185546051,241351.2114557182,3153.148829061385,1227.9716877366213,2031.6379231514413,1.07980933672e+11,86400,4.822888994919328,,,,,,,,5.125478451192129e+06,,716742.3,62.2793732777151,2.090772750997e+11,37.24697588653427,1.4879508064879428,5.587046382980137,1771.142857142857,1545.3,32.120748065728876,25.032397391180886,3.572673258965276e+07,1.4519255215256944e+08,1.5216358384e+10,4.3118327792e+10,2023-09-20 00:00:00.000 UTC,39.4545501727499,1.218609e+06,80.10230273308412,43.68934427072007,4.42841338183e+11,2.826989116e+09,23.77630271491276,40.175278113812894,38.86645527580073,18.09574674581721,20.77070852998437,4.822888994919328,5.125478451192129e+06,1.742941142857143e+06,1.1321161666666667e+06,121.77265807659198,106.96477167175213,49.48670092719807,51.17568151125546,72.72047025087738,55.89047655084296,4.273708078135714e+11,3.6749340306823334e+11,38.16467081972312,22.224136329632376,4.946421386731147e+06,4.2533958688452905e+06,1992.1833729786915,1.05153944556e+11,0.019420069749214314,0.026180447046208977
,2023-09-20 00:00:00.000 UTC,OP Mainnet,301268,1.559217504e+09,1.559217504e+09,2.21439976515e+11,2.19188043314e+11,5.125925382291666e+06,2.562962691145833e+06,43200,479,14.412631776160172,13.808323364153473,14.26617323109508,20.26223655800559,20.26223655800559,546,24,570,14.698968237293757,1.019954456e+09,14.670182854075907,0.0287853832178489,1.017869816e+09,2.08464e+06,34.961204795299345,20.26223655800559,0.5795634525938854,15.21494183964135,0.5159736023475929,19.746262955657997,12.60031689206354,7.1459460635944545,2.16e+11,1.0251850764583332,0.5648049908827213,0.36040854329361377,0.20439644758910744,0.05748633320300609,0.09008823043951485,1.051412176e+09,1.34502862e+08,9.66912232e+08,1.23067762e+08,6.3073664e+07,0.4689391962529392,0.04045212668418068,446.4558532602201,735026.5428621692,5175.516496939602,3489.956371071604,2031.6379231514413,1.07980933672e+11,86400,4.822888994919328,,,,,,,,5.125478451192129e+06,,339259.56666666665,38.550859181194284,1.4325781710546667e+11,16.197756424485917,0.7246312335599483,16.197756424485917,577.8571428571429,677.6666666666666,14.440839934986014,22.353102756708438,3.13754862968287e+07,9.948459521212961e+07,7.220210788e+09,3.6550941148e+10,2023-09-20 00:00:00.000 UTC,39.4545501727499,1.218609e+06,80.10230273308412,43.68934427072007,4.42841338183e+11,2.826989116e+09,23.77630271491276,40.175278113812894,38.86645527580073,18.09574674581721,20.77070852998437,4.822888994919328,5.125478451192129e+06,1.742941142857143e+06,1.1321161666666667e+06,121.77265807659198,106.96477167175213,49.48670092719807,51.17568151125546,72.72047025087738,55.89047655084296,4.273708078135714e+11,3.6749340306823334e+11,38.16467081972312,22.224136329632376,4.946421386731147e+06,4.2533958688452905e+06,1992.1833729786915,1.05153944556e+11,0.019420069749214314,0.026180447046208977
,2023-09-20 00:00:00.000 UTC,Zora Network,,,,,,,,,,14.249575733341437,13.90085754819691,,,,151,24,175,2.5263668317184145,1.77345188e+08,2.4973923846758246,0.028974447042589908,1.75260824e+08,2.084364e+06,,,,,,,,,,,,,,,,,,,,1.0787165e+07,,,,,,,2031.6379231514413,1.07980933672e+11,,4.822888994919328,,,,,,,,5.125478451192129e+06,,78217.5172413793,6.184002574444159,1.3401107158034483e+10,3.023956629316776,0.9312613874774569,0.453593494397516,181.14285714285714,180.9,2.4360534405671856,3.1389233080137533,1.8437614580787036e+06,8.99611360145833e+06,1.322322796e+09,5.704448748e+09,2023-09-20 00:00:00.000 UTC,39.4545501727499,1.218609e+06,80.10230273308412,43.68934427072007,4.42841338183e+11,2.826989116e+09,23.77630271491276,40.175278113812894,38.86645527580073,18.09574674581721,20.77070852998437,4.822888994919328,5.125478451192129e+06,1.742941142857143e+06,1.1321161666666667e+06,121.77265807659198,106.96477167175213,49.48670092719807,51.17568151125546,72.72047025087738,55.89047655084296,4.273708078135714e+11,3.6749340306823334e+11,38.16467081972312,22.224136329632376,4.946421386731147e+06,4.2533958688452905e+06,1992.1833729786915,1.05153944556e+11,0.019420069749214314,0.026180447046208977
,2023-09-20 00:00:00.000 UTC,Public Goods Network,,,,,,,,,,14.641325729105342,13.033338847421835,,,,146,24,170,0.5152248786674409,3.5418684e+07,0.48805881277413954,0.027166065893301405,3.3334332e+07,2.084352e+06,,,,,,,,,,,,,,,,,,,,1.895037e+06,,,,,,,2031.6379231514413,1.07980933672e+11,,4.822888994919328,,,,,,,,5.125478451192129e+06,,521.4137931034483,0.16207247332426009,2.27990407962069e+09,-0.49387638122423505,-0.7330640001451518,0.0008894595676675576,168.71428571428572,169.3,0.4890594859160388,0.6512580553524603,303919.0696759261,1.5304911645601857e+06,2.463105e+08,1.105376644e+09,2023-09-20 00:00:00.000 UTC,39.4545501727499,1.218609e+06,80.10230273308412,43.68934427072007,4.42841338183e+11,2.826989116e+09,23.77630271491276,40.175278113812894,38.86645527580073,18.09574674581721,20.77070852998437,4.822888994919328,5.125478451192129e+06,1.742941142857143e+06,1.1321161666666667e+06,121.77265807659198,106.96477167175213,49.48670092719807,51.17568151125546,72.72047025087738,55.89047655084296,4.273708078135714e+11,3.6749340306823334e+11,38.16467081972312,22.224136329632376,4.946421386731147e+06,4.2533958688452905e+06,1992.1833729786915,1.05153944556e+11,0.019420069749214314,0.026180447046208977
,2023-09-19 00:00:00.000 UTC,Base,1.115378e+06,3.535732072e+09,3.535732072e+09,2.20526908466e+11,2.18118691922e+11,5.1047895478240745e+06,2.5523947739120373e+06,43200,1794,13.057953910343532,11.729401052217332,13.204779033077086,3.7749315239093475,21.3912786354863,1667,24,1691,24.628583050550002,1.88631024e+09,24.60413527226645,0.024447778283553417,1.884225924e+09,2.084316e+06,49.79479320994565,25.16621015939565,0.5053984269658365,31.93497553995108,7.306392489401077,17.85981766999457,2.262758381670059,15.597059288324692,2.16e+11,1.020957909564815,0.3586683771271768,0.04544166640334821,0.31322671072383224,0.010373977405289166,0.08188118823113641,1.369931928e+09,1.79910078e+08,1.281509168e+09,1.67873474e+08,1.15969659e+08,0.644597902959055,0.03279933451925879,161.29964729445982,197714.95265820198,3169.9854865346097,1228.222116627726,1802.7405651415104,1.07834628557e+11,86400,7.041523228835273,,,,,,,,5.275556613541666e+06,,731395.7333333333,65.5350512285885,2.0679142756876666e+11,39.363487459031965,1.5040556156915836,5.904523118854793,1789,1543.2333333333333,34.79196156575739,26.17156376955658,3.570078385405091e+07,1.4360515803386572e+08,1.5817859572e+10,4.3988206272e+10,2023-09-19 00:00:00.000 UTC,40.30894523998322,1.478728e+06,90.49575142213607,50.18680618215285,4.5580809141e+11,3.144121208e+09,28.291108635373668,46.25012879800224,43.14528295331757,18.634825172595956,24.510457780721868,7.041523228835273,5.275556613541666e+06,1.8189535714285714e+06,1.1523859666666666e+06,126.80593245457247,110.58183212476231,53.07893794867602,52.80725836203759,73.72699450589622,57.77457376272481,4.15192325106e+11,3.634038771216667e+11,36.993730989623906,22.25828811710398,4.805466725763885e+06,4.206065692533277e+06,1762.4316199015273,1.04690507349e+11,0.02235981483936879,0.02915687891796333
,2023-09-19 00:00:00.000 UTC,OP Mainnet,307084,1.613478876e+09,1.613478876e+09,2.21022281924e+11,2.18760297432e+11,5.116256526018519e+06,2.5581282630092595e+06,43200,569,12.477870827158215,11.372823450988266,12.321089208273303,24.354431251223055,24.354431251223055,561,24,585,13.071993767788927,1.047798744e+09,13.04828566158394,0.023708106204986763,1.045714116e+09,2.084628e+06,37.42642501901198,24.354431251223055,0.6507282284869961,13.597794942132472,0.5258011743435453,23.828630076879506,16.372066077738243,7.456563999141236,2.16e+11,1.0232513052037038,0.6366792998469657,0.4374466989412298,0.19923260090573516,0.07484020761503755,0.10892575278330123,1.095137244e+09,1.40197662e+08,1.010374532e+09,1.28722874e+08,6.4802808e+07,0.46222459829608287,0.040163406514905,456.5449909471024,719745.3528155163,5254.193888317203,3566.2465123549255,1802.7405651415104,1.07834628557e+11,86400,7.041523228835273,,,,,,,,5.275556613541666e+06,,342734.6666666667,38.71420263207349,1.4098651180593332e+11,15.901749384167102,0.6970644152717962,15.901749384167102,581,682.6333333333333,15.207402222753357,22.812453247906458,2.90759445305787e+07,9.790729986523147e+07,7.260382416e+09,3.6831295472e+10,2023-09-19 00:00:00.000 UTC,40.30894523998322,1.478728e+06,90.49575142213607,50.18680618215285,4.5580809141e+11,3.144121208e+09,28.291108635373668,46.25012879800224,43.14528295331757,18.634825172595956,24.510457780721868,7.041523228835273,5.275556613541666e+06,1.8189535714285714e+06,1.1523859666666666e+06,126.80593245457247,110.58183212476231,53.07893794867602,52.80725836203759,73.72699450589622,57.77457376272481,4.15192325106e+11,3.634038771216667e+11,36.993730989623906,22.25828811710398,4.805466725763885e+06,4.206065692533277e+06,1762.4316199015273,1.04690507349e+11,0.02235981483936879,0.02915687891796333
,2023-09-19 00:00:00.000 UTC,Zora Network,56156,2.19542528e+08,2.19542528e+08,1.2063546566e+10,9.814224699e+09,279248.76310185186,139624.38155092593,43200,6,12.395542392314129,12.031223268891335,12.069307540773085,0.16166612598775557,0.9161080472639483,148,24,172,2.164865318522939,1.74709956e+08,2.139788736113375,0.02507658240956406,1.72625664e+08,2.084292e+06,3.242639491774643,1.0777741732517039,0.33237557736085427,1.8124127814781532,0,1.4302267102964896,6.03419930893e-07,1.4302261068766267,2.16e+11,0.05584975262037037,0.4410686768986923,1.8608912042909782e-07,0.44106849080959276,5.002098352394912e-08,0.14572997400826693,1.90428648e+08,2.461581e+07,1.07252572e+08,1.3378882e+07,1.0626024e+07,0.43167476512046526,0.04840075449982976,438.3469264192606,214822.04156278938,3909.5115036683524,3391.065033122017,1802.7405651415104,1.07834628557e+11,86400,7.041523228835273,,,,,,,,5.275556613541666e+06,,77728.46666666666,6.168247490133369,1.33444053553e+10,3.007577675837615,0.9515633876826667,0.4511366513756419,180.28571428571428,180.73333333333332,2.5710707472001224,3.1606698142957566,2.145220296296296e+06,9.267086158686548e+06,1.334758576e+09,5.675558e+09,2023-09-19 00:00:00.000 UTC,40.30894523998322,1.478728e+06,90.49575142213607,50.18680618215285,4.5580809141e+11,3.144121208e+09,28.291108635373668,46.25012879800224,43.14528295331757,18.634825172595956,24.510457780721868,7.041523228835273,5.275556613541666e+06,1.8189535714285714e+06,1.1523859666666666e+06,126.80593245457247,110.58183212476231,53.07893794867602,52.80725836203759,73.72699450589622,57.77457376272481,4.15192325106e+11,3.634038771216667e+11,36.993730989623906,22.25828811710398,4.805466725763885e+06,4.206065692533277e+06,1762.4316199015273,1.04690507349e+11,0.02235981483936879,0.02915687891796333
,2023-09-19 00:00:00.000 UTC,Public Goods Network,110,611204,611204,2.195354454e+09,1.8486888e+07,50818.39013888889,25409.195069444446,43200,23,12.600200414455525,11.97048128827072,12.642110114059852,7.973425350947216e-05,-0.4116891359710687,145,24,169,0.44350310312134805,3.5302268e+07,0.41855255015295384,0.02495055296839419,3.3217928e+07,2.08434e+06,0.03189370140378886,-0.4116094017175592,-12.905664240923176,0.005285205256785169,0,0.02660849614700369,1.097677227e-07,0.02660838637931484,2.16e+11,0.010163678027777779,0.8342868646736216,3.4416739941937244e-06,0.8342834230006887,5.0000000000000024e-08,1.4393172148283524,8.3581116e+07,1.1285379e+07,391104,43527,1.889105e+06,0.16739402371865403,3.0907929267478615,102594.35454545454,1.995776776363636e+07,5556.4,759828.3272727273,1802.7405651415104,1.07834628557e+11,86400,7.041523228835273,,,,,,,,5.275556613541666e+06,,527.1,0.16433077396700285,2.2815323916666665e+09,-0.49824075631186054,-0.7519803274706967,0.0008789627064625176,168.57142857142858,169.3,0.508503412965194,0.6625715302788637,354585.4797685187,1.5843974942129636e+06,2.459854e+08,1.108656884e+09,2023-09-19 00:00:00.000 UTC,40.30894523998322,1.478728e+06,90.49575142213607,50.18680618215285,4.5580809141e+11,3.144121208e+09,28.291108635373668,46.25012879800224,43.14528295331757,18.634825172595956,24.510457780721868,7.041523228835273,5.275556613541666e+06,1.8189535714285714e+06,1.1523859666666666e+06,126.80593245457247,110.58183212476231,53.07893794867602,52.80725836203759,73.72699450589622,57.77457376272481,4.15192325106e+11,3.634038771216667e+11,36.993730989623906,22.25828811710398,4.805466725763885e+06,4.206065692533277e+06,1762.4316199015273,1.04690507349e+11,0.02235981483936879,0.02915687891796333
,2023-09-18 00:00:00.000 UTC,Base,1.305126e+06,4.034988032e+09,4.034988032e+09,2.20609018037e+11,2.18193812029e+11,5.106690232337963e+06,2.5533451161689814e+06,43200,1978,19.491563214030474,14.246335518657022,20.03059574304993,7.972965857273701,45.18013985788431,1765,24,1789,40.21067081698424,2.06353914e+09,40.18097678096531,0.029694036018931346,2.061454812e+09,2.084328e+06,93.36377653214225,53.15310571515801,0.5693118647236709,55.28307844237269,15.07240762538845,38.08069808976956,20.372314222883972,17.70838386688615,2.16e+11,1.0213380464675925,0.40787444021889535,0.21820362221391523,0.18967081800498617,0.09336797424931788,0.17452693885153978,1.477365928e+09,1.94285446e+08,1.388386896e+09,1.82163366e+08,1.26965466e+08,0.6534996244649226,0.0314661319917392,148.86336338407173,169032.73556499527,3091.6463483219245,1131.9718770448217,2202.6054482757977,1.07520100755e+11,86400,13.982807837592668,,,,,,,,5.261041673055556e+06,,722302.3,66.47077194033463,2.0348256217726666e+11,40.26435991672843,1.5364316137767757,6.039653987509263,1763.7142857142858,1535.5666666666666,34.4744814305459,26.206412023606237,3.5711741537268505e+07,1.4130733484532404e+08,1.5347880856e+10,4.3770102452e+10,2023-09-18 00:00:00.000 UTC,59.25296495912263,1.634558e+06,153.04820780451774,93.79524284539514,4.54554000552e+11,3.272085728e+09,48.17731707442213,85.65130048781417,79.81243500780246,48.59013415505291,31.222300852749864,13.982807837592668,5.261041673055556e+06,1.7877017142857143e+06,1.1455336666666667e+06,126.74569976090775,111.25978881383911,54.842146783358224,53.016787897257686,71.9035529775493,58.243000916581515,4.102147820507143e+11,3.5710341210943335e+11,35.2803033822288,21.898688701388608,4.747856273735116e+06,4.1331436437805765e+06,2143.3524833166753,1.04248015027e+11,0.026901306816209832,0.030432316422916283
,2023-09-18 00:00:00.000 UTC,OP Mainnet,277050,1.515646156e+09,1.515646156e+09,2.2112992029e+11,2.18875988214e+11,5.118748154861111e+06,2.5593740774305556e+06,43200,502,15.981226631579972,15.227230245719147,15.548883389140641,40.033374716841166,40.033374716841166,546,24,570,16.24330106095441,1.016497244e+09,16.211558681328786,0.03174237962562121,1.014412664e+09,2.08458e+06,56.276675777795575,40.033374716841166,0.711367083494947,16.11955805176868,0,40.1571177260269,28.21781929119381,11.939298434833074,2.16e+11,1.0237496309722223,0.7135659164479509,0.501412332928296,0.21215358351965455,0.12892149349706017,0.18346972664157365,1.056303964e+09,1.31183212e+08,9.71729924e+08,1.19737172e+08,6.286427e+07,0.47920971778004645,0.04147687753578811,473.50013354990074,798158.8893340552,5470.659288937015,3812.6835011730736,2202.6054482757977,1.07520100755e+11,86400,13.982807837592668,,,,,,,,5.261041673055556e+06,,344478.3,38.36897164814187,1.379458736394e+11,15.396775258340623,0.6702352268403962,15.396775258340623,634.7142857142857,685.5,17.142253120671572,22.97219638980133,2.8196731575023144e+07,9.579574558291666e+07,7.966147476e+09,3.699329156e+10,2023-09-18 00:00:00.000 UTC,59.25296495912263,1.634558e+06,153.04820780451774,93.79524284539514,4.54554000552e+11,3.272085728e+09,48.17731707442213,85.65130048781417,79.81243500780246,48.59013415505291,31.222300852749864,13.982807837592668,5.261041673055556e+06,1.7877017142857143e+06,1.1455336666666667e+06,126.74569976090775,111.25978881383911,54.842146783358224,53.016787897257686,71.9035529775493,58.243000916581515,4.102147820507143e+11,3.5710341210943335e+11,35.2803033822288,21.898688701388608,4.747856273735116e+06,4.1331436437805765e+06,2143.3524833166753,1.04248015027e+11,0.026901306816209832,0.030432316422916283
