dt,active_secs_per_day,share_elapsed,name,alignment,avg_l2_base_fee_gwei,avg_l2_gas_price_gwei,num_l1_txs_inbox,l1_eth_fees_inbox,secs_between_l1_txs_inbox,num_l1_txs_output,l1_eth_fees_output,l1_gas_used_inbox,l1_gas_used_output,num_l1_txs_combined,l1_eth_fees_combined,l1_gas_used_combined,l1_eth_fees_total,l1_gas_used_total,l2_num_txs_per_day,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l2_num_users_per_day,l2_eth_fees_per_day,l1_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l1_margin_l2_eth_fees_per_day,avg_l1_gas_price_on_l2,l1_gas_used_on_l2,l2_gas_used,l2_eth_fees_saved_per_day,l2_fee_eth_margin,l2_fee_pct_margin,l2_contrib_l2_eth_base_fees_per_day,l2_contrib_l2_eth_priority_fees_per_day,l1_gas_compression_ratio,calldata_bytes_l2_per_day,calldata_bytes_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,collective_contribution,num_l1_txs_combined_7day,num_l1_txs_combined_30day,l1_eth_fees_combined_7day,l1_eth_fees_combined_30day,l1_eth_fees_combined_by_day,l2_eth_fees_by_day,l2_gas_used_by_day,l2_num_txs_by_day,pct_of_total_l1_eth_fees_combined_by_day,non_op_l1_eth_fees_by_day,non_op_l1_gas_used_by_day,pct_l1_eth_fees_by_day,pct_l1_gas_used_by_day,l2_num_txs_per_day_30dma,l2_eth_fees_per_day_30dma,l2_gas_used_30dma,l2_fee_eth_margin_30dma,l2_fee_pct_margin_30dma,collective_contribution_30dma,l2_contrib_l2_eth_fees_combined_by_day,l2_contrib_l2_eth_base_fees_by_day,l2_contrib_l2_eth_priority_fees_by_day,l1_margin_l2_eth_fees_combined_by_day,l2_fee_eth_margin_by_day,collective_contribution_by_day,l1_eth_fees_combined_projected,l2_num_txs_per_day_projected,l2_eth_fees_per_day_projected,l2_fee_eth_margin_by_day_projected,l2_gas_used_by_day_projected,collective_contribution_by_day_projected
2023-07-02 00:00:00.000 UTC,86400,,OP Mainnet,OP Chain,2.24694607615852e-06,0.03794543255498916,750,19.707220899712713,115.2,24,0.02989095349130061,1.325948056e+09,2.084604e+06,774,19.737111853204013,1.32803266e+09,2030.8305499290245,1.08018071893e+11,446463,43200,352,81479,27.40267354892569,22.41082869451727,4.991844854408422,2.673716841313258,14.727863807491875,2.224651848e+09,1.33767511927e+11,1.9346438327151233e+12,7.665561695721678,0.27973773004430813,0.00037177953060362737,4.991473074877829,1.67778205030982,1.92221398e+08,8.2114135e+07,14.862739766113974,14.338912086564457,7.665561695721678,902.8571428571429,839.0434782608696,31.978286199344375,27.73256231697261,21.37918256562019,27.40267354892569,1.35936262155e+11,446463,0.004305792864550191,2009.4513673634044,1.06577387621e+11,0.010527309905972889,0.013337437400540771,479720.47826086957,40.732630467719666,1.6140204307130435e+11,13.000068150747063,0.4687654895411842,13.000068150747063,4.991844854408422,0.00037177953060362737,4.991473074877829,1.734470021645232,6.726314876053652,7.665561695721678,,,,,,
2023-07-02 00:00:00.000 UTC,86400,,Base,OP Chain,,,1427,0.9091220078942654,60.54660126138753,24,0.030124811773760436,6.236836e+07,2.084328e+06,1451,0.9392468196680259,6.4452688e+07,2030.8305499290245,1.08018071893e+11,0,43200,0,0,0,0,0,-0.9392468196680259,,,2.168750228e+09,0,-0.9392468196680259,-Infinity,0,0,,1.1232e+07,2.038615e+06,14.576654058151686,14.453009206689364,0,1450.2857142857142,1441.3333333333333,1.3207680873272143,1.2020428136629053,21.37918256562019,27.40267354892569,1.35936262155e+11,446463,0.00020490344708268615,2009.4513673634044,1.06577387621e+11,0.010527309905972889,0.013337437400540771,3.2222222222222223,0.010429998960165393,2.167737046888889e+09,-1.1916128147027396,-0.9913231052657908,2.607499740041348e-05,4.991844854408422,0.00037177953060362737,4.991473074877829,1.734470021645232,6.726314876053652,7.665561695721678,,,,,,
2023-07-02 00:00:00.000 UTC,,,Zora Network,OP Chain,,,145,0.6728408565767424,595.8620689655172,24,0.029983036171409114,4.6114572e+07,2.084352e+06,169,0.7028238927481515,4.8198924e+07,2030.8305499290245,1.08018071893e+11,,,,,,,,,,,,,,,,,,,2.698563e+06,14.590634313525504,14.384823758851248,,169.57142857142858,172.4,0.9389440328810335,0.7707493952246438,21.37918256562019,27.40267354892569,1.35936262155e+11,446463,0.00015332608564708116,2009.4513673634044,1.06577387621e+11,0.010527309905972889,0.013337437400540771,,,,,,,4.991844854408422,0.00037177953060362737,4.991473074877829,1.734470021645232,6.726314876053652,7.665561695721678,,,,,,
2023-07-01 00:00:00.000 UTC,86400,,OP Mainnet,OP Chain,0.0010530415407069193,0.030559865119344564,802,24.517155972399138,107.73067331670823,24,0.03396168978285107,1.420569004e+09,2.084568e+06,826,24.55111766218199,1.422653572e+09,2349.4895607468748,1.07535924039e+11,520968,43200,344,76732,34.47795034577122,30.02001675382972,4.4579335919415035,5.468899091647728,17.097207227292976,2.567022368e+09,1.48092670981e+11,2.5074520462693438e+12,9.926832683589229,0.28791829514328343,0.15900326019825287,4.298930331743261,1.8070381380783669,2.35346542e+08,8.7983908e+07,17.258687119995148,16.291955831064797,9.926832683589229,921.1428571428571,842,32.06654663869027,28.095991883507544,26.44372379155308,34.47795034577122,1.50262361029e+11,520968,0.005356002845441374,2323.0458369553216,1.06001927367e+11,0.01125509312037417,0.014264969457496512,481232.1818181818,41.338537600392115,1.6265815812331818e+11,13.24254571688458,0.47133220182406177,13.24254571688458,4.4579335919415035,0.15900326019825287,4.298930331743261,4.37346649697934,8.83140008892084,9.926832683589229,,,,,,
2023-07-01 00:00:00.000 UTC,86400,,Base,OP Chain,,,1428,1.0621658592768077,60.50420168067227,24,0.03326673539158041,6.2326708e+07,2.084352e+06,1452,1.095432594668388,6.441106e+07,2349.4895607468748,1.07535924039e+11,0,43200,0,0,0,0,0,-1.095432594668388,,,2.169690048e+09,0,-1.095432594668388,-Infinity,0,0,,1.1232e+07,2.034658e+06,17.041905362253498,15.960229074350401,0,1449.5714285714287,1440.764705882353,1.306430320011991,1.217501401544957,26.44372379155308,34.47795034577122,1.50262361029e+11,520968,0.00023897649690591194,2323.0458369553216,1.06001927367e+11,0.01125509312037417,0.014264969457496512,3.411764705882353,0.011043528310763356,2.167677448e+09,-1.2064578732341935,-0.9909293506383239,2.760882077690839e-05,4.4579335919415035,0.15900326019825287,4.298930331743261,4.37346649697934,8.83140008892084,9.926832683589229,,,,,,
2023-07-01 00:00:00.000 UTC,,,Zora Network,OP Chain,,,145,0.762412038221381,595.8620689655172,24,0.03476149648131904,4.4847736e+07,2.084304e+06,169,0.7971735347027,4.693204e+07,2349.4895607468748,1.07535924039e+11,,,,,,,,,,,,,,,,,,,2.619109e+06,17.000011733510494,16.67774781477128,,169.42857142857142,172.57894736842104,0.9302441441782504,0.7743244216707751,26.44372379155308,34.47795034577122,1.50262361029e+11,520968,0.0001739091384322237,2323.0458369553216,1.06001927367e+11,0.01125509312037417,0.014264969457496512,,,,,,,4.4579335919415035,0.15900326019825287,4.298930331743261,4.37346649697934,8.83140008892084,9.926832683589229,,,,,,
2023-06-30 00:00:00.000 UTC,86400,,OP Mainnet,OP Chain,0.11403149596770185,0.19802523445050316,878,46.367703558861656,98.40546697038724,24,0.059241371744336885,1.568739452e+09,2.084592e+06,902,46.42694493060599,1.570824044e+09,3804.654030982946,1.07453390131e+11,518553,43200,356,108087,87.61989866959391,50.68611687575438,36.933781793839536,4.259171945148388,29.235432097821977,2.53468154e+09,1.8873217109e+11,5.465410571610561e+12,41.19295373898792,0.4701324055888552,24.657806599828287,12.275975194011219,1.6157441165698432,2.06861109e+08,9.7168244e+07,29.557300608298622,28.418689002134176,41.19295373898792,918.1428571428571,842.7619047619048,31.573120072417456,28.26479541785638,49.61965973034354,87.62183112616104,1.90903476939e+11,518556,0.010128371855612528,3755.034371252602,1.05771073807e+11,0.013041832273386532,0.015656242413096808,479340,41.66523223156454,1.6335175274914285e+11,13.400436813708168,0.4741034426607736,13.400436813708168,36.935074436367614,24.657806599856364,12.277267836511218,2.3894785161243046,39.324552952491906,41.192958570129335,,,,,,
2023-06-30 00:00:00.000 UTC,86400,,Base,OP Chain,5e-08,2.302037729801824,1432,1.8109741115975908,60.33519553072626,24,0.059359131465544446,6.2507588e+07,2.084352e+06,1456,1.8703332430631352,6.459194e+07,3804.654030982946,1.07453390131e+11,3,43200,0,2,0.0019324565671273168,0.000639814039051267,0.0012926425280760498,-1.8696934290240839,26.591995901421367,34592,2.171305849e+09,1.5151454682195261e+07,-1.868400786496008,-966.8526673660093,2.8076049999999996e-11,0.0012926425,0.0005534048122285569,1.1234007e+07,2.0408e+06,28.972068344687862,28.478458276502465,4.831141417818292e-06,1449,1440.0625,1.2864012957028907,1.2251307019747426,49.61965973034354,87.62183112616104,1.90903476939e+11,518556,0.0004080266450435575,3755.034371252602,1.05771073807e+11,0.013041832273386532,0.015656242413096808,3.625,0.011733748830186066,2.1675516605e+09,-1.2133969531445563,-0.9904224514076146,2.9334372075465165e-05,36.935074436367614,24.657806599856364,12.277267836511218,2.3894785161243046,39.324552952491906,41.192958570129335,,,,,,
2023-06-30 00:00:00.000 UTC,,,Zora Network,OP Chain,,,147,1.266038390101656,587.7551020408164,24,0.056343166572759285,4.4816048e+07,2.084292e+06,171,1.3223815566744155,4.690034e+07,3804.654030982946,1.07453390131e+11,,,,,,,,,,,,,,,,,,,2.614298e+06,28.249666059391398,27.032280780600455,,169.42857142857142,172.77777777777777,0.9138911698769557,0.7730550265023347,49.61965973034354,87.62183112616104,1.90903476939e+11,518556,0.00028848704477586247,3755.034371252602,1.05771073807e+11,0.013041832273386532,0.015656242413096808,,,,,,,36.935074436367614,24.657806599856364,12.277267836511218,2.3894785161243046,39.324552952491906,41.192958570129335,,,,,,
2023-06-29 00:00:00.000 UTC,86400,,OP Mainnet,OP Chain,0.0002402148308020899,0.07155894688270727,887,46.189429870410514,97.40698985343856,24,0.06210741718046031,1.568684716e+09,2.084532e+06,911,46.25153728759098,1.570769248e+09,4241.032508798325,1.07600384522e+11,549664,43200,401,106264,64.39203972905102,52.35844413808854,12.033595590962486,6.106906850497559,28.91222932665127,2.647579752e+09,1.70389252738e+11,4.938083860533721e+12,18.140502441460043,0.28171964295263346,0.04959639931019134,11.983999191652309,1.6877704773914557,2.27792022e+08,9.7149577e+07,29.44468662140679,29.794417730435566,18.140502441460043,923.2857142857143,839.8,29.389782955723604,27.3566879422189,49.6947895848417,64.39564379332188,1.72560001287e+11,549679,0.010090105417072837,4191.337719213483,1.05919276994e+11,0.011717615812127427,0.015623620077828628,477379.35,39.36749890966307,1.620827318321e+11,12.010810967444181,0.4390447773799471,12.010810967444181,12.035718524202776,0.04959639935678139,11.986122124846009,4.05998736769025,16.095705891893026,18.14051145162072,,,,,,
