id,dt,name,alignment,num_l1_txs_inbox,num_l1_txs_output,l1_gas_used_inbox,l1_gas_used_output,l1_gas_used_combined,l2_num_txs_per_day,l1_gas_used_on_l2,,,,,,,,,,,,,,,,
base2023-07-31,2023-07-31 00:00:00.000 UTC,Base,OP Chain,1440,24,1364205880,2084352,"1,366,290,232.00",558877,1883909508,,,,,,,,,,,,,,,,
op mainnet2023-06-26,2023-06-26 00:00:00.000 UTC,OP Mainnet,OP Chain,921,24,1654704852,2084616,"1,656,789,468.00",552678,2753645144,,,,,,,,,,,,,,,,
op mainnet2023-06-29,2023-06-29 00:00:00.000 UTC,OP Mainnet,OP Chain,887,24,1568684716,2084532,"1,570,769,248.00",549840,2624030552,,,,,,,,,,,,,,,,
op mainnet2023-08-02,2023-08-02 00:00:00.000 UTC,OP Mainnet,OP Chain,1056,24,1915746880,2084580,"1,917,831,460.00",547903,3169478840,,,,,,,,,,,,,,,,
base2023-08-15,2023-08-15 00:00:00.000 UTC,Base,OP Chain,1457,24,1292134624,2084304,"1,294,218,928.00",536587,1943020020,,,,,,,,,,,,,,,,
op mainnet2023-06-14,2023-06-14 00:00:00.000 UTC,OP Mainnet,OP Chain,846,24,1506984136,2084604,"1,509,068,740.00",535436,2501030760,,,,,,,,,,,,,,,,
op mainnet2023-07-19,2023-07-19 00:00:00.000 UTC,OP Mainnet,OP Chain,878,24,1563044328,2084604,"1,565,128,932.00",535179,2544702092,,,,,,,,,,,,,,,,
base2023-08-14,2023-08-14 00:00:00.000 UTC,Base,OP Chain,1455,24,1291716048,2084328,"1,293,800,376.00",533653,2017822040,,,,,,,,,,,,,,,,
op mainnet2023-06-23,2023-06-23 00:00:00.000 UTC,OP Mainnet,OP Chain,914,24,1633250508,2084640,"1,635,335,148.00",532001,2627271680,,,,,,,,,,,,,,,,
op mainnet2023-06-21,2023-06-21 00:00:00.000 UTC,OP Mainnet,OP Chain,939,24,1679352108,2084604,"1,681,436,712.00",529806,2755527560,,,,,,,,,,,,,,,,
op mainnet2023-08-10,2023-08-10 00:00:00.000 UTC,OP Mainnet,OP Chain,941,24,1689003724,2084604,"1,691,088,328.00",528529,2658655136,,,,,,,,,,,,,,,,
op mainnet2023-07-17,2023-07-17 00:00:00.000 UTC,OP Mainnet,OP Chain,891,24,1577507464,2084628,"1,579,592,092.00",526886,2691181272,,,,,,,,,,,,,,,,
op mainnet2023-07-22,2023-07-22 00:00:00.000 UTC,OP Mainnet,OP Chain,914,24,1628540984,2084628,"1,630,625,612.00",525717,3028673916,,,,,,,,,,,,,,,,
op mainnet2023-07-15,2023-07-15 00:00:00.000 UTC,OP Mainnet,OP Chain,873,24,1550677332,2084664,"1,552,761,996.00",524618,2589205664,,,,,,,,,,,,,,,,
op mainnet2023-06-22,2023-06-22 00:00:00.000 UTC,OP Mainnet,OP Chain,912,24,1618921900,2084592,"1,621,006,492.00",524242,2628917236,,,,,,,,,,,,,,,,
op mainnet2023-07-01,2023-07-01 00:00:00.000 UTC,OP Mainnet,OP Chain,802,24,1420569004,2084568,"1,422,653,572.00",521155,2550542784,,,,,,,,,,,,,,,,
op mainnet2023-06-30,2023-06-30 00:00:00.000 UTC,OP Mainnet,OP Chain,878,24,1568739452,2084592,"1,570,824,044.00",518758,2515248984,,,,,,,,,,,,,,,,
base2023-08-12,2023-08-12 00:00:00.000 UTC,Base,OP Chain,1446,24,1210656740,2084292,"1,212,741,032.00",514477,1865254236,,,,,,,,,,,,,,,,
op mainnet2023-07-18,2023-07-18 00:00:00.000 UTC,OP Mainnet,OP Chain,842,24,1492983352,2084628,"1,495,067,980.00",510831,2434995796,,,,,,,,,,,,,,,,
op mainnet2023-06-25,2023-06-25 00:00:00.000 UTC,OP Mainnet,OP Chain,878,24,1550488228,2084592,"1,552,572,820.00",510267,2537191808,,,,,,,,,,,,,,,,
op mainnet2023-06-15,2023-06-15 00:00:00.000 UTC,OP Mainnet,OP Chain,795,24,1397646344,2084604,"1,399,730,948.00",501512,2274454284,,,,,,,,,,,,,,,,
op mainnet2023-07-13,2023-07-13 00:00:00.000 UTC,OP Mainnet,OP Chain,901,24,1602081152,2084556,"1,604,165,708.00",495499,2574653792,,,,,,,,,,,,,,,,
op mainnet2023-07-23,2023-07-23 00:00:00.000 UTC,OP Mainnet,OP Chain,896,24,1602836908,2084604,"1,604,921,512.00",490381,2919006584,,,,,,,,,,,,,,,,
op mainnet2023-07-21,2023-07-21 00:00:00.000 UTC,OP Mainnet,OP Chain,811,24,1420852352,2084592,"1,422,936,944.00",485473,2455284944,,,,,,,,,,,,,,,,
op mainnet2023-07-03,2023-07-03 00:00:00.000 UTC,OP Mainnet,OP Chain,803,24,1406199876,2084676,"1,408,284,552.00",475409,2329432120,,,,,,,,,,,,,,,,
op mainnet2023-08-06,2023-08-06 00:00:00.000 UTC,OP Mainnet,OP Chain,873,24,1559508036,2084640,"1,561,592,676.00",475230,2529185372,,,,,,,,,,,,,,,,
base2023-08-03,2023-08-03 00:00:00.000 UTC,Base,OP Chain,1508,24,970553032,2084280,"972,637,312.00",472390,1676659052,,,,,,,,,,,,,,,,
op mainnet2023-06-13,2023-06-13 00:00:00.000 UTC,OP Mainnet,OP Chain,783,24,1381904720,2084616,"1,383,989,336.00",456786,2231929808,,,,,,,,,,,,,,,,
base2023-08-09,2023-08-09 00:00:00.000 UTC,Base,OP Chain,1431,24,1216806292,2084316,"1,218,890,608.00",456751,1881302064,,,,,,,,,,,,,,,,
op mainnet2023-06-24,2023-06-24 00:00:00.000 UTC,OP Mainnet,OP Chain,781,24,1381636176,2084616,"1,383,720,792.00",450463,2216744032,,,,,,,,,,,,,,,,
op mainnet2023-07-16,2023-07-16 00:00:00.000 UTC,OP Mainnet,OP Chain,773,24,1353148364,2084628,"1,355,232,992.00",449981,2269619828,,,,,,,,,,,,,,,,
op mainnet2023-08-11,2023-08-11 00:00:00.000 UTC,OP Mainnet,OP Chain,870,24,1538609660,2084580,"1,540,694,240.00",448508,2376809628,,,,,,,,,,,,,,,,
op mainnet2023-07-02,2023-07-02 00:00:00.000 UTC,OP Mainnet,OP Chain,750,24,1325948056,2084604,"1,328,032,660.00",446758,2219681396,,,,,,,,,,,,,,,,
op mainnet2023-07-08,2023-07-08 00:00:00.000 UTC,OP Mainnet,OP Chain,767,25,1365815840,2171430,"1,367,987,270.00",444018,2310412172,,,,,,,,,,,,,,,,
op mainnet2023-07-12,2023-07-12 00:00:00.000 UTC,OP Mainnet,OP Chain,796,24,1412401020,2084580,"1,414,485,600.00",443384,2315335440,,,,,,,,,,,,,,,,
op mainnet2023-07-09,2023-07-09 00:00:00.000 UTC,OP Mainnet,OP Chain,769,24,1362674244,2084520,"1,364,758,764.00",442755,2352942176,,,,,,,,,,,,,,,,
op mainnet2023-07-11,2023-07-11 00:00:00.000 UTC,OP Mainnet,OP Chain,797,24,1406998264,2084604,"1,409,082,868.00",440966,2325888856,,,,,,,,,,,,,,,,
base2023-08-18,2023-08-18 00:00:00.000 UTC,Base,OP Chain,1446,24,1091948080,2084304,"1,094,032,384.00",438099,1577833028,,,,,,,,,,,,,,,,
op mainnet2023-08-18,2023-08-18 00:00:00.000 UTC,OP Mainnet,OP Chain,794,24,1483410132,2084616,"1,485,494,748.00",432369,2261641160,,,,,,,,,,,,,,,,
