blockchain,chain_type,classification,dt,eth_fees,eth_fees_success,gas_used,gas_used_success,name,num_senders,num_txs,num_txs_success,last_updated
ethereum,L1,Potential Non-Sybil,2024-06-28 00:00:00.000 UTC,700.0105210112143,681.6067506428113,81864410039,79497287268,Ethereum,156279,759160,741637,2024-09-23 01:00:22.401524
avalanche_c,L1,Volume too Low,2024-03-27 00:00:00.000 UTC,322.66777384012465,312.18039045372177,11308795698,10903563162,Avalanche C-Chain,43208,70249,69185,2024-09-23 01:00:22.401524
celo,L1,Likely Sybil,2024-07-18 00:00:00.000 UTC,316.4432667138054,310.8996284468912,47089299444,46850897736,Celo,273643,585825,583515,2024-09-23 01:00:22.401524
zora,L2,Volume too Low,2024-07-16 00:00:00.000 UTC,0.10663415156918953,0.10660167252023746,2742699442,2740129143,ZORA,8384,12782,12746,2024-09-23 01:00:22.401524
base,L2,Potential Non-Sybil,2024-05-05 00:00:00.000 UTC,56.974522277678304,53.42168162422637,265552179214,249744215276,Base,182568,1618456,1452226,2024-09-23 01:00:22.401524
bnb,L1,Volume too Low,2024-06-09 00:00:00.000 UTC,104.0552960765345,102.20974727462738,56193768953,55064019791,BNB,400499,606637,600603,2024-09-23 01:00:22.401524
zksync,L2,Potential Non-Sybil,2024-09-17 00:00:00.000 UTC,1.0623244155912916,1.0365850707662887,23476782665,22907957365,zkSync Era,53560,139481,137203,2024-09-23 01:00:22.401524
bnb,L1,Volume too Low,2024-07-03 00:00:00.000 UTC,75.78128112290574,73.78244205109455,43375135294,42242475940,BNB,286267,448368,442604,2024-09-23 01:00:22.401524
base,L2,Likely Sybil,2024-09-17 00:00:00.000 UTC,6.4144873932067865,4.617185053347347,169667669247,164546526287,Base,103575,920959,874372,2024-09-23 01:00:22.401524
base,L2,Likely Sybil,2024-09-13 00:00:00.000 UTC,5.2855484738283565,4.0559631198358455,160531863903,156283808481,Base,114003,1135419,1080848,2024-09-23 01:00:22.401524
ethereum,L1,Volume too Low,2024-07-24 00:00:00.000 UTC,109.88989204553305,107.99287710099154,20484654061,20112423602,Ethereum,199863,300786,298215,2024-09-23 01:00:22.401524
avalanche_c,L1,Potential Non-Sybil,2024-07-30 00:00:00.000 UTC,589.7012757549636,563.1445517667083,19176136629,18590517840,Avalanche C-Chain,15047,126496,122669,2024-09-23 01:00:22.401524
zkevm,L2,Potential Non-Sybil,2024-04-21 00:00:00.000 UTC,2.6958712936805447,2.5529472837349947,1706111310,1622916462,Polygon zkEVM,3574,14495,13801,2024-09-23 01:00:22.401524
avalanche_c,L1,Likely Sybil,2024-07-02 00:00:00.000 UTC,79.62105473680798,75.84760843836041,2528060802,2447413201,Avalanche C-Chain,4241,19323,18846,2024-09-23 01:00:22.401524
arbitrum,L2,Volume too Low,2024-04-30 00:00:00.000 UTC,2.384647388280939,2.3641169460616034,39769933033,39300278344,Arbitrum One,237108,340422,337545,2024-09-23 01:00:22.401524
linea,L2,Potential Non-Sybil,2024-04-09 00:00:00.000 UTC,9.929005793412879,9.783116492541968,69814629755,68971039975,Linea,137332,444417,440183,2024-09-23 01:00:22.401524
scroll,L2,Potential Non-Sybil,2024-06-28 00:00:00.000 UTC,13.769428995979442,13.190225563774193,45738090648,43949391354,Scroll,81933,306901,298286,2024-09-23 01:00:22.401524
fantom,L1,Potential Non-Sybil,2024-05-24 00:00:00.000 UTC,1448.2052525248791,1346.2127477931938,73873021795,70198054896,Fantom,12201,138696,122775,2024-09-23 01:00:22.401524
celo,L1,Volume too Low,2024-04-09 00:00:00.000 UTC,33.76815543672555,33.66751989304841,3879971554,3868124575,Celo,16648,24781,24643,2024-09-23 01:00:22.401524
optimism,L2,Potential Non-Sybil,2024-05-08 00:00:00.000 UTC,16.672196512951608,16.165014392456797,200526448039,197405805962,OP Mainnet,39745,370434,351242,2024-09-23 01:00:22.401524
scroll,L2,Likely Sybil,2024-06-11 00:00:00.000 UTC,0.12226261981758438,0.1221234278382269,302401641,301878704,Scroll,241,7184,7181,2024-09-23 01:00:22.401524
optimism,L2,Likely Sybil,2024-07-22 00:00:00.000 UTC,1.213944698026787,1.1377244897324477,11974906015,11740177674,OP Mainnet,8128,68099,65501,2024-09-23 01:00:22.401524
bnb,L1,Potential Non-Sybil,2024-05-31 00:00:00.000 UTC,559.277632204885,532.5253216537321,258515671794,247233440803,BNB,475864,2077167,1962584,2024-09-23 01:00:22.401524
polygon,L1,Likely Sybil,2024-08-16 00:00:00.000 UTC,3541.522232443913,3208.9514912586224,67275391854,61590253473,Polygon PoS,280113,684404,592532,2024-09-23 01:00:22.401524
zksync,L2,Volume too Low,2024-07-10 00:00:00.000 UTC,0.2164765314250129,0.21477199237604977,7028054511,6997117520,zkSync Era,19441,35691,35540,2024-09-23 01:00:22.401524
arbitrum,L2,Likely Sybil,2024-08-07 00:00:00.000 UTC,47.388594526538135,33.40879178101516,72615094515,53143524612,Arbitrum One,52929,469975,311214,2024-09-23 01:00:22.401524
base,L2,Likely Sybil,2024-07-15 00:00:00.000 UTC,3.1805701035974265,2.7246243040536995,105947780015,104326280063,Base,26187,548265,532818,2024-09-23 01:00:22.401524
base,L2,Likely Sybil,2024-07-27 00:00:00.000 UTC,5.107177072665843,4.218026759074632,193970961898,184574986077,Base,37167,1207430,1102468,2024-09-23 01:00:22.401524
base,L2,Likely Sybil,2024-09-09 00:00:00.000 UTC,7.0610666391074925,5.741616041366633,170002650324,166539492422,Base,113183,1071159,1035560,2024-09-23 01:00:22.401524
ethereum,L1,Volume too Low,2024-06-20 00:00:00.000 UTC,180.3228281768867,175.49979567533597,17000639830,16586754265,Ethereum,190704,268199,265388,2024-09-23 01:00:22.401524
celo,L1,Volume too Low,2024-04-21 00:00:00.000 UTC,117.43392316206345,117.2363075589266,8965415228,8941567712,Celo,116734,132065,131804,2024-09-23 01:00:22.401524
avalanche_c,L1,Likely Sybil,2024-06-26 00:00:00.000 UTC,67.91115976107689,61.11251011924275,1951766857,1848888161,Avalanche C-Chain,3951,21967,21277,2024-09-23 01:00:22.401524
arbitrum,L2,Likely Sybil,2024-05-09 00:00:00.000 UTC,17.65123004232018,14.08524495216971,27023702160,23586226209,Arbitrum One,26891,176890,155360,2024-09-23 01:00:22.401524
zora,L2,Potential Non-Sybil,2024-04-02 00:00:00.000 UTC,1.6878895096479463,1.6092087716323353,42468672908,42351636587,ZORA,29113,120174,118730,2024-09-23 01:00:22.401524
zora,L2,Likely Sybil,2024-08-10 00:00:00.000 UTC,0.0005053450324992514,0.0005053450324992514,4892637079,4892637079,ZORA,332,6045,6045,2024-09-23 01:00:22.401524
zora,L2,Likely Sybil,2024-06-09 00:00:00.000 UTC,0.0023592831638264747,0.0023592831638264747,5835450154,5835450154,ZORA,126,8893,8893,2024-09-23 01:00:22.401524
scroll,L2,Potential Non-Sybil,2024-04-02 00:00:00.000 UTC,64.92627468829778,62.949848499603355,23815854741,22984523185,Scroll,65862,193466,188904,2024-09-23 01:00:22.401524
zksync,L2,Potential Non-Sybil,2024-05-14 00:00:00.000 UTC,5.400363304925181,5.3387640315501415,216014532197,213550561262,zkSync Era,246556,726503,717329,2024-09-23 01:00:22.401524
fantom,L1,Potential Non-Sybil,2024-06-18 00:00:00.000 UTC,12149.2065892811,10236.130095460509,42617756214,37347616409,Fantom,11499,213687,188227,2024-09-23 01:00:22.401524
fantom,L1,Likely Sybil,2024-07-27 00:00:00.000 UTC,557.4333878887214,539.9628007648661,25915346581,25694456538,Fantom,5752,73902,72554,2024-09-23 01:00:22.401524
zksync,L2,Volume too Low,2024-05-20 00:00:00.000 UTC,0.5323160615006157,0.5313234213256153,13943864002,13904158395,zkSync Era,31917,50278,50111,2024-09-23 01:00:22.401524
optimism,L2,Volume too Low,2024-09-04 00:00:00.000 UTC,0.22962923535973565,0.22113155244015878,6158015463,5957852436,OP Mainnet,37838,50664,50185,2024-09-23 01:00:22.401524
polygon,L1,Potential Non-Sybil,2024-08-06 00:00:00.000 UTC,61255.155019749305,51104.13630940926,464149720955,427066614936,Polygon PoS,243132,2175169,1915062,2024-09-23 01:00:22.401524
linea,L2,Volume too Low,2024-06-25 00:00:00.000 UTC,0.6077035058225125,0.6040656627664646,8580242798,8522072859,Linea,47720,76983,76785,2024-09-23 01:00:22.401524
zora,L2,Likely Sybil,2024-04-10 00:00:00.000 UTC,0.27615048724399655,0.27615048724399655,32937557381,32937557381,ZORA,21,392776,392776,2024-09-23 01:00:22.401524
scroll,L2,Potential Non-Sybil,2024-08-11 00:00:00.000 UTC,3.905353026297405,3.8014888641183484,61250119706,59982784704,Scroll,49699,254605,248605,2024-09-23 01:00:22.401524
celo,L1,Volume too Low,2024-05-17 00:00:00.000 UTC,28.744030205677404,28.623478717337868,3583971692,3568707957,Celo,17063,27594,27440,2024-09-23 01:00:22.401524
base,L2,Likely Sybil,2024-06-11 00:00:00.000 UTC,3.0818642445349704,2.6085383215896885,46828830989,43072856097,Base,28826,357043,314060,2024-09-23 01:00:22.401524
bnb,L1,Potential Non-Sybil,2024-07-22 00:00:00.000 UTC,534.6044870994402,508.3933933399951,250753440239,233837028257,BNB,423579,2009242,1865881,2024-09-23 01:00:22.401524
base,L2,Volume too Low,2024-09-13 00:00:00.000 UTC,1.5241236939661527,1.4876562301643628,144982709975,139971953560,Base,1190767,1562703,1520317,2024-09-23 01:00:22.401524
celo,L1,Volume too Low,2024-05-29 00:00:00.000 UTC,29.004156392808184,28.87515821698999,4511636017,4493919569,Celo,24072,36748,36531,2024-09-23 01:00:22.401524
zksync,L2,Potential Non-Sybil,2024-05-06 00:00:00.000 UTC,6.025252545649998,5.937609683725027,241010101826,237504387349,zkSync Era,274198,827318,815186,2024-09-23 01:00:22.401524
linea,L2,Volume too Low,2024-06-06 00:00:00.000 UTC,1.23265376316977,1.212986061339145,10113498207,9903203289,Linea,76471,114516,113481,2024-09-23 01:00:22.401524
fantom,L1,Volume too Low,2024-07-29 00:00:00.000 UTC,56.11823554376452,50.94494071738099,2455709983,2341412149,Fantom,9775,22896,22411,2024-09-23 01:00:22.401524
zksync,L2,Volume too Low,2024-04-22 00:00:00.000 UTC,0.8584822389822234,0.8560202349822233,19791139264,19692659104,zkSync Era,29547,58855,58499,2024-09-23 01:00:22.401524
celo,L1,Likely Sybil,2024-09-12 00:00:00.000 UTC,236.69733790725678,223.2299602104808,28510191998,28228146908,Celo,472667,628200,626213,2024-09-23 01:00:22.401524
zksync,L2,Potential Non-Sybil,2024-07-23 00:00:00.000 UTC,1.7564988654009237,1.6687679309154217,38817654484,36878849302,zkSync Era,89330,218935,210459,2024-09-23 01:00:22.401524
linea,L2,Likely Sybil,2024-07-30 00:00:00.000 UTC,0.23717263331155825,0.23614301607413882,2873596420,2857847475,Linea,34744,76933,76841,2024-09-23 01:00:22.401524
scroll,L2,Volume too Low,2024-09-15 00:00:00.000 UTC,0.22128868652028813,0.21872004149053018,3846504305,3795799762,Scroll,16296,21763,21446,2024-09-23 01:00:22.401524
linea,L2,Likely Sybil,2024-09-19 00:00:00.000 UTC,0.32120496508369534,0.29499817448249194,3190233661,2880239676,Linea,16248,35147,30765,2024-09-23 01:00:22.401524
ethereum,L1,Potential Non-Sybil,2024-04-15 00:00:00.000 UTC,1665.9798116285508,1632.2785055037325,82013824647,80341195290,Ethereum,170189,787520,774258,2024-09-23 01:00:22.401524
bnb,L1,Volume too Low,2024-04-21 00:00:00.000 UTC,123.65228570934246,118.9667143701028,59405908179,57091749091,BNB,416197,597533,583470,2024-09-23 01:00:22.401524
avalanche_c,L1,Likely Sybil,2024-07-03 00:00:00.000 UTC,107.5876644771303,95.55572748806117,3021622656,2869176481,Avalanche C-Chain,4273,23361,22462,2024-09-23 01:00:22.401524
ethereum,L1,Likely Sybil,2024-04-12 00:00:00.000 UTC,121.57572640997492,120.65474879048958,3291648059,3265853227,Ethereum,20051,71260,70869,2024-09-23 01:00:22.401524
zkevm,L2,Potential Non-Sybil,2024-05-01 00:00:00.000 UTC,1.2691799056958313,1.2037755044781735,2249288604,2120037522,Polygon zkEVM,3511,14765,14261,2024-09-23 01:00:22.401524
celo,L1,Volume too Low,2024-05-03 00:00:00.000 UTC,82.65216387455229,82.53146849688731,12296689107,12281434336,Celo,214170,228769,228572,2024-09-23 01:00:22.401524
ethereum,L1,Likely Sybil,2024-08-21 00:00:00.000 UTC,16.089315224869924,14.690320539023864,3591504536,3482804341,Ethereum,22344,78852,77197,2024-09-23 01:00:22.401524
avalanche_c,L1,Potential Non-Sybil,2024-09-16 00:00:00.000 UTC,762.0841946143969,676.7682114506912,24359608514,22482504284,Avalanche C-Chain,14304,115283,107730,2024-09-23 01:00:22.401524
zksync,L2,Potential Non-Sybil,2024-04-09 00:00:00.000 UTC,11.806027470149777,11.71311842319978,472241098806,468524736928,zkSync Era,297534,981831,970464,2024-09-23 01:00:22.401524
zora,L2,Volume too Low,2024-06-09 00:00:00.000 UTC,0.030469848462672318,0.030419195702598167,1699092114,1693913226,ZORA,5582,9267,9212,2024-09-23 01:00:22.401524
zora,L2,Potential Non-Sybil,2024-07-02 00:00:00.000 UTC,0.16906419624072172,0.16635288569549453,22635356468,22582183087,ZORA,33338,132734,132309,2024-09-23 01:00:22.401524
celo,L1,Likely Sybil,2024-07-25 00:00:00.000 UTC,189.96765538834464,169.6138951646247,23604820652,23069467991,Celo,357701,501262,496369,2024-09-23 01:00:22.401524
zora,L2,Likely Sybil,2024-09-09 00:00:00.000 UTC,0.0051108063492555636,0.0051108063492555636,7138382886,7138382886,ZORA,421,18358,18358,2024-09-23 01:00:22.401524
celo,L1,Likely Sybil,2024-08-04 00:00:00.000 UTC,244.26082462074183,212.03363735926507,28861551626,27864159618,Celo,399455,643327,637519,2024-09-23 01:00:22.401524
zkevm,L2,Likely Sybil,2024-06-02 00:00:00.000 UTC,0.0036639603075499993,0.003650396613549999,28263103,28128809,Polygon zkEVM,24,568,567,2024-09-23 01:00:22.401524
