origin_key,dt,daa,fdv_eth,fdv_usd,fees_paid_eth,fees_paid_usd,gas_per_second,market_cap_eth,market_cap_usd,profit_eth,profit_usd,rent_paid_eth,rent_paid_usd,stables_mcap,stables_mcap_eth,total_blob_size_mb,total_blobs_eth,total_blobs_usd,tvl,tvl_eth,txcosts_median_eth,txcosts_median_usd,txcount,chain_name,evm_chain_id
optimism,2023-04-21,43792.0,5388869.070258106,10472919985.138542,87.99038547474323,171003.6474303031,2.41939,394622.4664596654,766028065.1688433,20.960785762668394,40735.93721725791,67.02959971207484,130267.7102130452,658590701.57,338879.6120553203,,,,2488389296.95,1280407.3874453246,0.0002065556360824,0.4014275761698474,336891.0,OP Mainnet,10.0
optimism,2023-04-22,45187.0,5288948.017866521,9785345791.795015,73.47361070794184,135937.18163238122,1.258456,388087.0465375085,717200793.1276528,17.729663598104324,32802.53246838204,55.74394710983752,103134.64916399917,660005667.7,356730.9466865808,,,,2367110508.83,1279415.6384585842,0.0001830880743463,0.3387403528604002,318878.0,OP Mainnet,10.0
optimism,2023-04-23,48179.0,5280960.344371407,9915221298.409336,85.41217510088991,160364.88867151595,1.41835,387070.4559262376,726869955.0946229,20.901670736743213,39243.750633761636,64.5105043641467,121121.13803775432,662879367.64,353057.13793502824,,,,2401139358.92,1278874.3038746056,0.0002179706593121,0.40924892116320377,317602.0,OP Mainnet,10.0
optimism,2023-04-24,46283.0,5074954.433368656,9457883726.979437,82.44882480980111,153654.8571451086,1.524615,371397.79808594164,691482526.8829533,18.208165523779257,33933.44997803059,64.24065928602185,119721.40716707801,664526811.15,356574.83044730604,,,,2355093997.92,1263707.0903768789,0.0002187713777614,0.40771090279227956,290407.0,OP Mainnet,10.0
optimism,2023-04-25,53816.0,5177534.153928479,9540283859.111544,74.34427430875284,136989.04905668215,1.486867,379700.37494627066,699540501.8975573,16.455339546712118,30321.115343021276,57.888934762040726,106667.9337136609,655851312.38,355932.02675024973,,,,2349732728.68,1275205.3958777306,0.0001945940345242,0.3585649599707623,298086.0,OP Mainnet,10.0
optimism,2023-04-26,52759.0,5159501.140223724,9651183401.566105,92.25101572917757,172561.54182077496,2.264514,378395.2893724713,708174271.5476664,22.87395533348122,42787.22536207946,69.37706039569635,129774.31645869548,656705697.46,351073.4024893225,,,,2372922119.85,1268558.8775612195,0.0002067043968632,0.3866540562389225,321785.0,OP Mainnet,10.0
optimism,2023-04-27,52454.0,4982618.403524607,9305484941.033316,75.38209363144098,140782.79336317093,1.750156,365125.7920515661,681749361.2811478,16.749015452543084,31280.28246363865,58.6330781788979,109502.5108995323,658231005.73,352449.5438661811,,,,2331932479.37,1248632.3669441666,0.0002077972811128,0.3880799839728841,285639.0,OP Mainnet,10.0
optimism,2023-04-28,54354.0,4907210.8494311515,9375014233.78302,65.55986987269705,125249.29783539774,1.186243,359100.61447330663,685790628.7293781,12.95117922287102,24742.668143710504,52.60869064982603,100506.62969168724,640692985.84,335361.1517664661,,,,2365343707.69,1238103.7527583896,0.0002061950514926,0.39392673394150823,249819.0,OP Mainnet,10.0
optimism,2023-04-29,55365.0,4858658.996695821,9204380053.677416,61.39173242461085,116302.22202753321,0.955303,355694.4140733691,673691237.3461789,12.581392386988952,23834.543073107947,48.8103400376219,92467.67895442527,626153893.38,330523.97115777276,,,,2326363488.36,1228003.0622800188,0.0001961692210547,0.37162848157264033,243450.0,OP Mainnet,10.0
optimism,2023-04-30,54889.0,4913739.098004151,9362018620.319859,72.24985802172141,137655.76531923766,1.157156,360150.194047213,686328722.0119113,14.508977123089217,27643.574735852075,57.74088089863219,110012.19058338559,626776546.93,328969.26926393475,,,,2342662386.61,1229567.2791682598,0.0002465244140381,0.4696965200137667,238955.0,OP Mainnet,10.0
