blockchain,chain_id,dt,layer,name,num_qualified_txs,num_raw_txs,num_success_txs,last_updated
zksync,324,2024-06-20 00:00:00.000 UTC,L2,zkSync Era,681451,681451,663441,2024-07-01 00:19:07.295055
zksync,324,2024-05-24 00:00:00.000 UTC,L2,zkSync Era,683403,683403,669626,2024-07-01 00:19:07.295055
ethereum,1,2024-07-01 00:00:00.000 UTC,L1,Ethereum,6562,10476,10319,2024-07-01 00:19:07.295055
mantle,5000,2024-04-14 00:00:00.000 UTC,L2,Mantle,209794,266409,235750,2024-07-01 00:19:07.295055
zksync,324,2024-05-30 00:00:00.000 UTC,L2,zkSync Era,636778,636778,626106,2024-07-01 00:19:07.295055
ethereum,1,2024-04-21 00:00:00.000 UTC,L1,Ethereum,735315,1133005,1115805,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-05-20 00:00:00.000 UTC,L1,Avalanche C-Chain,131986,172257,162206,2024-07-01 00:19:07.295055
polygon,137,2024-06-02 00:00:00.000 UTC,L1,Polygon PoS,3953230,3952144,3777694,2024-07-01 00:19:07.295055
linea,59144,2024-05-12 00:00:00.000 UTC,L2,Linea,282119,317395,313444,2024-07-01 00:19:07.295055
zkevm,1101,2024-04-27 00:00:00.000 UTC,L2,Polygon zkEVM,18720,22453,21750,2024-07-01 00:19:07.295055
bnb,56,2024-06-30 00:00:00.000 UTC,L1,BNB,2405981,2604911,2479448,2024-07-01 00:19:07.295055
arbitrum,42161,2024-06-14 00:00:00.000 UTC,L2,Arbitrum One,1490005,1974432,1861922,2024-07-01 00:19:07.295055
arbitrum,42161,2024-06-09 00:00:00.000 UTC,L2,Arbitrum One,1534309,2029921,1965374,2024-07-01 00:19:07.295055
ethereum,1,2024-06-18 00:00:00.000 UTC,L1,Ethereum,751213,1146545,1123230,2024-07-01 00:19:07.295055
gnosis,100,2024-04-27 00:00:00.000 UTC,L1,Gnosis,167579,198649,195124,2024-07-01 00:19:07.295055
zora,7777777,2024-04-07 00:00:00.000 UTC,L2,ZORA,154769,1024278,1021725,2024-07-01 00:19:07.295055
scroll,534352,2024-04-14 00:00:00.000 UTC,L2,Scroll,314744,361698,344716,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-04-28 00:00:00.000 UTC,L1,Avalanche C-Chain,173201,218189,206483,2024-07-01 00:19:07.295055
blast,81457,2024-05-12 00:00:00.000 UTC,L2,Blast,430268,520558,510635,2024-07-01 00:19:07.295055
fantom,250,2024-05-10 00:00:00.000 UTC,L1,Fantom,91331,195563,175777,2024-07-01 00:19:07.295055
linea,59144,2024-05-27 00:00:00.000 UTC,L2,Linea,790739,879535,865874,2024-07-01 00:19:07.295055
polygon,137,2024-05-03 00:00:00.000 UTC,L1,Polygon PoS,3846697,3844577,3622716,2024-07-01 00:19:07.295055
celo,42220,2024-05-06 00:00:00.000 UTC,L1,Celo,527559,605687,576223,2024-07-01 00:19:07.295055
gnosis,100,2024-05-23 00:00:00.000 UTC,L1,Gnosis,157493,203036,187650,2024-07-01 00:19:07.295055
fantom,250,2024-04-06 00:00:00.000 UTC,L1,Fantom,88321,163009,153374,2024-07-01 00:19:07.295055
scroll,534352,2024-06-25 00:00:00.000 UTC,L2,Scroll,297529,356119,347443,2024-07-01 00:19:07.295055
ethereum,1,2024-06-13 00:00:00.000 UTC,L1,Ethereum,792393,1229793,1193072,2024-07-01 00:19:07.295055
mantle,5000,2024-05-22 00:00:00.000 UTC,L2,Mantle,241100,279115,252968,2024-07-01 00:19:07.295055
mantle,5000,2024-05-17 00:00:00.000 UTC,L2,Mantle,231029,252245,241703,2024-07-01 00:19:07.295055
base,8453,2024-04-14 00:00:00.000 UTC,L2,Base,1774906,2566201,2091340,2024-07-01 00:19:07.295055
blast,81457,2024-06-08 00:00:00.000 UTC,L2,Blast,647138,790189,771113,2024-07-01 00:19:07.295055
base,8453,2024-05-29 00:00:00.000 UTC,L2,Base,1540917,2161878,1951405,2024-07-01 00:19:07.295055
scroll,534352,2024-06-06 00:00:00.000 UTC,L2,Scroll,233212,280179,265995,2024-07-01 00:19:07.295055
celo,42220,2024-05-20 00:00:00.000 UTC,L1,Celo,544982,606932,587962,2024-07-01 00:19:07.295055
zkevm,1101,2024-06-05 00:00:00.000 UTC,L2,Polygon zkEVM,12320,17146,16935,2024-07-01 00:19:07.295055
scroll,534352,2024-05-24 00:00:00.000 UTC,L2,Scroll,251019,289296,275404,2024-07-01 00:19:07.295055
linea,59144,2024-04-09 00:00:00.000 UTC,L2,Linea,428739,545391,540663,2024-07-01 00:19:07.295055
gnosis,100,2024-06-28 00:00:00.000 UTC,L1,Gnosis,56467,105040,99430,2024-07-01 00:19:07.295055
mantle,5000,2024-04-04 00:00:00.000 UTC,L2,Mantle,230160,271859,248539,2024-07-01 00:19:07.295055
base,8453,2024-05-24 00:00:00.000 UTC,L2,Base,1442923,1993757,1798502,2024-07-01 00:19:07.295055
base,8453,2024-06-20 00:00:00.000 UTC,L2,Base,2288861,3342560,3051493,2024-07-01 00:19:07.295055
base,8453,2024-06-25 00:00:00.000 UTC,L2,Base,2475410,3422863,3231424,2024-07-01 00:19:07.295055
polygon,137,2024-06-03 00:00:00.000 UTC,L1,Polygon PoS,4014582,4012977,3751146,2024-07-01 00:19:07.295055
polygon,137,2024-05-02 00:00:00.000 UTC,L1,Polygon PoS,4000538,3997028,3770711,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-06-24 00:00:00.000 UTC,L1,Avalanche C-Chain,152761,213281,201324,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-06-02 00:00:00.000 UTC,L1,Avalanche C-Chain,104965,133765,128929,2024-07-01 00:19:07.295055
zkevm,1101,2024-04-09 00:00:00.000 UTC,L2,Polygon zkEVM,6149,9275,9027,2024-07-01 00:19:07.295055
optimism,10,2024-05-23 00:00:00.000 UTC,L2,OP Mainnet,481143,646020,570460,2024-07-01 00:19:07.295055
arbitrum,42161,2024-05-27 00:00:00.000 UTC,L2,Arbitrum One,1596405,1986608,1839214,2024-07-01 00:19:07.295055
blast,81457,2024-05-07 00:00:00.000 UTC,L2,Blast,547656,672532,656725,2024-07-01 00:19:07.295055
zora,7777777,2024-06-26 00:00:00.000 UTC,L2,ZORA,120701,145213,144513,2024-07-01 00:19:07.295055
linea,59144,2024-06-23 00:00:00.000 UTC,L2,Linea,378228,456525,452817,2024-07-01 00:19:07.295055
blast,81457,2024-05-17 00:00:00.000 UTC,L2,Blast,530485,642404,628565,2024-07-01 00:19:07.295055
linea,59144,2024-04-04 00:00:00.000 UTC,L2,Linea,3024333,3331888,3239475,2024-07-01 00:19:07.295055
bnb,56,2024-04-12 00:00:00.000 UTC,L1,BNB,3380357,4249719,4002381,2024-07-01 00:19:07.295055
ethereum,1,2024-05-09 00:00:00.000 UTC,L1,Ethereum,715918,1125617,1108911,2024-07-01 00:19:07.295055
mantle,5000,2024-04-25 00:00:00.000 UTC,L2,Mantle,294756,409398,388757,2024-07-01 00:19:07.295055
celo,42220,2024-04-05 00:00:00.000 UTC,L1,Celo,232141,269584,260847,2024-07-01 00:19:07.295055
zora,7777777,2024-04-15 00:00:00.000 UTC,L2,ZORA,119389,625740,624988,2024-07-01 00:19:07.295055
blast,81457,2024-05-06 00:00:00.000 UTC,L2,Blast,618510,733142,710941,2024-07-01 00:19:07.295055
fantom,250,2024-05-04 00:00:00.000 UTC,L1,Fantom,84597,172125,155488,2024-07-01 00:19:07.295055
bnb,56,2024-05-06 00:00:00.000 UTC,L1,BNB,2598607,3060089,2950369,2024-07-01 00:19:07.295055
bnb,56,2024-06-09 00:00:00.000 UTC,L1,BNB,2793200,2857030,2735239,2024-07-01 00:19:07.295055
base,8453,2024-06-19 00:00:00.000 UTC,L2,Base,2085805,3153138,2898642,2024-07-01 00:19:07.295055
blast,81457,2024-04-17 00:00:00.000 UTC,L2,Blast,392807,426390,414867,2024-07-01 00:19:07.295055
blast,81457,2024-06-19 00:00:00.000 UTC,L2,Blast,903105,1008271,977247,2024-07-01 00:19:07.295055
arbitrum,42161,2024-04-16 00:00:00.000 UTC,L2,Arbitrum One,1415045,1859439,1659547,2024-07-01 00:19:07.295055
celo,42220,2024-06-04 00:00:00.000 UTC,L1,Celo,554115,599916,591994,2024-07-01 00:19:07.295055
mantle,5000,2024-06-21 00:00:00.000 UTC,L2,Mantle,482604,521035,511037,2024-07-01 00:19:07.295055
mantle,5000,2024-04-10 00:00:00.000 UTC,L2,Mantle,207261,235868,220813,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-06-12 00:00:00.000 UTC,L1,Avalanche C-Chain,128085,168518,158924,2024-07-01 00:19:07.295055
mantle,5000,2024-04-23 00:00:00.000 UTC,L2,Mantle,205993,243565,229037,2024-07-01 00:19:07.295055
celo,42220,2024-05-03 00:00:00.000 UTC,L1,Celo,535788,592751,575006,2024-07-01 00:19:07.295055
zora,7777777,2024-04-04 00:00:00.000 UTC,L2,ZORA,132944,412862,410331,2024-07-01 00:19:07.295055
scroll,534352,2024-05-27 00:00:00.000 UTC,L2,Scroll,247638,288253,275424,2024-07-01 00:19:07.295055
bnb,56,2024-04-26 00:00:00.000 UTC,L1,BNB,2884350,3508254,3386494,2024-07-01 00:19:07.295055
linea,59144,2024-04-14 00:00:00.000 UTC,L2,Linea,414110,501517,492265,2024-07-01 00:19:07.295055
zksync,324,2024-05-28 00:00:00.000 UTC,L2,zkSync Era,628470,628470,617239,2024-07-01 00:19:07.295055
scroll,534352,2024-06-21 00:00:00.000 UTC,L2,Scroll,311675,373316,365669,2024-07-01 00:19:07.295055
linea,59144,2024-06-04 00:00:00.000 UTC,L2,Linea,973324,1101663,1076769,2024-07-01 00:19:07.295055
zkevm,1101,2024-05-12 00:00:00.000 UTC,L2,Polygon zkEVM,15379,18904,18377,2024-07-01 00:19:07.295055
fantom,250,2024-06-19 00:00:00.000 UTC,L1,Fantom,91324,279895,253324,2024-07-01 00:19:07.295055
linea,59144,2024-04-02 00:00:00.000 UTC,L2,Linea,4035940,4396167,4285133,2024-07-01 00:19:07.295055
arbitrum,42161,2024-05-30 00:00:00.000 UTC,L2,Arbitrum One,1427840,1845064,1727276,2024-07-01 00:19:07.295055
fantom,250,2024-04-09 00:00:00.000 UTC,L1,Fantom,153153,317974,268564,2024-07-01 00:19:07.295055
scroll,534352,2024-04-06 00:00:00.000 UTC,L2,Scroll,296078,347272,333501,2024-07-01 00:19:07.295055
bnb,56,2024-05-21 00:00:00.000 UTC,L1,BNB,2906946,3325732,3095807,2024-07-01 00:19:07.295055
base,8453,2024-05-04 00:00:00.000 UTC,L2,Base,1745468,2396693,2116339,2024-07-01 00:19:07.295055
fantom,250,2024-06-08 00:00:00.000 UTC,L1,Fantom,85835,173816,155812,2024-07-01 00:19:07.295055
linea,59144,2024-04-21 00:00:00.000 UTC,L2,Linea,312281,367735,359682,2024-07-01 00:19:07.295055
optimism,10,2024-04-21 00:00:00.000 UTC,L2,OP Mainnet,446039,581890,547578,2024-07-01 00:19:07.295055
blast,81457,2024-04-15 00:00:00.000 UTC,L2,Blast,372633,398493,391982,2024-07-01 00:19:07.295055
mantle,5000,2024-05-16 00:00:00.000 UTC,L2,Mantle,230165,248683,241561,2024-07-01 00:19:07.295055
ethereum,1,2024-06-10 00:00:00.000 UTC,L1,Ethereum,742900,1179206,1125989,2024-07-01 00:19:07.295055
zkevm,1101,2024-04-06 00:00:00.000 UTC,L2,Polygon zkEVM,9589,12878,12540,2024-07-01 00:19:07.295055
polygon,137,2024-05-22 00:00:00.000 UTC,L1,Polygon PoS,4146473,4144724,3870691,2024-07-01 00:19:07.295055
base,8453,2024-06-08 00:00:00.000 UTC,L2,Base,1735759,2437950,2256037,2024-07-01 00:19:07.295055
celo,42220,2024-05-12 00:00:00.000 UTC,L1,Celo,524939,603772,573991,2024-07-01 00:19:07.295055
arbitrum,42161,2024-05-15 00:00:00.000 UTC,L2,Arbitrum One,1628840,2126599,1991426,2024-07-01 00:19:07.295055
polygon,137,2024-05-19 00:00:00.000 UTC,L1,Polygon PoS,3461739,3460615,3272711,2024-07-01 00:19:07.295055
fantom,250,2024-06-04 00:00:00.000 UTC,L1,Fantom,96529,178523,157562,2024-07-01 00:19:07.295055
arbitrum,42161,2024-05-02 00:00:00.000 UTC,L2,Arbitrum One,1120547,1483642,1388533,2024-07-01 00:19:07.295055
scroll,534352,2024-06-19 00:00:00.000 UTC,L2,Scroll,247226,312986,305473,2024-07-01 00:19:07.295055
scroll,534352,2024-04-04 00:00:00.000 UTC,L2,Scroll,210087,244600,238428,2024-07-01 00:19:07.295055
bnb,56,2024-04-03 00:00:00.000 UTC,L1,BNB,3212703,4078460,3866214,2024-07-01 00:19:07.295055
optimism,10,2024-04-02 00:00:00.000 UTC,L2,OP Mainnet,454017,625991,589214,2024-07-01 00:19:07.295055
gnosis,100,2024-04-17 00:00:00.000 UTC,L1,Gnosis,161579,193015,190983,2024-07-01 00:19:07.295055
bnb,56,2024-04-15 00:00:00.000 UTC,L1,BNB,3067786,3787963,3593033,2024-07-01 00:19:07.295055
arbitrum,42161,2024-05-21 00:00:00.000 UTC,L2,Arbitrum One,1869336,2310105,2123274,2024-07-01 00:19:07.295055
celo,42220,2024-06-27 00:00:00.000 UTC,L1,Celo,688302,753434,736333,2024-07-01 00:19:07.295055
optimism,10,2024-05-11 00:00:00.000 UTC,L2,OP Mainnet,315043,417092,402237,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-06-21 00:00:00.000 UTC,L1,Avalanche C-Chain,162932,225135,217387,2024-07-01 00:19:07.295055
optimism,10,2024-04-17 00:00:00.000 UTC,L2,OP Mainnet,472143,607560,563444,2024-07-01 00:19:07.295055
celo,42220,2024-04-28 00:00:00.000 UTC,L1,Celo,516809,573449,554715,2024-07-01 00:19:07.295055
zora,7777777,2024-04-13 00:00:00.000 UTC,L2,ZORA,110428,605479,604245,2024-07-01 00:19:07.295055
base,8453,2024-05-07 00:00:00.000 UTC,L2,Base,1736168,2580835,2113240,2024-07-01 00:19:07.295055
blast,81457,2024-05-15 00:00:00.000 UTC,L2,Blast,536509,635359,619408,2024-07-01 00:19:07.295055
zksync,324,2024-06-10 00:00:00.000 UTC,L2,zkSync Era,490195,490194,481458,2024-07-01 00:19:07.295055
fantom,250,2024-05-16 00:00:00.000 UTC,L1,Fantom,90841,190830,171811,2024-07-01 00:19:07.295055
ethereum,1,2024-04-27 00:00:00.000 UTC,L1,Ethereum,689184,1103085,1085329,2024-07-01 00:19:07.295055
zksync,324,2024-04-10 00:00:00.000 UTC,L2,zkSync Era,1097629,1097628,1082911,2024-07-01 00:19:07.295055
zora,7777777,2024-06-07 00:00:00.000 UTC,L2,ZORA,91545,107546,106992,2024-07-01 00:19:07.295055
bnb,56,2024-06-03 00:00:00.000 UTC,L1,BNB,2722433,3097403,2931956,2024-07-01 00:19:07.295055
blast,81457,2024-04-05 00:00:00.000 UTC,L2,Blast,451114,483566,474328,2024-07-01 00:19:07.295055
mantle,5000,2024-05-28 00:00:00.000 UTC,L2,Mantle,245596,272617,258008,2024-07-01 00:19:07.295055
bnb,56,2024-06-18 00:00:00.000 UTC,L1,BNB,2962477,3446132,3139199,2024-07-01 00:19:07.295055
ethereum,1,2024-05-16 00:00:00.000 UTC,L1,Ethereum,748341,1217533,1201568,2024-07-01 00:19:07.295055
gnosis,100,2024-05-11 00:00:00.000 UTC,L1,Gnosis,120956,140265,137238,2024-07-01 00:19:07.295055
fantom,250,2024-05-22 00:00:00.000 UTC,L1,Fantom,98311,199502,180615,2024-07-01 00:19:07.295055
scroll,534352,2024-07-01 00:00:00.000 UTC,L2,Scroll,1866,2293,2230,2024-07-01 00:19:07.295055
linea,59144,2024-06-27 00:00:00.000 UTC,L2,Linea,397542,499193,495245,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-05-16 00:00:00.000 UTC,L1,Avalanche C-Chain,151297,192579,185326,2024-07-01 00:19:07.295055
arbitrum,42161,2024-05-19 00:00:00.000 UTC,L2,Arbitrum One,3108121,3416922,3336004,2024-07-01 00:19:07.295055
zora,7777777,2024-05-15 00:00:00.000 UTC,L2,ZORA,82781,102287,101386,2024-07-01 00:19:07.295055
polygon,137,2024-06-11 00:00:00.000 UTC,L1,Polygon PoS,4245403,4242494,3921835,2024-07-01 00:19:07.295055
zora,7777777,2024-05-18 00:00:00.000 UTC,L2,ZORA,68528,84255,83527,2024-07-01 00:19:07.295055
linea,59144,2024-05-11 00:00:00.000 UTC,L2,Linea,256385,294159,290067,2024-07-01 00:19:07.295055
optimism,10,2024-05-20 00:00:00.000 UTC,L2,OP Mainnet,390087,513016,470662,2024-07-01 00:19:07.295055
fantom,250,2024-05-07 00:00:00.000 UTC,L1,Fantom,94054,184216,164979,2024-07-01 00:19:07.295055
base,8453,2024-05-03 00:00:00.000 UTC,L2,Base,1893590,2671624,2272014,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-06-27 00:00:00.000 UTC,L1,Avalanche C-Chain,128179,179320,171678,2024-07-01 00:19:07.295055
base,8453,2024-04-04 00:00:00.000 UTC,L2,Base,1673557,2911892,2038499,2024-07-01 00:19:07.295055
ethereum,1,2024-06-20 00:00:00.000 UTC,L1,Ethereum,740121,1149152,1125225,2024-07-01 00:19:07.295055
gnosis,100,2024-06-16 00:00:00.000 UTC,L1,Gnosis,49253,67681,65058,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-04-13 00:00:00.000 UTC,L1,Avalanche C-Chain,256029,348320,305735,2024-07-01 00:19:07.295055
arbitrum,42161,2024-06-16 00:00:00.000 UTC,L2,Arbitrum One,1298548,1781636,1700468,2024-07-01 00:19:07.295055
mantle,5000,2024-06-11 00:00:00.000 UTC,L2,Mantle,533272,631012,615485,2024-07-01 00:19:07.295055
ethereum,1,2024-06-05 00:00:00.000 UTC,L1,Ethereum,761383,1177526,1146870,2024-07-01 00:19:07.295055
blast,81457,2024-06-30 00:00:00.000 UTC,L2,Blast,435734,525574,517090,2024-07-01 00:19:07.295055
polygon,137,2024-04-19 00:00:00.000 UTC,L1,Polygon PoS,4311398,4308800,4056308,2024-07-01 00:19:07.295055
blast,81457,2024-05-29 00:00:00.000 UTC,L2,Blast,485701,615251,600786,2024-07-01 00:19:07.295055
zksync,324,2024-06-25 00:00:00.000 UTC,L2,zkSync Era,506777,506775,495518,2024-07-01 00:19:07.295055
scroll,534352,2024-05-04 00:00:00.000 UTC,L2,Scroll,359882,397504,379830,2024-07-01 00:19:07.295055
zkevm,1101,2024-04-21 00:00:00.000 UTC,L2,Polygon zkEVM,14563,18665,17899,2024-07-01 00:19:07.295055
celo,42220,2024-05-18 00:00:00.000 UTC,L1,Celo,546781,618177,591988,2024-07-01 00:19:07.295055
zkevm,1101,2024-06-17 00:00:00.000 UTC,L2,Polygon zkEVM,13188,18989,18173,2024-07-01 00:19:07.295055
ethereum,1,2024-05-15 00:00:00.000 UTC,L1,Ethereum,742320,1196043,1177591,2024-07-01 00:19:07.295055
scroll,534352,2024-05-30 00:00:00.000 UTC,L2,Scroll,276900,322833,309009,2024-07-01 00:19:07.295055
optimism,10,2024-06-26 00:00:00.000 UTC,L2,OP Mainnet,340049,428707,411987,2024-07-01 00:19:07.295055
mantle,5000,2024-05-23 00:00:00.000 UTC,L2,Mantle,266356,326316,286317,2024-07-01 00:19:07.295055
linea,59144,2024-06-03 00:00:00.000 UTC,L2,Linea,982395,1100040,1076693,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-06-17 00:00:00.000 UTC,L1,Avalanche C-Chain,117318,153894,144801,2024-07-01 00:19:07.295055
mantle,5000,2024-04-19 00:00:00.000 UTC,L2,Mantle,219515,266164,242125,2024-07-01 00:19:07.295055
linea,59144,2024-04-03 00:00:00.000 UTC,L2,Linea,4113118,4485984,4372999,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-06-14 00:00:00.000 UTC,L1,Avalanche C-Chain,124990,158747,151047,2024-07-01 00:19:07.295055
linea,59144,2024-05-21 00:00:00.000 UTC,L2,Linea,401901,474152,461015,2024-07-01 00:19:07.295055
optimism,10,2024-06-07 00:00:00.000 UTC,L2,OP Mainnet,392438,498141,476335,2024-07-01 00:19:07.295055
mantle,5000,2024-05-29 00:00:00.000 UTC,L2,Mantle,237990,263987,249677,2024-07-01 00:19:07.295055
bnb,56,2024-05-11 00:00:00.000 UTC,L1,BNB,2281887,2700563,2617002,2024-07-01 00:19:07.295055
zksync,324,2024-05-31 00:00:00.000 UTC,L2,zkSync Era,609800,609798,598637,2024-07-01 00:19:07.295055
zksync,324,2024-05-18 00:00:00.000 UTC,L2,zkSync Era,713038,713036,705424,2024-07-01 00:19:07.295055
ethereum,1,2024-06-19 00:00:00.000 UTC,L1,Ethereum,713025,1126595,1097270,2024-07-01 00:19:07.295055
arbitrum,42161,2024-04-02 00:00:00.000 UTC,L2,Arbitrum One,1116230,1578122,1428549,2024-07-01 00:19:07.295055
base,8453,2024-06-05 00:00:00.000 UTC,L2,Base,1984706,2902546,2601071,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-05-26 00:00:00.000 UTC,L1,Avalanche C-Chain,99504,131026,127374,2024-07-01 00:19:07.295055
zkevm,1101,2024-05-15 00:00:00.000 UTC,L2,Polygon zkEVM,13770,17046,16473,2024-07-01 00:19:07.295055
zkevm,1101,2024-04-16 00:00:00.000 UTC,L2,Polygon zkEVM,8548,11819,11541,2024-07-01 00:19:07.295055
optimism,10,2024-05-17 00:00:00.000 UTC,L2,OP Mainnet,372717,462088,434326,2024-07-01 00:19:07.295055
polygon,137,2024-05-28 00:00:00.000 UTC,L1,Polygon PoS,4289561,4286026,3955079,2024-07-01 00:19:07.295055
zora,7777777,2024-06-01 00:00:00.000 UTC,L2,ZORA,69815,86354,85960,2024-07-01 00:19:07.295055
zora,7777777,2024-06-14 00:00:00.000 UTC,L2,ZORA,96469,113580,112721,2024-07-01 00:19:07.295055
optimism,10,2024-04-12 00:00:00.000 UTC,L2,OP Mainnet,496651,656423,604330,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-05-13 00:00:00.000 UTC,L1,Avalanche C-Chain,131091,169375,160669,2024-07-01 00:19:07.295055
gnosis,100,2024-06-18 00:00:00.000 UTC,L1,Gnosis,62809,106974,100481,2024-07-01 00:19:07.295055
polygon,137,2024-04-23 00:00:00.000 UTC,L1,Polygon PoS,4348149,4345482,4146959,2024-07-01 00:19:07.295055
zora,7777777,2024-04-06 00:00:00.000 UTC,L2,ZORA,145276,826563,823360,2024-07-01 00:19:07.295055
arbitrum,42161,2024-05-28 00:00:00.000 UTC,L2,Arbitrum One,1596141,1927317,1805424,2024-07-01 00:19:07.295055
blast,81457,2024-05-24 00:00:00.000 UTC,L2,Blast,458530,560634,546966,2024-07-01 00:19:07.295055
scroll,534352,2024-06-18 00:00:00.000 UTC,L2,Scroll,239074,301079,293016,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-04-03 00:00:00.000 UTC,L1,Avalanche C-Chain,216558,279893,260616,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-04-16 00:00:00.000 UTC,L1,Avalanche C-Chain,218054,280554,256003,2024-07-01 00:19:07.295055
ethereum,1,2024-06-30 00:00:00.000 UTC,L1,Ethereum,681984,1122015,1103774,2024-07-01 00:19:07.295055
scroll,534352,2024-04-07 00:00:00.000 UTC,L2,Scroll,284422,336872,321185,2024-07-01 00:19:07.295055
linea,59144,2024-06-22 00:00:00.000 UTC,L2,Linea,428865,492291,488912,2024-07-01 00:19:07.295055
mantle,5000,2024-06-17 00:00:00.000 UTC,L2,Mantle,615812,676240,662991,2024-07-01 00:19:07.295055
base,8453,2024-04-07 00:00:00.000 UTC,L2,Base,2149451,3070960,2623997,2024-07-01 00:19:07.295055
ethereum,1,2024-05-29 00:00:00.000 UTC,L1,Ethereum,748937,1171866,1148677,2024-07-01 00:19:07.295055
fantom,250,2024-04-07 00:00:00.000 UTC,L1,Fantom,134983,265769,237245,2024-07-01 00:19:07.295055
gnosis,100,2024-04-15 00:00:00.000 UTC,L1,Gnosis,137982,181948,179371,2024-07-01 00:19:07.295055
blast,81457,2024-06-06 00:00:00.000 UTC,L2,Blast,774503,904945,879741,2024-07-01 00:19:07.295055
zora,7777777,2024-06-20 00:00:00.000 UTC,L2,ZORA,83535,113445,110443,2024-07-01 00:19:07.295055
celo,42220,2024-05-05 00:00:00.000 UTC,L1,Celo,511103,587423,556118,2024-07-01 00:19:07.295055
polygon,137,2024-05-09 00:00:00.000 UTC,L1,Polygon PoS,4205454,4203213,4031850,2024-07-01 00:19:07.295055
linea,59144,2024-05-15 00:00:00.000 UTC,L2,Linea,338701,401423,393245,2024-07-01 00:19:07.295055
zkevm,1101,2024-06-30 00:00:00.000 UTC,L2,Polygon zkEVM,16519,21934,21521,2024-07-01 00:19:07.295055
scroll,534352,2024-06-05 00:00:00.000 UTC,L2,Scroll,245950,294964,278630,2024-07-01 00:19:07.295055
arbitrum,42161,2024-06-22 00:00:00.000 UTC,L2,Arbitrum One,1805681,2515646,2424434,2024-07-01 00:19:07.295055
ethereum,1,2024-04-06 00:00:00.000 UTC,L1,Ethereum,746175,1200940,1182227,2024-07-01 00:19:07.295055
optimism,10,2024-05-18 00:00:00.000 UTC,L2,OP Mainnet,290801,370370,349822,2024-07-01 00:19:07.295055
celo,42220,2024-06-13 00:00:00.000 UTC,L1,Celo,616866,665907,656617,2024-07-01 00:19:07.295055
zksync,324,2024-05-11 00:00:00.000 UTC,L2,zkSync Era,757230,757230,748226,2024-07-01 00:19:07.295055
zkevm,1101,2024-06-23 00:00:00.000 UTC,L2,Polygon zkEVM,16096,22199,21715,2024-07-01 00:19:07.295055
arbitrum,42161,2024-04-13 00:00:00.000 UTC,L2,Arbitrum One,1302234,1788686,1555469,2024-07-01 00:19:07.295055
polygon,137,2024-04-06 00:00:00.000 UTC,L1,Polygon PoS,4187612,4184611,3987272,2024-07-01 00:19:07.295055
arbitrum,42161,2024-06-10 00:00:00.000 UTC,L2,Arbitrum One,1241667,1714474,1626242,2024-07-01 00:19:07.295055
zora,7777777,2024-05-21 00:00:00.000 UTC,L2,ZORA,65958,75729,75296,2024-07-01 00:19:07.295055
arbitrum,42161,2024-06-23 00:00:00.000 UTC,L2,Arbitrum One,1548942,2028455,1958311,2024-07-01 00:19:07.295055
polygon,137,2024-06-21 00:00:00.000 UTC,L1,Polygon PoS,4349113,4347446,4083025,2024-07-01 00:19:07.295055
blast,81457,2024-06-03 00:00:00.000 UTC,L2,Blast,601833,707649,670711,2024-07-01 00:19:07.295055
ethereum,1,2024-06-17 00:00:00.000 UTC,L1,Ethereum,726234,1142221,1111837,2024-07-01 00:19:07.295055
linea,59144,2024-05-14 00:00:00.000 UTC,L2,Linea,311238,367950,363424,2024-07-01 00:19:07.295055
zkevm,1101,2024-06-24 00:00:00.000 UTC,L2,Polygon zkEVM,15602,21130,20222,2024-07-01 00:19:07.295055
base,8453,2024-06-21 00:00:00.000 UTC,L2,Base,2143069,3177212,2869261,2024-07-01 00:19:07.295055
bnb,56,2024-04-28 00:00:00.000 UTC,L1,BNB,2556327,3015021,2907294,2024-07-01 00:19:07.295055
zkevm,1101,2024-06-10 00:00:00.000 UTC,L2,Polygon zkEVM,12750,17477,16963,2024-07-01 00:19:07.295055
blast,81457,2024-04-08 00:00:00.000 UTC,L2,Blast,431974,463077,454716,2024-07-01 00:19:07.295055
gnosis,100,2024-05-04 00:00:00.000 UTC,L1,Gnosis,107809,145843,142332,2024-07-01 00:19:07.295055
bnb,56,2024-04-22 00:00:00.000 UTC,L1,BNB,2917854,3488695,3335690,2024-07-01 00:19:07.295055
base,8453,2024-06-15 00:00:00.000 UTC,L2,Base,1891166,2828775,2689524,2024-07-01 00:19:07.295055
