blockchain,chain_type,classification,dt,eth_fees,eth_fees_success,gas_used,gas_used_success,num_senders,num_txs,num_txs_success,last_updated,source,display_name_lower,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name
l2s,Aggregated,Volume too Low,2024-09-01,2.058159564027319,2.02056607930149,126079269443,121530758190,722543,1102758,1062470,2024-09-02 01:00:22.804107,dune,l2s,False,,,Other EVMs,,L2s
fantom,L1,Likely Sybil,2024-09-01,356.2741805675796,353.7308356430943,46326962487,46202134163,6350,54555,53804,2024-09-02 01:00:22.804107,dune,fantom,False,,,Other EVMs,,Fantom
fantom,L1,Volume too Low,2024-09-01,26.7976988613159,24.653997831519,2741880978,2602866689,8235,17873,17448,2024-09-02 01:00:22.804107,dune,fantom,False,,,Other EVMs,,Fantom
fantom,L1,Potential Non-Sybil,2024-09-01,917.592450745229,840.9025802569454,72157520115,67210484405,12680,172885,150734,2024-09-02 01:00:22.804107,dune,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,Potential Non-Sybil,2024-09-01,203.01812508987237,199.67424050182458,86799865481,84558990539,115293,646226,630472,2024-09-02 01:00:22.804107,dune,ethereum,False,,,Other EVMs,,Ethereum
ethereum,L1,Volume too Low,2024-09-01,26.262167866916727,25.910148256313754,17312342747,17047285970,195235,272125,269861,2024-09-02 01:00:22.804107,dune,ethereum,False,,,Other EVMs,,Ethereum
ethereum,L1,Likely Sybil,2024-09-01,7.260143949465827,7.066358366628258,3813201372,3651381019,24547,91655,89050,2024-09-02 01:00:22.804107,dune,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,Volume too Low,2024-09-01,20.589191448064863,20.539259463843315,4569117452,4558869641,40878,53833,53727,2024-09-02 01:00:22.804107,dune,celo,False,,,Other EVMs,,Celo
celo,L1,Likely Sybil,2024-09-01,223.5414682229947,211.91318455538197,27389075335,27194977455,401489,620570,618689,2024-09-02 01:00:22.804107,dune,celo,False,,,Other EVMs,,Celo
celo,L1,Potential Non-Sybil,2024-09-01,588.8120610459277,486.2053003298609,64046141909,59581097522,84858,345276,326762,2024-09-02 01:00:22.804107,dune,celo,False,,,Other EVMs,,Celo
bnb,L1,Volume too Low,2024-09-01,61.61659640098278,60.597209544135126,40044671464,39333245654,294449,457734,453522,2024-09-02 01:00:22.804107,dune,bnb,False,,,Other EVMs,,BNB
bnb,L1,Potential Non-Sybil,2024-09-01,520.1263401794535,502.2756209410656,219116415553,207406353325,347241,1790562,1683866,2024-09-02 01:00:22.804107,dune,bnb,False,,,Other EVMs,,BNB
bnb,L1,Likely Sybil,2024-09-01,86.16329199329562,85.13615208727578,19127252534,18714732170,80557,356208,351131,2024-09-02 01:00:22.804107,dune,bnb,False,,,Other EVMs,,BNB
base,L2,Likely Sybil,2024-09-01,5.188758176308487,3.6240259109567705,131444844243,129003138649,111346,715626,688379,2024-09-02 01:00:22.804107,dune,base,True,8453,modern,OP Chain,base,Base
base,L2,Volume too Low,2024-09-01,0.6709657656101045,0.6470994560165606,98899421799,94737838139,570126,866303,829406,2024-09-02 01:00:22.804107,dune,base,True,8453,modern,OP Chain,base,Base
base,L2,Potential Non-Sybil,2024-09-01,11.61038547271886,9.83513972977636,623773211985,605935313706,172669,2351175,2235117,2024-09-02 01:00:22.804107,dune,base,True,8453,modern,OP Chain,base,Base
avalanche_c,L1,Likely Sybil,2024-09-01,107.50143681279218,92.94459184309547,1869701493,1710411213,3225,16576,15632,2024-09-02 01:00:22.804107,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
avalanche_c,L1,Volume too Low,2024-09-01,54.353040620697996,53.95409977989871,1888143277,1873382120,12929,18168,18080,2024-09-02 01:00:22.804107,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
avalanche_c,L1,Potential Non-Sybil,2024-09-01,699.5888937103188,643.636789908951,21053406563,20179155212,11818,123873,117486,2024-09-02 01:00:22.804107,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,Volume too Low,2024-09-01,0.8296876642530808,0.8214055198177109,14573884290,14366450069,103895,147212,144417,2024-09-02 01:00:22.804107,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
arbitrum,L2,Likely Sybil,2024-09-01,27.625305997953845,22.28607773189461,54899589868,47954922031,145732,351182,298497,2024-09-02 01:00:22.804107,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
arbitrum,L2,Potential Non-Sybil,2024-09-01,64689.594738956876,55697.71672852251,239593656487,217870315248,104398,968565,841657,2024-09-02 01:00:22.804107,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
all chains,Aggregated,Likely Sybil,2024-09-01,3616.347313028174,3245.8837122390896,375143996879,357805859850,1144132,3154236,2964406,2024-09-02 01:00:22.804107,dune,all chains,False,,,Other EVMs,,All Chains
all chains,Aggregated,Volume too Low,2024-09-01,1050.037433729676,1034.426746322947,212540256382,206581797778,1366621,2116348,2067181,2024-09-02 01:00:22.804107,dune,all chains,False,,,Other EVMs,,All Chains
all chains,Aggregated,Potential Non-Sybil,2024-09-01,90922.79297467218,79276.54103216638,2005800381967,1917446859963,1126546,9409484,8802553,2024-09-02 01:00:22.804107,dune,all chains,False,,,Other EVMs,,All Chains
zora,L2,Potential Non-Sybil,2024-08-31,0.05334499269207021,0.05327757761530411,28077737622,28026400894,14464,78539,78070,2024-09-02 01:00:22.804107,dune,zora,True,7777777,modern,OP Chain,zora,Zora
zora,L2,Volume too Low,2024-08-31,0.005081569018938383,0.005076424655050261,3018364033,3011546175,3556,6609,6553,2024-09-02 01:00:22.804107,dune,zora,True,7777777,modern,OP Chain,zora,Zora
zora,L2,Likely Sybil,2024-08-31,0.0016474656592156715,0.0016474656592156715,5179498404,5179498404,308,10271,10271,2024-09-02 01:00:22.804107,dune,zora,True,7777777,modern,OP Chain,zora,Zora
zksync,L2,Volume too Low,2024-08-31,0.15804487478629067,0.15749294492504043,3420318634,3408121289,16048,23556,23471,2024-09-02 01:00:22.804107,dune,zksync era,False,,,Other EVMs,,zkSync Era
