month,chain,chainId,layer,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name,provider,is_upcoming,is_archived,is_current_chain,totalUsd_min,totalUsd_last,totalUsd_mean,transactions_sum,transactions_mean,canonicalUsd_min,canonicalUsd_last,canonicalUsd_mean,externalUsd_min,externalUsd_last,externalUsd_mean,nativeUsd_min,nativeUsd_last,nativeUsd_mean,months_live
2020-02-01,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,4.0
2020-02-01,xdai,,,False,,,Other EVMs,,,,False,False,False,37158.56,39411.53,38493.06206896552,0.0,,37158.56,39411.53,38493.06206896552,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-03-01,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,5.0
2020-03-01,bridge,,,False,,,Other EVMs,,,,False,False,False,39251.31,40728.57,40683.83741935484,0.0,,39251.31,40728.57,40683.83741935484,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2020-03-01,gluon,,L2,False,,,Other EVMs,,,,False,True,False,24943.96,27125.73,165375.41516129032,0.0,,24943.96,27125.73,165375.41516129032,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2020-03-01,layer2,,,False,,,Other EVMs,,,,False,False,False,81807.48,592457.28,330857.1138709677,0.0,,81807.48,592457.28,330857.1138709677,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2020-03-01,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,26519.77,564530.32,165286.71935483871,0.0,,26519.77,564530.32,165286.71935483871,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-03-01,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,5.0
2020-03-01,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,5.0
2020-03-01,omgnetwork,,L2,False,,,Other EVMs,,,,False,True,False,0.0,801.23,431.73999999999995,0.0,,0.0,801.23,431.73999999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-01,polygonzkevm,1101,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,5.0
2020-03-01,xdai,,,False,,,Other EVMs,,,,False,False,False,39251.31,40728.57,40683.83741935484,0.0,,39251.31,40728.57,40683.83741935484,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2020-04-01,astarzkevm,,L2,False,,,Other EVMs,,,Polygon CDK,False,False,True,,,,0.0,0.0,,,,,,,,,,6.0
2020-04-01,bridge,,,False,,,Other EVMs,,,,False,False,False,53.99,101.3,132.14033333333333,0.0,,53.99,101.3,132.14033333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2020-04-01,gluon,,L2,False,,,Other EVMs,,,,False,True,False,27313.48,37413.05,31769.468,0.0,,27313.48,37413.05,31769.468,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2020-04-01,layer2,,,False,,,Other EVMs,,,,False,False,False,335841.05,425524.16,591510.9636666666,0.0,,335841.05,425524.16,591510.9636666666,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2020-04-01,loopring,,L2,False,,,Other EVMs,,,Loopring,False,False,True,299549.21,386827.42,558760.026,0.0,,299549.21,386827.42,558760.026,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2020-04-01,mantle,5000,L2,False,5000.0,legacy ovm,OP Stack fork,mantle network,Mantle,OP Stack,False,False,True,,,,0.0,0.0,,,,,,,,,,6.0
2020-04-01,metis,1088,L2,False,1088.0,legacy ovm,OP Stack fork,metis andromeda,Metis,OVM,False,False,True,,,,0.0,0.0,,,,,,,,,,6.0
2020-04-01,omgnetwork,,L2,False,,,Other EVMs,,,,False,True,False,805.04,1283.69,981.4696666666666,0.0,,805.04,1283.69,981.4696666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0
