approx_pct_share_num_creators_t28ddmedian,blockchain,chain_id,dt,known_creators,known_creators_t28dma,known_creators_t28dmedian,known_projects,known_projects_t28dma,known_projects_t28dmedian,num_contracts,num_contracts_no_tokens,num_contracts_no_tokens_t28dma,num_contracts_no_tokens_t28dmedian,num_contracts_t28dma,num_contracts_t28dmedian,num_creators,num_creators_no_tokens,num_creators_no_tokens_t28dma,num_creators_no_tokens_t28dma_excl_all,num_creators_no_tokens_t28dmedian,num_creators_t28dma,num_creators_t28dma_excl_all,num_creators_t28dmedian,pct_creators_no_tokens_t28dma,pct_share_num_creators_no_tokens_t28dma_t28dma,pct_share_num_creators_t28dma,unknown_creators,unknown_creators_t28dma,unknown_creators_t28dmedian,last_updated,source,layer,is_op_chain,op_based_version,alignment,chain_name,display_name
0.004899360274613824,zora,7777777.0,2024-07-15,36,34.82142857142857,35,30,29.178571428571427,29,2298,316,333.5357142857143,332,2409.8214285714284,2477,150,74,77.75,77.75,78,158.57142857142858,158.57142857142858,157,0.4903153153153153,0.004817490788789431,0.004980353403185408,121,129.92857142857142,129,2024-07-16 12:33:46.283715,dune,L2,True,modern,OP Chain,zora,Zora
0.012326415977531596,scroll,534352.0,2024-07-15,0,0.0,0,0,0.0,0,3789,2906,1496.607142857143,1435,2486.464285714286,2461,398,330,330.75,330.75,328,396.85714285714283,396.85714285714283,395,0.8334233261339093,0.020493698757454718,0.01246434392256672,398,396.85714285714283,395,2024-07-16 12:33:46.283715,dune,L2,False,,Other EVMs,,Scroll
0.13209549071618037,polygon,137.0,2024-07-15,879,883.6071428571429,884,832,852.5357142857143,857,36236,26829,31353.428571428572,31994,41493.42857142857,42543,4280,2776,2732.5714285714284,2732.5714285714284,2796,4168.285714285715,4168.285714285715,4233,0.6555624100349577,0.16931366799809688,0.1309159924307602,3742,3627.3214285714284,3680,2024-07-16 12:33:46.283715,dune,L1,False,,Other EVMs,,Polygon PoS
0.03335933843033235,optimism,10.0,2024-07-15,479,472.5357142857143,475,285,283.85714285714283,285,27094,25099,26569.321428571428,28535,28371.10714285714,30182,1107,934,884.4642857142857,884.4642857142857,898,1057.7142857142858,1057.7142857142858,1069,0.83620340356564,0.05480255369056971,0.03322030324070699,692,646.8571428571429,658,2024-07-16 12:33:46.283715,dune,L2,True,modern,OP Chain,op,OP Mainnet
0.011827118115150569,gnosis,100.0,2024-07-15,152,151.96428571428572,153,116,113.10714285714286,114,3872,2752,2533.464285714286,2550,3385.6428571428573,3360,378,341,333.92857142857144,333.92857142857144,341,371.7857142857143,371.7857142857143,379,0.8981748318924112,0.020690647163611017,0.011676909668279297,275,270.10714285714283,275,2024-07-16 12:33:46.283715,dune,L1,False,,Other EVMs,,Gnosis
0.020752067405211422,fantom,250.0,2024-07-15,187,185.85714285714286,187,142,144.10714285714286,145,12026,10038,8285.92857142857,9113,10379.0,11289,617,464,467.60714285714283,467.60714285714283,473,655.2857142857143,655.2857142857143,665,0.7135927621539131,0.028973544739375294,0.020580973928298614,490,529.7857142857143,541,2024-07-16 12:33:46.283715,dune,L1,False,,Other EVMs,,Fantom
0.2767046341082852,ethereum,1.0,2024-07-15,2565,2675.1785714285716,2682,2183,2282.1428571428573,2284,25881,16940,16965.321428571428,16940,26335.35714285714,26445,8562,5580,5701.892857142857,5701.892857142857,5698,8828.642857142857,8828.642857142857,8867,0.6458402440109707,0.353296672899678,0.27728678422843217,6718,6894.0,6929,2024-07-16 12:33:46.283715,dune,L1,False,,Other EVMs,,Ethereum
0.007676704634108285,celo,42220.0,2024-07-15,64,64.60714285714286,65,47,47.82142857142857,48,1237,854,825.3571428571429,827,1217.3214285714287,1216,245,204,202.71428571428572,202.71428571428572,204,246.78571428571428,246.78571428571428,246,0.8214182344428366,0.012560439925203865,0.007750955409011523,200,201.0,200,2024-07-16 12:33:46.283715,dune,L1,False,,Other EVMs,,Celo
0.39213605866749884,bnb,56.0,2024-07-15,2296,2167.5714285714284,2193,2301,2185.785714285714,2213,68108,25138,17892.035714285714,17833,55191.92857142857,55517,13722,5874,5629.071428571428,5629.071428571428,5661,12480.5,12480.5,12566,0.4510293200249532,0.3487845627856028,0.3919829770623318,12136,10972.892857142857,11069,2024-07-16 12:33:46.283715,dune,L1,False,,Other EVMs,,BNB
0.1829926665626463,base,8453.0,2024-07-15,644,631.0714285714286,636,449,447.57142857142856,449,33703,23831,20966.60714285714,19428,36823.17857142857,35448,3987,2046,1889.9642857142858,1889.9642857142858,1895,5769.964285714285,5769.964285714285,5864,0.32755216360586537,0.11710463713915843,0.1812209269065836,3534,5326.607142857143,5425,2024-07-16 12:33:46.283715,dune,L2,True,modern,OP Chain,base,Base
0.032329536589171474,avalanche_c,43114.0,2024-07-15,322,322.5357142857143,326,244,242.57142857142858,244,4721,3319,3151.714285714286,3164,4602.285714285715,4632,1036,830,809.9642857142857,809.9642857142857,822,1029.857142857143,1029.857142857143,1036,0.786482175058954,0.05018643711481649,0.03234537629149874,819,810.3571428571429,815,2024-07-16 12:33:46.283715,dune,L1,False,,Other EVMs,,Avalanche C-Chain
0.07349040411920736,arbitrum,42161.0,2024-07-15,825,818.6428571428571,824,708,704.5357142857143,708,21536,16891,15171.25,15407,19532.035714285714,19835,2408,1968,1883.5357142857142,1883.5357142857142,1908,2322.9285714285716,2322.9285714285716,2355,0.8108452999600257,0.11670631451996591,0.07295769055179847,1943,1851.0357142857142,1887,2024-07-16 12:33:46.283715,dune,L2,False,,Other EVMs,,Arbitrum One
