blockchain,layer,creator_address,date,display_name_lower,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name
zora,L2,47,2024-01-29,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2479,2024-01-29,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,454,2024-01-29,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,976,2024-01-29,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-29,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1961,2024-01-29,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,8209,2024-01-29,l1s,False,,,Other EVMs,,L1s
gnosis,L1,107,2024-01-29,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,191,2024-01-29,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2615,2024-01-29,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,77,2024-01-29,celo,False,,,Other EVMs,,Celo
bnb,L1,3081,2024-01-29,bnb,False,,,Other EVMs,,BNB
base,L2,623,2024-01-29,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,521,2024-01-29,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1222,2024-01-29,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9697,2024-01-29,all,False,,,Other EVMs,,All
zora,L2,47,2024-01-28,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2429,2024-01-28,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,450,2024-01-28,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,968,2024-01-28,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-28,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1930,2024-01-28,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,8073,2024-01-28,l1s,False,,,Other EVMs,,L1s
gnosis,L1,105,2024-01-28,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,187,2024-01-28,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2562,2024-01-28,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,71,2024-01-28,celo,False,,,Other EVMs,,Celo
bnb,L1,3044,2024-01-28,bnb,False,,,Other EVMs,,BNB
base,L2,615,2024-01-28,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,511,2024-01-28,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1194,2024-01-28,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9538,2024-01-28,all,False,,,Other EVMs,,All
zora,L2,45,2024-01-27,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2428,2024-01-27,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,450,2024-01-27,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,967,2024-01-27,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-27,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1937,2024-01-27,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,8104,2024-01-27,l1s,False,,,Other EVMs,,L1s
gnosis,L1,106,2024-01-27,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,190,2024-01-27,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2581,2024-01-27,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,70,2024-01-27,celo,False,,,Other EVMs,,Celo
bnb,L1,3048,2024-01-27,bnb,False,,,Other EVMs,,BNB
base,L2,618,2024-01-27,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,513,2024-01-27,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1202,2024-01-27,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9574,2024-01-27,all,False,,,Other EVMs,,All
zora,L2,44,2024-01-26,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2453,2024-01-26,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,456,2024-01-26,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,974,2024-01-26,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-26,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1956,2024-01-26,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,8196,2024-01-26,l1s,False,,,Other EVMs,,L1s
gnosis,L1,106,2024-01-26,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,191,2024-01-26,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2609,2024-01-26,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,73,2024-01-26,celo,False,,,Other EVMs,,Celo
bnb,L1,3073,2024-01-26,bnb,False,,,Other EVMs,,BNB
base,L2,625,2024-01-26,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,525,2024-01-26,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1222,2024-01-26,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9679,2024-01-26,all,False,,,Other EVMs,,All
zora,L2,41,2024-01-25,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2447,2024-01-25,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,457,2024-01-25,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,978,2024-01-25,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-25,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1984,2024-01-25,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,8229,2024-01-25,l1s,False,,,Other EVMs,,L1s
gnosis,L1,99,2024-01-25,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,194,2024-01-25,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2622,2024-01-25,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,72,2024-01-25,celo,False,,,Other EVMs,,Celo
bnb,L1,3096,2024-01-25,bnb,False,,,Other EVMs,,BNB
base,L2,629,2024-01-25,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,539,2024-01-25,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1246,2024-01-25,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9744,2024-01-25,all,False,,,Other EVMs,,All
zora,L2,42,2024-01-24,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2323,2024-01-24,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,455,2024-01-24,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,972,2024-01-24,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-24,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1966,2024-01-24,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,8099,2024-01-24,l1s,False,,,Other EVMs,,L1s
gnosis,L1,105,2024-01-24,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,196,2024-01-24,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2603,2024-01-24,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,69,2024-01-24,celo,False,,,Other EVMs,,Celo
bnb,L1,3091,2024-01-24,bnb,False,,,Other EVMs,,BNB
base,L2,622,2024-01-24,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,543,2024-01-24,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1235,2024-01-24,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9603,2024-01-24,all,False,,,Other EVMs,,All
zora,L2,40,2024-01-23,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2243,2024-01-23,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,449,2024-01-23,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,973,2024-01-23,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-23,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1963,2024-01-23,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7984,2024-01-23,l1s,False,,,Other EVMs,,L1s
gnosis,L1,100,2024-01-23,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,195,2024-01-23,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2575,2024-01-23,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,65,2024-01-23,celo,False,,,Other EVMs,,Celo
bnb,L1,3092,2024-01-23,bnb,False,,,Other EVMs,,BNB
base,L2,627,2024-01-23,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,536,2024-01-23,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1224,2024-01-23,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9483,2024-01-23,all,False,,,Other EVMs,,All
zora,L2,38,2024-01-22,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2181,2024-01-22,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,443,2024-01-22,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,967,2024-01-22,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-22,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1957,2024-01-22,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7867,2024-01-22,l1s,False,,,Other EVMs,,L1s
gnosis,L1,95,2024-01-22,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,191,2024-01-22,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2537,2024-01-22,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,63,2024-01-22,celo,False,,,Other EVMs,,Celo
bnb,L1,3074,2024-01-22,bnb,False,,,Other EVMs,,BNB
base,L2,626,2024-01-22,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,532,2024-01-22,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1222,2024-01-22,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9369,2024-01-22,all,False,,,Other EVMs,,All
zora,L2,38,2024-01-21,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2122,2024-01-21,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,435,2024-01-21,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,953,2024-01-21,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-21,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1929,2024-01-21,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7739,2024-01-21,l1s,False,,,Other EVMs,,L1s
gnosis,L1,93,2024-01-21,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,188,2024-01-21,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2491,2024-01-21,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,65,2024-01-21,celo,False,,,Other EVMs,,Celo
bnb,L1,3031,2024-01-21,bnb,False,,,Other EVMs,,BNB
base,L2,615,2024-01-21,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,535,2024-01-21,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1203,2024-01-21,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9219,2024-01-21,all,False,,,Other EVMs,,All
zora,L2,39,2024-01-20,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2110,2024-01-20,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,430,2024-01-20,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,953,2024-01-20,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-20,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1930,2024-01-20,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7751,2024-01-20,l1s,False,,,Other EVMs,,L1s
gnosis,L1,95,2024-01-20,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,192,2024-01-20,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2480,2024-01-20,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,66,2024-01-20,celo,False,,,Other EVMs,,Celo
bnb,L1,3043,2024-01-20,bnb,False,,,Other EVMs,,BNB
base,L2,619,2024-01-20,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,545,2024-01-20,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1204,2024-01-20,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9231,2024-01-20,all,False,,,Other EVMs,,All
zora,L2,41,2024-01-19,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2144,2024-01-19,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,437,2024-01-19,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,969,2024-01-19,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-19,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1962,2024-01-19,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7823,2024-01-19,l1s,False,,,Other EVMs,,L1s
gnosis,L1,98,2024-01-19,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,193,2024-01-19,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2494,2024-01-19,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,63,2024-01-19,celo,False,,,Other EVMs,,Celo
bnb,L1,3066,2024-01-19,bnb,False,,,Other EVMs,,BNB
base,L2,627,2024-01-19,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,560,2024-01-19,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1226,2024-01-19,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9327,2024-01-19,all,False,,,Other EVMs,,All
zora,L2,39,2024-01-18,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2158,2024-01-18,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,438,2024-01-18,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,973,2024-01-18,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-18,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1971,2024-01-18,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7824,2024-01-18,l1s,False,,,Other EVMs,,L1s
gnosis,L1,103,2024-01-18,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,193,2024-01-18,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2484,2024-01-18,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,63,2024-01-18,celo,False,,,Other EVMs,,Celo
bnb,L1,3048,2024-01-18,bnb,False,,,Other EVMs,,BNB
base,L2,631,2024-01-18,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,567,2024-01-18,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1229,2024-01-18,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9334,2024-01-18,all,False,,,Other EVMs,,All
zora,L2,39,2024-01-17,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2148,2024-01-17,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,449,2024-01-17,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,982,2024-01-17,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-17,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1974,2024-01-17,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7818,2024-01-17,l1s,False,,,Other EVMs,,L1s
gnosis,L1,101,2024-01-17,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,194,2024-01-17,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2476,2024-01-17,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,64,2024-01-17,celo,False,,,Other EVMs,,Celo
bnb,L1,3077,2024-01-17,bnb,False,,,Other EVMs,,BNB
base,L2,631,2024-01-17,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,555,2024-01-17,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1230,2024-01-17,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9322,2024-01-17,all,False,,,Other EVMs,,All
zora,L2,42,2024-01-16,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2240,2024-01-16,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,446,2024-01-16,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,987,2024-01-16,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-16,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1975,2024-01-16,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7909,2024-01-16,l1s,False,,,Other EVMs,,L1s
gnosis,L1,102,2024-01-16,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,196,2024-01-16,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2495,2024-01-16,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,62,2024-01-16,celo,False,,,Other EVMs,,Celo
bnb,L1,3052,2024-01-16,bnb,False,,,Other EVMs,,BNB
base,L2,632,2024-01-16,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,551,2024-01-16,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1220,2024-01-16,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9419,2024-01-16,all,False,,,Other EVMs,,All
zora,L2,43,2024-01-15,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2241,2024-01-15,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,432,2024-01-15,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,981,2024-01-15,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-15,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1964,2024-01-15,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7945,2024-01-15,l1s,False,,,Other EVMs,,L1s
gnosis,L1,102,2024-01-15,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,198,2024-01-15,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2489,2024-01-15,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,63,2024-01-15,celo,False,,,Other EVMs,,Celo
bnb,L1,3070,2024-01-15,bnb,False,,,Other EVMs,,BNB
base,L2,639,2024-01-15,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,555,2024-01-15,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1208,2024-01-15,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9443,2024-01-15,all,False,,,Other EVMs,,All
zora,L2,43,2024-01-14,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2216,2024-01-14,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,426,2024-01-14,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,982,2024-01-14,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-14,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1938,2024-01-14,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7881,2024-01-14,l1s,False,,,Other EVMs,,L1s
gnosis,L1,103,2024-01-14,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,198,2024-01-14,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2457,2024-01-14,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,62,2024-01-14,celo,False,,,Other EVMs,,Celo
bnb,L1,3048,2024-01-14,bnb,False,,,Other EVMs,,BNB
base,L2,646,2024-01-14,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,565,2024-01-14,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1177,2024-01-14,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9365,2024-01-14,all,False,,,Other EVMs,,All
zora,L2,41,2024-01-13,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2214,2024-01-13,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,435,2024-01-13,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,993,2024-01-13,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-13,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1936,2024-01-13,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7919,2024-01-13,l1s,False,,,Other EVMs,,L1s
gnosis,L1,101,2024-01-13,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,202,2024-01-13,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2477,2024-01-13,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,62,2024-01-13,celo,False,,,Other EVMs,,Celo
bnb,L1,3075,2024-01-13,bnb,False,,,Other EVMs,,BNB
base,L2,651,2024-01-13,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,566,2024-01-13,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1165,2024-01-13,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9399,2024-01-13,all,False,,,Other EVMs,,All
zora,L2,41,2024-01-12,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2252,2024-01-12,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,444,2024-01-12,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,1011,2024-01-12,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-12,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1963,2024-01-12,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7982,2024-01-12,l1s,False,,,Other EVMs,,L1s
gnosis,L1,104,2024-01-12,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,204,2024-01-12,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2476,2024-01-12,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,66,2024-01-12,celo,False,,,Other EVMs,,Celo
bnb,L1,3100,2024-01-12,bnb,False,,,Other EVMs,,BNB
base,L2,661,2024-01-12,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,563,2024-01-12,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1177,2024-01-12,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9481,2024-01-12,all,False,,,Other EVMs,,All
zora,L2,40,2024-01-11,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2294,2024-01-11,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,447,2024-01-11,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,1018,2024-01-11,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-11,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1955,2024-01-11,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,8086,2024-01-11,l1s,False,,,Other EVMs,,L1s
gnosis,L1,107,2024-01-11,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,210,2024-01-11,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2503,2024-01-11,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,75,2024-01-11,celo,False,,,Other EVMs,,Celo
bnb,L1,3102,2024-01-11,bnb,False,,,Other EVMs,,BNB
base,L2,665,2024-01-11,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,578,2024-01-11,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1163,2024-01-11,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9582,2024-01-11,all,False,,,Other EVMs,,All
zora,L2,65,2024-01-10,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2305,2024-01-10,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,457,2024-01-10,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,1059,2024-01-10,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-10,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1976,2024-01-10,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,8129,2024-01-10,l1s,False,,,Other EVMs,,L1s
gnosis,L1,108,2024-01-10,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,206,2024-01-10,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2514,2024-01-10,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,78,2024-01-10,celo,False,,,Other EVMs,,Celo
bnb,L1,3104,2024-01-10,bnb,False,,,Other EVMs,,BNB
base,L2,671,2024-01-10,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,592,2024-01-10,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1145,2024-01-10,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9651,2024-01-10,all,False,,,Other EVMs,,All
zora,L2,81,2024-01-09,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2330,2024-01-09,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,465,2024-01-09,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,1087,2024-01-09,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-09,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1991,2024-01-09,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,8216,2024-01-09,l1s,False,,,Other EVMs,,L1s
gnosis,L1,111,2024-01-09,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,206,2024-01-09,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2536,2024-01-09,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,80,2024-01-09,celo,False,,,Other EVMs,,Celo
bnb,L1,3109,2024-01-09,bnb,False,,,Other EVMs,,BNB
base,L2,679,2024-01-09,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,635,2024-01-09,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1131,2024-01-09,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,9750,2024-01-09,all,False,,,Other EVMs,,All
zora,L2,80,2024-01-08,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2328,2024-01-08,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,461,2024-01-08,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,1039,2024-01-08,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-01-08,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,1925,2024-01-08,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,8235,2024-01-08,l1s,False,,,Other EVMs,,L1s
gnosis,L1,107,2024-01-08,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,203,2024-01-08,fantom,False,,,Other EVMs,,Fantom
