blockchain,layer,creator_address,date,display_name_lower,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name
op chains,Aggregate,6611,2024-05-18,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-05-18,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,7627,2024-05-18,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7177,2024-05-18,l1s,False,,,Other EVMs,,L1s
gnosis,L1,129,2024-05-18,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,162,2024-05-18,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2079,2024-05-18,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,114,2024-05-18,celo,False,,,Other EVMs,,Celo
bnb,L1,3009,2024-05-18,bnb,False,,,Other EVMs,,BNB
base,L2,6260,2024-05-18,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,403,2024-05-18,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1339,2024-05-18,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,14099,2024-05-18,all,False,,,Other EVMs,,All
zora,L2,49,2024-05-17,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2215,2024-05-17,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,526,2024-05-17,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,7777,2024-05-17,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-05-17,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,8810,2024-05-17,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7289,2024-05-17,l1s,False,,,Other EVMs,,L1s
gnosis,L1,133,2024-05-17,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,163,2024-05-17,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2108,2024-05-17,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,117,2024-05-17,celo,False,,,Other EVMs,,Celo
bnb,L1,3058,2024-05-17,bnb,False,,,Other EVMs,,BNB
base,L2,7419,2024-05-17,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,408,2024-05-17,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1363,2024-05-17,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,15371,2024-05-17,all,False,,,Other EVMs,,All
zora,L2,48,2024-05-16,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2227,2024-05-16,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,539,2024-05-16,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,9825,2024-05-16,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-05-16,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,10872,2024-05-16,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7336,2024-05-16,l1s,False,,,Other EVMs,,L1s
gnosis,L1,138,2024-05-16,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,166,2024-05-16,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2107,2024-05-16,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,120,2024-05-16,celo,False,,,Other EVMs,,Celo
bnb,L1,3081,2024-05-16,bnb,False,,,Other EVMs,,BNB
base,L2,9453,2024-05-16,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,415,2024-05-16,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1379,2024-05-16,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,17465,2024-05-16,all,False,,,Other EVMs,,All
zora,L2,50,2024-05-15,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2221,2024-05-15,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,541,2024-05-15,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,12055,2024-05-15,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-05-15,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,13107,2024-05-15,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7318,2024-05-15,l1s,False,,,Other EVMs,,L1s
gnosis,L1,137,2024-05-15,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,171,2024-05-15,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2078,2024-05-15,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,130,2024-05-15,celo,False,,,Other EVMs,,Celo
bnb,L1,3091,2024-05-15,bnb,False,,,Other EVMs,,BNB
base,L2,11681,2024-05-15,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,417,2024-05-15,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
