layer,name,chainId,explorerUrl,category,slug,isArchived,file_name,rpcUrl,provider,hostChain,da_provider_name,badges,is_upcoming,is_archived,is_current_chain,websites,documentation,repositories,provider_entity,chain
L2,Cronos zkEVM,388,https://explorer.zkevm.cronos.org/,Validium,cronoszkevm,,cronoszkevm,,ZK Stack,,,"Badge.VM.EVM,
    Badge.DA.CustomDA,
    Badge.Stack.ZKStack,
    Badge.Infra.ElasticChain,",False,False,True,'https://cronos.org/zkevm','https://docs-zkevm.cronos.org/',,zkSync: ZK Stack,cronoszkevm
L2,Cyber,7560,https://cyberscan.co/,Funds can be stolen if,cyber,,cyber,https://cyber.alt.technology/,OP Stack,,External,"Badge.DA.CustomDA, Badge.Infra.Superchain",False,False,True,'https://cyber.co/','https://docs.cyber.co/','https://github.com/cyberconnecthq',Optimism: OP Stack,cyber
L2,Debank Chain,,,Optimistic Rollup,debank,,debank,,OP Stack,,,,True,False,False,'https://debank.com/account',,'https://github.com/DeBankDeFi/DeBankChain',Optimism: OP Stack,debank
L2,DeGate Legacy,,,ZK Rollup,degate,,degate,,Loopring,,,"Badge.VM.AppChain,
    Badge.DA.EthereumCalldata,
    Badge.Fork.LoopringFork,",False,True,False,'https://degate.com/','https://docs.degate.com/','https://github.com/degatedev/protocols',Loopring,degate
L2,DeGate V1 Legacy,,,ZK Rollup,degate2,,degate2,,Loopring,,,"Badge.VM.AppChain,
    Badge.DA.EthereumCalldata,
    Badge.Fork.LoopringFork,",False,True,False,'https://degate.com/','https://docs.degate.com/','https://github.com/degatedev/protocols',Loopring,degate2
L2,DeGate V1,,,ZK Rollup,degate3,,degate3,,Loopring,,,"Badge.VM.AppChain,
    Badge.DA.EthereumCalldata,
    Badge.Fork.LoopringFork,",False,False,True,'https://degate.com/','https://docs.degate.com/','https://github.com/degatedev/protocols',Loopring,degate3
L2,dYdX v3,,,ZK Rollup,dydx,,dydx,,StarkEx,,,"Badge.VM.AppChain,
    Badge.Stack.StarkEx,
    Badge.DA.EthereumCalldata,
    Badge.Other.Governance,",False,False,True,'https://dydx.exchange/',"'https://docs.starkware.co/starkex/',
        'https://docs.dydx.exchange/',
        'https://docs.dydx.community/dydx-governance/',","'https://github.com/starkware-libs/starkex-contracts',
        'https://github.com/dydxprotocol/',",Starkware: Starknet Stack,dydx
L2,Ebi,,,Optimium,ebi,,ebi,,Arbitrum,,,,True,False,False,'https://ebi.xyz/',,,Arbitrum: Orbit,ebi
L2,Edgeless,,,,edgeless,,edgeless,https://rpc.edgeless.network/http,Arbitrum Orbit,,,"Badge.VM.EVM, Badge.DA.CustomDA, Badge.RaaS.Caldera",False,False,True,'https://edgeless.network/','https://docs.edgeless.network/','https://github.com/edgelessNetwork',Arbitrum: Orbit,edgeless
L2,Ethernity,,,Optimistic Rollup,ethernity,,ethernity,,OP Stack,,,,True,False,False,'https://ethernity.io/',"'https://drive.google.com/file/d/1o74ZBmYMIUa8QUwvLOK7KhoXP9-LCsPf/view',",,Optimism: OP Stack,ethernity
L2,Everclear,,,Optimium,everclear,,everclear,,Arbitrum,,,,True,False,False,'https://everclear.org','https://docs.everclear.org',,Arbitrum: Orbit,everclear
L2,Fhenix,,,Optimistic Rollup,fhenix,,fhenix,,Arbitrum,,,,True,False,False,'https://fhenix.io/',"'https://fhenix.io/fhe-rollups-scaling-confidential-smart-contracts-on-ethereum-and-beyond-whitepaper/',",'https://github.com/orgs/FhenixProtocol/',Arbitrum: Orbit,fhenix
L2,Fluent,,,ZK Rollup,fluent,,fluent,,,,,,True,False,False,'https://fluentlabs.xyz/','https://docs.fluentlabs.xyz/learn','https://github.com/fluentlabs-xyz',,fluent
L2,Form,,,Optimistic Rollup,form,,form,,OP Stack,,,,True,False,False,'https://form.network','https://docs.form.network',,Optimism: OP Stack,form
L2,Frame,,,Optimistic Rollup,frame,,frame,,Arbitrum,,,,True,False,False,'https://frame.xyz/','https://docs.frame.xyz/','https://github.com/frame-network',Arbitrum: Orbit,frame
L2,Fraxtal,252,https://fraxscan.com/,,fraxtal,,fraxtal,https://rpc.frax.com,OP Stack,,FraxtalDA,Badge.DA.CustomDA,False,False,True,'https://frax.com/','https://docs.frax.com/','https://github.com/FraxFinance',Optimism: OP Stack,fraxtal
L2,Fuel,,,Optimistic Rollup,fuel,,fuel,,,,,,True,False,False,'https://fuel.network/','https://docs.fuel.network/','https://github.com/FuelLabs/',,fuel
L2,Fuel v1,,,Optimistic Rollup,fuelv1,,fuelv1,,,,,"Badge.VM.AppChain, Badge.DA.EthereumCalldata",False,False,True,'https://fuel.sh/','https://docs.fuel.sh/',"'https://github.com/FuelLabs/fuel-core',
        'https://github.com/FuelLabs/fuels-rs',
        'https://github.com/FuelLabs/fuels-ts',
        'https://github.com/FuelLabs/fuel-v1-contracts',",,fuelv1
L2,Gravity,1625,https://gscan.xyz/,,galxegravity,,galxegravity,https://rpc.gravity.xyz,Arbitrum Orbit,,,"Badge.DA.DAC, Badge.RaaS.Conduit",False,False,True,'https://gravity.xyz','https://docs.gravity.xyz/','https://github.com/Galxe',Arbitrum: Orbit,galxegravity
