layer,name,chainId,explorerUrl,category,slug,isArchived,file_name,rpcUrl,provider,hostChain,da_provider_name,badges,is_upcoming,is_archived,is_current_chain,websites,documentation,repositories,provider_entity,chain
L2,rhino.fi,,,Validium,deversifi,,rhinofi,,StarkEx,,,"Badge.VM.AppChain,
    Badge.DA.DAC,
    Badge.Stack.StarkEx,
    Badge.Infra.SHARP,",False,False,True,'https://rhino.fi/',"'https://docs.rhino.fi/',
        'https://support.rhino.fi/en/',
        'https://docs.starkware.co/starkex/index.html',","'https://github.com/starkware-libs/starkex-contracts',
        'https://github.com/rhinofi',",Starkware: Starknet Stack,deversifi
L2,RISE,,,Optimistic Rollup,rise,,rise,,OP Stack,,,,True,False,False,'https://riselabs.xyz/','https://riselabs.xyz/','https://github.com/risechain',Optimism: OP Stack,rise
L2,RSS3 Value Sublayer,12553,https://scan.rss3.io/,,rss3,,rss3,https://rpc.rss3.io/,OP Stack,,NearDA,Badge.DA.NearDA,False,False,True,'https://rss3.io','https://docs.rss3.io','https://github.com/rss3-network',Optimism: OP Stack,rss3
L2,Scroll,534352,https://scrollscan.com/,ZK Rollup,scroll,,scroll,,,,,"Badge.VM.EVM, Badge.DA.EthereumBlobs",False,False,True,'https://scroll.io','https://docs.scroll.io/en/home/',"'https://github.com/scroll-tech/scroll',
        'https://github.com/scroll-tech/scroll-prover',
        'https://github.com/scroll-tech/zkevm-circuits',
        'https://github.com/scroll-tech/zkevm-specs',
        'https://github.com/scroll-tech/scroll-zkevm',
        'https://github.com/scroll-tech/go-ethereum',
        'https://github.com/scroll-tech/frontends',
        'https://github.com/scroll-tech/scroll-contract-deploy-demo',
        'https://github.com/scroll-tech',",,scroll
L2,Silicon,,,Validium,silicon,,silicon,https://rpc.silicon.network,Polygon,,,Badge.Infra.AggLayer,False,False,True,'https://silicon.network/','https://docs.silicon.network/',,Polygon: CDK,silicon
L2,Social Network,,,Optimium,social-network,,socialnetwork,,Arbitrum,,,,True,False,False,'https://social.network/',,,Arbitrum: Orbit,social-network
L2,Soneium,,,Optimistic Rollup,soneium,,soneium,,OP Stack,,,,True,False,False,'https://soneium.org/en/','https://soneium.org/en/docs/',,Optimism: OP Stack,soneium
L2,Sophon,,,Validium,sophon,,sophon,,ZK Stack,,,,True,False,False,'https://sophon.xyz/',,,zkSync: ZK Stack,sophon
L2,Sorare,,,Validium,sorare,,sorare,,StarkEx,,,"Badge.VM.AppChain,
    Badge.DA.DAC,
    Badge.Stack.StarkEx,
    Badge.Infra.SHARP,",False,False,True,'https://sorare.com/','https://docs.starkware.co/starkex/index.html','https://github.com/starkware-libs/starkex-contracts',Starkware: Starknet Stack,sorare
L2,Specular,,,Optimistic Rollup,specular,,specular,,,,,,True,False,False,'https://specular.network/','https://docs.specular.network/overview/welcome','https://github.com/SpecularL2/',,specular
L2,Starknet,,,ZK Rollup,starknet,,starknet,,Starknet,,,"Badge.VM.CairoVM,
    Badge.DA.EthereumBlobs,
    Badge.Infra.SHARP,
    Badge.Other.Governance,",False,False,True,"'https://starknet.io/',
        'https://starkware.co/starknet/',
        'https://starkware.co/ecosystem/',
        'https://community.starknet.io/',",'https://starknet.io/learn/what-is-starknet','https://github.com/starkware-libs',Starkware: Starknet Stack,starknet
L2,StealthChain,,,Optimistic Rollup,stealthchain,,stealthchain,,OP Stack,,,,True,False,False,'https://stealthchain.org','https://docs.stealthchain.org','https://github.com/stealthpadxyz',Optimism: OP Stack,stealthchain
L2,Superseed,,,Optimistic Rollup,superseed,,superseed,,OP Stack,,,,True,False,False,'https://superseed.xyz/','https://docs.superseed.xyz/',,Optimism: OP Stack,superseed
L2,Swan Chain,,,,swan,,swan,https://mainnet-rpc01.swanchain.io,OP Stack,,,,False,False,True,'https://swanchain.io/','https://docs.swanchain.io/','https://github.com/swanchain',Optimism: OP Stack,swan
L2,Swell,,,Validium,swell,,swell,,Polygon,,,,True,False,False,'https://swellnetwork.io/','https://docs.swellnetwork.io/','https://github.com/SwellNetwork',Polygon: CDK,swell
L2,SX Network,,,,sxnetwork,,sxnetwork,https://rpc.sx-rollup.gelato.digital,Arbitrum Orbit,,,"Badge.DA.DAC, Badge.RaaS.Gelato",False,False,True,'https://sx.technology/','https://docs.sx.technology/',,Arbitrum: Orbit,sxnetwork
L2,Space and Time,,,ZK Rollup,sxt,,sxt,,ZK Stack,,,,True,False,False,'https://spaceandtime.io','https://docs.spaceandtime.io','https://github.com/spaceandtimelabs',zkSync: ZK Stack,sxt
L2,Taiko,167000,https://taikoscan.io,Optimistic Rollup,taiko,,taiko,,Taiko,,,"Badge.VM.EVM, Badge.DA.EthereumBlobs, Badge.Other.BasedSequencing",False,False,True,'https://taiko.xyz','https://docs.taiko.xyz/','https://github.com/taikoxyz',Taiko,taiko
L2,tanX,,,Validium,brine,,tanx,,StarkEx,,,"Badge.VM.AppChain,
    Badge.DA.DAC,
    Badge.Stack.StarkEx,
    Badge.Infra.SHARP,",False,False,True,'https://tanx.fi/','https://docs.tanx.fi/',,Starkware: Starknet Stack,brine
L2,Telos zkEVM,,,ZK Rollup,telos,,telos,,,,,,True,False,False,'https://zkevm.telos.net/',"'https://docs.telos.net/overview/what-is-telos/introduction/',",'https://github.com/telosnetwork',,telos
L2,Ten,,,Optimistic Rollup,ten,,ten,,,,,,True,False,False,'https://ten.xyz',"'https://docs.ten.xyz',
        'https://ten.xyz/litepaper',
        'https://whitepaper.ten.xyz',","'https://github.com/ten-protocol',
        'https://github.com/ten-protocol/go-ten',
        'https://github.com/ten-protocol/tutorial',
        'https://github.com/ten-protocol/sample-applications',",,ten
L2,Term Structure,,,ZK Rollup,termstructure,,termstructure,,ZKsync Lite,,,"Badge.VM.AppChain,
    Badge.DA.EthereumCalldata,
    Badge.Fork.ZKsyncLiteFork,",False,False,True,'https://ts.finance/','https://docs.ts.finance/','https://github.com/term-structure/',zkSync: ZK Stack,termstructure
L2,,,,,text,,text,,,,,,False,False,True,,,,,text
L2,Treasure Chain,,,Optimium,treasure,,treasure,,Arbitrum,,,,True,False,False,'https://treasure.lol/',,,Arbitrum: Orbit,treasure
L2,Pay Chain,,,Funds can be lost if,wirex,,wirex,https://pay-chain-rpc.wirexpaychain.com,Polygon CDK,,DAC,"Badge.DA.DAC, Badge.RaaS.Gateway",False,False,True,'https://wirexpaychain.com/','https://docs.wirexpaychain.com/tech/wirex-pay-chain',,Polygon: CDK,wirex
L2,Witness Chain,,,,witness,,witness,https://witnesschain-sequencer.eu-north-2.gateway.fm/,Polygon CDK,,DAC,Badge.DA.DAC,False,False,True,'https://witnesschain.com/','https://docs.witnesschain.com/','https://github.com/witnesschain-com',Polygon: CDK,witness
L2,World Chain,,,Optimistic Rollup,world,,world,,OP Stack,,,,True,False,False,'https://worldcoin.org/world-chain','https://docs.worldcoin.org/','https://github.com/worldcoin',Optimism: OP Stack,world
L2,XCHAIN,94524,https://xchain-explorer.idex.io/,Optimium,xchain,,xchain,,Arbitrum,,,"Badge.VM.EVM, Badge.Stack.Orbit, Badge.RaaS.Conduit",False,False,True,'https://idex.io/','https://docs.idex.io/',,Arbitrum: Orbit,xchain
L2,X Layer,,,,xlayer,,xlayer,https://rpc.xlayer.tech,Polygon CDK,,DAC,"Badge.DA.DAC, Badge.Infra.AggLayer",False,False,True,'https://okx.com/x1','https://okx.com/xlayer/docs',,Polygon: CDK,xlayer
L2,zkXPLA,,,Validium,xpla,,xpla,,ZK Stack,,,,True,False,False,'https://xpla.io',,,zkSync: ZK Stack,xpla
L2,Xterio Chain,,,Funds can be stolen if,xterio,,xterio,https://xterio-eth.alt.technology/,OP Stack,,XterioDA,Badge.DA.CustomDA,False,False,True,'https://xter.io/','https://stack.optimism.io/','https://github.com/XterioTech',Optimism: OP Stack,xterio
L2,Zentachain,,,Optimistic Rollup,zentachain,,zentachain,,OP Stack,,,,True,False,False,'https://zentachain.io/','https://docs.zentachain.io/','https://github.com/ZentaChain',Optimism: OP Stack,zentachain
L2,Zero Network,,,ZK Rollup,zeronetwork,,zeronetwork,,ZK Stack,,,,True,False,False,'https://zero.network/','https://docs.zero.network/',,zkSync: ZK Stack,zeronetwork
L2,Zircuit,,,,zircuit,,zircuit,https://zircuit1-mainnet.p2pify.com/,OP Stack,,,,False,False,True,'https://zircuit.com/','https://docs.zircuit.com/',,Optimism: OP Stack,zircuit
L2,zkCandy,,,Validium,zkcandy,,zkcandy,,ZK Stack,,,,True,False,False,"'https://zkcandy.io', 'https://icandy.io/'",,,zkSync: ZK Stack,zkcandy
L2,ZKFair,42766,https://scan.zkfair.io/,Validium,zkfair,,zkfair,,Polygon,,,"Badge.VM.EVM, Badge.DA.DAC, Badge.Stack.PolygonCDK",False,False,True,'https://zkfair.io/','https://docs.zkfair.io/','https://github.com/ZKFair',Polygon: CDK,zkfair
L2,zkLighter,,,Validium,zklighter,,zklighter,,ZK Stack,,,,True,False,False,'https://zk.lighter.xyz','https://zk.lighter.xyz/developers',,zkSync: ZK Stack,zklighter
L2,ZKSpace,,,ZK Rollup,zkspace,,zkspace,,ZKsync Lite,,,"Badge.VM.AppChain,
    Badge.DA.EthereumCalldata,
    Badge.Fork.ZKsyncLiteFork,",False,False,True,'https://zks.org/','https://en.wiki.zks.org/','https://github.com/l2labs/zkswap-contracts',zkSync: ZK Stack,zkspace
L2,ZKSwap 1.0,,,ZK Rollup,zkswap,,zkswap,,ZKsync Lite,,,,False,True,False,'https://zks.org/','https://en.wiki.zks.org/','https://github.com/l2labs/zkswap-contracts',zkSync: ZK Stack,zkswap
L2,ZKSwap 2.0,,,ZK Rollup,zkswap2,,zkswap2,,ZKsync Lite,,,,False,True,False,'https://zks.org/','https://en.wiki.zks.org/','https://github.com/l2labs/zkswap-contracts',zkSync: ZK Stack,zkswap2
L2,ZKsync Era,324,https://explorer.zksync.io/,ZK Rollup,zksync2,,zksyncera,,ZK Stack,,,"Badge.VM.EVM,
    Badge.DA.EthereumBlobs,
    Badge.Stack.ZKStack,
    Badge.Other.L3HostChain,
    Badge.Infra.ElasticChain,",False,False,True,"'https://zksync.io/', 'https://zksync.dappradar.com/'",'https://docs.zksync.io/','https://github.com/matter-labs/zksync-era',zkSync: ZK Stack,zksync2
L2,ZKsync Lite,,,ZK Rollup,zksync,,zksynclite,,ZKsync Lite,,,"Badge.VM.AppChain, Badge.DA.EthereumCalldata",False,False,True,'https://zksync.io/','https://docs.lite.zksync.io/dev/','https://github.com/matter-labs/zksync',zkSync: ZK Stack,zksync
L2,Zora,,,,zora,,zora,https://rpc.zora.energy,OP Stack,,,"Badge.Infra.Superchain, Badge.RaaS.Conduit",False,False,True,"'https://zora.energy/', 'https://zora.co/'",'https://docs.zora.co/docs/zora-network/intro','https://github.com/ourzora/optimism',Optimism: OP Stack,zora
L3,AlphaDune,,,Optimium,alphadune,,alphadune,,Arbitrum,arbitrum,,,True,False,False,'https://alphadune.com/',,,Arbitrum: Orbit,alphadune
L3,AnimeChain,,,Optimium,animechain,,animechain,,Arbitrum,arbitrum,,,True,False,False,'https://anime.xyz/',,,Arbitrum: Orbit,animechain
L3,Anomaly Network,,,Optimium,anomaly,,anomaly,,Arbitrum,arbitrum,,,True,False,False,'https://anomalygames.ai/','https://docs.anomalygames.ai/',,Arbitrum: Orbit,anomaly
L3,ApeChain,,,Optimium,apechain,,apechain,,Arbitrum,arbitrum,,,True,False,False,'https://apecoin.com/',,,Arbitrum: Orbit,apechain
L3,Avive World,,,Optimium,avive-world,,aviveworld,,Arbitrum,arbitrum,,,True,False,False,'https://avive.world/',,,Arbitrum: Orbit,avive-world
L3,Bug Buster,,,Optimistic Rollup,bugbuster,,bugbuster,,Cartesi Rollups,optimism,,"Badge.Stack.Cartesi,
    Badge.VM.AppChain,
    Badge.VM.CartesiVM,
    Badge.DA.EthereumCalldata,
    Badge.L3ParentChain.Optimism,",False,False,True,'https://bugbuster.app/',"'https://github.com/crypto-bug-hunters/bug-buster/blob/main/README.md',",'https://github.com/crypto-bug-hunters/bug-buster',Cartesi Rollups,bugbuster
L3,CheeseChain,,,Optimium,cheese,,cheese,,Arbitrum,arbitrum,,"Badge.L3ParentChain.Arbitrum,
    Badge.DA.Celestia,
    Badge.Stack.Orbit,
    Badge.VM.EVM,
    Badge.RaaS.Caldera,",False,False,True,'https://docs.cheesechain.lol/','https://docs.cheesechain.lol/',,Arbitrum: Orbit,cheese
L3,DCA.Monster,,,Optimistic Rollup,dcamonster,,dcamonster,,Cartesi Rollups,,,,True,False,False,'https://dca.monster',"'https://github.com/dcamonster/cartesi-defi-modular-components/blob/master/readme.md',",'https://github.com/dcamonster',Cartesi Rollups,dcamonster
L3,Degen Chain,,,,degen,,degen,,Arbitrum Orbit,base,,"Badge.DA.DAC, Badge.L3ParentChain.Base, Badge.RaaS.Conduit",False,False,True,'https://syndicate.io/blog/degen-chain','https://docs.syndicate.io/get-started/introduction',,Arbitrum: Orbit,degen
L3,Deri,,,,deri,,deri,,Arbitrum Orbit,arbitrum,,Badge.L3ParentChain.Arbitrum,False,False,True,'https://deri.io/','https://docs.deri.io/','https://github.com/OffchainLabs/nitro',Arbitrum: Orbit,deri
L3,DODOchain,,,Optimium,dodochain,,dodochain,,Arbitrum,arbitrum,,,False,False,True,'https://dodochain.com/','https://docs.dodochain.com/en/dodochain','https://github.com/DODOEX',Arbitrum: Orbit,dodochain
L3,EDU,,,Optimium,edu-chain,,educhain,,Arbitrum,arbitrum,,,True,False,False,'https://opencampus.xyz/',,,Arbitrum: Orbit,edu-chain
L3,Fiefdom,,,Optimium,fiefdom,,fiefdom,,Arbitrum,arbitrum,,,True,False,False,'https://fief.gg/fiefdom',,,Arbitrum: Orbit,fiefdom
L3,Ham,5112,,,ham,,ham,https://rpc.ham.fun,OP Stack,base,,Badge.L3ParentChain.Base,False,False,True,'https://ham.fun/',"'https://docs.ham.fun/',
        'https://stack.optimism.io/',
        'https://ham.fun/developers',",,Optimism: OP Stack,ham
L3,Hook,,,Optimistic Rollup,hook,,hook,https://hook.calderachain.xyz/http,Arbitrum,arbitrum,,,False,False,True,'https://hook.xyz/','https://odysseydocumentation.hook.xyz/',,Arbitrum: Orbit,hook
L3,inVM,,,Optimium,invm,,invm,,Arbitrum,arbitrum,,,True,False,False,'https://injective.com/',,,Arbitrum: Orbit,invm
L3,L3X,12324,https://explorer.l3x.com/,,l3x,,l3x,https://rpc-mainnet.l3x.com,Arbitrum Orbit,arbitrum,,"Badge.DA.DAC, Badge.L3ParentChain.Arbitrum",False,False,True,'https://l3x.com/','https://docs.l3x.com/',,Arbitrum: Orbit,l3x
L3,Meliora,,,Optimium,meliora,,meliora,,Arbitrum,arbitrum,,,True,False,False,'https://meliorachain.io/',,,Arbitrum: Orbit,meliora
L3,Molten Network,,,,molten,,molten,https://molten.calderachain.xyz/http,Arbitrum Orbit,arbitrum,,"Badge.DA.DAC, Badge.L3ParentChain.Arbitrum, Badge.RaaS.Caldera",False,False,True,'https://moltennetwork.com/','https://docs.unidex.exchange/appchain/markdown',,Arbitrum: Orbit,molten
L3,Muster,,,Optimium,muster,,muster,,Arbitrum,arbitrum,,,False,False,True,'https://cometh.io/','https://docs.cometh.io/marketplace','https://github.com/cometh-hq',Arbitrum: Orbit,muster
L3,MV Chain,,,Optimium,mvchain,,mvchain,,Arbitrum,arbitrum,,,True,False,False,'https://genso.game/en/',,,Arbitrum: Orbit,mvchain
L3,MXC Moonchain zkEVM,,,ZK Rollup,mxc,,mxc,,Taiko,arbitrum,,,True,False,False,'https://mxc.org/','https://doc.mxc.com','https://github.com/MXCzkEVM',Taiko,mxc
L3,ORB3,,,Optimium,orb3,,orb3,,Arbitrum,arbitrum,,,True,False,False,'https://orb3.tech/','https://docs.orb3.tech/','https://github.com/orb3-protocol',Arbitrum: Orbit,orb3
L3,Oursong,,,Optimium,oursong,,oursong,,Arbitrum,arbitrum,,,True,False,False,'https://oursong.com/',,,Arbitrum: Orbit,oursong
L3,PlayBlock,,,,playblock,,playblock,https://playnance.drpc.org/,Arbitrum Orbit,nova,,"Badge.DA.DAC, Badge.L3ParentChain.Nova, Badge.RaaS.Gelato",False,False,True,'https://playnance.com/',,'https://github.com/playnance-games/PlayBlock',Arbitrum: Orbit,playblock
L3,PMON Chain,,,Optimium,pmon,,pmon,,Arbitrum,arbitrum,,"Badge.L3ParentChain.Arbitrum,
    Badge.DA.Celestia,
    Badge.Stack.Orbit,
    Badge.VM.EVM,",False,False,True,'https://protocolmonsterlabs.com/','https://battle-docs.polychainmonsters.com/',,Arbitrum: Orbit,pmon
L3,Proof of Play Apex,,,,popapex,,popapex,,Arbitrum Orbit,arbitrum,,"Badge.DA.DAC, Badge.L3ParentChain.Arbitrum, Badge.RaaS.Conduit",False,False,True,'https://proofofplay.com/',,'https://github.com/proofofplay',Arbitrum: Orbit,popapex
L3,Proof of Play Boss,,,,popboss,,popboss,,Arbitrum Orbit,arbitrum,,"Badge.DA.DAC, Badge.L3ParentChain.Arbitrum, Badge.RaaS.Conduit",False,False,True,'https://proofofplay.com/',,'https://github.com/proofofplay',Arbitrum: Orbit,popboss
L3,RARI Chain,,,,rari,,rari,https://mainnet.rpc.rarichain.org/http,Arbitrum Orbit,arbitrum,,"Badge.DA.DAC, Badge.L3ParentChain.Arbitrum, Badge.RaaS.Caldera",False,False,True,'https://rarichain.org/','https://rari.docs.caldera.dev/','https://github.com/OffchainLabs/nitro',Arbitrum: Orbit,rari
L3,Sanko,1996,https://explorer.sanko.xyz/,,sanko,,sanko,https://mainnet.sanko.xyz,Arbitrum Orbit,arbitrum,,"Badge.DA.DAC, Badge.L3ParentChain.Arbitrum, Badge.RaaS.Caldera",False,False,True,'https://sanko.xyz/','https://sanko-1.gitbook.io/sanko-mainnet-docs/',,Arbitrum: Orbit,sanko
L3,Song Protocol,,,Optimistic Rollup,song-protocol,,songprotocol,,Arbitrum,arbitrum,,,True,False,False,'https://songprotocol.org/',,,Arbitrum: Orbit,song-protocol
L3,Stack,,,,stack,,stack,https://rpc.stack.so,OP Stack,base,,"Badge.DA.Celestia, Badge.L3ParentChain.Base, Badge.RaaS.Conduit",False,False,True,'https://stack.so/','https://docs.stack.so','https://github.com/stack-so/protocol-interfaces',Optimism: OP Stack,stack
L3,Superposition,,,Optimium,superposition,,superposition,,Arbitrum,arbitrum,,,True,False,False,'https://superposition.so/',,,Arbitrum: Orbit,superposition
L3,Syndicate Frame Chain,,,,syndicateframe,,syndicateframe,https://rpc-frame.syndicate.io,OP Stack,base,,"Badge.L3ParentChain.Base, Badge.RaaS.Caldera",False,False,True,'https://syndicate.io/blog/syndicate-frame-chain','https://docs.syndicate.io/get-started/introduction',"'https://github.com/WillPapper/syndicate-farcaster-frame-starter',",Optimism: OP Stack,syndicateframe
L3,Syndr,,,Optimium,syndr,,syndr,,Arbitrum,arbitrum,,,True,False,False,'https://syndr.com/',,,Arbitrum: Orbit,syndr
L3,Teva Chain,,,ZK Rollup,teva,,teva,,ZK Stack,zksync2,,,False,False,True,'https://tevaera.com/tevachain','','',zkSync: ZK Stack,teva
L3,Unite,,,Optimistic Rollup,unite,,unite,,OP Stack,base,,,True,False,False,'https://unite.io/','https://unite-1.gitbook.io/unite-docs',,Optimism: OP Stack,unite
L3,WINR,,,Optimium,winr,,winr,https://rpc.winr.games,Arbitrum,arbitrum,,,False,False,True,'https://winr.games/','https://docs.winr.games/',,Arbitrum: Orbit,winr
L3,Xai,,,Funds can be stolen if,xai,,xai,https://xai-chain.net/rpc,Arbitrum Orbit,arbitrum,,"Badge.DA.DAC, Badge.L3ParentChain.Arbitrum",False,False,True,'https://xai.games/','https://xai-foundation.gitbook.io/xai-network/','https://github.com/OffchainLabs/nitro',Arbitrum: Orbit,xai
L3,zkLink Nova,810180,https://explorer.zklink.io,Validium,zklinknova,,zklinknova,,zkLink Nexus,linea,,"Badge.VM.EVM, Badge.DA.DAC, Badge.L3ParentChain.Linea",False,False,True,"'https://zklink.io', 'https://zk.link'",'https://docs.zklink.io','https://github.com/zkLinkProtocol',zkLink Nexus,zklinknova
L1,,43114,https://snowtrace.io,,avalanche,,avalanche,,,,,,False,False,True,,,,,avalanche
L1,,56,https://bscscan.com,,bsc,,bsc,,,,,,False,False,True,,,,,bsc
L1,,42220,https://celoscan.io,,celo,,celo,,,,,,False,False,True,,,,,celo
L1,,1,https://etherscan.io,,ethereum,,ethereum,,,,,,False,False,True,,,,,ethereum
L1,,100,https://gnosisscan.io,,gnosis,,gnosis,,,,,,False,False,True,,,,,gnosis
L1,,137,https://polygonscan.com,,polygonpos,,polygonpos,,,,,,False,False,True,,,,,polygonpos
