date,chain,layer,defillama_slug,source,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name,chainId,tvl_min,tvl_last,tvl_mean,distinct_protocol_min,distinct_protocol_last,distinct_protocol_mean,distinct_parent_protocol_min,distinct_parent_protocol_last,distinct_parent_protocol_mean,sum_token_value_usd_flow_sum,sum_token_value_usd_price_change_sum
2020-10-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,8644481293.006124,9460875433.07077,9389345269.552967,,,,,,,0.0,0.0
2020-10-01,Loopring,L2,protocols/loopring,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2020-10-01,Polygon,L1,Polygon,chain,False,,,Other EVMs,,,137,2495.3418139221267,830988.7493852598,598373.9843875162,,,,,,,0.0,0.0
2020-11-01,BNB,L1,BSC,chain,False,,,Other EVMs,,,56,12770914.78,128422257.54191062,61179902.08697273,,,,,,,0.0,0.0
2020-11-01,Celo,L1,Celo,chain,False,,,Other EVMs,,,42220,160417201.28032172,195243110.60077935,185812128.93262273,,,,,,,0.0,0.0
2020-11-01,Dydx,L2,protocols/dydx,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2020-11-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,9202493461.155693,12261660794.917896,10933426695.07123,,,,,,,0.0,0.0
2020-11-01,Loopring,L2,protocols/loopring,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2020-11-01,Polygon,L1,Polygon,chain,False,,,Other EVMs,,,137,456844.0772741962,526261.8603086116,598290.7858405488,,,,,,,0.0,0.0
2020-12-01,BNB,L1,BSC,chain,False,,,Other EVMs,,,56,119004508.45515391,151998441.55917272,156000035.32695735,,,,,,,0.0,0.0
2020-12-01,Celo,L1,Celo,chain,False,,,Other EVMs,,,42220,151805719.1932075,167882726.9947695,177032082.01173896,,,,,,,0.0,0.0
2020-12-01,Dydx,L2,protocols/dydx,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2020-12-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,11588769960.969496,14740086040.025501,13043363335.98817,,,,,,,0.0,0.0
2020-12-01,Loopring,L2,protocols/loopring,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2020-12-01,Polygon,L1,Polygon,chain,False,,,Other EVMs,,,137,316581.84693779226,324727.4433364687,403454.7482150476,,,,,,,0.0,0.0
2021-01-01,BNB,L1,BSC,chain,False,,,Other EVMs,,,56,161915735.7887621,357083379.2704461,239022848.108851,,,,,,,0.0,0.0
2021-01-01,Celo,L1,Celo,chain,False,,,Other EVMs,,,42220,155367010.75746477,330255994.8329272,264366632.43380037,,,,,,,0.0,0.0
2021-01-01,Dydx,L2,protocols/dydx,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-01-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,14812338687.34666,24841704945.31495,21336821243.63134,,,,,,,0.0,0.0
2021-01-01,Loopring,L2,protocols/loopring,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-01-01,Polygon,L1,Polygon,chain,False,,,Other EVMs,,,137,305079.81295967987,4764688.9399649585,1793164.9079567303,,,,,,,0.0,0.0
2021-02-01,Avalanche,L1,Avalanche,chain,False,,,Other EVMs,,,43114,124.42210586124264,197531184.0989979,116218040.56763309,,,,,,,0.0,0.0
2021-02-01,BNB,L1,BSC,chain,False,,,Other EVMs,,,56,387682251.8057554,1962442803.256047,1216998265.1005292,,,,,,,0.0,0.0
2021-02-01,Celo,L1,Celo,chain,False,,,Other EVMs,,,42220,324468679.25296366,449301805.3264612,465728988.34348434,,,,,,,0.0,0.0
2021-02-01,Dydx,L2,protocols/dydx,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-02-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,25341945190.11284,33336475571.99708,35775980024.66712,,,,,,,0.0,0.0
2021-02-01,Fantom,L1,Fantom,chain,False,,,Other EVMs,,,250,598082.5243401506,598082.5243401506,598082.5243401506,,,,,,,0.0,0.0
2021-02-01,Gnosis,L1,Gnosis,chain,False,,,Other EVMs,,,100,65.29729145294509,32065.61538349775,6319.296147072775,,,,,,,0.0,0.0
2021-02-01,Loopring,L2,protocols/loopring,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-02-01,Polygon,L1,Polygon,chain,False,,,Other EVMs,,,137,4517544.002024757,76387917.74710745,20786175.681677964,,,,,,,0.0,0.0
2021-03-01,Avalanche,L1,Avalanche,chain,False,,,Other EVMs,,,43114,189166868.63427812,189166868.63427812,239051423.4703202,,,,,,,0.0,0.0
2021-03-01,BNB,L1,BSC,chain,False,,,Other EVMs,,,56,2033947669.5225778,5839067298.853488,3515839174.5628233,,,,,,,0.0,0.0
2021-03-01,Celo,L1,Celo,chain,False,,,Other EVMs,,,42220,410682656.36534995,533935667.4098716,458185003.89506876,,,,,,,0.0,0.0
2021-03-01,Dydx,L2,protocols/dydx,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-03-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,36361480347.95155,46988743381.342606,41631841134.45311,,,,,,,0.0,0.0
2021-03-01,Fantom,L1,Fantom,chain,False,,,Other EVMs,,,250,625169.457895352,1824070.7554567214,794952.1928361139,,,,,,,0.0,0.0
2021-03-01,Gnosis,L1,Gnosis,chain,False,,,Other EVMs,,,100,35464.93955570136,27646965.025199376,7269048.787221612,,,,,,,0.0,0.0
2021-03-01,Loopring,L2,protocols/loopring,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-03-01,Polygon,L1,Polygon,chain,False,,,Other EVMs,,,137,92081052.84378305,116501664.85869771,111133337.28669904,,,,,,,0.0,0.0
2021-04-01,Avalanche,L1,Avalanche,chain,False,,,Other EVMs,,,43114,172612553.38262948,286551363.931409,226582492.22029766,,,,,,,0.0,0.0
2021-04-01,BNB,L1,BSC,chain,False,,,Other EVMs,,,56,6494135504.409832,19348318011.239124,11862985127.45114,,,,,,,0.0,0.0
2021-04-01,Celo,L1,Celo,chain,False,,,Other EVMs,,,42220,449002604.25171053,670453443.2036983,564945102.6582685,,,,,,,0.0,0.0
2021-04-01,Dydx,L2,protocols/dydx,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-04-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,48274893881.392494,67902214665.088806,59725162032.36947,,,,,,,0.0,0.0
2021-04-01,Fantom,L1,Fantom,chain,False,,,Other EVMs,,,250,2184277.8444951423,39798788.76106976,10011241.65803378,,,,,,,0.0,0.0
2021-04-01,Gnosis,L1,Gnosis,chain,False,,,Other EVMs,,,100,27791284.264525082,45441043.54234863,41521656.81216314,,,,,,,0.0,0.0
2021-04-01,Loopring,L2,protocols/loopring,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-04-01,Polygon,L1,Polygon,chain,False,,,Other EVMs,,,137,116690312.87470801,1586893249.5644464,443086864.3573746,,,,,,,0.0,0.0
2021-05-01,Avalanche,L1,Avalanche,chain,False,,,Other EVMs,,,43114,175437664.81235093,210237722.3023524,306544130.8668431,,,,,,,0.0,0.0
2021-05-01,BNB,L1,BSC,chain,False,,,Other EVMs,,,56,9253399295.916695,10372666887.036438,16007027691.453913,,,,,,,0.0,0.0
2021-05-01,Celo,L1,Celo,chain,False,,,Other EVMs,,,42220,294459793.76239294,396884019.21978587,534697966.1920083,,,,,,,0.0,0.0
2021-05-01,Dydx,L2,protocols/dydx,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-05-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,50344985146.9895,60172296119.29742,69563250024.3705,,,,,,,0.0,0.0
2021-05-01,Fantom,L1,Fantom,chain,False,,,Other EVMs,,,250,52401770.917986125,138084909.8694327,183305526.0644188,,,,,,,0.0,0.0
2021-05-01,Gnosis,L1,Gnosis,chain,False,,,Other EVMs,,,100,27371203.05303288,29324432.028088905,38878714.04652388,,,,,,,0.0,0.0
2021-05-01,Loopring,L2,protocols/loopring,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-05-01,Polygon,L1,Polygon,chain,False,,,Other EVMs,,,137,1573036620.1333761,6638092698.958476,4058074913.3845844,,,,,,,0.0,0.0
2021-06-01,Avalanche,L1,Avalanche,chain,False,,,Other EVMs,,,43114,143341116.93130085,168436981.5775286,182240199.62674037,,,,,,,0.0,0.0
2021-06-01,Aztec,L2,protocols/aztec,protocol,False,,,Other EVMs,,,-1,540680.37034,690411.929,682636.4070421739,,,,,,,0.0,0.0
2021-06-01,BNB,L1,BSC,chain,False,,,Other EVMs,,,56,9754807622.044874,10661183243.611506,10978129680.573679,,,,,,,0.0,0.0
2021-06-01,Celo,L1,Celo,chain,False,,,Other EVMs,,,42220,212130401.50712237,363595486.4473561,334905612.69582313,,,,,,,0.0,0.0
2021-06-01,Dydx,L2,protocols/dydx,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-06-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,50404632823.33152,56348304077.56389,58895882197.18688,,,,,,,0.0,0.0
2021-06-01,Fantom,L1,Fantom,chain,False,,,Other EVMs,,,250,108612607.78241475,162512705.08737737,134207711.46291243,,,,,,,0.0,0.0
2021-06-01,Gnosis,L1,Gnosis,chain,False,,,Other EVMs,,,100,21466455.1217691,27174726.41712319,28592887.018219676,,,,,,,0.0,0.0
2021-06-01,Loopring,L2,protocols/loopring,protocol,False,,,Other EVMs,,,-1,0.0,0.0,0.0,,,,,,,0.0,0.0
2021-06-01,Polygon,L1,Polygon,chain,False,,,Other EVMs,,,137,5237151535.872577,5444201468.108379,6637806647.81357,,,,,,,0.0,0.0
2021-07-01,Avalanche,L1,Avalanche,chain,False,,,Other EVMs,,,43114,120653653.26773718,157961200.68142992,154840588.4914678,,,,,,,0.0,0.0
2021-07-01,Aztec,L2,protocols/aztec,protocol,False,,,Other EVMs,,,-1,528589.44098,729790.51164,635618.3981648387,,,,,,,0.0,0.0
2021-07-01,BNB,L1,BSC,chain,False,,,Other EVMs,,,56,9843166391.550087,12041387197.64985,11295305233.158472,,,,,,,0.0,0.0
2021-07-01,Celo,L1,Celo,chain,False,,,Other EVMs,,,42220,267283206.8601796,339225489.97567886,330039188.7609238,,,,,,,0.0,0.0
