date,chain,layer,defillama_slug,source,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name,chainId,tvl_min,tvl_last,tvl_mean,distinct_protocol_min,distinct_protocol_last,distinct_protocol_mean,distinct_parent_protocol_min,distinct_parent_protocol_last,distinct_parent_protocol_mean,sum_token_value_usd_flow_sum,sum_token_value_usd_price_change_sum
2019-01-21,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,244151380.72137105,248491097.97581267,259177925.73331383,,,,,,,0.0,0.0
2019-01-28,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,235787788.93219325,239831642.31642422,241259307.63149554,,,,,,,0.0,0.0
2019-02-04,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,110993122.61774033,230127295.9378305,209661428.60297626,,,,,,,0.0,0.0
2019-02-11,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,223333681.33795673,258554459.28182465,238252984.82878405,,,,,,,0.0,0.0
2019-02-18,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,262141236.55677602,281574784.5909167,269397270.9330019,,,,,,,0.0,0.0
2019-02-25,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,305819125.38476026,364416787.12223154,329041330.57842255,,,,,,,0.0,0.0
2019-03-04,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,303624732.5909045,305542360.40751946,309329405.0431592,,,,,,,0.0,0.0
2019-03-11,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,288680650.23027086,313835747.59514207,311465588.5018247,,,,,,,0.0,0.0
2019-03-18,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,307100618.33724433,334848455.9778187,318165067.1149868,,,,,,,0.0,0.0
2019-03-25,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,317895424.76565295,321138288.81514347,324480666.1261131,,,,,,,0.0,0.0
2019-04-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,312363436.9288936,333460244.3267265,325181541.45693415,,,,,,,0.0,0.0
2019-04-08,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,330978254.0738635,397314868.4334596,376320404.5211963,,,,,,,0.0,0.0
2019-04-15,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,384361169.38353956,384943047.85696507,401656762.76389873,,,,,,,0.0,0.0
2019-04-22,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,378592405.4319822,384047397.13217676,390818577.3237377,,,,,,,0.0,0.0
2019-04-29,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,351397722.89795536,355871415.80417997,370802807.02126515,,,,,,,0.0,0.0
2019-05-06,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,345659531.1355442,365556204.754821,362148425.0030235,,,,,,,0.0,0.0
2019-05-13,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,366422292.35220385,407686685.1884569,386021974.0894376,,,,,,,0.0,0.0
2019-05-20,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,413872177.13646185,499545006.98608273,465736184.78650695,,,,,,,0.0,0.0
2019-05-27,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,462332913.3971687,477590554.8321922,484033423.5906166,,,,,,,0.0,0.0
2019-06-03,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,464900287.57859576,492316483.3400437,491069559.22533184,,,,,,,0.0,0.0
2019-06-10,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,448830825.94166213,448830825.94166213,457312586.44697326,,,,,,,0.0,0.0
2019-06-17,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,445448012.0656851,496782843.65508485,469071307.83313847,,,,,,,0.0,0.0
2019-06-24,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,491959838.5535516,557130390.978076,517743995.5077599,,,,,,,0.0,0.0
2019-07-01,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,524027832.9805382,524027832.9805382,547108053.7620428,,,,,,,0.0,0.0
2019-07-08,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,488986544.7436617,521782532.26283073,515106016.6989578,,,,,,,0.0,0.0
2019-07-15,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,444131044.1080748,444131044.1080748,509054329.9291061,,,,,,,0.0,0.0
2019-07-22,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,424182743.61372906,476650084.6579555,442485025.899948,,,,,,,0.0,0.0
2019-07-29,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,400167620.4151223,401701991.0465343,413637487.02386075,,,,,,,0.0,0.0
2019-08-05,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,399934410.87550837,420913306.4644443,412008657.56273216,,,,,,,0.0,0.0
2019-08-12,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,423599912.3338429,433190916.0747597,430610124.2527955,,,,,,,0.0,0.0
2019-08-19,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,407528542.2665061,416031742.4055453,422897823.6511354,,,,,,,0.0,0.0
2019-08-26,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,423581430.6629265,430880628.2109283,431701410.30551666,,,,,,,0.0,0.0
2019-09-02,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,405559306.8084998,412015990.00080407,420224789.3851877,,,,,,,0.0,0.0
2019-09-09,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,417855647.89778066,440831779.06075525,430133869.8229173,,,,,,,0.0,0.0
2019-09-16,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,440748361.2252428,466834224.5373145,447992919.0249888,,,,,,,0.0,0.0
2019-09-23,Ethereum,L1,Ethereum,chain,False,,,Other EVMs,,,1,479616374.1773212,515842768.1240651,510517094.9259183,,,,,,,0.0,0.0
