blockchain,layer,chain_id,creator_address,dt,is_op_chain,op_based_version,alignment,chain_name,display_name
l1,Aggregate,-1,6810,2024-07-10,False,,Aggregate,,L1s
gnosis,L1,100,134,2024-07-10,False,,Other EVMs,,Gnosis
fantom,L1,250,141,2024-07-10,False,,Other EVMs,,Fantom
ethereum,L1,1,2491,2024-07-10,False,,Other EVMs,,Ethereum
celo,L1,42220,90,2024-07-10,False,,Other EVMs,,Celo
bnb,L1,56,2582,2024-07-10,False,,Other EVMs,,BNB
base,L2,8453,3335,2024-07-10,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,372,2024-07-10,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1362,2024-07-10,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10734,2024-07-10,False,,Aggregate,,All
zora,L2,7777777,39,2024-07-09,True,modern,OP Chain,zora,Zora
polygon,L1,137,1941,2024-07-09,False,,Other EVMs,,Polygon PoS
optimism,L2,10,537,2024-07-09,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3640,2024-07-09,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-09,False,,Aggregate,,L3s
l2,Aggregate,-1,4616,2024-07-09,False,,Aggregate,,L2s
l1,Aggregate,-1,6861,2024-07-09,False,,Aggregate,,L1s
gnosis,L1,100,131,2024-07-09,False,,Other EVMs,,Gnosis
fantom,L1,250,139,2024-07-09,False,,Other EVMs,,Fantom
ethereum,L1,1,2498,2024-07-09,False,,Other EVMs,,Ethereum
celo,L1,42220,91,2024-07-09,False,,Other EVMs,,Celo
bnb,L1,56,2599,2024-07-09,False,,Other EVMs,,BNB
base,L2,8453,3315,2024-07-09,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,372,2024-07-09,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1367,2024-07-09,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10771,2024-07-09,False,,Aggregate,,All
zora,L2,7777777,41,2024-07-08,True,modern,OP Chain,zora,Zora
polygon,L1,137,1941,2024-07-08,False,,Other EVMs,,Polygon PoS
optimism,L2,10,533,2024-07-08,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3559,2024-07-08,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-08,False,,Aggregate,,L3s
l2,Aggregate,-1,4530,2024-07-08,False,,Aggregate,,L2s
l1,Aggregate,-1,6848,2024-07-08,False,,Aggregate,,L1s
gnosis,L1,100,132,2024-07-08,False,,Other EVMs,,Gnosis
fantom,L1,250,143,2024-07-08,False,,Other EVMs,,Fantom
ethereum,L1,1,2487,2024-07-08,False,,Other EVMs,,Ethereum
celo,L1,42220,89,2024-07-08,False,,Other EVMs,,Celo
bnb,L1,56,2587,2024-07-08,False,,Other EVMs,,BNB
base,L2,8453,3232,2024-07-08,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,371,2024-07-08,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1361,2024-07-08,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10668,2024-07-08,False,,Aggregate,,All
zora,L2,7777777,44,2024-07-07,True,modern,OP Chain,zora,Zora
polygon,L1,137,1936,2024-07-07,False,,Other EVMs,,Polygon PoS
optimism,L2,10,526,2024-07-07,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3582,2024-07-07,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-07,False,,Aggregate,,L3s
l2,Aggregate,-1,4547,2024-07-07,False,,Aggregate,,L2s
l1,Aggregate,-1,6831,2024-07-07,False,,Aggregate,,L1s
gnosis,L1,100,132,2024-07-07,False,,Other EVMs,,Gnosis
fantom,L1,250,149,2024-07-07,False,,Other EVMs,,Fantom
ethereum,L1,1,2450,2024-07-07,False,,Other EVMs,,Ethereum
celo,L1,42220,88,2024-07-07,False,,Other EVMs,,Celo
bnb,L1,56,2598,2024-07-07,False,,Other EVMs,,BNB
base,L2,8453,3263,2024-07-07,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,369,2024-07-07,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1353,2024-07-07,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10670,2024-07-07,False,,Aggregate,,All
zora,L2,7777777,43,2024-07-06,True,modern,OP Chain,zora,Zora
polygon,L1,137,1949,2024-07-06,False,,Other EVMs,,Polygon PoS
optimism,L2,10,520,2024-07-06,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3606,2024-07-06,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-06,False,,Aggregate,,L3s
l2,Aggregate,-1,4572,2024-07-06,False,,Aggregate,,L2s
l1,Aggregate,-1,6867,2024-07-06,False,,Aggregate,,L1s
gnosis,L1,100,132,2024-07-06,False,,Other EVMs,,Gnosis
fantom,L1,250,151,2024-07-06,False,,Other EVMs,,Fantom
ethereum,L1,1,2449,2024-07-06,False,,Other EVMs,,Ethereum
celo,L1,42220,87,2024-07-06,False,,Other EVMs,,Celo
bnb,L1,56,2623,2024-07-06,False,,Other EVMs,,BNB
base,L2,8453,3289,2024-07-06,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,362,2024-07-06,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1349,2024-07-06,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10731,2024-07-06,False,,Aggregate,,All
zora,L2,7777777,43,2024-07-05,True,modern,OP Chain,zora,Zora
polygon,L1,137,1922,2024-07-05,False,,Other EVMs,,Polygon PoS
optimism,L2,10,515,2024-07-05,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3506,2024-07-05,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-05,False,,Aggregate,,L3s
l2,Aggregate,-1,4455,2024-07-05,False,,Aggregate,,L2s
l1,Aggregate,-1,6721,2024-07-05,False,,Aggregate,,L1s
gnosis,L1,100,131,2024-07-05,False,,Other EVMs,,Gnosis
fantom,L1,250,150,2024-07-05,False,,Other EVMs,,Fantom
ethereum,L1,1,2383,2024-07-05,False,,Other EVMs,,Ethereum
celo,L1,42220,85,2024-07-05,False,,Other EVMs,,Celo
bnb,L1,56,2563,2024-07-05,False,,Other EVMs,,BNB
base,L2,8453,3193,2024-07-05,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,360,2024-07-05,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1327,2024-07-05,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10480,2024-07-05,False,,Aggregate,,All
zora,L2,7777777,42,2024-07-04,True,modern,OP Chain,zora,Zora
polygon,L1,137,1868,2024-07-04,False,,Other EVMs,,Polygon PoS
optimism,L2,10,497,2024-07-04,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3338,2024-07-04,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-04,False,,Aggregate,,L3s
l2,Aggregate,-1,4257,2024-07-04,False,,Aggregate,,L2s
l1,Aggregate,-1,6535,2024-07-04,False,,Aggregate,,L1s
gnosis,L1,100,127,2024-07-04,False,,Other EVMs,,Gnosis
fantom,L1,250,146,2024-07-04,False,,Other EVMs,,Fantom
ethereum,L1,1,2307,2024-07-04,False,,Other EVMs,,Ethereum
celo,L1,42220,82,2024-07-04,False,,Other EVMs,,Celo
bnb,L1,56,2508,2024-07-04,False,,Other EVMs,,BNB
base,L2,8453,3033,2024-07-04,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,347,2024-07-04,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1289,2024-07-04,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10126,2024-07-04,False,,Aggregate,,All
zora,L2,7777777,42,2024-07-03,True,modern,OP Chain,zora,Zora
polygon,L1,137,1813,2024-07-03,False,,Other EVMs,,Polygon PoS
optimism,L2,10,470,2024-07-03,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3195,2024-07-03,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-03,False,,Aggregate,,L3s
l2,Aggregate,-1,4085,2024-07-03,False,,Aggregate,,L2s
l1,Aggregate,-1,6346,2024-07-03,False,,Aggregate,,L1s
gnosis,L1,100,127,2024-07-03,False,,Other EVMs,,Gnosis
fantom,L1,250,142,2024-07-03,False,,Other EVMs,,Fantom
ethereum,L1,1,2228,2024-07-03,False,,Other EVMs,,Ethereum
celo,L1,42220,78,2024-07-03,False,,Other EVMs,,Celo
bnb,L1,56,2444,2024-07-03,False,,Other EVMs,,BNB
base,L2,8453,2902,2024-07-03,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,336,2024-07-03,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1244,2024-07-03,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,9784,2024-07-03,False,,Aggregate,,All
zora,L2,7777777,41,2024-07-02,True,modern,OP Chain,zora,Zora
polygon,L1,137,1762,2024-07-02,False,,Other EVMs,,Polygon PoS
optimism,L2,10,456,2024-07-02,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3123,2024-07-02,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-02,False,,Aggregate,,L3s
l2,Aggregate,-1,3989,2024-07-02,False,,Aggregate,,L2s
l1,Aggregate,-1,6137,2024-07-02,False,,Aggregate,,L1s
gnosis,L1,100,119,2024-07-02,False,,Other EVMs,,Gnosis
fantom,L1,250,140,2024-07-02,False,,Other EVMs,,Fantom
ethereum,L1,1,2158,2024-07-02,False,,Other EVMs,,Ethereum
celo,L1,42220,72,2024-07-02,False,,Other EVMs,,Celo
bnb,L1,56,2363,2024-07-02,False,,Other EVMs,,BNB
base,L2,8453,2836,2024-07-02,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,324,2024-07-02,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1208,2024-07-02,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,9504,2024-07-02,False,,Aggregate,,All
zora,L2,7777777,40,2024-07-01,True,modern,OP Chain,zora,Zora
polygon,L1,137,1708,2024-07-01,False,,Other EVMs,,Polygon PoS
optimism,L2,10,442,2024-07-01,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,2901,2024-07-01,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-01,False,,Aggregate,,L3s
l2,Aggregate,-1,3745,2024-07-01,False,,Aggregate,,L2s
l1,Aggregate,-1,5941,2024-07-01,False,,Aggregate,,L1s
gnosis,L1,100,112,2024-07-01,False,,Other EVMs,,Gnosis
fantom,L1,250,135,2024-07-01,False,,Other EVMs,,Fantom
ethereum,L1,1,2088,2024-07-01,False,,Other EVMs,,Ethereum
celo,L1,42220,68,2024-07-01,False,,Other EVMs,,Celo
bnb,L1,56,2286,2024-07-01,False,,Other EVMs,,BNB
base,L2,8453,2620,2024-07-01,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,307,2024-07-01,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1173,2024-07-01,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,9088,2024-07-01,False,,Aggregate,,All
zora,L2,7777777,40,2024-06-30,True,modern,OP Chain,zora,Zora
polygon,L1,137,1652,2024-06-30,False,,Other EVMs,,Polygon PoS
optimism,L2,10,423,2024-06-30,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,2824,2024-06-30,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-06-30,False,,Aggregate,,L3s
l2,Aggregate,-1,3650,2024-06-30,False,,Aggregate,,L2s
l1,Aggregate,-1,5710,2024-06-30,False,,Aggregate,,L1s
gnosis,L1,100,108,2024-06-30,False,,Other EVMs,,Gnosis
fantom,L1,250,128,2024-06-30,False,,Other EVMs,,Fantom
ethereum,L1,1,1992,2024-06-30,False,,Other EVMs,,Ethereum
celo,L1,42220,67,2024-06-30,False,,Other EVMs,,Celo
bnb,L1,56,2202,2024-06-30,False,,Other EVMs,,BNB
base,L2,8453,2554,2024-06-30,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,296,2024-06-30,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1140,2024-06-30,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,8786,2024-06-30,False,,Aggregate,,All
zora,L2,7777777,38,2024-06-29,True,modern,OP Chain,zora,Zora
polygon,L1,137,1615,2024-06-29,False,,Other EVMs,,Polygon PoS
optimism,L2,10,418,2024-06-29,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,2756,2024-06-29,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-06-29,False,,Aggregate,,L3s
l2,Aggregate,-1,3571,2024-06-29,False,,Aggregate,,L2s
l1,Aggregate,-1,5554,2024-06-29,False,,Aggregate,,L1s
gnosis,L1,100,106,2024-06-29,False,,Other EVMs,,Gnosis
fantom,L1,250,124,2024-06-29,False,,Other EVMs,,Fantom
ethereum,L1,1,1931,2024-06-29,False,,Other EVMs,,Ethereum
celo,L1,42220,66,2024-06-29,False,,Other EVMs,,Celo
bnb,L1,56,2145,2024-06-29,False,,Other EVMs,,BNB
base,L2,8453,2488,2024-06-29,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,289,2024-06-29,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1123,2024-06-29,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,8562,2024-06-29,False,,Aggregate,,All
zora,L2,7777777,37,2024-06-28,True,modern,OP Chain,zora,Zora
polygon,L1,137,1578,2024-06-28,False,,Other EVMs,,Polygon PoS
optimism,L2,10,406,2024-06-28,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,2691,2024-06-28,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-06-28,False,,Aggregate,,L3s
l2,Aggregate,-1,3489,2024-06-28,False,,Aggregate,,L2s
l1,Aggregate,-1,5395,2024-06-28,False,,Aggregate,,L1s
gnosis,L1,100,105,2024-06-28,False,,Other EVMs,,Gnosis
fantom,L1,250,118,2024-06-28,False,,Other EVMs,,Fantom
ethereum,L1,1,1866,2024-06-28,False,,Other EVMs,,Ethereum
celo,L1,42220,66,2024-06-28,False,,Other EVMs,,Celo
bnb,L1,56,2077,2024-06-28,False,,Other EVMs,,BNB
base,L2,8453,2434,2024-06-28,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,284,2024-06-28,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1101,2024-06-28,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,8337,2024-06-28,False,,Aggregate,,All
zora,L2,7777777,37,2024-06-27,True,modern,OP Chain,zora,Zora
polygon,L1,137,1527,2024-06-27,False,,Other EVMs,,Polygon PoS
optimism,L2,10,385,2024-06-27,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,2603,2024-06-27,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-06-27,False,,Aggregate,,L3s
l2,Aggregate,-1,3368,2024-06-27,False,,Aggregate,,L2s
l1,Aggregate,-1,5200,2024-06-27,False,,Aggregate,,L1s
gnosis,L1,100,100,2024-06-27,False,,Other EVMs,,Gnosis
fantom,L1,250,114,2024-06-27,False,,Other EVMs,,Fantom
ethereum,L1,1,1800,2024-06-27,False,,Other EVMs,,Ethereum
celo,L1,42220,61,2024-06-27,False,,Other EVMs,,Celo
bnb,L1,56,2001,2024-06-27,False,,Other EVMs,,BNB
base,L2,8453,2359,2024-06-27,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,271,2024-06-27,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1052,2024-06-27,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,8052,2024-06-27,False,,Aggregate,,All
zora,L2,7777777,36,2024-06-26,True,modern,OP Chain,zora,Zora
polygon,L1,137,1449,2024-06-26,False,,Other EVMs,,Polygon PoS
optimism,L2,10,367,2024-06-26,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,2458,2024-06-26,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-06-26,False,,Aggregate,,L3s
l2,Aggregate,-1,3194,2024-06-26,False,,Aggregate,,L2s
l1,Aggregate,-1,4956,2024-06-26,False,,Aggregate,,L1s
gnosis,L1,100,100,2024-06-26,False,,Other EVMs,,Gnosis
fantom,L1,250,112,2024-06-26,False,,Other EVMs,,Fantom
ethereum,L1,1,1715,2024-06-26,False,,Other EVMs,,Ethereum
celo,L1,42220,59,2024-06-26,False,,Other EVMs,,Celo
bnb,L1,56,1906,2024-06-26,False,,Other EVMs,,BNB
base,L2,8453,2224,2024-06-26,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,266,2024-06-26,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1004,2024-06-26,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,7660,2024-06-26,False,,Aggregate,,All
zora,L2,7777777,34,2024-06-25,True,modern,OP Chain,zora,Zora
polygon,L1,137,1384,2024-06-25,False,,Other EVMs,,Polygon PoS
optimism,L2,10,339,2024-06-25,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,2355,2024-06-25,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-06-25,False,,Aggregate,,L3s
l2,Aggregate,-1,3058,2024-06-25,False,,Aggregate,,L2s
l1,Aggregate,-1,4710,2024-06-25,False,,Aggregate,,L1s
gnosis,L1,100,95,2024-06-25,False,,Other EVMs,,Gnosis
fantom,L1,250,106,2024-06-25,False,,Other EVMs,,Fantom
ethereum,L1,1,1607,2024-06-25,False,,Other EVMs,,Ethereum
celo,L1,42220,58,2024-06-25,False,,Other EVMs,,Celo
bnb,L1,56,1815,2024-06-25,False,,Other EVMs,,BNB
base,L2,8453,2136,2024-06-25,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,248,2024-06-25,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,950,2024-06-25,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,7313,2024-06-25,False,,Aggregate,,All
zora,L2,7777777,34,2024-06-24,True,modern,OP Chain,zora,Zora
polygon,L1,137,1299,2024-06-24,False,,Other EVMs,,Polygon PoS
optimism,L2,10,325,2024-06-24,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,2263,2024-06-24,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-06-24,False,,Aggregate,,L3s
l2,Aggregate,-1,2941,2024-06-24,False,,Aggregate,,L2s
l1,Aggregate,-1,4453,2024-06-24,False,,Aggregate,,L1s
gnosis,L1,100,90,2024-06-24,False,,Other EVMs,,Gnosis
fantom,L1,250,104,2024-06-24,False,,Other EVMs,,Fantom
ethereum,L1,1,1514,2024-06-24,False,,Other EVMs,,Ethereum
celo,L1,42220,53,2024-06-24,False,,Other EVMs,,Celo
bnb,L1,56,1724,2024-06-24,False,,Other EVMs,,BNB
base,L2,8453,2046,2024-06-24,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,230,2024-06-24,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,907,2024-06-24,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,6967,2024-06-24,False,,Aggregate,,All
zora,L2,7777777,33,2024-06-23,True,modern,OP Chain,zora,Zora
polygon,L1,137,1243,2024-06-23,False,,Other EVMs,,Polygon PoS
optimism,L2,10,311,2024-06-23,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,2141,2024-06-23,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-06-23,False,,Aggregate,,L3s
l2,Aggregate,-1,2781,2024-06-23,False,,Aggregate,,L2s
l1,Aggregate,-1,4211,2024-06-23,False,,Aggregate,,L1s
gnosis,L1,100,85,2024-06-23,False,,Other EVMs,,Gnosis
fantom,L1,250,98,2024-06-23,False,,Other EVMs,,Fantom
ethereum,L1,1,1425,2024-06-23,False,,Other EVMs,,Ethereum
celo,L1,42220,47,2024-06-23,False,,Other EVMs,,Celo
bnb,L1,56,1621,2024-06-23,False,,Other EVMs,,BNB
base,L2,8453,1932,2024-06-23,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,213,2024-06-23,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,853,2024-06-23,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,6595,2024-06-23,False,,Aggregate,,All
zora,L2,7777777,33,2024-06-22,True,modern,OP Chain,zora,Zora
polygon,L1,137,1211,2024-06-22,False,,Other EVMs,,Polygon PoS
optimism,L2,10,301,2024-06-22,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,2076,2024-06-22,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-06-22,False,,Aggregate,,L3s
l2,Aggregate,-1,2701,2024-06-22,False,,Aggregate,,L2s
l1,Aggregate,-1,4052,2024-06-22,False,,Aggregate,,L1s
gnosis,L1,100,83,2024-06-22,False,,Other EVMs,,Gnosis
fantom,L1,250,96,2024-06-22,False,,Other EVMs,,Fantom
ethereum,L1,1,1361,2024-06-22,False,,Other EVMs,,Ethereum
celo,L1,42220,43,2024-06-22,False,,Other EVMs,,Celo
bnb,L1,56,1549,2024-06-22,False,,Other EVMs,,BNB
base,L2,8453,1872,2024-06-22,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,207,2024-06-22,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,830,2024-06-22,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,6367,2024-06-22,False,,Aggregate,,All
zora,L2,7777777,32,2024-06-21,True,modern,OP Chain,zora,Zora
polygon,L1,137,1171,2024-06-21,False,,Other EVMs,,Polygon PoS
optimism,L2,10,288,2024-06-21,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,2016,2024-06-21,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-06-21,False,,Aggregate,,L3s
l2,Aggregate,-1,2626,2024-06-21,False,,Aggregate,,L2s
l1,Aggregate,-1,3884,2024-06-21,False,,Aggregate,,L1s
gnosis,L1,100,82,2024-06-21,False,,Other EVMs,,Gnosis
fantom,L1,250,92,2024-06-21,False,,Other EVMs,,Fantom
ethereum,L1,1,1296,2024-06-21,False,,Other EVMs,,Ethereum
celo,L1,42220,43,2024-06-21,False,,Other EVMs,,Celo
bnb,L1,56,1476,2024-06-21,False,,Other EVMs,,BNB
base,L2,8453,1824,2024-06-21,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,201,2024-06-21,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,806,2024-06-21,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,6140,2024-06-21,False,,Aggregate,,All
zora,L2,7777777,32,2024-06-20,True,modern,OP Chain,zora,Zora
polygon,L1,137,1097,2024-06-20,False,,Other EVMs,,Polygon PoS
optimism,L2,10,269,2024-06-20,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,1911,2024-06-20,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-06-20,False,,Aggregate,,L3s
l2,Aggregate,-1,2483,2024-06-20,False,,Aggregate,,L2s
l1,Aggregate,-1,3632,2024-06-20,False,,Aggregate,,L1s
gnosis,L1,100,78,2024-06-20,False,,Other EVMs,,Gnosis
fantom,L1,250,88,2024-06-20,False,,Other EVMs,,Fantom
ethereum,L1,1,1204,2024-06-20,False,,Other EVMs,,Ethereum
celo,L1,42220,41,2024-06-20,False,,Other EVMs,,Celo
bnb,L1,56,1375,2024-06-20,False,,Other EVMs,,BNB
base,L2,8453,1731,2024-06-20,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,186,2024-06-20,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,751,2024-06-20,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,5769,2024-06-20,False,,Aggregate,,All
zora,L2,7777777,32,2024-06-19,True,modern,OP Chain,zora,Zora
polygon,L1,137,1018,2024-06-19,False,,Other EVMs,,Polygon PoS
optimism,L2,10,243,2024-06-19,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,1806,2024-06-19,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-06-19,False,,Aggregate,,L3s
l2,Aggregate,-1,2337,2024-06-19,False,,Aggregate,,L2s
l1,Aggregate,-1,3387,2024-06-19,False,,Aggregate,,L1s
gnosis,L1,100,69,2024-06-19,False,,Other EVMs,,Gnosis
fantom,L1,250,81,2024-06-19,False,,Other EVMs,,Fantom
ethereum,L1,1,1127,2024-06-19,False,,Other EVMs,,Ethereum
celo,L1,42220,38,2024-06-19,False,,Other EVMs,,Celo
bnb,L1,56,1272,2024-06-19,False,,Other EVMs,,BNB
base,L2,8453,1639,2024-06-19,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,173,2024-06-19,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,684,2024-06-19,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,5412,2024-06-19,False,,Aggregate,,All
zora,L2,7777777,28,2024-06-18,True,modern,OP Chain,zora,Zora
polygon,L1,137,949,2024-06-18,False,,Other EVMs,,Polygon PoS
optimism,L2,10,217,2024-06-18,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,1670,2024-06-18,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-06-18,False,,Aggregate,,L3s
l2,Aggregate,-1,2169,2024-06-18,False,,Aggregate,,L2s
l1,Aggregate,-1,3155,2024-06-18,False,,Aggregate,,L1s
gnosis,L1,100,67,2024-06-18,False,,Other EVMs,,Gnosis
fantom,L1,250,76,2024-06-18,False,,Other EVMs,,Fantom
ethereum,L1,1,1037,2024-06-18,False,,Other EVMs,,Ethereum
celo,L1,42220,35,2024-06-18,False,,Other EVMs,,Celo
bnb,L1,56,1178,2024-06-18,False,,Other EVMs,,BNB
base,L2,8453,1518,2024-06-18,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,163,2024-06-18,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,639,2024-06-18,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,5039,2024-06-18,False,,Aggregate,,All
zora,L2,7777777,26,2024-06-17,True,modern,OP Chain,zora,Zora
polygon,L1,137,895,2024-06-17,False,,Other EVMs,,Polygon PoS
optimism,L2,10,184,2024-06-17,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,1548,2024-06-17,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-06-17,False,,Aggregate,,L3s
l2,Aggregate,-1,2003,2024-06-17,False,,Aggregate,,L2s
l1,Aggregate,-1,2921,2024-06-17,False,,Aggregate,,L1s
gnosis,L1,100,62,2024-06-17,False,,Other EVMs,,Gnosis
fantom,L1,250,67,2024-06-17,False,,Other EVMs,,Fantom
ethereum,L1,1,948,2024-06-17,False,,Other EVMs,,Ethereum
celo,L1,42220,33,2024-06-17,False,,Other EVMs,,Celo
bnb,L1,56,1075,2024-06-17,False,,Other EVMs,,BNB
base,L2,8453,1412,2024-06-17,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,147,2024-06-17,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,581,2024-06-17,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,4670,2024-06-17,False,,Aggregate,,All
zora,L2,7777777,24,2024-06-16,True,modern,OP Chain,zora,Zora
polygon,L1,137,843,2024-06-16,False,,Other EVMs,,Polygon PoS
optimism,L2,10,168,2024-06-16,True,modern,OP Chain,op,OP Mainnet
