blockchain,layer,chain_id,creator_address,dt,is_op_chain,op_based_version,alignment,chain_name,display_name
bnb,L1,56,2447,2024-07-29,False,,Other EVMs,,BNB
base,L2,8453,3352,2024-07-29,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,349,2024-07-29,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1277,2024-07-29,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10540,2024-07-29,False,,Aggregate,,All
zora,L2,7777777,44,2024-07-28,True,modern,OP Chain,zora,Zora
polygon,L1,137,1774,2024-07-28,False,,Other EVMs,,Polygon PoS
optimism,L2,10,490,2024-07-28,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3647,2024-07-28,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-28,False,,Aggregate,,L3s
l2,Aggregate,-1,4561,2024-07-28,False,,Aggregate,,L2s
l1,Aggregate,-1,6554,2024-07-28,False,,Aggregate,,L1s
gnosis,L1,100,102,2024-07-28,False,,Other EVMs,,Gnosis
fantom,L1,250,128,2024-07-28,False,,Other EVMs,,Fantom
ethereum,L1,1,2444,2024-07-28,False,,Other EVMs,,Ethereum
celo,L1,42220,89,2024-07-28,False,,Other EVMs,,Celo
bnb,L1,56,2439,2024-07-28,False,,Other EVMs,,BNB
base,L2,8453,3340,2024-07-28,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,343,2024-07-28,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1254,2024-07-28,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10486,2024-07-28,False,,Aggregate,,All
zora,L2,7777777,43,2024-07-27,True,modern,OP Chain,zora,Zora
polygon,L1,137,1793,2024-07-27,False,,Other EVMs,,Polygon PoS
optimism,L2,10,497,2024-07-27,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3684,2024-07-27,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-27,False,,Aggregate,,L3s
l2,Aggregate,-1,4601,2024-07-27,False,,Aggregate,,L2s
l1,Aggregate,-1,6572,2024-07-27,False,,Aggregate,,L1s
gnosis,L1,100,104,2024-07-27,False,,Other EVMs,,Gnosis
fantom,L1,250,130,2024-07-27,False,,Other EVMs,,Fantom
ethereum,L1,1,2438,2024-07-27,False,,Other EVMs,,Ethereum
celo,L1,42220,90,2024-07-27,False,,Other EVMs,,Celo
bnb,L1,56,2449,2024-07-27,False,,Other EVMs,,BNB
base,L2,8453,3374,2024-07-27,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,346,2024-07-27,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1263,2024-07-27,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10535,2024-07-27,False,,Aggregate,,All
zora,L2,7777777,42,2024-07-26,True,modern,OP Chain,zora,Zora
