Team,Contract Address,Contract Num By Creator,Creator Address,Date,Days Since Contract Created,Days Since Creator First Deployed,Median Calldata Gas To W Overhead Per Day T28D,Median Eth Fees To Per Day T28D,Median Num Address Users Trace Growth,Median Num Address Users Trace T28D,Median Num Address Users Tx Growth,Median Num Address Users Tx T28D,Median Num Txs To T28D,Median Num Txs Trace T28D,Median Trace Tx Eth Fees Per Day T28D,Total Calldata Gas To W Overhead Growth,Total Calldata Gas To W Overhead T28D,Total Eth Fees To Growth,Total Eth Fees To T28D,Total Trace Tx Eth Fees Growth,Total Trace Tx Eth Fees T28D,Last Updated
Sonne Finance,0xbbbd75383f6a61d5eb5b43e94e6372df6f7f13c6,37,0xfb59ce8986943163f14c590755b29db2998f2322,2023-05-11 00:00:00.000,225,228,0,0.0,-37.0,153,0.0,0,0,330,0.12073165321856692,0.0,0,0.0,0.0,0.48985830235206684,4.4795490786046415,2023-05-12 18:42:29.815561+00:00
Overnight,0xa457a6aed9679eb3018bed7ff7209192aa841084,661,0x5cb01385d3097b6a189d1ac8ba3364d900666445,2023-05-11 00:00:00.000,9,276,0,0.0,,2,,0,0,15,1.2372051544701819,,0,,0.0,,4.463830366453717,2023-05-12 18:42:29.815561+00:00
Thales,0x2a928a7f0a54edfc158e3082b2b66d09d7211700,246,0x8314125c8b68af2afd0d151eb4a551e88128a2ae,2023-05-11 00:00:00.000,9,509,0,0.0,,75,,0,0,155,0.5304386869720218,,0,,0.0,,4.394279648505274,2023-05-12 18:42:29.815561+00:00
Synthetix,0xae3d1b55cbffc11693257fb5dc41de32f1e9ec7a,564,0x302d2451d9f47620374b54c521423bf0403916a2,2023-05-11 00:00:00.000,8,238,0,0.0,,10,,0,0,107,1.1533743974162003,,0,,0.0,,4.381193393447278,2023-05-12 18:42:29.815561+00:00
Overnight,0x52664dce9e0fc9ab63d148ceeec365b93690a985,684,0x5cb01385d3097b6a189d1ac8ba3364d900666445,2023-05-11 00:00:00.000,7,276,0,0.0,,2,,0,0,46,3.5001347790888433,,0,,0.0,,4.367926739803583,2023-05-12 18:42:29.815561+00:00
Overnight,0x3de411bcd6bd435f717178e88ceb01a1f097664e,558,0x5cb01385d3097b6a189d1ac8ba3364d900666445,2023-05-11 00:00:00.000,49,276,0,0.0,,2,,0,0,46,3.500134779088843,,0,,0.0,,4.367926739803582,2023-05-12 18:42:29.815561+00:00
Thales,0x947c3b2919276dd0baa8da86b3534b7afdfe2e59,216,0x9841484a4a6c0b61c4eea71376d76453fd05ec9c,2023-05-11 00:00:00.000,185,528,0,0.0,-29.0,155,0.0,0,0,292,0.14804980172586651,0.0,0,0.0,0.0,1.4863301203797916,4.342934145475824,2023-05-12 18:42:29.815561+00:00
,0xa2cb32faa843bdeebc89c26868ee45085c854fa1,5,0x5401fe33559a355638b9b37c9640a04a182feff2,2023-05-11 00:00:00.000,237,237,0,0.0,,93,,0,0,331,0.18713134640996132,,0,,0.0,,4.246866074483856,2023-05-12 18:42:29.815561+00:00
Thirdweb,0x28673750bef2c88f276c449268e84640dc89a572,62,0xdd99b75f095d0c4d5112ace938e4e6ed962fb024,2023-05-11 00:00:00.000,126,322,0,0.0,-160.0,210,0.0,0,0,221,0.12171357710566537,0.0,0,0.0,0.0,-10.061300338177738,4.172588368893141,2023-05-12 18:42:29.815561+00:00
Zkbridge,0xf157216bc02412808ecae7c875318921eeee0e7a,26,0x15051107651f3420144d3a2412d49402c2fac3c0,2023-05-11 00:00:00.000,43,52,0,0.0,-223.0,119,0.0,0,0,121,0.31075149531316987,0.0,0,0.0,0.0,2.27756145395601,4.133005111830496,2023-05-12 18:42:29.815561+00:00
Zkbridge,0x6cfacb53ed169253a3b45f57550b5bb1bc96f0b4,28,0x15051107651f3420144d3a2412d49402c2fac3c0,2023-05-11 00:00:00.000,43,52,0,0.0,-223.0,119,0.0,0,0,121,0.31075149531317,0.0,0,0.0,0.0,2.27756145395601,4.133005111830496,2023-05-12 18:42:29.815561+00:00
Pika Protocol,0xbddfc30b212fae5770c92b22194c35cb6a8ad7ba,95,0x80898b704baa55e7e37f1128fc6ae5836661f54a,2023-05-11 00:00:00.000,184,535,0,0.0,-1.0,2,0.0,0,0,359,0.8153682503139342,0.0,0,0.0,0.0,-7.210272889852848,4.1320403769134115,2023-05-12 18:42:29.815561+00:00
Zkbridge,0xb2c2fc86627366f0b9a529e6a3ea7fe8facbf386,6,0x15051107651f3420144d3a2412d49402c2fac3c0,2023-05-11 00:00:00.000,52,52,3786412,0.1553247621136762,-224.0,118,-224.0,118,121,121,0.1553247621136763,19189616.0,55237932,1.1367637240713622,2.0631602514256255,1.136763724071363,2.063160251425626,2023-05-12 18:42:29.815561+00:00
,0xef566f012080371d0facb933b81a2dbc9a598396,1,0x6102d098c063a1f282a9196428946d4e3a7bb754,2023-05-11 00:00:00.000,0,0,17656408,2.0516590324016297,,2483,,2483,2483,2483,2.0516590324016337,,17656408,,2.0516590324016297,,2.0516590324016337,2023-05-12 18:42:29.815561+00:00
Beefy Finance,0x2f0865133ce3ddb78953fd3b4f6505ef3adb2107,269,0x010da5ff62b6e45f89fa7b2d8ced5a8b5754ec1b,2023-05-11 00:00:00.000,178,321,0,0.0,-35.0,74,0.0,0,0,114,0.14747231130965774,0.0,0,0.0,0.0,1.0052460680205644,4.0536945470679875,2023-05-12 18:42:29.815561+00:00
Across,0xa420b2d1c0841415a695b81e5b867bcd07dff8c9,18,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,2023-05-11 00:00:00.000,355,539,0,0.0,-112.0,279,-88.0,0,0,549,0.18828285598189975,-54159980.0,3431012,-1.182105088796148,0.09672024424295075,-1.220011397123379,3.9344316581312464,2023-05-12 18:42:29.815561+00:00
Mummy Finance,0x198634d01a8e1646fae8676904343c33b1d2c6b9,17,0x30b12942912cee5a719edec2dd147224fcc373a0,2023-05-11 00:00:00.000,70,70,0,0.0,0.0,1,0.0,0,0,787,0.8187646487526424,0.0,0,0.0,0.0,3.657368079409287,4.004492808995694,2023-05-12 18:42:29.815561+00:00
,0x0b4ee80bac26f2e03ea6c681454ab023dd536eea,8,0x7a08653957cb000e631fbf3e1dcc885f43b22f5a,2023-05-11 00:00:00.000,49,90,0,0.0,,3,,0,0,212,1.2312453019112342,,0,,0.0,,3.9954369153062625,2023-05-12 18:42:29.815561+00:00
,0x43ee1954237bc4fab0c3d68ff965ac178fa498b0,79,0xb8802f1a67ba4ccc568f00d9bd8832ce3e3192b0,2023-05-11 00:00:00.000,8,321,15582656,0.9760145215543727,,3,,3,541,541,1.9328407249243635,,15582656,,0.9760145215543727,,2.994269940896539,2023-05-12 18:42:29.815561+00:00
Chainlink,0x0d110cc7876d73c3c4190324bcf4c59416bbd259,16,0xf663a1d22ec5cec99c4bb404ec3e948895afcd73,2023-05-11 00:00:00.000,97,429,0,0.0,-6.0,65,0.0,0,0,149,0.13284409841819395,0.0,0,0.0,0.0,2.9179349185956003,3.915285049160668,2023-05-12 18:42:29.815561+00:00
Multichain,0xf480f38c366daac4305dc484b2ad7a496ff00cea,16,0xfa9da51631268a30ec3ddd1ccbf46c65fad99251,2023-05-11 00:00:00.000,357,542,937888,0.05225398724713069,65.0,151,8.0,94,172,213,0.09378047206371248,23184523.0,28938356,1.2325553302668475,1.3766512420911496,2.325788111987049,2.5158829659037836,2023-05-12 18:42:29.815561+00:00
Fire,0x081911b600be8cf0e3545a0ff9415c099c1b85fe,1,0xb67c0cde9974275836e77fac65bcbb5055d356e9,2023-05-11 00:00:00.000,31,31,725120,0.02950795059315157,,189,,189,191,191,0.029507950593151585,,41195500,,1.9382824012524622,,1.9386018800120548,2023-05-12 18:42:29.815561+00:00
Dhedge,0xbd0663b0bbc79b8359be0817dd156d61a15a51f6,63,0xef31d75a2f85cfdd9032158a2ceb773c84d79192,2023-05-11 00:00:00.000,381,528,0,0.0,-12.0,72,0.0,0,0,105,0.19503403171991296,0.0,0,0.0,0.0,0.18396582151802798,3.8464011165489502,2023-05-12 18:42:29.815561+00:00
Reaper Farm,0x7ecc9d0ee071c7b86d0ae2101231a3615564009e,21,0x3b410908e71ee04e7de2a87f8f9003afe6c1c7ce,2023-05-11 00:00:00.000,231,286,0,0.0,-52.0,118,0.0,0,0,139,0.2080185632326938,0.0,0,0.0,0.0,-4.3923707632063795,3.832950665132713,2023-05-12 18:42:29.815561+00:00
Synthetix,0x98ccbc721cc05e28a125943d69039b39be6a21e9,163,0x302d2451d9f47620374b54c521423bf0403916a2,2023-05-11 00:00:00.000,94,238,0,0.0,-55.0,27,0.0,0,0,115,0.7349783668872458,-3131969.0,0,-0.15165792583454968,0.0,0.5894792144478691,3.8304147614246418,2023-05-12 18:42:29.815561+00:00
Pooltogether,0x62bb4fc73094c83b5e952c2180b23fa7054954c4,4,0x4d40eb12430a57965cee3015348d490c6156df20,2023-05-11 00:00:00.000,308,308,0,0.0,-807.0,154,0.0,0,0,179,0.12962159760675443,-956974.0,0,-0.018525727909703218,0.0,-10.168694046976036,3.7530987636208315,2023-05-12 18:42:29.815561+00:00
,0x369d1d2e5ee3057f75fc14ca3764c7b28ab0e9c6,18,0xa9bda92471d1e8f079b72c0779629496124e2a49,2023-05-11 00:00:00.000,42,199,0,0.0,,8,,0,0,1373,0.7723828067248993,,8587436,,0.971203469596507,,2.7715534419044943,2023-05-12 18:42:29.815561+00:00
Zkbridge,0xddbea7f93a4e726eedd4bd015e21c1001fb16fed,19,0x15051107651f3420144d3a2412d49402c2fac3c0,2023-05-11 00:00:00.000,48,52,0,0.0,-203.0,119,0.0,0,0,418,0.297647827983849,0.0,0,0.0,0.0,2.640749157576225,3.715291955300682,2023-05-12 18:42:29.815561+00:00
Zkbridge,0x3fe00c6faf8a622435afc4dc9e0cad98ea1937c1,35,0x15051107651f3420144d3a2412d49402c2fac3c0,2023-05-11 00:00:00.000,36,52,0,0.0,-203.0,119,0.0,0,0,418,0.29764782798384914,0.0,0,0.0,0.0,2.6407491575762254,3.7152919553006813,2023-05-12 18:42:29.815561+00:00
Reaper Farm,0x91155c72ea13bcbf6066dd161beced3eb7c35e35,18,0x3b410908e71ee04e7de2a87f8f9003afe6c1c7ce,2023-05-11 00:00:00.000,234,286,0,0.0,-87.0,78,0.0,0,0,85,0.11722152245640578,0.0,0,0.0,0.0,0.30431979951225996,3.7136591489995885,2023-05-12 18:42:29.815561+00:00
Sonne Finance,0x5569b83de187375d43fbd747598bfe64fc8f6436,41,0xfb59ce8986943163f14c590755b29db2998f2322,2023-05-11 00:00:00.000,225,228,0,0.0,-34.0,66,0.0,0,0,124,0.13457642429474087,-184128.0,0,-0.02360751428472207,0.0,-0.556319108522692,3.6710808198461247,2023-05-12 18:42:29.815561+00:00
Synthetix,0xaa94c874b91ef16c8b56a1c5b2f34e39366bd484,548,0x302d2451d9f47620374b54c521423bf0403916a2,2023-05-11 00:00:00.000,8,238,0,0.0,,25,,0,0,263,1.2484296621246005,,0,,0.0,,3.6462299315534485,2023-05-12 18:42:29.815561+00:00
Synthetix,0x102aff35c746b44a639a1ce344a1461306835e86,490,0x302d2451d9f47620374b54c521423bf0403916a2,2023-05-11 00:00:00.000,15,238,0,0.0,,61,,0,0,185,0.28221492216588845,,0,,0.0,,3.5665309155211165,2023-05-12 18:42:29.815561+00:00
Mummy Finance,0x0d8393cea30df4fafa7f00f333a62dee451935c1,6,0x30b12942912cee5a719edec2dd147224fcc373a0,2023-05-11 00:00:00.000,70,70,0,0.0,-21.0,65,0.0,0,0,99,0.10384592159316777,0.0,0,0.0,0.0,2.7788267771049577,3.559086396075886,2023-05-12 18:42:29.815561+00:00
Multichain,0x47536f17f4ff30e64a96a7555826b8f9e66ec468,73,0xfa9da51631268a30ec3ddd1ccbf46c65fad99251,2023-05-11 00:00:00.000,70,542,0,0.0,-19.0,64,0.0,0,0,131,0.1164977649716401,-73647.0,0,-0.0029673899630994465,0.0,2.9516034431683478,3.5267985944288833,2023-05-12 18:42:29.815561+00:00
Ethos Reserve,0x236931e351d8b7cc9686e9b9adfea630b05b6062,45,0xe00691e65cd4400c84a174a4c56f20ba43dffd89,2023-05-11 00:00:00.000,43,45,0,0.0,-30.0,90,0.0,0,0,186,0.13163824711575808,0.0,0,0.0,0.0,3.2317522283347184,3.485743522068094,2023-05-12 18:42:29.815561+00:00
Nested,0x0fff7f99d2b32849848e31cb48090c5268e06f65,13,0xb7eb3f6a9abcae7559484fb126b8f872781cf9dd,2023-05-11 00:00:00.000,386,399,0,0.0,-13.0,77,0.0,0,0,89,0.1789306894614019,0.0,0,0.0,0.0,0.973564027683214,3.410010130828983,2023-05-12 18:42:29.815561+00:00
Synapse,0x121ab82b49b2bc4c7901ca46b8277962b4350204,37,0x0af91fa049a7e1894f480bfe5bba20142c6c29a9,2023-05-11 00:00:00.000,539,545,0,0.0,12.0,97,0.0,0,0,134,0.20216790354826078,0.0,0,0.0,0.0,1.2899362520297224,3.409054837388599,2023-05-12 18:42:29.815561+00:00
