,Contract Address,Contract Num By Creator,Contract Project,Creator Address,Days Since Contract Created,Days Since Creator First Deployed,Dt,Median Calldata Gas To W Overhead Per Day,Median Eth Fees To Per Day,Median Num Address Users Trace,Median Num Address Users Tx,Median Num Txs Trace,Median Num Txs Tx,Median Trace L2 Eth Fees Per Day,Median Trace Tx Eth Fees Per Day,Total Calldata Gas To W Overhead T28D,Total Eth Fees To T28D,Total Trace L2 Eth Fees T28D,Total Trace L2 Gas Used T28D,Total Trace Tx Eth Fees T28D,Last Updated
152,0xa420b2d1c0841415a695b81e5b867bcd07dff8c9,18,Across,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,353,537,2023-05-09 00:00:00.000,0,0.0,289,0,569,0,4.1591555431339846e-05,0.099524349912587,9890512,0.2700563489032485,0.0007055630113804,595116272,1.6215250794046934,2023-05-10 21:13:47.048476+00:00
153,0xe1a9afffadb8e095ec861272a040bd488b24c085,7,Biconomy - Hyphen,0xdc0d4bdcc70362cedd23d3997c31528ec1502fc4,330,330,2023-05-09 00:00:00.000,0,0.0,292,0,759,0,1.0329162199999983e-05,0.0468219783657604,0,0.0,0.0004060098706504,404901166,1.8421383117245265,2023-05-10 21:13:47.048476+00:00
154,0xb4778f5aefeb4605ed96e893417271d4a55e32ee,8,Biconomy - Hyphen,0xdc0d4bdcc70362cedd23d3997c31528ec1502fc4,330,330,2023-05-09 00:00:00.000,0,0.0,292,0,759,0,7.967433786047987e-06,0.0461770687334867,0,0.0,0.0003153798310481,288499904,1.8351139564302683,2023-05-10 21:13:47.048476+00:00
155,0xd702dd976fb76fffc2d3963d037dfdae5b04e593,25,Chainlink,0x83bc3055649f9a829bebeccbc86e090d6a157161,488,491,2023-05-09 00:00:00.000,0,0.0,429,0,4670,0,0.0001802633996916,0.061140952373555,0,0.0,0.0053375189245118,2856281428,1.8212294988487188,2023-05-10 21:13:47.048476+00:00
156,0x0d5642c6329adb3246c13d78b429a9fb1965a0d8,1,Chainlink,0xf663a1d22ec5cec99c4bb404ec3e948895afcd73,427,427,2023-05-09 00:00:00.000,0,0.0,554,0,818,0,0.0,0.0476077857637111,0,0.0,4.422726e-05,9828280,1.8195583930369463,2023-05-10 21:13:47.048476+00:00
157,0xc37ad9d78fb001a2429b2401e91c2dd849595798,51,Mummy Finance,0x30b12942912cee5a719edec2dd147224fcc373a0,61,68,2023-05-09 00:00:00.000,0,0.0,257,0,1136,0,0.0006167992306252,0.0594335804712158,0,0.0,0.0198900057473328,4364208090,1.759972173031358,2023-05-10 21:13:47.048476+00:00
158,0xb746c7cb1f1394a904e7df55387897aff475fefd,2,Mirror,0x59ca05674f5073f95f292aaca2d28a7dc80f12d6,380,380,2023-05-09 00:00:00.000,0,0.0,1355,0,1715,0,0.0,0.0471539272509947,0,0.0,0.0,0,1.7184682702817125,2023-05-10 21:13:47.048476+00:00
159,0x7e36b8c677d84556b4742f9d7791019bc7d408db,22,Chainlink,0x473ab11a7b649064ee50b255b5b14dfe284a0373,46,399,2023-05-09 00:00:00.000,0,0.0,100,0,512,0,0.0,0.0438177089830509,0,0.0,4.4252604e-05,9833912,1.6561778160672145,2023-05-10 21:13:47.048476+00:00
160,0xf390830df829cf22c53c8840554b98eafc5dcbc2,10,Multichain,0xfa9da51631268a30ec3ddd1ccbf46c65fad99251,383,540,2023-05-09 00:00:00.000,0,0.0,148,0,604,0,4.854613799999997e-06,0.0566067736965255,0,0.0,0.0002050171800352,107327911,1.6368776770371438,2023-05-10 21:13:47.048476+00:00
161,0x965f84d915a9efa2dd81b653e3ae736555d945f4,22,Multichain,0xfa9da51631268a30ec3ddd1ccbf46c65fad99251,335,540,2023-05-09 00:00:00.000,0,0.0,219,0,711,0,3.707127200000023e-06,0.0535065848810756,0,0.0,9.97564045370161e-05,90536316,1.6277962257853589,2023-05-10 21:13:47.048476+00:00
162,0xf9fe3607e6d19d8dc690dd976061a91d4a0db30b,232,Synthetix,0x302d2451d9f47620374b54c521423bf0403916a2,83,236,2023-05-09 00:00:00.000,0,0.0,392,0,1916,0,0.0002427600723999,0.0513908161078796,0,0.0,0.0113279151695352,11056858222,1.599154222606807,2023-05-10 21:13:47.048476+00:00
163,0xf6c5d7da1654d9bbde0d25a5fd6776b37a2ad881,10,Celer,0x1b9dfc56e38b0f92448659c114e2347bd803911c,190,536,2023-05-09 00:00:00.000,1405172,0.0685616367947671,196,196,208,208,8.13058333168e-06,0.0342808183973835,20386768,1.064491609047046,0.0001172072461771,116675856,0.5322458045235231,2023-05-10 21:13:47.048476+00:00
164,0x302f746ee2fdc10ddff63188f71639094717a766,5,Mirror,0x59ca05674f5073f95f292aaca2d28a7dc80f12d6,356,380,2023-05-09 00:00:00.000,1400484,0.0592258857551147,82,82,91,91,4.23782494e-05,0.0174503835345174,29336876,1.253421105517779,0.00082707091927,821324908,0.3422959001016123,2023-05-10 21:13:47.048476+00:00
165,0x22f04bc4162d63730dcde051fdfd97b4f55ff63b,3,Chainlink,0xf663a1d22ec5cec99c4bb404ec3e948895afcd73,427,427,2023-05-09 00:00:00.000,0,0.0,553,0,816,0,0.0,0.0403666595264508,0,0.0,4.422726e-05,9828280,1.5928001000907597,2023-05-10 21:13:47.048476+00:00
166,0x840b25c87b626a259ca5ac32124fa752f0230a72,21,Angle,0xfda462548ce04282f4b6d6619823a7c64fdc0185,300,326,2023-05-09 00:00:00.000,902332,0.0330610160571672,91,90,254,122,2.5246229232330067e-06,0.0464190585484049,19152820,0.6957017867532198,5.511679358150513e-05,48163365,0.8409042235634331,2023-05-10 21:13:47.048476+00:00
167,0x96e04591579f298681361c6122dc4ef405c19385,50,Sushi,0xf87bc5535602077d340806d71f805ea9907a843d,34,370,2023-05-09 00:00:00.000,2012604,0.0767276799380164,191,191,217,217,7.046692307500006e-05,0.0389915994064147,28424292,1.014773792291003,0.0010146653867652,1011277529,0.5199513396038405,2023-05-10 21:13:47.048476+00:00
168,0x3460dc71a8863710d1c907b8d9d5dbc053a4102d,11,Velodrome,0xc0de1436c4e247f8652476a0b9ff55699801e1d0,342,342,2023-05-09 00:00:00.000,0,0.0,539,0,1512,0,0.0,0.0466703732061003,0,0.0,2.4222416000000004e-06,2253248,1.516524567675877,2023-05-10 21:13:47.048476+00:00
169,0x1aa298ae7c53d8dafa200ed49608649bfa76a446,14,Openocean,0x9986ee0c3eea15dcf8642b56179652f9589b95db,187,474,2023-05-09 00:00:00.000,0,0.0,74,0,94,0,1.1300062166168006e-05,0.0447110901603935,0,0.0,0.0003696664968773,301199587,1.49155462996433,2023-05-10 21:13:47.048476+00:00
170,0x45c55bf488d3cb8640f12f63cbedc027e8261e79,18,Synthetix,0xde910777c787903f78c89e7a0bf7f4c435cbb1fe,454,480,2023-05-09 00:00:00.000,0,0.0,1150,0,3080,0,0.0,0.0450991534322832,0,0.0,0.0,0,1.4676602871892528,2023-05-10 21:13:47.048476+00:00
171,0x65f2c716937fb44b2c28417a7afc2daccf1c2d61,8,Chainlink,0x03863f6ad36f1fcd908517e3c56c6b3fd3f50752,165,463,2023-05-09 00:00:00.000,0,0.0,54,0,302,0,0.0,0.0958277900020797,0,0.0,3.931312e-05,4914140,1.451267471436177,2023-05-10 21:13:47.048476+00:00
172,0xdc05d85069dc4aba65954008ff99f2d73ff12618,12,Sonne Finance,0xfb59ce8986943163f14c590755b29db2998f2322,224,226,2023-05-09 00:00:00.000,618240,0.0308133189210829,116,116,155,155,2.3942817995209984e-05,0.0156745519508623,19260036,0.9406494465369142,0.0008785894388524,761028003,0.5097456930837838,2023-05-10 21:13:47.048476+00:00
173,0x13f11f2139c10a48ecd7a6a14d804f90b2cfc89a,14,Chainlink,0x057c75c9b1072be82ddd90b64501f525a9a300e7,435,449,2023-05-09 00:00:00.000,0,0.0,67,0,1988,0,0.0,0.0439009024821966,0,0.0,4.422726e-05,9828280,1.4080320677492244,2023-05-10 21:13:47.048476+00:00
174,0x7c56d3650f9acd992b3aa635c04a311c54ad264c,1,Chainlink,0x03863f6ad36f1fcd908517e3c56c6b3fd3f50752,463,463,2023-05-09 00:00:00.000,0,0.0,54,0,1584,0,0.0,0.2941660737213245,0,0.0,2.45707e-06,2457070,1.4022616160461854,2023-05-10 21:13:47.048476+00:00
175,0x527b99e3d31f71d2414cc2dbabe0d527f9160926,410,Synthetix,0x302d2451d9f47620374b54c521423bf0403916a2,33,236,2023-05-09 00:00:00.000,0,0.0,114,0,290,0,0.0102759606789,0.0398369929490482,0,0.0,0.9478964401765622,227490536410,1.3983518468498606,2023-05-10 21:13:47.048476+00:00
176,0x4056334cdca09a54ad0e99c195a8de321406c242,38,Decent,0xfbe304258dcf193b9a320541985e2078ddb34287,81,215,2023-05-09 00:00:00.000,0,0.0,163,0,203,0,6.121661011167009e-05,0.0348614233377789,0,0.0,0.0018350833377801,1833718939,1.3626069741506162,2023-05-10 21:13:47.048476+00:00
177,0x442b69937a0daf9d46439a71567fabe6cb69fbaf,157,Synthetix,0x302d2451d9f47620374b54c521423bf0403916a2,92,236,2023-05-09 00:00:00.000,0,0.0,82,0,389,0,1.2040961242874995e-05,0.0050613670994699,17636464,1.1201545616453044,0.0003630190618202,346588377,0.2361681411063912,2023-05-10 21:13:47.048476+00:00
178,0x6131b5fae19ea4f9d964eac0408e4408b66337b5,1,Kyberswap,0x1874028262f1f4b2dd1f2700a72ee8b9b7c69090,126,126,2023-05-09 00:00:00.000,4215644,0.1224625160855458,97,97,140,138,5.00572538e-05,0.0205378246791408,33552208,1.120228825877532,0.0004555174964518,438958463,0.2171346550823696,2023-05-10 21:13:47.048476+00:00
179,0x1337bedc9d22ecbe766df105c9623922a27963ec,1,Curve,0x7eeac6cddbd1d0b8af061742d41877d7f707289a,477,477,2023-05-09 00:00:00.000,0,0.0,652,0,1760,0,0.0003010534054331,0.0414419034991247,0,0.0,0.0156944131183501,5831337517,1.3299214314349177,2023-05-10 21:13:47.048476+00:00
180,0xb3999f658c0391d94a37f7ff328f3fec942bcadc,15,Hashflow,0xe8bc44ae4ba6eddb88c8c087fd9b479dff729850,211,372,2023-05-09 00:00:00.000,860312,0.0317148144955592,126,81,148,100,2.689066200000003e-06,0.024345493330898,19250208,0.7044773503433152,0.0001141424323657,72578818,0.6227142504866444,2023-05-10 21:13:47.048476+00:00
181,0xffa3635f5844ea0f2fccb03cb936828f508f558b,36,Synthetix,0x302d2451d9f47620374b54c521423bf0403916a2,187,236,2023-05-09 00:00:00.000,0,0.0,1432,0,4577,0,0.0001010480377428,0.0455328722113365,0,0.0,0.0036886421018003,1989207744,1.3251767968590642,2023-05-10 21:13:47.048476+00:00
182,0x32155c9d39084f040ba17890fe8134dbe2a0453f,51,Connext,0xade09131c6f43fe22c2cbabb759636c43cfc181e,139,200,2023-05-09 00:00:00.000,0,0.0,80,0,241,0,1.0470548390000004e-05,0.0633823239769545,0,0.0,0.0081692671279981,252957476,1.3094671604701829,2023-05-10 21:13:47.048476+00:00
