block_date,chain_id,total_len_encoded_transaction,average_len_encoded_transaction,transaction_count,total_len_compressed_transaction,average_len_compressed_transaction,total_estimatedSize,average_estimatedSize,chain_name,display_name
2024-05-30,10,519209274,991.033282624588,523907,227948102,435.09268247990576,174611008.3685,333.2862671590568,op,OP Mainnet
2024-05-29,10,689924791,1318.1949670033207,523386,293814683,561.3728357273599,229778227.8147,439.0224954712201,op,OP Mainnet
2024-05-28,10,769391612,1489.4871570502644,516548,328876884,636.6821360260808,259578314.7916,502.52506019111485,op,OP Mainnet
2024-05-27,10,811525403,1623.0086077761978,500013,334906422,669.7954293188377,265548451.8597,531.0830955589155,op,OP Mainnet
2024-05-26,10,719256192,1557.2495474975967,461876,318568454,689.7272298192588,252702029.5382,547.12093622141,op,OP Mainnet
2024-05-25,10,753623880,1632.2875126164722,461698,323505957,700.6873692327019,256772004.0605,556.1471006166369,op,OP Mainnet
2024-05-24,10,696870019,1312.8723525710345,530798,308084839,580.4182363158867,242101111.4375,456.10780643012976,op,OP Mainnet
2024-05-23,10,709848078,1081.1361944390292,656576,309634731,471.5900840115996,238833586.1275,363.7561929273991,op,OP Mainnet
2024-05-22,10,777651343,1233.906944235087,630235,339528334,538.7329075662253,266737766.3266,423.2354063588979,op,OP Mainnet
2024-05-21,10,733756958,1203.1524476029003,609862,320228972,525.0843174357477,250133878.8135,410.14832669276,op,OP Mainnet
2024-05-20,10,595614200,1144.7514895252739,520300,285709946,549.1254007303479,223526997.0732,429.61175681952716,op,OP Mainnet
2024-05-19,10,292203532,815.5685521460749,358282,135145242,377.2035491596005,102764606.9925,286.82603924422665,op,OP Mainnet
2024-05-18,10,319417684,847.6462374180331,376829,138985171,368.82822447316954,105367358.7733,279.6158437203612,op,OP Mainnet
2024-05-17,10,385624659,816.0919377981318,472526,167800959,355.11476405531124,126217261.4134,267.1117809673965,op,OP Mainnet
2024-05-16,10,421226379,774.7005469646588,543728,186454860,342.9193640938116,140342970.0038,258.1124569707648,op,OP Mainnet
2024-05-15,10,463729779,822.4390286726718,563847,198812544,352.600162810124,149927757.226,265.9014896345995,op,OP Mainnet
2024-05-14,10,614298058,1274.4482138374435,482011,274387689,569.2560729941848,215764880.7977,447.6347651769358,op,OP Mainnet
2024-05-13,10,768397772,1501.856357694593,511632,315286948,616.2377411889796,249460535.1695,487.57805447958685,op,OP Mainnet
2024-05-12,10,765057706,1909.522196209198,400654,312126064,779.0414272664194,250294791.5599,624.7155689445257,op,OP Mainnet
2024-05-11,10,770221391,1812.6225604288798,424921,307117585,722.7639608303662,245198808.3868,577.045635275263,op,OP Mainnet
2024-05-10,10,787182128,1519.4278236095722,518078,321959168,621.4492180714101,254459454.5905,491.1605097890665,op,OP Mainnet
2024-05-09,10,744046362,1427.6927543350994,521153,307931954,590.8667013333896,242434058.1415,465.18787791972795,op,OP Mainnet
2024-05-08,10,751229858,1410.3206474601345,532666,319734277,600.2528357357143,251989771.0127,473.0727529309173,op,OP Mainnet
2024-05-07,10,790773894,1462.0811381978533,540855,318111097,588.1633654121715,250920660.8475,463.93332935352356,op,OP Mainnet
2024-05-06,10,684866660,1233.2606918408874,555330,282774717,509.20122629787693,220946683.7064,397.8655640905408,op,OP Mainnet
2024-05-05,10,416061016,883.3154629720055,471022,177788637,377.4529363808909,136323860.2846,289.42142890268394,op,OP Mainnet
2024-05-04,10,435068200,912.1748920762249,476957,183439960,384.6048176250689,140007997.733,293.5442770165864,op,OP Mainnet
2024-05-03,10,586688546,1025.9788189908593,571833,241138071,421.69317090828963,186562010.8769,326.2526137471954,op,OP Mainnet
