index,chain_id,chain_name,display_name,average_len_encoded_transaction,average_estimatedSize,average_blobgas_per_l2_tx,average_daily_l1_blobgas_purchased_inbox,average_daily_transaction_count,start_dt,end_dt
0,8453,base,Base,628.2649318992806,235.10942733366883,208.71638842762258,436891062.85714287,2093228.357142857,2024-05-03,2024-05-30
1,34443,mode,Mode,299.9252669602202,149.44803923627364,123.0259933801279,29158838.85714286,237013.64285714287,2024-05-03,2024-05-30
2,7777777,zora,Zora,457.3319010911898,160.37060097138158,126.5729041162444,12039899.42857143,95122.25,2024-05-03,2024-05-30
