block_date,chain_id,total_len_encoded_transaction,average_len_encoded_transaction,transaction_count,total_estimatedSize,average_estimatedSize
2024-05-25,10,756720206,1638.9939007749654,461698,258124402.9568,559.0762857036418
2024-05-26,10,722309591,1563.8604105863913,461876,254022963.2365,549.9808676711931
2024-05-27,10,814737694,1629.4330227414086,500013,266895154.5452,533.7764309031965
2024-05-28,10,772770444,1496.0283342496728,516548,261035330.5373,505.345738512781
2024-05-29,10,693311718,1324.6661507950155,523386,231281064.1772,441.8938683442048
2024-05-30,10,522447165,997.2021404317129,523913,176098496.3474,336.12163917940575
2024-05-31,10,430159050,880.6054892616089,488481,158833978.5134,325.1589693629844
