block_date,chain_id,total_len_encoded_transaction,average_len_encoded_transaction,transaction_count,total_len_compressed_transaction,average_len_compressed_transaction,total_estimatedSize,average_estimatedSize,chain_name
2024-06-06,10.0,575056157,1370.9603104027847,419455,266117477,634.436297099808,207784452.0637,495.36768440881616,op
2024-06-05,10.0,753988747,1571.05209344774,479926,336421613,700.9864291578285,263750680.4721,549.5653089686743,op
2024-06-04,10.0,754787168,1409.2314218393508,535602,353944276,660.8344927763526,276460390.0849,516.167583550659,op
2024-06-03,10.0,650130120,1260.5357174017997,515757,324955937,630.0562803801015,252836900.0555,490.22485406014846,op
2024-06-02,10.0,396695796,942.5344775970462,420882,214354911,509.2993071692303,163853798.2206,389.31053886980203,op
2024-06-01,10.0,444728253,1000.5157559409582,444499,230951717,519.5775851014288,176798923.8699,397.7487550475929,op
2024-05-31,10.0,437923989,896.5015814330548,488481,216846413,443.9198515397733,163160113.2163,334.01527022811536,op
2024-05-31,10.0,437923989,896.5015814330548,488481,216846413,443.9198515397733,163160113.2163,334.01527022811536,op
2024-05-31,10.0,437923989,896.5015814330548,488481,216846413,443.9198515397733,163160113.2163,334.01527022811536,op
2024-05-31,10.0,437923989,896.5015814330548,488481,216846413,443.9198515397733,163160113.2163,334.01527022811536,op
2024-05-31,10.0,437923989,896.5015814330548,488481,216846413,443.9198515397733,163160113.2163,334.01527022811536,op
2024-05-26,10.0,1458931904,1579.354528055149,923752,657748366,712.0399912530636,515792253.5354,558.3665892310923,op
2024-05-26,10.0,1458931904,1579.354528055149,923752,657748366,712.0399912530636,515792253.5354,558.3665892310923,op
2024-05-24,10.0,1417130458,1334.9056119277013,1061596,639709824,602.5925342597372,495977750.9024,467.20009391746015,op
2024-05-23,10.0,1448588312,1103.1383358514474,1313152,648344742,493.73167919631544,492905743.4806,375.3607681978933,op
2024-05-23,10.0,1448588312,1103.1383358514474,1313152,648344742,493.73167919631544,492905743.4806,375.3607681978933,op
2024-05-23,10.0,1448588312,1103.1383358514474,1313152,648344742,493.73167919631544,492905743.4806,375.3607681978933,op
