Project Name,Category,% of votes received,OP Received
Optinames | ENS on Optimism,Tooling and utilities,0.1393,"13,930.17"
Apetimism Launchpad,Tooling and utilities,0.1377,"13,769.49"
Smock,Tooling and utilities,0.1368,"13,684.13"
Filosofía Código,Education,0.1341,"13,411.82"
OP Dashboards  by Springzhang,Tooling and utilities,0.1317,"13,169.25"
Ante,Tooling and utilities,0.1293,"12,928.58"
Crate-Crypto,Infrastructure,0.1212,"12,115.61"
Duniversity (Dune Education),Education,0.1145,"11,449.32"
WakeUp Labs,Tooling and utilities,0.1133,"11,328.63"
Cryptoversidad,Education,0.1093,"10,933.37"
Forta,Tooling and utilities,0.1088,"10,875.07"
Web3beach,Education,0.1074,"10,735.09"
GasHawk,Tooling and utilities,0.1054,"10,535.97"
Otterspace,Tooling and utilities,0.1050,"10,499.66"
dm3 protocol,Tooling and utilities,0.1020,"10,197.32"
donnoh,Education,0.1013,"10,129.83"
timdaub’s work as ETH Magician,Tooling and utilities,0.1007,"10,072.54"
Espacio Cripto,Education,0.0991,"9,910.00"
Web3 Data Degens,Education,0.0966,"9,657.05"
Praise,Tooling and utilities,0.0929,"9,286.72"
RainbowKit Login for WordPress,Tooling and utilities,0.0923,"9,227.83"
Nested,Tooling and utilities,0.0866,"8,663.52"
OptiChads,Education,0.0861,"8,606.59"
Ankr,Infrastructure,0.0860,"8,603.48"
RareSkills,Education,0.0845,"8,449.31"
LlamaFolio,Tooling and utilities,0.0825,"8,246.43"
Pairwise,Tooling and utilities,0.0781,"7,805.18"
Fractal Visions,Infrastructure,0.0759,"7,588.94"
OP Medicine,Tooling and utilities,0.0720,"7,195.57"
L2planet,Education,0.0685,"6,845.28"
Orbiter Finance,Infrastructure,0.0670,"6,696.53"
DeFi Library,Education,0.0640,"6,403.57"
Blocktrend (區塊勢),Education,0.0636,"6,355.71"
Rust-cannon-template,Tooling and utilities,0.0600,"5,995.93"
EthereansOS,Tooling and utilities,0.0599,"5,990.16"
Optimism Prices Contracts,Tooling and utilities,0.0597,"5,973.38"
Chaineye,Tooling and utilities,0.0568,"5,680.22"
jordanmmck,Education,0.0557,"5,566.61"
Scry,Tooling and utilities,0.0532,"5,324.67"
OptimismArabia,Education,0.0532,"5,322.68"
Esteroids,Tooling and utilities,0.0476,"4,759.80"
Basic course in crypto literacy,Education,0.0450,"4,503.78"
cp0x,Education,0.0438,"4,378.20"
Bored Town,Education,0.0411,"4,109.12"
Quark ID,Tooling and utilities,0.0403,"4,029.06"
Launchifi,Infrastructure,0.0342,"3,424.26"
MarcoV (Optimism Dashboards),Education,0.0324,"3,244.13"
MetricsDAO,Education,0.0286,"2,859.89"
Revolte,Education,0.0280,"2,800.97"
Big Sybil'or,Tooling and utilities,0.0280,"2,796.37"
Odos,Infrastructure,0.0262,"2,619.19"
RockX,Infrastructure,0.0255,"2,552.76"
Infinity Wallet & Web3 Browser,Tooling and utilities,0.0251,"2,508.66"
DexKit,Tooling and utilities,0.0244,"2,436.18"
BwareLabs,Infrastructure,0.0222,"2,217.50"
OAYC,Education,0.0215,"2,148.79"
OptimismGuru,Education,0.0214,"2,144.20"
Perpetuals Dune Abstraction,Tooling and utilities,0.0207,"2,069.04"
raise_exception (rotate.eth),Tooling and utilities,0.0204,"2,044.08"
Optimism Cult Merch,Education,0.0186,"1,862.82"
Eneagon by zenbit.eth,Tooling and utilities,0.0154,"1,535.52"
Layer2DAO,Education,0.0147,"1,465.75"
Sugar,Tooling and utilities,0.0110,"1,103.26"
GiveStation,Tooling and utilities,0.0110,"1,101.52"
Gov,Tooling and utilities,0.0108,"1,079.78"
ERC-5560: Redeemable NFTs,Tooling and utilities,0.0107,"1,072.54"
Questbook,Tooling and utilities,0.0101,"1,014.56"
MUX Protocol,Infrastructure,0.0099,985.61
Rigoblock,Tooling and utilities,0.0093,927.59
Thumbs Up Finance,Education,0.0072,724.68
NFTEarth,Tooling and utilities,0.0059,594.26
Ospace,Tooling and utilities,0.0059,594.26
