protocol_category_mapped,Arbitrum Eco,Base,Ink,Optimism,Polygon Eco,Solana,Soneium,Sui,World Chain
Derivatives,16.476882098125685,4.066285206489386,,3.841419254446219,0.11336768897305936,75.00993195857905,0.0067092341283241305,0.4854045592582709,
Dexs,10.739765610558306,30.29466873008738,0.08879309180320404,2.3360652375294726,4.386592811544662,44.865337656644186,0.17878072268268363,7.072661215734559,0.03733492341554916
Lending,17.715898227326498,17.191201550298636,,3.069581331468316,5.480895823184925,40.9002007127357,0.09352221030584638,15.548700144680092,
Liquid Staking/Restaking,1.1351802141877116,0.1920441464625383,,0.09909426720532001,,93.81985642530897,0.01924033326910106,4.734584613566369,
Yield,22.368592883274406,28.79113082891896,,5.8442294498504594,3.233461541452954,35.48460526134375,0.06176415103049412,4.216213828478691,2.055650279787499e-06
