protocol_category_mapped,Base,Optimism,Soneium,Ink,World Chain,Solana,Arbitrum Eco,Sui,Polygon Eco
Derivatives,152155064.65672,143740875.35745,251050.75044,,,2806773373.60388,616543339.60158,18163202.615679998,4242070.38359
Dexs,1608755758.08073,124053457.57735,9493898.73222,4715232.20765,1982618.5774599998,2383018493.4085,570320141.81636,375583722.57317,232943839.28745002
Lending,1144468206.97134,204350942.67842,6226045.10962,,,2725372103.52733,1179398788.37398,1035122118.90785,364879150.36097
Liquid Staking/Restaking,21710252.79677,11202432.52068,2175085.81678,,,10611769988.558481,128330125.51472999,535236458.60393,
Yield,606039320.65413,123018191.4903,1300105.38154,,43.27044,747773684.37953,470848016.2006,88749253.35608,68062795.01794
Stablecoins,1035245645.14836,234184901.96804,3048847.87901,133819.82258,733789.0737,1945020042.2764,795939881.05276,233740023.42688,304007207.89293
