include_in_summary,num_op,num_op_override,op_source,cumul_net_dollar_flow_at_program_end,cumul_net_dollar_flow,cumul_last_price_net_dollar_flow_at_program_end,cumul_last_price_net_dollar_flow,flows_retention,last_price_net_dollar_flows_retention
31,20200001.0,800001.0,Governance - Phase 0,-11513104.400206286,-35708980.989527345,-6981044.043542143,-32354614.69474121,-1.3677525768435281,-2.0258965922930052
22,3329000.0,0.0,Governance - Season 1,-8017773.330515137,-8451888.833224148,-9403335.048142985,-12798851.926702976,-1.0689964089616515,-0.5223980500848929
5,5590000.0,0.0,Governance - Season 2,104076187.06404029,101830652.61352567,106743537.66560653,103339065.23425926,-0.0021631074445225542,0.010513168296181798
10,8270000.0,3270000.0,Partner Fund,513127616.6568625,165259737.00975317,512040040.78765035,165376605.4053664,0.3211076106144715,0.32209013918764984
68,37389001.0,4070001.0,- TOTAL -,597672925.9901814,222929519.80052736,602399199.3615718,223562204.01818147,0.2346199731376348,0.24400780032050143
