Category,Project,Allocation
GOVERNANCE_INFRA_AND_TOOLING,0x5fea88070a451114868f840b035b61a4967c8d1a77475b6ddf9eefde37d8365b,"22,431.91"
GOVERNANCE_ANALYTICS,0x6227fdd27e8a3c18a4c1fa23f08c2241c51b702633c1808a2146681ee47b6521,"22,238.81"
GOVERNANCE_ANALYTICS,0x86e8ff184a72c6de7b6190a31ecea02b8ee3ec3ed65575b28845aa54bf447846,"21,834.47"
GOVERNANCE_ANALYTICS,0xcc81335c14ecee9941bc25b420f2a17dc72b5282b508b214a1200aae80b32edf,"21,682.84"
GOVERNANCE_INFRA_AND_TOOLING,0xbd66a74d9a6ec0791b96a5f09bbaeebf41c43daa18a7ad5bf6c6cd72eed2e647,"21,142.72"
GOVERNANCE_ANALYTICS,0xfff56c5353549a3386322a5dfa17c259c3b6728d94f102deee5daf7aa6d5ddbf,"20,217.10"
GOVERNANCE_INFRA_AND_TOOLING,0x68163b7a4cffdef804232bbccbf32471240cd0ca19bd60918fbf4608a21450f6,"18,822.18"
GOVERNANCE_LEADERSHIP,0xa62f887a4def118482c65d61bbf5e55d75d28925efb5207268aea95486bca8fd,"16,901.13"
GOVERNANCE_INFRA_AND_TOOLING,0x86173cbdc988173862ad9e1318ae29a177082a2e075b9bcab2fd3dc9d3571e5b,"16,501.64"
GOVERNANCE_INFRA_AND_TOOLING,0x2d7c760301b9e55965f18dfc4f3d48376f2392e0801e192bfdbe3fe43143426e,"15,599.20"
GOVERNANCE_INFRA_AND_TOOLING,0xd0cb7048d7d7204f14a95cad824992f306958530f30f84e070745ef14f853468,"15,599.20"
GOVERNANCE_INFRA_AND_TOOLING,0xba960a2c3c700fa7d19a9c734982b0b35bd064639e1418347270eddab448bf91,"15,599.20"
GOVERNANCE_ANALYTICS,0xa0580288a9dc23b1c08e799c1e533b7e42981cbe80ff81cd35e12f22a7fea33c,"15,061.74"
GOVERNANCE_ANALYTICS,0xa4c06b0df45ea3cf4797ad8738377f7ea42410e56e7ca2ff94813ad73fdf81f4,"15,011.20"
GOVERNANCE_INFRA_AND_TOOLING,0x32e7213faa7fb7919426ae3e3445d47d252677d00a772641c5e4f1626134dd75,"14,696.77"
GOVERNANCE_ANALYTICS,0xd4631b6d489a02fe50d3385c99086c1e804eac3f5eab4f6a618f626e460bd353,"14,151.97"
GOVERNANCE_ANALYTICS,0x3351f219689dbf84d1eb2ea357e964127af554464f0e9618a07806bf40af5935,"14,151.97"
GOVERNANCE_INFRA_AND_TOOLING,0xab39b725ae275ff8055702e58441f053d71967ffc9686ec9201bba813b301c67,"14,052.17"
GOVERNANCE_ANALYTICS,0x6dd054fa29e594d6d29a11ce4972529c4f311381563a9377c6148c4c1249ed39,"13,798.17"
GOVERNANCE_ANALYTICS,0xd6ea984e2cc371c037035dff68d67bca54b9c36e3ff5d0290cf1f174cac7cfd4,"13,798.17"
GOVERNANCE_INFRA_AND_TOOLING,0x0176ac7bcd9e5f6f9ac3b8d3cbeae9055d9d0ec651f2e151734e15444c95c0cc,"13,665.42"
GOVERNANCE_INFRA_AND_TOOLING,0xe8641c96bc794d3238e6ec3240841bb39b91f039c484b83a0f074fb52b8d562a,"13,665.42"
GOVERNANCE_INFRA_AND_TOOLING,0xfc0aebfa670b825823a459ed9c18f73b22361db3e7337c508ee480ba887f1860,"13,536.50"
GOVERNANCE_INFRA_AND_TOOLING,0xf53e131123b0572c3703272b7af125997e74cbf0e26d80e99ea355701b3e3d6d,"13,149.74"
GOVERNANCE_INFRA_AND_TOOLING,0x43b98e1610cf95912aec6dd3c0c532aa7e81f781476b787e70a422b4b8e5bf04,"13,020.82"
GOVERNANCE_INFRA_AND_TOOLING,0x565c0d3fa78d5952f578158607bbcaa3ad6dbd50901b2ac68153185344a5403c,"12,891.90"
GOVERNANCE_INFRA_AND_TOOLING,0xe848d4e43eb528f85c31b72eabec72f1dfc368c71e1a837daa576e96cb56862a,"12,762.98"
GOVERNANCE_INFRA_AND_TOOLING,0xeb802f29f510ddd2ad52a3ed8aac8e04c6341a383e9c936e6be4cff44c7c6454,"12,762.98"
GOVERNANCE_INFRA_AND_TOOLING,0xebbcbd4d172b29cb7935a1372b2d17b1eb70c11e1d5a4bed2dc4974869100ce7,"12,376.23"
GOVERNANCE_LEADERSHIP,0xc7b16a3ff005dd859dbdc549b237ccbdcbbdba52752b4c9ca37add34bbc8d18a,"12,238.75"
GOVERNANCE_LEADERSHIP,0xda6d77ebc6ab2df495a3b2d6584ad4d4bc2d99f1c44e492fa0db0eb72de9b486,"11,583.10"
GOVERNANCE_LEADERSHIP,0x40d4bd41b3f89c281a573bbd032873578a4c30076595280e66546b4be87cf0eb,"11,510.25"
GOVERNANCE_INFRA_AND_TOOLING,0x7cd33b33b9613b99777adca81c61ca0014122882b85c76cb9a97d9ab3452a487,"10,958.12"
GOVERNANCE_INFRA_AND_TOOLING,0x3be9ee627e19f49c13cfb8d174b1a2e73d6a8c7ca9c6b2e408eae12bc62332bf,"9,668.93"
GOVERNANCE_INFRA_AND_TOOLING,0x02801e8c789e9e80b518e06306062db04812dce557c961cfa0ff25928b7154af,"8,766.49"
GOVERNANCE_INFRA_AND_TOOLING,0xe07e666d50900bf9c5f2777dbe41cb97cc2e4eef46c1b480c0aa8e208b563ea8,"8,766.49"
GOVERNANCE_INFRA_AND_TOOLING,0x7c017eb542b97933cb41485a4872fe191476275366ea55b66534d41f6e32ecd7,"7,799.60"
GOVERNANCE_INFRA_AND_TOOLING,0x6023480205c8c7eb56ed2089526be236bd2683fb029e10ee23ee0b1af91cb8a4,"7,799.60"
GOVERNANCE_INFRA_AND_TOOLING,0x65fad5486329a6f1e265621e766707da911becd6468ad9608621652d239865d5,"7,670.68"
GOVERNANCE_LEADERSHIP,0x73e9613c45fcc2525d2886636d1adbb74f9eba411514dab62dfcd5ce9c31de8a,"7,649.22"
GOVERNANCE_LEADERSHIP,0xe3aa732b584cc446aa48e8cc27ccfabbb04b071531314582fbd63f00f052d657,"7,649.22"
GOVERNANCE_INFRA_AND_TOOLING,0x4de6981c21343635d158efee1e10a2720300628f45bd159a141caa20ebb331fb,"7,348.38"
GOVERNANCE_INFRA_AND_TOOLING,0x70423a2432b563cf49cd814ff84c34b55fe94d368a8369f3b6128eb4a048ac55,"4,641.08"
GOVERNANCE_INFRA_AND_TOOLING,0x97309e9ea07e7b0a1c964e0d77c2cf097b943175ee12a2b63ff257c660adf9f1,"4,641.08"
