alignment_map,avg_blob_base_fee_on_l1_inbox,avg_l1_calldata_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,calldata_bytes_l1_inbox,dt,l1_blobgas_eth_fees_inbox,l1_blobgas_purchased_inbox,l1_blobgas_usd_fees_inbox,l1_bytes_used_total,l1_calldata_eth_fees_inbox,l1_calldata_usd_fees_inbox,l1_eth_fees_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_eth_fees_to_validators_total,l1_eth_fees_total,l1_gas_used_combined,l1_gas_used_inbox,l1_gas_used_output,l1_gas_used_total,l1_num_txs_total,l1_overhead_eth_fees_inbox,l1_overhead_usd_fees_inbox,l1_usd_fees_combined,l1_usd_fees_inbox,l1_usd_fees_output,name,num_l1_submissions,num_l1_txs_combined,num_l1_txs_inbox,num_l1_txs_output,secs_between_l1_txs_inbox,secs_between_l1_txs_output,share_elapsed,last_updated
OP Stack Fork,,5.639315940065597,5.564638952963635,5.346238080886006,80017502,2024-05-26 00:00:00.000 UTC,,,,430009344,7.1029038406835765,27150.31266565173,7.21029029381025,7.198864057164353,0.011426236645897453,361.56160724292835,943.2109059971172,1295817596,1293680348,2137248.0,108721377523,1139013,0.09596021648077203,366.8087419623631,27560.762560463685,27517.1214076141,43.64115284958391,Blast,816,840,816,24.0,105.88235294117646,3600.0,,2024-06-08 13:14:12.086207
OP Chain,1.0000000000000025e-09,Infinity,10.466832927504456,9.442195587669199,0,2024-05-13 00:00:00.000 UTC,2.65027584000001e-10,265027584.0,7.803807989760001e-07,455426191,0.0,0.0,0.09519521304694552,0.07407377689297653,0.021121436153968984,360.9756900593897,1251.557717938092,9313920,7077000,2236920.0,108617179004,1163122,0.07407377662794898,218.6790481208174,281.0118266051271,218.67904890119837,62.33277770392876,OP Mainnet,2022,361,337,24.0,256.379821958457,3600.0,,2024-06-08 13:14:12.086207
OP Chain,1.0000000000000028e-09,Infinity,7.438079847244958,6.124546678417501,0,2024-05-26 00:00:00.000 UTC,2.722365440000012e-10,272236544.0,1.03595146739712e-06,430009344,0.0,0.0,0.0679010416021955,0.05420128811911053,0.013699753483084972,361.56160724292835,943.2109059971172,9523860,7287000,2236860.0,108721377523,1139013,0.054201287846874016,206.87694375094463,259.1729868553442,206.87694478689593,52.29604206844827,OP Mainnet,2077,371,347,24.0,248.99135446685878,3600.0,,2024-06-08 13:14:12.086207
OP Chain,9.999999999999994e-10,Infinity,7.156367442113214,6.304500192087786,0,2024-05-26 00:00:00.000 UTC,3.3161216e-11,33161216.0,1.2591912321024e-07,430009344,0.0,0.0,0.0680388051703632,0.023895110922377213,0.044143694247986,361.56160724292835,943.2109059971172,10340934,3339000,7001934.0,108721377523,1139013,0.023895110889216007,91.20134550752597,259.8902124385188,91.20134563344513,168.68886680507364,Kroma,253,204,159,45.0,543.3962264150944,1920.0,,2024-06-08 13:14:12.086207
OP Chain,1.0084985835694079e-09,Infinity,20.863919680025518,17.202137708003352,0,2024-05-28 00:00:00.000 UTC,2.799697920000012e-10,277610496.0,1.0801218138931199e-06,329303329,0.0,0.0,0.1931434234728282,0.15466423686799882,0.03847918660482937,523.6965054134749,2240.817571260801,9649884,7413000,2236884.0,108571473028,1105315,0.154664236588029,596.810853627678,745.2398535144887,596.8108547077991,148.42899880668963,OP Mainnet,2118,377,353,24.0,244.75920679886684,3600.0,,2024-06-08 13:14:12.086207
OP Chain,1.0125786163522002e-09,Infinity,17.257238236691816,15.908181881834537,0,2024-05-28 00:00:00.000 UTC,2.110259199999998e-11,20840448.0,8.142080966655997e-08,329303329,0.0,0.0,0.15467595443811835,0.05762191849341661,0.09705403594470174,523.6965054134749,2240.817571260801,9439888,3339000,6100888.0,108571473028,1105315,0.057621918472313995,222.429288321781,597.1555257035545,222.42928840320178,374.72623730035275,Kroma,159,195,159,36.0,543.3962264150944,2400.0,,2024-06-08 13:14:12.086207
OP Chain,1e-09,Infinity,22.261812322733334,17.66022262326613,0,2024-05-28 00:00:00.000 UTC,1.179648e-11,11796480.0,4.5539587522559997e-08,329303329,0.0,0.0,0.04651146609443549,0.0070124708934574806,0.03949899520097801,523.6965054134749,2240.817571260801,2551608,315000,2236608.0,108571473028,1105315,0.007012470881660999,27.07301894798631,179.42960675858023,27.073018993525892,152.35658776505434,Zora,90,39,15,24.0,5760.0,3600.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,226.09606913593692,6.224481538623932,6.232146499803329,328,2024-05-26 00:00:00.000 UTC,,,,430009344,2.9561405486516e-05,0.11296730827847654,0.014065228768086581,0.0010753165326865162,0.012989912235400065,361.56160724292835,943.2109059971172,2257096,172756,2084340.0,108721377523,1139013,0.0010457551271999999,3.996497643328623,53.66709364372446,4.1094649516071,49.55762869211736,Ancient8,8,32,8,24.0,10800.0,3600.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,195.59175841161948,5.380040747122188,4.7636925562756725,2911,2024-05-26 00:00:00.000 UTC,,,,430009344,0.00022690516217382004,0.8668648045160403,0.010792139582310666,0.00824852783234682,0.002543611749963846,361.56160724292835,943.2109059971172,2067130,1533172,533958.0,108721377523,1139013,0.008021622670173001,30.64547062932895,41.209081259421936,31.512335433844985,9.696745825576947,Karak,71,77,71,6.0,1216.9014084507041,14400.0,,2024-06-08 13:14:12.086207
OP Chain,1e-09,Infinity,10.460810443823528,9.729039415166667,0,2024-05-13 00:00:00.000 UTC,1.3369343999999999e-11,13369344.0,3.9437205503999996e-08,455426191,0.0,0.0,0.025495257220929324,0.003734509341814344,0.02176074787911498,360.9756900593897,1251.557717938092,2593680,357000,2236680.0,108617179004,1163122,0.003734509328445,11.043587435631366,75.33073668756133,11.043587475068572,64.28714921249275,Zora,102,41,17,24.0,5082.35294117647,3600.0,,2024-06-08 13:14:12.086207
