alignment_map,avg_blob_base_fee_on_l1_inbox,avg_l1_calldata_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,calldata_bytes_l1_inbox,dt,l1_blobgas_eth_fees_inbox,l1_blobgas_purchased_inbox,l1_blobgas_usd_fees_inbox,l1_bytes_used_total,l1_calldata_eth_fees_inbox,l1_calldata_usd_fees_inbox,l1_eth_fees_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_eth_fees_to_validators_total,l1_eth_fees_total,l1_gas_used_combined,l1_gas_used_inbox,l1_gas_used_output,l1_gas_used_total,l1_num_txs_total,l1_overhead_eth_fees_inbox,l1_overhead_usd_fees_inbox,l1_usd_fees_combined,l1_usd_fees_inbox,l1_usd_fees_output,name,num_l1_submissions,num_l1_txs_combined,num_l1_txs_inbox,num_l1_txs_output,secs_between_l1_txs_inbox,secs_between_l1_txs_output,share_elapsed,last_updated
OP Stack Fork,,124.97129292442696,3.440330488283738,3.3984295729395986,6109,2024-05-18 00:00:00.000 UTC,,,,423675561,0.0003047078138230439,0.9488866399573704,0.032319728212423564,0.011069524811170043,0.021250203401253522,222.9109723603071,589.003595255193,9470524,3217576,6252948.0,108757760641,1082308,0.010764816997347002,33.5225601474854,100.64925590808542,34.47144678744276,66.17780912064266,Manta Pacific,149,221,149,72.0,579.8657718120805,1200.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,165.50689986501342,4.567631312999999,4.561924523911706,328,2024-05-18 00:00:00.000 UTC,,,,423675561,2.1778466100383998e-05,0.06779717824193264,0.006335820326025768,0.0007891405266843838,0.0055466797993413836,222.9109723603071,589.003595255193,1388632,172768,1215864.0,108757760641,1082308,0.000767362060584,2.3888267501352103,19.725474911913402,2.456623928377143,17.268850983536257,Aevo,8,22,8,14.0,10800.0,6171.428571428572,,2024-06-08 13:14:12.086207
OP Stack Fork,,163.57926423652157,4.507067178315829,4.363262679153209,492,2024-05-18 00:00:00.000 UTC,,,,423675561,3.2172362300764e-05,0.10017372067096632,0.010262431962102813,0.001167961388588764,0.009094470573514049,222.9109723603071,589.003595255193,2343468,259140,2084328.0,108757760641,1082308,0.001135789026288,3.5364446905896916,31.963815031828076,3.6366184112606583,28.327196620567417,Hypr,12,36,12,24.0,7200.0,3600.0,,2024-06-08 13:14:12.086207
OP Chain,,181.52245672195588,4.469092650762535,4.125395603009835,2958,2024-05-18 00:00:00.000 UTC,,,,423675561,0.000206119761128716,0.6419528307514298,0.009140011931323484,0.008371128949625717,0.0007688829816977669,222.9109723603071,589.003595255193,2059494,1873116,186378.0,108757760641,1082308,0.008165009188497002,25.429516793762563,28.479374452359323,26.071469624513988,2.4079048278453357,Redstone,87,89,87,2.0,993.1034482758621,43200.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,162.78531810951955,4.483614394168133,4.320953436487397,3239,2024-05-18 00:00:00.000 UTC,,,,423675561,0.00021066746376810386,0.6561334849349828,0.016796537197190653,0.0076489923530781035,0.00914754484411255,222.9109723603071,589.003595255193,3823008,1705988,2117020.0,108757760641,1082308,0.007438324889310005,23.167036385421476,52.31925727408092,23.823169870356452,28.496087403724466,Orderly,79,104,79,25.0,1093.6708860759493,3456.0,,2024-06-08 13:14:12.086207
OP Chain,9.999999999999986e-10,Infinity,4.81535564040625,4.326341720484083,0,2024-05-18 00:00:00.000 UTC,2.569011199999999e-11,25690112.0,8.002667020287995e-08,423675561,0.0,0.0,0.03954592866099502,0.016179594977455112,0.023366333683539908,222.9109723603071,589.003595255193,8760945,3360000,5400945.0,108757760641,1082308,0.016179594951765,50.38612750459341,123.15820223515408,50.38612758462007,72.77207465053401,Kroma,196,187,160,27.0,540.0,3200.0,,2024-06-08 13:14:12.086207
OP Chain,1e-09,Infinity,5.477457313875,5.2056237328782995,0,2024-05-18 00:00:00.000 UTC,1.048576e-12,1048576.0,3.2636770713599995e-09,423675561,0.0,0.0,0.001824367204695742,0.0009202128297795761,0.0009041543749161659,222.9109723603071,589.003595255193,341688,168000,173688.0,108757760641,1082308,0.0009202128287310001,2.8642264583808537,5.680201088451399,2.8642264616445314,2.8159746268068675,Mint,8,10,8,2.0,10800.0,43200.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,160.32402958754406,4.414970197088459,4.5562728819539995,369,2024-05-18 00:00:00.000 UTC,,,,423675561,2.3637305790536e-05,0.0735827643132299,0.011146304706111944,0.000858058287744536,0.010288246418367408,222.9109723603071,589.003595255193,2452392,194352,2258040.0,108757760641,1082308,0.000834420981954,2.597553718187513,34.70362021485283,2.671136482500743,32.03248373235209,Ancient8,9,35,9,26.0,9600.0,3323.076923076923,,2024-06-08 13:14:12.086207
OP Stack Fork,,164.9266455865546,4.521907540720653,4.292909492366028,492,2024-05-18 00:00:00.000 UTC,,,,423675561,3.2131141853884e-05,0.10008763039305371,0.010492366492161082,0.001171644331430884,0.009320722160730198,222.9109723603071,589.003595255193,2430294,259104,2171190.0,108757760641,1082308,0.001139513189577,3.5494978627209237,32.66889506747846,3.6495854931139777,29.019309574364485,Lyra,12,37,12,25.0,7200.0,3456.0,,2024-06-08 13:14:12.086207
OP Chain,,181.2929054881139,4.469778262395859,4.49759370167518,7038,2024-05-18 00:00:00.000 UTC,,,,423675561,0.000491121342721904,1.5290825823805896,0.02998069124626065,0.01992128322121991,0.010059408025040743,222.9109723603071,589.003595255193,6693504,4456884,2236620.0,108757760641,1082308,0.019430161878498005,60.49501140109561,93.36199712896834,62.02409398347619,31.337903145492145,CyberConnect,207,231,207,24.0,417.39130434782606,3600.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,231.88598752319942,6.385423220965994,6.805962089588408,2911,2024-05-10 00:00:00.000 UTC,,,,477049004,0.0002695224405814798,0.7988037308786384,0.013424274824736852,0.009790258590849478,0.0036340162338873725,234.86166309699357,913.4729827812484,2067166,1533220,533946.0,108744747889,1154535,0.009520736150268001,28.216849430057096,39.75567718969222,29.01565316093573,10.740024028756489,Karak,71,77,71,6.0,1216.9014084507041,14400.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,6.398139685216919,6.307595898389491,5.9540614306200155,110568338,2024-05-10 00:00:00.000 UTC,,,,477049004,11.120318369801458,32980.75973223863,11.298329737182259,11.285604145502841,0.012725591679418441,234.86166309699357,913.4729827812484,1791345788,1789208492,2137296.0,108744747889,1154535,0.16528577570137504,489.57641549421396,33508.07375213956,33470.33614773285,37.73760440670369,Blast,1206,1230,1206,24.0,71.64179104477611,3600.0,,2024-06-08 13:14:12.086207
OP Chain,,312.56786309866965,7.704525821922131,6.710102846981022,6018,2024-05-10 00:00:00.000 UTC,,,,477049004,0.0007238121652276358,2.1446663827048895,0.03061207036610726,0.02936145481769263,0.0012506155484146289,234.86166309699357,913.4729827812484,3997314,3810936,186378.0,108744747889,1154535,0.028637642652464993,84.85385346594663,90.70658906875525,86.99851984865153,3.7080692201037166,Redstone,177,179,177,2.0,488.135593220339,43200.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,295.9828708291382,8.149288986633834,7.193530176909298,20172,2024-05-10 00:00:00.000 UTC,,,,477049004,0.0023840266966817913,7.057965361770438,0.10157607911036595,0.08658231642142683,0.014993762688939124,234.86166309699357,913.4729827812484,12708864,10624524,2084340.0,108744747889,1154535,0.084198289724745,249.27224935114927,300.85542119939544,256.33021471291954,44.525206486475895,Orderly,492,516,492,24.0,175.609756097561,3600.0,,2024-06-08 13:14:12.086207
OP Chain,9.999999999999986e-10,Infinity,7.730775250698115,7.4975447403144635,0,2024-05-10 00:00:00.000 UTC,2.0840447999999986e-11,20840448.0,6.220640681984e-08,477049004,0.0,0.0,0.06896276312639496,0.02581305858292145,0.04314970454347351,234.86166309699357,913.4729827812484,9094178,3339000,5755178.0,108744747889,1154535,0.025813058562080996,76.58297040473074,204.4884205470392,76.5829704669371,127.90545008010211,Kroma,159,183,159,24.0,543.3962264150944,3600.0,,2024-06-08 13:14:12.086207
OP Stack Fork,1e-09,Infinity,8.243590922,6.48564620538583,0,2024-05-10 00:00:00.000 UTC,1.31072e-12,1310720.0,3.91535525888e-09,477049004,0.0,0.0,0.0025114021943277737,0.00138492327620672,0.001126478918121054,234.86166309699357,913.4729827812484,341688,168000,173688.0,108744747889,1154535,0.001384923274896,4.105065146756541,7.435534072094383,4.105065150671896,3.3304689214224874,BOB (Build on Bitcoin),10,10,8,2.0,10800.0,43200.0,,2024-06-08 13:14:12.086207
OP Chain,1.0000000000000003e-09,Infinity,8.013273286488374,7.4662869593738765,0,2024-05-10 00:00:00.000 UTC,3.3816576e-11,33816576.0,1.0159509995520001e-07,477049004,0.0,0.0,0.023935142955146864,0.0072359858115155756,0.016699157143631287,234.86166309699357,913.4729827812484,3139608,903000,2236608.0,108744747889,1154535,0.007235985777699001,21.632590321147656,71.14702183891512,21.63259042274276,49.51443141617237,Mode,258,67,43,24.0,2009.3023255813953,3600.0,,2024-06-08 13:14:12.086207
OP Chain,,290.59491347853765,7.167718791585057,7.827633515221483,884,2024-05-10 00:00:00.000 UTC,,,,477049004,9.899657186264799e-05,0.29382894322878117,0.022249672162749742,0.004012546321279648,0.018237125841470095,234.86166309699357,913.4729827812484,2889647,559808,2329839.0,108744747889,1154535,0.0039135497494169995,11.616031965883193,65.92185156209908,11.909860909111977,54.011990652987095,CyberConnect,26,51,26,25.0,3323.076923076923,3456.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,281.5780849354523,7.7455698770796815,8.105004810795927,738,2024-05-10 00:00:00.000 UTC,,,,477049004,8.286826757685601e-05,0.24566523174393384,0.019199626285774506,0.0030106410466618563,0.01618898523911265,234.86166309699357,913.4729827812484,2386098,388692,1997406.0,108744747889,1154535,0.0029277727790850004,8.679493338039766,56.737000400673246,8.925158569783699,47.81184183088955,Hypr,18,41,18,23.0,4800.0,3756.521739130435,,2024-06-08 13:14:12.086207
OP Stack Fork,,237.42963198552218,6.528260122790841,7.17871554810835,1517,2024-05-10 00:00:00.000 UTC,,,,477049004,0.000143335598799952,0.42808325374014483,0.019554680441870857,0.005215870933785951,0.014338809508084907,234.86166309699357,913.4729827812484,2796374,798968,1997406.0,108744747889,1154535,0.005072535334986,15.148728615919945,58.1506266921413,15.576811869660094,42.573814822481204,Ancient8,37,60,37,23.0,2335.135135135135,3756.521739130435,,2024-06-08 13:14:12.086207
OP Chain,1e-09,Infinity,7.7793812285,7.536534656649261,0,2024-05-10 00:00:00.000 UTC,1.048576e-12,1048576.0,3.13349636096e-09,477049004,0.0,0.0,0.0027115803036735523,0.001306936047436576,0.0014046442562369761,234.86166309699357,913.4729827812484,354378,168000,186378.0,108744747889,1154535,0.001306936046388,3.8878703456488517,8.042344421085232,3.8878703487823483,4.154474072302884,Metal,8,10,8,2.0,10800.0,43200.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,251.18547492796083,6.886914347413522,7.436602330660836,861,2024-05-10 00:00:00.000 UTC,,,,477049004,8.5660761739408e-05,0.25431943862806694,0.012164555163315048,0.0031227473463764093,0.009041807816938639,234.86166309699357,913.4729827812484,1669284,453432,1215852.0,108744747889,1154535,0.0030370865846369994,9.016752757990865,36.11834328311838,9.271072196618931,26.847271086499447,Aevo,21,35,21,14.0,4114.285714285715,6171.428571428572,,2024-06-08 13:14:12.086207
OP Stack Fork,,249.79741057635897,6.8749495528284825,6.602283211500536,12587,2024-05-04 00:00:00.000 UTC,,,,473495927,0.0012544961944980961,3.9193041221074645,0.059338578551755145,0.04557717556269611,0.013761402989059032,230.73561211245746,851.2071149978831,8713796,6629456,2084340.0,108768761774,1163073,0.04432267936819799,138.47311595830217,185.3734604173722,142.39242008040958,42.98104033696261,Orderly,307,331,307,24.0,281.43322475570034,3600.0,,2024-06-08 13:14:12.086207
OP Chain,1e-09,Infinity,7.9306924424,6.810023390152129,0,2024-05-04 00:00:00.000 UTC,1.179648e-11,11796480.0,3.685551439872e-08,473495927,0.0,0.0,0.017729520925753854,0.0024981681311524798,0.015231352794601373,230.73561211245746,851.2071149978831,2551608,315000,2236608.0,108768761774,1163073,0.0024981681193559997,7.80580799258341,55.35033798705852,7.805808029438925,47.544529957619595,Zora,90,39,15,24.0,5760.0,3600.0,,2024-06-08 13:14:12.086207
OP Chain,,272.7661005555399,6.727009964515892,6.116172926407784,3264,2024-05-04 00:00:00.000 UTC,,,,473495927,0.00034283684338419994,1.070531586820786,0.015044488226093227,0.013904568148415198,0.00113992007767803,230.73561211245746,851.2071149978831,2253354,2066976,186378.0,108768761774,1163073,0.013561731305031,42.34753494139483,46.99270933801835,43.4180665282156,3.5746428098027505,Redstone,96,98,96,2.0,900.0,43200.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,223.05036498079534,6.14071088897975,6.000181151636663,7913,2024-05-08 00:00:00.000 UTC,,,,460731881,0.000704637962915468,2.1182025292005338,0.038099303982038826,0.02559288640043647,0.012506417581602359,242.309156698583,789.3388574446544,6252080,4167740,2084340.0,108565590913,1159221,0.02488824843752101,74.81644472322249,114.50250472042495,76.93464725242302,37.567857468001925,Lyra,193,217,193,24.0,447.6683937823834,3600.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,606.7747150613029,16.707035883466585,16.382844980048343,3485,2024-05-27 00:00:00.000 UTC,,,,421938175,0.0008439029296992475,3.3066044672112533,0.06481404834539198,0.03066643264553825,0.03414761569985372,502.9972337042625,2116.617626860202,3919892,1835540,2084352.0,108602359476,1159616,0.029822529715839003,116.85318234605515,253.87965384723952,120.1597868132664,133.71986703397312,Orderly,85,109,85,24.0,1016.4705882352941,3600.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,225.10443492076413,6.186777252294884,6.4118507578914254,779,2024-05-08 00:00:00.000 UTC,,,,460731881,6.9755420839536e-05,0.20979723704429126,0.015346047878761268,0.0025382862239625354,0.012807761654798733,242.309156698583,789.3388574446544,2407790,410276,1997514.0,108565590913,1159221,0.0024685308031230004,7.424358946471594,46.1885992631523,7.634156183515886,38.554443079636414,Hypr,19,42,19,23.0,4547.368421052632,3756.521739130435,,2024-06-08 13:14:12.086207
OP Chain,,239.07847905431748,5.897035045497771,6.249768262177707,884,2024-05-08 00:00:00.000 UTC,,,,460731881,8.1419302313016e-05,0.2447690427003389,0.017279189099206185,0.0033012073947500165,0.01397798170445617,242.309156698583,789.3388574446544,2796368,559808,2236560.0,108565590913,1159221,0.0032197880924370002,9.679461397251824,51.921014298719584,9.924230439952158,41.99678385876743,CyberConnect,26,50,26,24.0,3323.076923076923,3600.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,231.20636078664685,6.364185723725709,6.204122296758935,5863,2024-05-10 00:00:00.000 UTC,,,,477049004,0.0005410202446889877,1.603069736291547,0.05844651072320405,0.019652605514864988,0.038793905208339065,234.86166309699357,913.4729827812484,9340924,3088000,6252924.0,108744747889,1154535,0.019111585270176003,56.6293668642848,173.1928197933,58.23243660057634,114.96038319272365,Manta Pacific,143,215,143,72.0,604.1958041958042,1200.0,,2024-06-08 13:14:12.086207
OP Chain,9.99999999999999e-10,Infinity,4.843074766943396,4.113596301365551,0,2024-05-19 00:00:00.000 UTC,2.673868799999998e-11,26738688.0,8.269325402112004e-08,427950231,0.0,0.0,0.0389632420413277,0.01617102667356269,0.022792215367765014,251.56413937187915,600.3415487943893,8879703,3339000,5540703.0,109044511249,1022057,0.016171026646824006,50.07496799825324,120.70329624974735,50.074968080946526,70.62832816880083,Kroma,204,183,159,24.0,543.3962264150944,3600.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,13.029628630897776,5.757954255328439,5.794955456411528,149535,2024-05-04 00:00:00.000 UTC,,,,473495927,0.013674105936282587,42.82998132300268,0.06721795316825675,0.030982745734326585,0.03623520743393017,230.73561211245746,851.2071149978831,11633748,5380860,6252888.0,108768761774,1163073,0.017308639798043993,54.05886771177843,210.0669765943232,96.88884903478109,113.17812755954212,Manta Pacific,143,215,143,72.0,604.1958041958042,1200.0,,2024-06-08 13:14:12.086207
OP Stack Fork,1e-09,Infinity,8.044109968777779,6.560169761065394,0,2024-05-04 00:00:00.000 UTC,1.1796480000000002e-12,1179648.0,3.6858377011200003e-09,473495927,0.0,0.0,0.002659759550738574,0.001520336785278648,0.001139422765459926,230.73561211245746,851.2071149978831,362688,189000,173688.0,108768761774,1163073,0.0015203367840989999,4.75136844370839,8.308443275048571,4.751368447394228,3.5570748276543442,BOB (Build on Bitcoin),9,11,9,2.0,9600.0,43200.0,,2024-06-08 13:14:12.086207
OP Chain,,242.9435293306151,6.647807887402386,6.7450401589389894,740,2024-05-04 00:00:00.000 UTC,,,,473495927,7.8551461016548e-05,0.2452868706093674,0.01751894818955705,0.0028706298107065487,0.014648318378850502,230.73561211245746,851.2071149978831,2603533,431816,2171717.0,108768761774,1163073,0.00279207834969,8.718679707738486,54.70355614263527,8.963966578347852,45.73958956428742,Fraxtal,20,45,20,25.0,4320.0,3456.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,5.896691386191682,5.81850951374575,5.681353623596792,114580852,2024-05-04 00:00:00.000 UTC,,,,473495927,10.636476986748935,33220.89755353797,10.79174156838666,10.779598834012361,0.012142734374298933,230.73561211245746,851.2071149978831,1854776500,1852639204,2137296.0,108768761774,1163073,0.1431218472634229,447.0218530635687,33705.83616997737,33667.919406601526,37.916763375841356,Blast,1170,1194,1170,24.0,73.84615384615384,3600.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,209.22253302756988,5.766120956962825,5.626131908983797,2911,2024-05-04 00:00:00.000 UTC,,,,473495927,0.000243635291224992,0.7608313710384624,0.011845057695846161,0.008840939553988991,0.00300411814185717,230.73561211245746,851.2071149978831,2067214,1533256,533958.0,108768761774,1163073,0.008597304262764002,26.84792333470162,36.980700595695254,27.608754705740076,9.371945889955175,Karak,71,77,71,6.0,1216.9014084507041,14400.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,239.37822771510184,6.5939913911360115,6.819733695914507,861,2024-05-04 00:00:00.000 UTC,,,,473495927,8.2383041849052e-05,0.25741313987665154,0.01068973348929957,0.0029903223439490525,0.007699411145350518,230.73561211245746,851.2071149978831,1582482,453492,1128990.0,108768761774,1163073,0.0029079393021,9.086105887362947,33.39845104765763,9.343519027239598,24.05493202041803,Aevo,21,34,21,13.0,4114.285714285715,6646.153846153846,,2024-06-08 13:14:12.086207
OP Chain,1.0000000000000003e-09,Infinity,8.133605016409089,6.795267388664893,0,2024-05-04 00:00:00.000 UTC,3.4603008e-11,34603008.0,1.0802739019776003e-07,473495927,0.0,0.0,0.02271396355980935,0.007515451069765009,0.015198512490044338,230.73561211245746,851.2071149978831,3160632,924000,2236632.0,108768761774,1163073,0.007515451035162001,23.467860743015713,70.9372820629076,23.467860851043103,47.4694212118645,Mode,264,68,44,24.0,1963.6363636363637,3600.0,,2024-06-08 13:14:12.086207
OP Chain,9.999999999999984e-10,Infinity,6.985037042968749,6.601102532423477,0,2024-05-04 00:00:00.000 UTC,2.0971519999999992e-11,20971520.0,6.547839647744001e-08,473495927,0.0,0.0,0.05860454819024521,0.023469724485346517,0.03513482370489869,230.73561211245746,851.2071149978831,8682569,3360000,5322569.0,108768761774,1163073,0.023469724464375,73.2926393457065,182.99029257743146,73.29263941118496,109.6976531662465,Kroma,160,185,160,25.0,540.0,3456.0,,2024-06-08 13:14:12.086207
OP Chain,1.000000000000003e-09,Infinity,7.791017932809752,6.816080183966217,0,2024-05-04 00:00:00.000 UTC,4.836556800000022e-10,483655680.0,1.5102354967756816e-06,473495927,0.0,0.0,0.11482794386357961,0.10062099708589367,0.014206946777685935,230.73561211245746,851.2071149978831,14999328,12915000,2084328.0,108768761774,1163073,0.10062099660223804,314.2558775031122,358.6330062135917,314.2558790133477,44.37712720024407,Base,3690,639,615,24.0,140.4878048780488,3600.0,,2024-06-08 13:14:12.086207
OP Chain,1e-09,Infinity,7.862615113875,6.864641897547,0,2024-05-04 00:00:00.000 UTC,1.048576e-12,1048576.0,3.2744931328e-09,473495927,0.0,0.0,0.0026003375677605915,0.0013209193401795762,0.001279418227581015,230.73561211245746,851.2071149978831,354378,168000,186378.0,108768761774,1163073,0.001320919339131,4.1246522622324315,8.108906714076552,4.124652265506925,3.984254448569627,Metal,8,10,8,2.0,10800.0,43200.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,244.64782778951962,6.73606623660138,6.761123273543022,7954,2024-05-04 00:00:00.000 UTC,,,,473495927,0.0007769436202505159,2.4261262208346124,0.042312205300150174,0.02821972561617352,0.014092479683976656,230.73561211245746,851.2071149978831,6273688,4189348,2084340.0,108768761774,1163073,0.027442781995922996,85.69437075347483,132.1309227731303,88.12049697430948,44.01042579882082,Lyra,194,218,194,24.0,445.36082474226805,3600.0,,2024-06-08 13:14:12.086207
OP Chain,1.0000000000000017e-09,Infinity,7.818730131411115,6.707933645482252,0,2024-05-04 00:00:00.000 UTC,1.4155776000000028e-10,141557760.0,4.421652106444799e-07,473495927,0.0,0.0,0.044559749978136415,0.029554800038291754,0.015004949939844664,230.73561211245746,851.2071149978831,6016896,3780000,2236896.0,108768761774,1163073,0.029554799896734,92.33536627690066,139.1817208440799,92.33536671906587,46.846354125014024,OP Mainnet,1080,204,180,24.0,480.0,3600.0,,2024-06-08 13:14:12.086207
OP Chain,,272.60232244557324,6.7175373208352855,6.72901944267423,850,2024-05-04 00:00:00.000 UTC,,,,473495927,8.910206064508401e-05,0.27822784783009746,0.01929342118599608,0.003615808508462084,0.015677612677533998,230.73561211245746,851.2071149978831,2868115,538264,2329851.0,108768761774,1163073,0.0035267064478169993,11.012470160010992,60.2059740704527,11.29069800784109,48.91527606261161,CyberConnect,25,50,25,25.0,3456.0,3456.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,266.48047851442817,7.331652649669739,7.563689344453418,7831,2024-05-10 00:00:00.000 UTC,,,,477049004,0.0008318927614662521,2.4677147528176446,0.04666125053313879,0.030239225393899245,0.016422025139239547,234.86166309699357,913.4729827812484,6295642,4124476,2171166.0,108744747889,1154535,0.029407332632433014,87.23306369546138,138.34738124130843,89.70077844827902,48.64660279302941,Lyra,191,216,191,25.0,452.35602094240835,3456.0,,2024-06-08 13:14:12.086207
OP Chain,1e-09,Infinity,8.110150866647059,7.199278199098903,0,2024-05-10 00:00:00.000 UTC,1.3369343999999999e-11,13369344.0,3.998471159808e-08,477049004,0.0,0.0,0.018997459869769324,0.0028953238727623437,0.01610213599700698,234.86166309699357,913.4729827812484,2593632,357000,2236632.0,108744747889,1154535,0.0028953238593930003,8.60761499370207,56.33430367976847,8.60761503368678,47.72668864608168,Zora,102,41,17,24.0,5082.35294117647,3600.0,,2024-06-08 13:14:12.086207
OP Chain,1.0000000000000025e-09,Infinity,8.27860316108862,7.232058744138328,0,2024-05-10 00:00:00.000 UTC,4.702863360000019e-10,470286336.0,1.4053962468556808e-06,477049004,0.0,0.0,0.11903650793587983,0.10396269896723734,0.015073808968642494,234.86166309699357,913.4729827812484,14642304,12558000,2084304.0,108744747889,1154535,0.10396269849695093,309.00505328839984,353.6815263643905,309.0050546937961,44.676471670594395,Base,3588,622,598,24.0,144.48160535117057,3600.0,,2024-06-08 13:14:12.086207
OP Chain,,656.0511046795995,16.17852815711179,11.31507485398801,2754,2024-05-27 00:00:00.000 UTC,,,,421938175,0.0006960684636532241,2.725231187367746,0.030324363555364796,0.02821548253422822,0.002108881021136577,502.9972337042625,2116.617626860202,1930386,1744008,186378.0,108602359476,1159616,0.027519414070574993,107.7430289611342,118.68717422257777,110.468260148502,8.218914074075762,Redstone,81,83,81,2.0,1066.6666666666667,43200.0,,2024-06-08 13:14:12.086207
OP Chain,1.0000000000000028e-09,Infinity,8.992671856028812,8.002729154714508,0,2024-05-03 00:00:00.000 UTC,1.9110297600000052e-10,191102976.0,5.795030866329602e-07,443214205,0.0,0.0,0.06379078147493239,0.04588960467241799,0.017901176802514407,310.94862141242623,1065.2482180296895,7339884,5103000,2236884.0,108529335471,1194608,0.045889604481315016,139.29912227084554,193.72192864551369,139.29912285034865,54.42280579516505,OP Mainnet,1458,267,243,24.0,355.55555555555554,3600.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,539.151166986231,14.806515791035752,15.0435045258097,328,2024-05-27 00:00:00.000 UTC,,,,421938175,7.027438623868001e-05,0.2751387229793834,0.022154218108370788,0.00255773676380668,0.01959648134456411,502.9972337042625,2116.617626860202,1475398,172744,1302654.0,108602359476,1159616,0.002487462377568,9.738920809160174,86.71031798415194,10.014059532139559,76.69625845201239,Aevo,8,23,8,15.0,10800.0,5760.0,,2024-06-08 13:14:12.086207
OP Chain,,223.3461419376828,6.117878798213621,6.261365520672044,777,2024-05-08 00:00:00.000 UTC,,,,460731881,7.599675048602e-05,0.22841826835462734,0.015828239487811,0.0027739686046860204,0.013054270883124981,242.309156698583,789.3388574446544,2538312,453420,2084892.0,108565590913,1159221,0.0026979718542,8.109092963105308,47.594576872433535,8.337511231459935,39.2570656409736,Fraxtal,21,45,21,24.0,4114.285714285715,3600.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,288.0414226307426,7.934479494313542,7.17940295709452,861,2024-05-03 00:00:00.000 UTC,,,,443214205,9.913785173523601e-05,0.30124525035640615,0.012950931718683667,0.003598222974835236,0.00935270874384843,310.94862141242623,1065.2482180296895,1756206,453492,1302714.0,108529335471,1194608,0.0034990851231,10.632218275394443,39.33453117005807,10.933463525750849,28.401067644307226,Aevo,21,36,21,15.0,4114.285714285715,5760.0,,2024-06-08 13:14:12.086207
OP Stack Fork,1.0000000000000005e-09,15.705987281287133,15.478048535327476,15.918788845737112,78295732,2024-05-27 00:00:00.000 UTC,8.781823999999999e-12,8781824.0,3.41460779008e-08,421938175,19.333009882034204,75777.31522972831,19.651659620751786,19.617636457026947,0.034023163724838545,502.9972337042625,2116.617626860202,1269586252,1267448956,2137296.0,108602359476,1159616,0.28462657498394706,1115.2332886201866,77025.84072202773,76892.54851838271,133.29220364502208,Blast,876,900,876,24.0,98.63013698630137,3600.0,,2024-06-08 13:14:12.086207
OP Chain,9.999999999999986e-10,Infinity,8.314694299188677,7.371514466512668,0,2024-05-03 00:00:00.000 UTC,2.0840447999999996e-11,20840448.0,6.325040447487999e-08,443214205,0.0,0.0,0.06999650743456841,0.027762764285831448,0.04223374314873696,310.94862141242623,1065.2482180296895,9068317,3339000,5729317.0,108529335471,1194608,0.027762764264991007,84.34550225933224,212.7269650191853,84.34550232258263,128.38146269660265,Kroma,159,191,159,32.0,543.3962264150944,2700.0,,2024-06-08 13:14:12.086207
OP Stack Fork,,643.2503890847539,17.75225437166667,15.95558613255876,492,2024-05-27 00:00:00.000 UTC,,,,421938175,0.00012696412326616,0.4976633221561816,0.03785644128929574,0.004600532224926159,0.03325590906436958,502.9972337042625,2116.617626860202,2343432,259152,2084280.0,108602359476,1159616,0.00447356810166,17.535117055838615,148.24099859393084,18.032780377994797,130.20821821593606,Public Goods Network,12,36,12,24.0,7200.0,3600.0,,2024-06-08 13:14:12.086207
OP Chain,1e-09,Infinity,20.12244394725,18.991036707499998,0,2024-05-27 00:00:00.000 UTC,1.5728640000000001e-12,1572864.0,6.14798983168e-09,421938175,0.0,0.0,0.006679313660803614,0.003380570584710864,0.00329874307609275,502.9972337042625,2116.617626860202,341700,168000,173700.0,108602359476,1159616,0.003380570583138,13.23498595428786,26.260563311322144,13.23498596043585,13.025577350886294,Mint,12,10,8,2.0,10800.0,43200.0,,2024-06-08 13:14:12.086207
