,from_link,from_name,funding_sources,op_approved_to_project,op_claimed,op_deployed,op_from_other_projects,op_incoming_clawback,op_to_project,p1,p2,p3,pct_allocated_approved,pct_approved_to_project,pct_claimed_to_project,pct_deployed_claimed,pct_to_project_deployed,program_status,proposal_links,total_op_allocated,last_updated
13,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Thales"" target=""_blank"">Thales</a>",Thales,Governance - Phase 0,300000.0,987690,1010045,39070,0,1239070,|,|,|,0.3333333333333333,4.130233333333333,0.7971220350746931,0.9778673227430461,0.8151637921989879,Live Program,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-thales/1078"" target=""_blank"">Link</a>",900000,2023-02-14 11:50:30.086732+00:00
14,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Aelin"" target=""_blank"">Aelin</a>",Aelin,Governance - Phase 0,900000.0,880174,880174,0,0,900000,|,|,|,1.0,1.0,0.9779711111111111,1,0.9779711111111111,Completed,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-aelin-protocol/1157"" target=""_blank"">Link</a>",900000,2023-02-14 11:50:30.086732+00:00
15,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Rubicon"" target=""_blank"">Rubicon</a>",Rubicon,Governance - Phase 0,900254.0,697020,803683,0,0,900254,|,|,|,1.0002822222222223,1.0,0.7742481566313507,0.8672822493445799,0.8927291631028577,Live Program,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-rubicon/794/5"" target=""_blank"">Link</a>",900000,2023-02-14 11:50:30.086732+00:00
16,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Pika%20Protocol"" target=""_blank"">Pika Protocol</a>",Pika Protocol,Governance - Phase 0,900000.0,500860,625994,0,0,900000,|,|,|,1.0,1.0,0.5565111111111111,0.8001035153691569,0.6955488888888889,Live Program,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-pika-protocol/1103"" target=""_blank"">Link</a>",900000,2023-02-14 11:50:30.086732+00:00
17,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=XToken"" target=""_blank"">XToken</a>",XToken,Governance - Season 1,900000.0,3451237,383428,83334,0,683342,|,|,|,1.0,0.7592688888888889,5.050526676247033,9.001004099857079,0.5611070298620603,Live Program,"<a href=""https://gov.optimism.io/t/ready-gf-phase-1-xtoken-terminal-gamma-strategies-and-uniswap-v3-staker/3001"" target=""_blank"">Link</a>",900000,2023-02-14 11:50:30.086732+00:00
18,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Kwenta"" target=""_blank"">Kwenta</a>",Kwenta,Governance - Phase 0,900000.0,248825,256570,11570,0,911570,|,|,|,1.0,1.0128555555555556,0.2729631295457288,0.9698133063101687,0.281459460052437,Live Program,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-kwenta-protocol/1122/2"" target=""_blank"">Link</a>",900000,2023-02-14 11:50:30.086732+00:00
19,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Polynomial%20Protocol"" target=""_blank"">Polynomial Protocol</a>",Polynomial Protocol,Governance - Phase 0,900000.0,153129,237004,0,0,900000,|,|,|,1.0,1.0,0.17014333333333334,0.646103019358323,0.2633377777777778,Live Program,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-polynomial-protocol/1625"" target=""_blank"">Link</a>",900000,2023-02-14 11:50:30.086732+00:00
20,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Zipswap"" target=""_blank"">Zipswap</a>",Zipswap,Governance - Phase 0,26.0,0,0,0,0,26,|,|,|,2.8888888888888888e-05,1.0,0,NaN,0,Not Launched,"<a href=""https://gov.optimism.io/t/gf-phase-0-proposal-zipswap/1131"" target=""_blank"">Link</a>",900000,2023-02-14 11:50:30.086732+00:00
21,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=QiDao"" target=""_blank"">QiDao</a>",QiDao,Governance - Season 1,750000.0,364829,278975,900,0,751154,|,|,|,1.0,1.0015386666666666,0.4856913495767845,1.307748006093736,0.37139521323190716,Not Launched,"<a href=""https://gov.optimism.io/t/ready-gf-phase-1-proposal-qidao-protocol/2863"" target=""_blank"">Link</a>",750000,2023-02-14 11:50:30.086732+00:00
22,"<a href=""https://dune.com/optimismfnd/optimism-project-deep-dive?1%20Project%20Name=Biconomy"" target=""_blank"">Biconomy</a>",Biconomy,Governance - Season 1,750000.0,0,0,0,0,750000,|,|,|,1.0,1.0,0,NaN,0,Not Launched,"<a href=""https://gov.optimism.io/t/ready-gf-phase-1-proposal-biconomy/2880"" target=""_blank"">Link</a>",750000,2023-02-14 11:50:30.086732+00:00
