,max_approval_time,max_claim_time,max_distrib_time,min_approval_time,min_claim_time,min_distrib_time,op_approved_to_project,op_claimed,op_deployed,op_to_project,project_name,last_updated
0,2022-08-08 23:47:57.000 UTC,,,2022-08-08 23:47:57.000 UTC,,,300000.0,0,0,0,1inch,2023-03-10 19:25:02.326526+00:00
1,2022-08-04 16:33:04.000 UTC,,,2022-08-04 16:33:04.000 UTC,,,5000000.0,0,0,0,Aave,2023-03-10 19:25:02.326526+00:00
2,2022-07-13 22:00:49.000 UTC,,,2022-07-13 22:00:49.000 UTC,,,900000.0,0,0,0,Aelin,2023-03-10 19:25:02.326526+00:00
3,2022-11-24 03:25:40.000 UTC,,,2022-11-24 03:25:40.000 UTC,,,250000.0,0,0,0,Angle,2023-03-10 19:25:02.326526+00:00
4,2022-09-29 04:29:41.000 UTC,,,2022-09-29 04:29:41.000 UTC,,,113700.0,0,0,0,Atlantis World,2023-03-10 19:25:02.326526+00:00
5,2022-10-18 20:15:27.000 UTC,,,2022-10-18 20:15:27.000 UTC,,,33000.0,0,0,0,Bankless Academy,2023-03-10 19:25:02.326526+00:00
6,2022-09-12 17:33:42.000 UTC,,,2022-09-12 17:33:42.000 UTC,,,650000.0,0,0,0,Beefy Finance,2023-03-10 19:25:02.326526+00:00
7,2022-08-08 23:47:57.000 UTC,,,2022-08-08 23:47:57.000 UTC,,,500000.0,0,0,0,Beethoven X,2023-03-10 19:25:02.326526+00:00
8,2022-08-08 23:47:57.000 UTC,,,2022-08-08 23:47:57.000 UTC,,,750000.0,0,0,0,Biconomy,2023-03-10 19:25:02.326526+00:00
9,2022-09-29 04:29:41.000 UTC,,,2022-09-29 04:29:41.000 UTC,,,150000.0,0,0,0,BlockScout,2023-03-10 19:25:02.326526+00:00
10,2022-08-25 17:44:08.000 UTC,,,2022-08-25 17:44:08.000 UTC,,,99999.99999999999,0,0,0,Boardroom,2023-03-10 19:25:02.326526+00:00
11,2022-08-08 23:47:57.000 UTC,,,2022-08-08 23:47:57.000 UTC,,,190000.0,0,0,0,Candide Wallet,2023-03-10 19:25:02.326526+00:00
12,2022-07-24 21:52:56.000 UTC,,,2022-07-24 21:52:56.000 UTC,,,1000000.0,0,0,0,Celer,2023-03-10 19:25:02.326526+00:00
13,2023-02-10 22:09:48.000 UTC,,,2023-02-09 20:39:52.000 UTC,,,480615.0,0,0,0,Coinbase Quest,2023-03-10 19:25:02.326526+00:00
14,2022-07-24 21:52:56.000 UTC,,,2022-07-24 21:52:56.000 UTC,,,300000.0,0,0,0,Connext,2023-03-10 19:25:02.326526+00:00
15,2022-08-08 23:47:57.000 UTC,,,2022-08-08 23:47:57.000 UTC,,,49999.99999999999,0,0,0,CryptoTesters,2023-03-10 19:25:02.326526+00:00
16,2022-10-06 16:38:41.000 UTC,,,2022-10-06 16:38:41.000 UTC,,,127587.0,0,0,0,ETHGlobal,2023-03-10 19:25:02.326526+00:00
17,2022-11-24 03:25:40.000 UTC,,,2022-11-24 03:25:40.000 UTC,,,120000.0,0,0,0,EthernautDAO,2023-03-10 19:25:02.326526+00:00
18,2022-08-09 13:57:13.000 UTC,,,2022-08-09 13:57:13.000 UTC,,,1000000.0,0,0,0,Hop Protocol,2023-03-10 19:25:02.326526+00:00
19,2022-08-25 17:44:08.000 UTC,,,2022-08-25 17:44:08.000 UTC,,,300000.0,0,0,0,Hundred Finance,2023-03-10 19:25:02.326526+00:00
20,2022-11-03 19:48:20.000 UTC,,,2022-11-03 19:48:20.000 UTC,,,31764.0,0,0,0,Interest Protocol,2023-03-10 19:25:02.326526+00:00
