month,name_mapped,transactions_per_month,transactions_per_day,costs_total_eth_per_month,costs_total_eth_per_day,fees_paid_eth_per_month,fees_paid_eth_per_day,profit_eth_per_month,profit_eth_per_day,gas_per_second,app_tvl_usd_latest,app_tvl_usd_average,total_assets_onchain_usd_latest,total_assets_onchain_usd_average,chain_id_mapped,layer,stage,purposes,raas,stack_name,da_layer,infra_label,is_ethereum_ecosystem
2023-07-01,Myria,444931.0,14352.612903225807,,,,,,,,,,100066.05,101765.71516129031,,L2,NotApplicable,"['NFT', 'Exchange', 'Gaming']",,StarkEx,DAC,SHARP,True
2024-04-01,Myria,283943.0,9464.766666666666,,,,,,,,,,188417.17,191544.87299999996,,L2,NotApplicable,"['NFT', 'Exchange', 'Gaming']",,StarkEx,DAC,SHARP,True
2024-08-01,Myria,299814.0,9671.41935483871,,,,,,,,,,140601.67,149892.53032258063,,L2,NotApplicable,"['NFT', 'Exchange', 'Gaming']",,StarkEx,DAC,SHARP,True
2023-05-01,Harmony,,,,,,,,,,4680045.446304215,4398029.07391358,,,1666600000.0,,,,,,,,False
2023-10-01,Harmony,,,,,,,,,,2339127.3300238918,2176578.135336594,,,1666600000.0,,,,,,,,False
2024-07-01,Harmony,,,,,,,,,,1928139.3875627338,2161504.1156923925,,,1666600000.0,,,,,,,,False
2022-06-01,Boba,,,,,,,,,,10345238.083358971,17439012.292722937,,,288.0,,,,,,,,False
2022-08-01,Boba,,,,,,,,,,5956296.754363525,6841107.847476976,,,288.0,,,,,,,,False
2023-08-01,Boba,,,,,,,,,,1902051.6111709664,2247271.2416229798,,,288.0,,,,,,,,False
2022-02-01,Conflux,,,,,,,,,,1369159.7901001018,1369159.7901001018,,,,,,,,,,,False
2023-08-01,Conflux,,,,,,,,,,18956594.119029272,21854725.51264815,,,,,,,,,,,False
2023-11-01,Conflux,,,,,,,,,,20761411.306396473,21963456.845577165,,,,,,,,,,,False
2024-02-01,Conflux,,,,,,,,,,22279759.347904116,19306948.0691902,,,,,,,,,,,False
2024-04-01,Conflux,,,,,,,,,,17612169.379578568,21172227.47471231,,,,,,,,,,,False
2024-07-01,Conflux,,,,,,,,,,14949978.605845131,14259851.224849692,,,,,,,,,,,False
2021-11-01,Ronin,,,,,,,,,,1303382051.0841396,1102294174.9260783,,,2020.0,,,,,,,,False
2022-01-01,Ronin,,,,,,,,,,339293179.0438486,859922770.6204308,,,2020.0,,,,,,,,False
2022-02-01,Ronin,,,,,,,,,,339293179.0438486,339293179.0438487,,,2020.0,,,,,,,,False
2022-04-01,Ronin,,,,,,,,,,181408699.16504574,255798497.96209654,,,2020.0,,,,,,,,False
2022-12-01,Ronin,,,,,,,,,,48069777.43703983,50444334.159368746,,,2020.0,,,,,,,,False
2023-10-01,Ronin,,,,,,,,,,66587671.50213881,57176476.68842557,,,2020.0,,,,,,,,False
2022-07-01,Elastos,,,,,,,,,,4301142.074260161,3853200.064556816,,,20.0,,,,,,,,False
2023-05-01,Elastos,,,,,,,,,,1158716.1195291227,1044475.1018309387,,,20.0,,,,,,,,False
2023-11-01,Elastos,,,,,,,,,,2056347.9486716625,2079490.9636095942,,,20.0,,,,,,,,False
2024-04-01,Elastos,,,,,,,,,,3375535.7192614498,3614399.4880245198,,,20.0,,,,,,,,False
2024-08-01,Elastos,,,,,,,,,,3105665.424502708,3116233.387977706,,,20.0,,,,,,,,False
2023-02-01,Bitcoincash,,,,,,,,,,645613.92,934787.0013026921,,,,,,,,,,,False
2023-09-01,Bitcoincash,,,,,,,,,,3010999.7282335423,3196716.4457360446,,,,,,,,,,,False
2024-04-01,Bitcoincash,,,,,,,,,,18270984.38653117,17936322.288014345,,,,,,,,,,,False
2024-10-01,Bitcoincash,,,,,,,,,,12741615.62226951,11970730.581504365,,,,,,,,,,,False
2023-06-01,Rollux,,,,,,,,,,263826.26002135675,263826.26002135675,,,,,,,,,,,False
2024-07-01,Rollux,,,,,,,,,,14163286.929084735,14324937.328307431,,,,,,,,,,,False
2022-08-01,Kardia,,,,,,,,,,9141880.563323796,10419032.995790752,,,0.0,,,,,,,,False
2022-10-01,Kardia,,,,,,,,,,4082745.036344152,4081792.28720964,,,0.0,,,,,,,,False
2024-03-01,Kardia,,,,,,,,,,9697845.641408728,8793473.225199357,,,0.0,,,,,,,,False
2024-02-01,Goerli,,,,,,,,,,114808.91227469657,97965.9525414295,,,,,,,,,,,False
2023-04-01,WEMIX3.0,,,,,,,,,,17864209.013764355,16846490.255762942,,,,,,,,,,,False
2023-05-01,WEMIX3.0,,,,,,,,,,14563162.018619137,15589499.332162892,,,,,,,,,,,False
2023-09-01,WEMIX3.0,,,,,,,,,,8023559.982142437,10853839.071289297,,,,,,,,,,,False
2024-05-01,WEMIX3.0,,,,,,,,,,12267679.534195565,13942236.16804785,,,,,,,,,,,False
2024-07-01,WEMIX3.0,,,,,,,,,,12835235.454515107,15208825.12141602,,,,,,,,,,,False
2023-11-01,Loop,,,,,,,,,,126726.71981323042,146232.91649707733,,,,,,,,,,,False
2024-04-01,Loop,,,,,,,,,,280969.7902395899,346388.1944304289,,,,,,,,,,,False
2022-09-01,Interlay,,,,,,,,,,4172517.9,4383428.2891999995,,,,,,,,,,,False
2022-12-01,Interlay,,,,,,,,,,2858487.8400000003,3839081.6551612904,,,,,,,,,,,False
2024-02-01,Interlay,,,,,,,,,,7863334.737485199,9594672.762357349,,,,,,,,,,,False
2022-08-01,MAP Protocol,,,,,,,,,,753471.9629991797,675291.6820419001,,,,,,,,,,,False
