name_mapped,chain_id_mapped,layer,stage,purposes,raas,stack_name,da_layer,infra_label,is_defillama,is_growthepie,is_l2beat,is_ethereum_ecosystem
Genesys,16507.0,,,,,,,,True,False,False,False
aelf,,,,,,,,,True,False,False,False
Joltify,,,,,,,,,True,False,False,False
Electroneum,52014.0,,,,,,,,True,False,False,False
Lisk,1135.0,L2,Stage 0,['Universal'],Gelato,OPStack,EthereumBlobs,,True,False,True,True
ZKsync Lite,,L2,Stage 1,"['Payments', 'Exchange', 'NFT']",,,EthereumCalldata,,True,False,True,True
Cyber,7560.0,L2,NotApplicable,"['Universal', 'Social']",AltLayer,OPStack,CustomDA,Superchain,True,False,True,True
Arbitrum One,42161.0,L2,Stage 1,['Universal'],Self-hosted,Nitro,EthereumBlobs,,True,True,True,True
Mantle,5000.0,L2,NotApplicable,['Universal'],Self-hosted,OPStack,CustomDA,,True,True,True,True
Taiko,167000.0,L2,Stage 0,['Universal'],Self-hosted,,EthereumBlobs,,True,True,True,True
Orderly,291.0,L2,,,Conduit,,,,False,True,False,True
Metis Andromeda,,L2,NotApplicable,['Universal'],,,CustomDA,,False,False,True,True
Aevo,,L2,NotApplicable,"['Universal', 'Exchange']",Conduit,OPStack,Celestia,,False,False,True,True
Karak,,L2,NotApplicable,['Universal'],Caldera,OPStack,Celestia,,False,False,True,True
Orderly Network,,L2,NotApplicable,"['Universal', 'Exchange']",Conduit,OPStack,Celestia,Superchain,False,False,True,True
tanX,,L2,NotApplicable,['Exchange'],,StarkEx,DAC,SHARP,False,False,True,True
Public Goods Network,,L2,NotApplicable,['Universal'],Conduit,OPStack,Celestia,Superchain,False,False,True,True
Honeypot (Cartesi),,L2,Stage 0,['Bug bounty'],,Cartesi,EthereumCalldata,,False,False,True,True
L3X,,L3,NotApplicable,['Universal'],,Orbit,DAC,,False,False,True,True
PlayBlock,,L3,NotApplicable,"['Universal', 'Gaming']",Gelato,Orbit,DAC,,False,False,True,True
Aurora,1313161554.0,,,,,,,,True,False,False,False
Gnosis,100.0,,,,,,,,True,False,False,False
CORE,,,,,,,,,True,False,False,False
Binance,56.0,,,,,,,,True,False,False,False
Doge,,,,,,,,,True,False,False,False
KCC,321.0,,,,,,,,True,False,False,False
Kaia,8217.0,,,,,,,,True,False,False,False
Empire,,,,,,,,,True,False,False,False
Ergo,,,,,,,,,True,False,False,False
Neutron,,,,,,,,,True,False,False,False
Kujira,,,,,,,,,True,False,False,False
Boba_Avax,,,,,,,,,True,False,False,False
Findora,2152.0,,,,,,,,True,False,False,False
Bitkub Chain,96.0,,,,,,,,True,False,False,False
ShimmerEVM,148.0,,,,,,,,True,False,False,False
Starcoin,,,,,,,,,True,False,False,False
Bifrost,,,,,,,,,True,False,False,False
inEVM,2525.0,,,,,,,,True,False,False,False
Rangers,,,,,,,,,True,False,False,False
IOTA EVM,8822.0,,,,,,,,True,False,False,False
Oasys,,,,,,,,,True,False,False,False
Nolus,,,,,,,,,True,False,False,False
Bostrom,,,,,,,,,True,False,False,False
BounceBit,6001.0,,,,,,,,True,False,False,False
BEVM,,,,,,,,,True,False,False,False
Matchain,698.0,,,,,,,,True,False,False,False
Fraxtal,252.0,L2,NotApplicable,['Universal'],,OPStack,CustomDA,Superchain,True,False,True,True
Zircuit,48900.0,L2,Stage 0,['Universal'],,OPStack,EthereumBlobs,,True,False,True,True
Sanko,1996.0,L3,NotApplicable,"['Universal', 'Gaming', 'Social']",Caldera,Orbit,DAC,,True,False,True,True
Mint,185.0,L2,Stage 0,"['Universal', 'NFT']",Conduit,OPStack,EthereumBlobs,Superchain,True,False,True,True
Ancient8,888888888.0,L2,NotApplicable,"['Universal', 'Gaming']",Conduit,OPStack,Celestia,,True,False,True,True
