alignment_map,avg_blob_base_fee_on_l1_inbox,avg_l1_calldata_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,avg_secs_between_l1_txs_inbox,avg_secs_between_l1_txs_output,calldata_bytes_l1_inbox,chain_id,chain_version,data_availability_data_source,data_availability_layer,dt,l1_blobgas_eth_fees_inbox,l1_blobgas_purchased_inbox,l1_blobgas_usd_fees_inbox,l1_calldata_eth_fees_inbox,l1_calldata_usd_fees_inbox,l1_eth_fees_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_gas_used_combined,l1_gas_used_inbox,l1_gas_used_output,l1_overhead_eth_fees_inbox,l1_overhead_usd_fees_inbox,l1_usd_fees_combined,l1_usd_fees_inbox,l1_usd_fees_output,name,num_l1_submissions,num_l1_txs_combined,num_l1_txs_inbox,num_l1_txs_output,output_root_data_source,output_root_layer,share_elapsed,last_updated
OP Chain,,,,1.0068757328295903,,3600.0,,5112,modern,,,2024-09-20 00:00:00.000 UTC,,,,,,0.0022519379890173483,,0.0022519379890173483,2236560,,2236560.0,,,5.700282632126371,,5.700282632126371,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,,,1.0090368827524054,,3600.0,,5112,modern,,,2024-06-13 00:00:00.000 UTC,,,,,,0.0022565293616368587,,0.0022565293616368587,2236320,,2236320.0,,,7.894652868969068,,7.894652868969068,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,,,1.0048326043867666,,3600.0,,969,modern,,,2024-06-29 00:00:00.000 UTC,,,,,,0.0022471634238159723,,0.0022471634238159723,2236356,,2236356.0,,,7.613921409335431,,7.613921409335431,EthXY,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,,,1.0066491684393373,,3600.0,,5112,modern,,,2024-09-27 00:00:00.000 UTC,,,,,,0.0022514191843746637,,0.0022514191843746637,2236548,,2236548.0,,,6.007381031492011,,6.007381031492011,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,,,1.0034724238732897,,43200.0,,8853,modern,,,2024-09-21 00:00:00.000 UTC,,,,,,0.00017429111835770398,,0.00017429111835770398,173688,,173688.0,,,0.4465619903739614,,0.4465619903739614,Clique STP,,2,,2.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,,,1.0833329425,,43200.0,,8853,modern,,,2024-05-21 00:00:00.000 UTC,,,,,,0.00018814893212163,,0.00018814893212163,173676,,173676.0,,,0.6935632990471395,,0.6935632990471395,Clique STP,,2,,2.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,,,1.0066712565,,43200.0,,8853,modern,,,2024-08-21 00:00:00.000 UTC,,,,,,0.00017485879725405,,0.00017485879725405,173700,,173700.0,,,0.4581471462389286,,0.4581471462389286,Clique STP,,2,,2.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,,,1.0066039194270315,,43200.0,,8853,modern,,,2024-06-27 00:00:00.000 UTC,,,,,,0.000174810863063376,,0.000174810863063376,173664,,173664.0,,,0.5961347083449007,,0.5961347083449007,Clique STP,,2,,2.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,,,1.0755219409999999,,43200.0,,8853,modern,,,2024-05-15 00:00:00.000 UTC,,,,,,0.000186792348625116,,0.000186792348625116,173676,,173676.0,,,0.5529536399650139,,0.5529536399650139,Clique STP,,2,,2.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,,,1.0050761436146443,,3600.0,,5112,modern,,,2024-08-21 00:00:00.000 UTC,,,,,,0.002247925160676492,,0.002247925160676492,2236572,,2236572.0,,,5.852377056765431,,5.852377056765431,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,,,1.000977830966418,,43200.0,,8853,modern,,,2024-06-02 00:00:00.000 UTC,,,,,,0.000173833814036952,,0.000173833814036952,173664,,173664.0,,,0.6580540795186063,,0.6580540795186063,Clique STP,,2,,2.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,,,1.0089203480353217,,3600.0,,5112,modern,,,2024-06-18 00:00:00.000 UTC,,,,,,0.002256256645674174,,0.002256256645674174,2236308,,2236308.0,,,7.754696849436839,,7.754696849436839,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,,,1.0088319566921986,,43200.0,,8853,modern,,,2024-06-17 00:00:00.000 UTC,,,,,,0.000175197792926994,,0.000175197792926994,173664,,173664.0,,,0.622543701981003,,0.622543701981003,Clique STP,,2,,2.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,,,1.0052681784501145,,3600.0,,5112,modern,,,2024-07-13 00:00:00.000 UTC,,,,,,0.002248306407539964,,0.002248306407539964,2236524,,2236524.0,,,7.079196513075388,,7.079196513075388,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,,,1.0036811716786889,,3600.0,,5112,modern,,,2024-09-15 00:00:00.000 UTC,,,,,,0.0022447931613296876,,0.0022447931613296876,2236560,,2236560.0,,,5.3920931241773244,,5.3920931241773244,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,,,1.0072001090757048,,3600.0,,5112,modern,,,2024-07-03 00:00:00.000 UTC,,,,,,0.002252445920730798,,0.002252445920730798,2236344,,2236344.0,,,7.505985389818374,,7.505985389818374,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,,,1.0084518690915616,,3600.0,,969,modern,,,2024-06-28 00:00:00.000 UTC,,,,,,0.0022551605767746957,,0.0022551605767746957,2236260,,2236260.0,,,7.726393239545909,,7.726393239545909,EthXY,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,,,1.0070084344010688,,3600.0,,5112,modern,,,2024-07-28 00:00:00.000 UTC,,,,,,0.0022522831204489055,,0.0022522831204489055,2236608,,2236608.0,,,7.328233733492948,,7.328233733492948,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,,,1.0113659173235723,,3600.0,,5112,modern,,,2024-07-21 00:00:00.000 UTC,,,,,,0.002262041238004248,,0.002262041238004248,2236620,,2236620.0,,,7.925800918075548,,7.925800918075548,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,,,1.0597287250000003,,43200.0,,8853,modern,,,2024-05-17 00:00:00.000 UTC,,,,,,0.0001840494460431,,0.0001840494460431,173676,,173676.0,,,0.562622018952108,,0.562622018952108,Clique STP,,2,,2.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,,,1.0056442567397723,,3600.0,,5112,modern,,,2024-08-01 00:00:00.000 UTC,,,,,,0.002249207854316067,,0.002249207854316067,2236584,,2236584.0,,,7.132320116553801,,7.132320116553801,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,,,1.008621081028574,,3600.0,,5112,modern,,,2024-10-02 00:00:00.000 UTC,,,,,,0.0022558778753441846,,0.0022558778753441846,2236596,,2236596.0,,,5.521071180775777,,5.521071180775777,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,,,1.0010078092576693,,3600.0,,5112,modern,,,2024-05-31 00:00:00.000 UTC,,,,,,0.002238597808186533,,0.002238597808186533,2236344,,2236344.0,,,8.435087320606206,,8.435087320606206,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,,,1.008440749791462,,3600.0,,5112,modern,,,2024-06-25 00:00:00.000 UTC,,,,,,0.002255172014995647,,0.002255172014995647,2236296,,2236296.0,,,7.6300489207740005,,7.6300489207740005,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,,,1.009118264707966,,3600.0,,5112,modern,,,2024-10-01 00:00:00.000 UTC,,,,,,0.002257001983791954,,0.002257001983791954,2236608,,2236608.0,,,5.811980310124552,,5.811980310124552,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,,,1.0084008034586556,,43200.0,,8853,modern,,,2024-10-02 00:00:00.000 UTC,,,,,,0.00017517132037041,,0.00017517132037041,173712,,173712.0,,,0.4267620054509351,,0.4267620054509351,Clique STP,,2,,2.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,,,1.0131017383418004,,3600.0,,5112,modern,,,2024-06-14 00:00:00.000 UTC,,,,,,0.0022656318367093946,,0.0022656318367093946,2236332,,2236332.0,,,7.876420049730106,,7.876420049730106,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,36.443539503931625,1.0043724121785271,1.0043062915386967,1234.2857142857142,7200.0,2870.0,4653,modern,base,celestia,2024-09-28 00:00:00.000 UTC,,,,4.184214552479199e-05,0.11212797206687827,0.0025650178760129143,0.001518269600593792,0.001046748275419122,2553920,1511660.0,1042260.0,0.0014764274550689994,3.9565093592613376,6.873810447772562,4.0686373313282145,2.8051731164443474,Gold,70.0,82,70.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,36.415861400602004,1.001735442528368,1.0017284431313858,1800.0,7200.0,1968.0,4653,modern,base,celestia,2024-06-08 00:00:00.000 UTC,,,,2.8561493523964002e-05,0.10535526865492446,0.002082095817093778,0.0010383108070059638,0.001043785010087814,2078496,1036512.0,1041984.0,0.001009749313482,3.724676673128932,7.680216185991857,3.8300319417838558,3.8501842442080014,Gold,48.0,60,48.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,3.435169226792778,1.0057636929497167,1.006673280085809,1489.655172413793,43200.0,31816.0,42026,modern,base,eigenda base,2024-09-26 00:00:00.000 UTC,,,,0.0005071341915991761,1.3304388968832974,0.0019070054851077203,0.0017321584164361763,0.00017484706867154398,1895920,1722232.0,173688.0,0.001225024224837,3.2135486331647205,5.0010777462864215,4.543987530048017,0.4570902162384052,Donatuz,58.0,60,58.0,2.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,36.73336257739295,1.0105144740999337,1.010566845486407,1183.5616438356165,7200.0,2993.0,4653,modern,base,celestia,2024-07-15 00:00:00.000 UTC,,,,4.3819737666068e-05,0.1474540778238034,0.002646102897607419,0.0015929386384500685,0.0010531642591573502,2618516,1576364.0,1042152.0,0.001549118900784,5.212863138284499,8.889048167908179,5.360317216108301,3.528730951799877,Gold,73.0,85,73.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,3.4509309236104926,1.0025553942337657,1.0025420184999998,1464.406779661017,43200.0,32005.0,42026,modern,base,eigenda base,2024-08-17 00:00:00.000 UTC,,,,0.000508624322409464,1.3262427848048148,0.001924932105114914,0.001750790556501464,0.00017414154861345002,1920028,1746328.0,173700.0,0.001242166234092,3.2389664287994915,5.018953794139247,4.565209213604304,0.4537445805349418,Donatuz,59.0,61,59.0,2.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,3.326728663243548,1.0067542484163465,1.0060074209999998,1489.655172413793,43200.0,33335.0,42026,modern,base,eigenda base,2024-07-28 00:00:00.000 UTC,,,,0.0005321063562720919,1.7319881683173586,0.0019330760270397916,0.0017583325380120915,0.0001747434890277,1920236,1746536.0,173700.0,0.00122622618174,3.991315552422483,6.292755272903835,5.723303720739841,0.5694515521639948,Donatuz,58.0,60,58.0,2.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,36.61535923229919,1.007003291395462,1.0070416961877215,960.0,7200.0,3690.0,4653,modern,base,celestia,2024-09-18 00:00:00.000 UTC,,,,5.3822280388927985e-05,0.12491128657421488,0.0030067182334263145,0.0019570585326559287,0.0010496597007703858,2985768,1943448.0,1042320.0,0.0019032362522670005,4.41706500287134,6.97595643654326,4.541976289445554,2.433980147097706,Gold,90.0,102,90.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,36.45571943922101,1.0036215494509708,1.003277486994796,1093.6708860759493,7200.0,3239.0,4653,modern,base,celestia,2024-09-15 00:00:00.000 UTC,,,,4.7134109698576015e-05,0.11309132249902638,0.0027578543445723044,0.0017121422329875763,0.001045712111584728,2748260,1705964.0,1042296.0,0.001665008123289,3.9948962056444897,6.622280283233292,4.107987528143517,2.514292755089775,Gold,79.0,91,79.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,38.358485181067394,1.0564680096407613,1.0551183100844101,1800.0,7200.0,1968.0,4653,modern,base,celestia,2024-05-02 00:00:00.000 UTC,,,,3.0161741775112e-05,0.08941253335072191,0.002194496199672106,0.0010950798024571117,0.001099416397214994,2078532,1036548.0,1041984.0,0.0010649180606820002,3.156777632446639,6.5052991797921855,3.246190165797361,3.259109013994824,Gold,48.0,60,48.0,12.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,,,1.0012832105,,43200.0,,8853,modern,,,2024-08-10 00:00:00.000 UTC,,,,,,0.000173898862866798,,0.000173898862866798,173676,,173676.0,,,0.4548401226029968,,0.4548401226029968,Clique STP,,2,,2.0,base,base,,2024-10-07 02:35:37.299792
OP Stack fork,,,,1.0269815869999999,,43200.0,,8853,modern,,,2024-05-28 00:00:00.000 UTC,,,,,,0.000178337406545724,,0.000178337406545724,173652,,173652.0,,,0.685131101432036,,0.685131101432036,Clique STP,,2,,2.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,,,1.0031998793413783,,3600.0,,5112,modern,,,2024-09-07 00:00:00.000 UTC,,,,,,0.0022437769141325135,,0.0022437769141325135,2236620,,2236620.0,,,5.101373965099474,,5.101373965099474,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,,,1.0062598575464643,,3600.0,,5112,modern,,,2024-06-11 00:00:00.000 UTC,,,,,,0.0022502828192734374,,0.0022502828192734374,2236284,,2236284.0,,,7.96618974116717,,7.96618974116717,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
OP Chain,,,,1.0070474365437834,,3600.0,,5112,modern,,,2024-09-18 00:00:00.000 UTC,,,,,,0.00225235826838408,,0.00225235826838408,2236596,,2236596.0,,,5.225125500346916,,5.225125500346916,Ham,,24,,24.0,base,base,,2024-10-07 02:35:37.299792
