dt,dune_schema,has_eth_tfer,has_eth_tfer_desc,has_event_log,has_event_log_desc,has_rev_dev,has_rev_dev_desc,is_contract_tx,is_contract_tx_desc,num_destination_wallets,num_raw_transactions,num_sender_wallets,sum_eth_fees,sum_eth_fees_l2contrib,sum_gas_used,sum_l1gas_used,tx_success,tx_success_desc,last_updated
2024-02-01 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,True,revdev,True,contract tx,387,9631,4305,2.746486808344104,0.5338325433666491,2478907066,82274232,True,success,2024-04-24 19:49:27.212153+00:00
2024-04-01 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,False,not revdev,False,non-contract tx,1039146,2109464,601674,11.66314989800464,10.180168244033228,44298744000,3869236984,True,success,2024-04-24 19:49:27.212153+00:00
2024-03-01 00:00:00.000 UTC,optimism,True,eth tfer,True,has event,False,not revdev,True,contract tx,188,27551,19145,1.194022321978802,0.25208348583030243,5198097043,93832852,True,success,2024-04-24 19:49:27.212153+00:00
2024-03-01 00:00:00.000 UTC,optimism,True,eth tfer,True,has event,True,revdev,True,contract tx,5378,2123093,719914,221.89627556838334,86.12642956191652,688685312094,13235353516,True,success,2024-04-24 19:49:27.212153+00:00
2024-04-01 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,True,revdev,False,non-contract tx,186,236,147,0.0015283515659435427,0.0012438549436529999,4956000,429716,True,success,2024-04-24 19:49:27.212153+00:00
2024-01-01 00:00:00.000 UTC,base,True,eth tfer,False,no events,True,revdev,True,contract tx,780,56143,32589,7.662752165182573,2.7280399008622727,22081551405,336657160,False,failed,2024-04-24 19:49:27.212153+00:00
2024-02-01 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,False,not revdev,True,contract tx,1571,9493,4179,4.784475108967067,0.8615361440617132,2124971241,153730012,True,success,2024-04-24 19:49:27.212153+00:00
2024-02-01 00:00:00.000 UTC,base,False,no eth tfer,False,no events,False,not revdev,True,contract tx,170,1152,699,0.32210524190205764,0.017324477769747604,138759332,13145436,False,failed,2024-04-24 19:49:27.212153+00:00
2024-03-01 00:00:00.000 UTC,base,True,eth tfer,False,no events,False,not revdev,False,non-contract tx,1833566,4024862,1234875,115.30367046117202,52.39954345854575,84522102000,7577487684,True,success,2024-04-24 19:49:27.212153+00:00
2024-04-01 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,True,revdev,True,contract tx,1494,14249,2930,2.24801633771493,2.170481080167365,1758717914,139598856,True,success,2024-04-24 19:49:27.212153+00:00
2024-03-01 00:00:00.000 UTC,base,True,eth tfer,False,no events,True,revdev,False,non-contract tx,450,654,499,0.012468422513791828,0.00899236396678199,13734000,1205648,True,success,2024-04-24 19:49:27.212153+00:00
2024-01-01 00:00:00.000 UTC,base,False,no eth tfer,True,has event,True,revdev,True,contract tx,15577,5068991,469445,491.4435637349733,88.07772777734374,1621657808359,26803054392,True,success,2024-04-24 19:49:27.212153+00:00
2024-04-01 00:00:00.000 UTC,zora,False,no eth tfer,False,no events,True,revdev,True,contract tx,2078,9848926,9267,7.851691563062765,0.5516519958333012,815007978038,17908153888,True,success,2024-04-24 19:49:27.212153+00:00
2023-10-01 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,True,revdev,True,contract tx,1274,127857,2480,13.311972363368008,4.945716029350501,20990425895,583546900,True,success,2024-04-24 19:49:27.212153+00:00
2024-04-01 00:00:00.000 UTC,zora,False,no eth tfer,False,no events,False,not revdev,True,contract tx,22,134,87,0.026964670677137533,0.02647590657466944,13188098,983284,False,failed,2024-04-24 19:49:27.212153+00:00
2023-10-01 00:00:00.000 UTC,base,False,no eth tfer,False,no events,False,not revdev,False,non-contract tx,3853,10349,4244,0.2407581705257683,0.10138853454193793,217329000,20025284,True,success,2024-04-24 19:49:27.212153+00:00
2023-10-01 00:00:00.000 UTC,optimism,True,eth tfer,True,has event,True,revdev,True,contract tx,4663,1557329,481527,166.90007501051585,85.51179378560437,506635576325,9484920852,True,success,2024-04-24 19:49:27.212153+00:00
2023-12-01 00:00:00.000 UTC,base,True,eth tfer,False,no events,True,revdev,True,contract tx,683,59718,30653,9.376425308486041,1.9309253084241094,19145126053,328135028,False,failed,2024-04-24 19:49:27.212153+00:00
2023-12-01 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,True,revdev,True,contract tx,1617,350637,15766,54.98936007757885,17.565402841559674,73859104218,1497985948,False,failed,2024-04-24 19:49:27.212153+00:00
2024-03-01 00:00:00.000 UTC,base,False,no eth tfer,True,has event,True,revdev,True,contract tx,81005,16882644,1347691,2798.2514303244625,2083.048562486985,3102726461761,85496967240,True,success,2024-04-24 19:49:27.212153+00:00
2023-11-01 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,False,not revdev,False,non-contract tx,6735,13007,6962,0.6104400662533727,0.07664229502217396,273147000,24869028,True,success,2024-04-24 19:49:27.212153+00:00
2023-12-01 00:00:00.000 UTC,base,True,eth tfer,False,no events,False,not revdev,True,contract tx,4030,170039,13318,7.9369545768202014,0.41113304774894033,3839267331,537012948,True,success,2024-04-24 19:49:27.212153+00:00
2024-03-01 00:00:00.000 UTC,zora,True,eth tfer,False,no events,True,revdev,False,non-contract tx,1,1,1,3.3462222577939e-05,3.1500005292e-05,21000,1868,True,success,2024-04-24 19:49:27.212153+00:00
2024-01-01 00:00:00.000 UTC,zora,True,eth tfer,False,no events,False,not revdev,True,contract tx,21,26,25,0.005500981614839867,0.000715793618210602,4703815,370740,False,failed,2024-04-24 19:49:27.212153+00:00
2024-03-01 00:00:00.000 UTC,zora,True,eth tfer,False,no events,True,revdev,True,contract tx,183,2097,1011,0.08895483358834652,0.030130861880021474,184773249,8354288,True,success,2024-04-24 19:49:27.212153+00:00
2023-12-01 00:00:00.000 UTC,zora,True,eth tfer,False,no events,True,revdev,True,contract tx,15,574,239,0.05455279916873057,0.01186102903396489,25001773,1924976,True,success,2024-04-24 19:49:27.212153+00:00
2024-03-01 00:00:00.000 UTC,zora,False,no eth tfer,True,has event,False,not revdev,True,contract tx,1473,8765,4824,1.202785787328967,0.19971659594418248,1954801946,147210156,True,success,2024-04-24 19:49:27.212153+00:00
2024-03-01 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,True,revdev,True,contract tx,510,12529,2110,5.740977007716553,2.6006507337077553,3994410037,176408000,True,success,2024-04-24 19:49:27.212153+00:00
2024-02-01 00:00:00.000 UTC,optimism,True,eth tfer,True,has event,False,not revdev,True,contract tx,161,16246,8935,1.2054385932891858,0.06632848168923722,1940458560,45185864,True,success,2024-04-24 19:49:27.212153+00:00
2023-10-01 00:00:00.000 UTC,zora,False,no eth tfer,True,has event,False,not revdev,True,contract tx,323,1695,1058,0.9275006958307744,0.3223591500862729,1098077182,73381568,True,success,2024-04-24 19:49:27.212153+00:00
2024-04-01 00:00:00.000 UTC,base,False,no eth tfer,False,no events,True,revdev,False,non-contract tx,49,2324,1701,0.0029468037176125497,0.0028330057745429966,48804000,3845524,False,failed,2024-04-24 19:49:27.212153+00:00
2023-11-01 00:00:00.000 UTC,zora,True,eth tfer,True,has event,False,not revdev,True,contract tx,206,1706,1379,0.19450699965900223,0.12372877118433778,175320216,3548836,True,success,2024-04-24 19:49:27.212153+00:00
2023-11-01 00:00:00.000 UTC,base,True,eth tfer,True,has event,True,revdev,True,contract tx,7662,1805362,450718,190.44647503689248,26.67094488802089,634589328081,8183533824,True,success,2024-04-24 19:49:27.212153+00:00
2023-10-01 00:00:00.000 UTC,base,True,eth tfer,False,no events,False,not revdev,False,non-contract tx,486500,849072,346669,22.043278123347125,7.737932588143275,17830512000,1718485272,True,success,2024-04-24 19:49:27.212153+00:00
2024-03-01 00:00:00.000 UTC,base,False,no eth tfer,False,no events,False,not revdev,True,contract tx,500,5955,1605,2.8087080434477327,2.53847017228185,462119500,64269620,False,failed,2024-04-24 19:49:27.212153+00:00
