active_secs_per_day,avg_blob_gas_price_on_l2,avg_l1_fee_scalar,avg_l1_gas_price_on_l2,avg_l2_gas_price,base_fee_gwei,blockchain,calldata_bytes_l2_per_day,calldata_bytes_user_txs_l2_per_day,calldata_gas_l2_per_day,calldata_gas_user_txs_l2_per_day,chain_id,compressedtxsize_approx_l2_per_day,compressedtxsize_approx_user_txs_l2_per_day,dt,equivalent_l1_tx_fee,l1_contrib_l2_eth_fees_per_day,l1_contrib_l2_usd_fees_per_day,l1_gas_used_on_l2,l1_gas_used_user_txs_l2_per_day,l2_contrib_l2_eth_fees_per_day,l2_contrib_l2_usd_fees_per_day,l2_data_source,l2_gas_eth_fees_base_fee,l2_gas_eth_fees_priority_fee,l2_gas_usd_fees_base_fee,l2_gas_usd_fees_priority_fee,l2_gas_used,l2_gas_used_user_txs_per_day,l2_num_attr_deposit_txs_per_day,l2_num_success_txs_per_day,l2_num_txs_per_day,l2_num_user_deposit_txs_per_day,median_l2_eth_fees_per_tx,num_blocks,num_users_per_day,last_updated
86345,,,,0.014999999999999996,,optimism_legacy_ovm1,3804132,3699784,25003920,24326680,10,3529713.0,3470589.5,2021-10-26 00:00:00.000 UTC,,36.705678445155,,,,,,dune,,,,,,,0,27911,29713,247,0.0011329993167327312,29960,2758,2024-07-23 19:02:08.958684
86230,,,,0.015000000000000003,,optimism_legacy_ovm1,53416,396,326956,2904,10,84762.75,929.5,2021-06-25 00:00:00.000 UTC,,0.0014874028500000002,,,,,,dune,,,,,,,0,12,12,24,0.000126600225,947,1,2024-07-23 19:02:08.958684
86150,,,,0.01500000000000001,,optimism_legacy_ovm1,2406495,2337027,14746080,14288760,10,2593682.0,2532527.5,2021-08-01 00:00:00.000 UTC,,9.24127665327002,,,,,,dune,,,,,,,0,23555,24457,135,0.0003348018229608661,24936,900,2024-07-23 19:02:08.958684
86272,,,,0.015000000000000008,,optimism_legacy_ovm1,5914675,5461107,38534956,35597688,10,5152846.75,4896915.5,2021-09-23 00:00:00.000 UTC,,34.55256506938503,,,,,,dune,,,,,,,0,40954,42723,1064,0.0007316998109027241,43787,5283,2024-07-23 19:02:08.958684
86286,,,,0.014999999999999996,,optimism_legacy_ovm1,2404480,2205340,16019884,14730556,10,1662202.75,1548911.75,2021-07-24 00:00:00.000 UTC,,2.0695108161300007,,,,,,dune,,,,,,,0,9876,10009,481,0.0001699988220806616,10490,1807,2024-07-23 19:02:08.958684
85976,,,,0.015000000000000006,,optimism_legacy_ovm1,7910057,7274061,57821012,53714292,10,6541621.25,6181115.25,2021-10-12 00:00:00.000 UTC,,34.303858307565,,,,,,dune,,,,,,,0,42451,44112,1527,0.0007353047844142722,45639,5136,2024-07-23 19:02:08.958684
86008,,,,0.015000000000000003,,optimism_legacy_ovm1,847248,613140,5589888,4047300,10,544732.0,409220.25,2021-07-13 00:00:00.000 UTC,,1.0373080245150006,,,,,,dune,,,,,,,0,2590,2647,565,0.0003646917944621485,3222,714,2024-07-23 19:02:08.958684
85875,,,,0.015,,optimism_legacy_ovm1,3163696,2994136,20053048,18951820,10,3244627.5,3120992.75,2021-08-14 00:00:00.000 UTC,,17.45546484309,,,,,,dune,,,,,,,0,26138,29248,365,0.0004907973888226596,30054,1582,2024-07-23 19:02:08.958684
86054,,,,0.014999999999999996,,optimism_legacy_ovm1,3824624,3620000,24099272,22778516,10,3434412.5,3303721.25,2021-08-22 00:00:00.000 UTC,,11.717049267554998,,,,,,dune,,,,,,,0,25163,28461,467,0.0003652792682277252,29169,1799,2024-07-23 19:02:08.958684
86136,,,,0.014999999999999996,,optimism_legacy_ovm1,2583606,2519470,16684800,16268032,10,2951696.0,2913000.0,2021-08-25 00:00:00.000 UTC,,29.297381170245007,,,,,,dune,,,,,,,0,27060,28535,153,0.0009300262082857743,28721,1926,2024-07-23 19:02:08.958684
86138,,,,0.014999999999999998,,optimism_legacy_ovm1,3544548,3376556,22320648,21231500,10,3364932.5,3245316.75,2021-08-20 00:00:00.000 UTC,,12.265176695265046,,,,,,dune,,,,,,,0,25576,28886,366,0.0003561420851992713,29644,1687,2024-07-23 19:02:08.958684
