avg_l1_fee_scalar,num_raw_txs,num_blocks,l2_num_txs_per_day,l2_gas_used,l1_gas_paid,dt,base_fee_gwei,compressedtxsize_approx_user_txs_l2_per_day,l2_eth_fees_per_day,avg_l1_gas_price_on_l2,num_users_per_day,l2_gas_used_user_txs_per_day,num_user_txs_per_second,active_secs_per_day,l2_num_attr_deposit_txs_per_day,l1_gas_used_user_txs_l2_per_day,l2_gas_used_per_block,l2_gas_eth_fees_priority_fee,chain_type,l2_num_user_deposit_txs_per_day,l1_gas_paid_user_txs,calldata_gas_user_txs_l2_per_day,avg_l2_gas_price,calldata_bytes_user_txs_l2_per_day,is_initial_day,l1_contrib_l2_eth_fees_per_day,calldata_bytes_l2_per_day,compressedtxsize_approx_l2_per_day,l2_gas_eth_fees_base_fee,l2_gas_used_per_second,equivalent_l1_tx_fee,l2_contrib_l2_eth_fees_per_day,calldata_gas_l2_per_day,l1_gas_used_on_l2,l2_eth_fees_per_second,l2_eth_fees_per_block,chain,l2_num_txs_per_day_per_block
0.684000015,"141,269","43,200","96,332","14,891,567,477","243,190,662.29",2024-02-25,0.00000025200095,"16,615,238.5",10.28,28.74,"31,422","12,688,445,245",1.11,"86,400","43,200","355,541,896","344,712.21",3.3,mainnet,4,"243,190,662.29","161,034,600",0.2597479023,"21,744,405",0,6.99,"32,978,193","24,867,193",0.0000038,"172,356.11","364,051,970,533.42",3.3,"244,174,416","355,541,896",0.00011902715074,0.0002380543015,zora,2.23
0.684000015,"58,270","43,200","11,915","5,140,026,268","38,645,097.98",2023-07-25,0.0000000500021,"2,834,221.25",2.18,25.77,"6,051","2,826,907,001",0.137905093,"86,400","43,200","56,498,680","118,982.09",1.18,mainnet,1,"38,645,097.98","32,384,020",0.417456139205,"4,248,406",0,0.995715786357059,"16,073,402","11,729,448.25",0.00000025701008,"59,491.04","73,192,270,535.67",1.18,"124,273,412","56,498,680",0.000025,0.00005036633029829001,zora,0.27581019
0.684000015,"83,493","43,200","39,724","7,550,704,230","105,812,873.48",2023-11-14,0.000000050000528026,"7,357,380.5",5.16,35.23,"18,774","5,369,214,275",0.46,"86,400","43,200","154,697,180","174,784.82",1.43,mainnet,5,"105,812,873.48","74,498,376",0.26590244564089,"9,891,411",0,3.73,"21,125,521","15,530,067.25",0.000000377539023,"87,392.41","187,258,760,188.68",1.43,"157,640,692","154,697,180",0.00006,0.00011935075692671082,zora,0.919537037037037
0.684000015,"128,498","43,200","81,971","13,070,867,789","183,899,573.78",2023-09-16,0.0000000503473026,"12,293,608.75",3.84,9.88,"21,233","10,811,333,303",0.95,"86,400","43,200","268,859,020","302,566.38",2.02,mainnet,7,"183,899,573.78","107,513,292",0.19,"13,751,061",0,1.82,"24,987,769","20,655,670.25",0.000000657943317803,"151,283.19","107,485,853,673.3",2.02,"190,684,900","268,859,020",0.00004446099583393099,0.000089,zora,1.9
0.684000015,"122,431","43,200","76,595","14,201,812,247","181,756,090.1",2023-09-14,0.000000050079,"12,243,622.5",6.2,16.22,"28,143","11,964,612,046",0.8865162037037037,"86,400","43,200","265,725,272","328,745.65",3.26,mainnet,13,"181,756,090.1","112,562,600",0.27205315038,"15,079,463",0,2.95,"26,318,331","20,559,746",0.00000071,"164,372.83","197,916,127,349.66",3.26,"195,751,008","265,725,272",0.0000718003075,0.00014360061508985909,zora,1.77
0.684000015,"97,555","43,200","53,394","9,790,827,216","135,724,533.41",2023-12-24,0.00000005000088,"9,302,065",4.9,21.41,"18,830","7,602,696,958",0.62,"86,400","43,200","198,427,676","226,639.52",1.99,mainnet,9,"135,724,533.41","90,740,368",0.26,"11,980,507",0,2.91,"23,216,287","17,502,201",0.000000489549518105,"113,319.76","163,327,712,880.07",1.99,"173,895,376","198,427,676",0.00005669929628900017,0.00011339859257800034,zora,1.24
0.684000015,"89,645","43,200","46,275","8,804,668,922","128,906,815.24",2024-03-06,0.00000025200026,"9,049,463.25",11.96,75.06,"19,444","6,634,468,348",0.53559028,"86,400","43,200","188,460,252","203,811.78",2.28,mainnet,1,"128,906,815.24","94,444,212",0.34,"12,725,484",0,9.68,"23,957,904","17,194,231",0.0000022187791024,"101,905.89","497,954,767,735.13",2.28,"177,573,936","188,460,252",0.000138399277429014,0.000276798554858027,zora,1.07
0.684000015,"158,177","43,200","112,164","16,044,292,944","211,090,634.6",2023-08-16,0.000000050014,"13,029,078.25",10.31,27.54,"36,429","13,810,297,860",1.3,"86,400","43,200","308,612,032","371,395.67",4.5,mainnet,5,"211,090,634.6","86,430,820",0.325701827248011,"12,344,836",0,5.81,"23,579,520","21,354,517",0.000000802436367804,"185,697.83","382,778,234,952.99",4.5,"169,575,696","308,612,032",0.00012,0.00023869028,zora,2.6
0.684000015,"117,494","43,200","71,591","13,826,397,720","168,244,419.47",2023-09-15,0.00000005008967013048,"11,335,973.5",5.17,14.71,"27,802","11,590,138,271",0.828599537037037,"86,400","43,200","245,971,368","320,055.5",2.69,mainnet,25,"168,244,419.47","103,484,568",0.23206760939051,"13,688,193",0,2.48,"24,932,509","19,658,813.75",0.0000006925075,"160,027.75","177,501,218,697.72",2.69,"186,707,548","245,971,368",0.00006,0.00012,zora,1.66
0.684000015,"118,275","43,200","74,193","12,424,262,539","176,650,984.85",2024-02-03,0.000000252001064,"11,869,356",5.1,18.29,"26,060","10,239,692,445",0.86,"86,400","43,200","258,261,668","287,598.67",1.87,mainnet,7,"176,650,984.85","109,187,712",0.18241133157800016,"14,639,655",0,3.23,"25,874,660","20,063,938.25",0.00000313093,"143,799.33","187,889,879,883.91",1.87,"192,339,812","258,261,668",0.0000590116662053,0.00011802333241063083,zora,1.72
