dt,dune_schema,has_eth_tfer,has_eth_tfer_desc,has_event_log,has_event_log_desc,has_rev_dev,has_rev_dev_desc,is_contract_tx,is_contract_tx_desc,num_raw_transactions,sum_gas_used,tx_success,tx_success_desc,last_updated
2023-12-30 00:00:00.000 UTC,base,False,no eth tfer,False,no events,False,not revdev,True,contract tx,129,348659373,False,failed,2024-05-16 00:33:20.268740+00:00
2024-04-28 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,True,revdev,False,non-contract tx,11,231000,True,success,2024-05-16 00:33:20.268740+00:00
2023-12-06 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,True,revdev,False,non-contract tx,8,168000,True,success,2024-05-16 00:33:20.268740+00:00
2024-04-03 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,True,revdev,False,non-contract tx,1,21000,False,failed,2024-05-16 00:33:20.268740+00:00
2024-03-06 00:00:00.000 UTC,zora,False,no eth tfer,False,no events,False,not revdev,True,contract tx,1,24084,False,failed,2024-05-16 00:33:20.268740+00:00
2024-04-16 00:00:00.000 UTC,base,True,eth tfer,False,no events,False,not revdev,False,non-contract tx,2,42000,False,failed,2024-05-16 00:33:20.268740+00:00
2023-08-08 00:00:00.000 UTC,zora,True,eth tfer,False,no events,False,not revdev,True,contract tx,1,21256,False,failed,2024-05-16 00:33:20.268740+00:00
2023-07-16 00:00:00.000 UTC,optimism,False,no eth tfer,True,has event,False,not revdev,True,contract tx,67776,3648421989,True,success,2024-05-16 00:33:20.268740+00:00
2024-03-26 00:00:00.000 UTC,optimism,False,no eth tfer,True,has event,False,not revdev,True,contract tx,84010,5362375824,True,success,2024-05-16 00:33:20.268740+00:00
2023-08-03 00:00:00.000 UTC,base,False,no eth tfer,True,has event,False,not revdev,True,contract tx,2480,1020572597,True,success,2024-05-16 00:33:20.268740+00:00
2023-08-19 00:00:00.000 UTC,optimism,True,eth tfer,True,has event,False,not revdev,True,contract tx,636,88712809,True,success,2024-05-16 00:33:20.268740+00:00
2023-12-03 00:00:00.000 UTC,base,True,eth tfer,False,no events,True,revdev,True,contract tx,326,1106286887,True,success,2024-05-16 00:33:20.268740+00:00
2024-02-20 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,True,revdev,True,contract tx,3168,773385054,False,failed,2024-05-16 00:33:20.268740+00:00
2023-11-18 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,True,revdev,True,contract tx,5765,2026576319,False,failed,2024-05-16 00:33:20.268740+00:00
2024-02-13 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,True,revdev,True,contract tx,2511,842930276,False,failed,2024-05-16 00:33:20.268740+00:00
2024-02-29 00:00:00.000 UTC,base,True,eth tfer,False,no events,False,not revdev,True,contract tx,3970,91172331,True,success,2024-05-16 00:33:20.268740+00:00
2023-10-29 00:00:00.000 UTC,base,True,eth tfer,False,no events,False,not revdev,False,non-contract tx,21119,443499000,True,success,2024-05-16 00:33:20.268740+00:00
2023-11-07 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,True,revdev,True,contract tx,7233,1542623523,False,failed,2024-05-16 00:33:20.268740+00:00
2023-12-02 00:00:00.000 UTC,optimism,True,eth tfer,False,no events,True,revdev,True,contract tx,1339,405127260,False,failed,2024-05-16 00:33:20.268740+00:00
2023-12-04 00:00:00.000 UTC,base,False,no eth tfer,False,no events,True,revdev,True,contract tx,3335,650294524,False,failed,2024-05-16 00:33:20.268740+00:00
2023-10-07 00:00:00.000 UTC,zora,False,no eth tfer,False,no events,True,revdev,True,contract tx,1738,113275407,True,success,2024-05-16 00:33:20.268740+00:00
2024-02-24 00:00:00.000 UTC,optimism,False,no eth tfer,False,no events,True,revdev,True,contract tx,3695,206014568,True,success,2024-05-16 00:33:20.268740+00:00
