block_time,block_number,chain_name,vault_name,vault_address,alltime_revenue_native
2023-09-06 20:59:47,3622326,base,BaseFeeVault,0x4200000000000000000000000000000000000019,352.92957844367834
2023-09-06 20:59:47,3622326,base,L1FeeVault,0x420000000000000000000000000000000000001A,1095.6082084250102
2023-09-06 21:00:05,3670083,zora network,SequencerFeeVault,0x4200000000000000000000000000000000000011,165.7137714168778
2023-09-06 21:00:05,3670083,zora network,BaseFeeVault,0x4200000000000000000000000000000000000019,2.0600489196516e-05
2023-09-06 21:00:05,3670083,zora network,L1FeeVault,0x420000000000000000000000000000000000001A,133.83221269364606
2023-09-06 21:00:09,2463641,public goods network,SequencerFeeVault,0x4200000000000000000000000000000000000011,4.988567569982911
2023-09-06 21:00:09,2463641,public goods network,BaseFeeVault,0x4200000000000000000000000000000000000019,1.764629054e-07
2023-09-06 21:00:09,2463641,public goods network,L1FeeVault,0x420000000000000000000000000000000000001A,2.8344341377732127
2023-09-06 21:00:15,2280292,opbnb,SequencerFeeVault,0x4200000000000000000000000000000000000011,111.26450067328038
2023-09-06 21:00:15,2280292,opbnb,BaseFeeVault,0x4200000000000000000000000000000000000019,1.217685073869e-06
2023-09-06 21:00:15,2280292,opbnb,L1FeeVault,0x420000000000000000000000000000000000001A,27.120967361617804
2023-09-06 22:00:19,109219421,op mainnet,SequencerFeeVault,0x4200000000000000000000000000000000000011,1185.8125331103854
2023-09-06 22:00:19,109219421,op mainnet,BaseFeeVault,0x4200000000000000000000000000000000000019,243.30582791732044
2023-09-06 22:00:19,109219421,op mainnet,L1FeeVault,0x420000000000000000000000000000000000001A,3738.975133137575
2023-09-06 22:00:27,3624140,base,SequencerFeeVault,0x4200000000000000000000000000000000000011,1647.3613683503654
2023-09-06 22:00:27,3624140,base,BaseFeeVault,0x4200000000000000000000000000000000000019,353.0535846837275
2023-09-06 22:00:27,3624140,base,L1FeeVault,0x420000000000000000000000000000000000001A,1096.261808927719
2023-09-06 22:00:31,3671896,zora network,SequencerFeeVault,0x4200000000000000000000000000000000000011,165.9007071110344
2023-09-06 22:00:31,3671896,zora network,BaseFeeVault,0x4200000000000000000000000000000000000019,2.0624280505016e-05
2023-09-06 22:00:31,3671896,zora network,L1FeeVault,0x420000000000000000000000000000000000001A,133.98543352245693
2023-09-06 22:00:35,2465454,public goods network,SequencerFeeVault,0x4200000000000000000000000000000000000011,4.996816911482912
2023-09-06 22:00:35,2465454,public goods network,BaseFeeVault,0x4200000000000000000000000000000000000019,1.7673788345e-07
2023-09-06 22:00:35,2465454,public goods network,L1FeeVault,0x420000000000000000000000000000000000001A,2.838358744351078
2023-09-06 22:00:40,2283917,opbnb,SequencerFeeVault,0x4200000000000000000000000000000000000011,111.40946412939914
2023-09-06 22:00:40,2283917,opbnb,BaseFeeVault,0x4200000000000000000000000000000000000019,1.219425763261e-06
2023-09-06 22:00:40,2283917,opbnb,L1FeeVault,0x420000000000000000000000000000000000001A,27.14654890306456
2023-09-06 22:59:59,109221211,op mainnet,SequencerFeeVault,0x4200000000000000000000000000000000000011,1185.991653427622
2023-09-06 22:59:59,109221211,op mainnet,BaseFeeVault,0x4200000000000000000000000000000000000019,243.30582810048216
2023-09-06 22:59:59,109221211,op mainnet,L1FeeVault,0x420000000000000000000000000000000000001A,3739.4062224119634
2023-09-06 23:00:03,3625928,base,SequencerFeeVault,0x4200000000000000000000000000000000000011,1647.5948338313735
2023-09-06 23:00:03,3625928,base,BaseFeeVault,0x4200000000000000000000000000000000000019,353.1712748006693
2023-09-06 23:00:03,3625928,base,L1FeeVault,0x420000000000000000000000000000000000001A,1096.594287732625
2023-09-06 23:00:09,3673685,zora network,SequencerFeeVault,0x4200000000000000000000000000000000000011,166.10496983102587
2023-09-06 23:00:09,3673685,zora network,BaseFeeVault,0x4200000000000000000000000000000000000019,2.0649043494527e-05
2023-09-06 23:00:09,3673685,zora network,L1FeeVault,0x420000000000000000000000000000000000001A,134.0833358864031
2023-09-06 23:00:13,2467243,public goods network,SequencerFeeVault,0x4200000000000000000000000000000000000011,4.997514625982912
2023-09-06 23:00:13,2467243,public goods network,BaseFeeVault,0x4200000000000000000000000000000000000019,1.767611406e-07
2023-09-06 23:00:13,2467243,public goods network,L1FeeVault,0x420000000000000000000000000000000000001A,2.8385213562670284
2023-09-06 23:00:18,2287495,opbnb,SequencerFeeVault,0x4200000000000000000000000000000000000011,111.53931687687964
2023-09-06 23:00:18,2287495,opbnb,BaseFeeVault,0x4200000000000000000000000000000000000019,1.220654129509e-06
2023-09-06 23:00:18,2287495,opbnb,L1FeeVault,0x420000000000000000000000000000000000001A,27.172679387938476
2023-09-06 23:59:59,109223011,op mainnet,SequencerFeeVault,0x4200000000000000000000000000000000000011,1186.184707573152
2023-09-06 23:59:59,109223011,op mainnet,BaseFeeVault,0x4200000000000000000000000000000000000019,243.30582824782064
2023-09-06 23:59:59,109223011,op mainnet,L1FeeVault,0x420000000000000000000000000000000000001A,3739.698969224369
2023-09-07 00:00:05,3627729,base,SequencerFeeVault,0x4200000000000000000000000000000000000011,1647.8342100614311
2023-09-07 00:00:05,3627729,base,BaseFeeVault,0x4200000000000000000000000000000000000019,353.3008768568638
2023-09-07 00:00:05,3627729,base,L1FeeVault,0x420000000000000000000000000000000000001A,1096.826759524771
2023-09-07 00:00:07,3675485,zora network,SequencerFeeVault,0x4200000000000000000000000000000000000011,166.25825859256332
2023-09-07 00:00:07,3675485,zora network,BaseFeeVault,0x4200000000000000000000000000000000000019,2.0667968843377e-05
2023-09-07 00:00:07,3675485,zora network,L1FeeVault,0x420000000000000000000000000000000000001A,134.14464803084735
2023-09-07 00:00:13,2469043,public goods network,SequencerFeeVault,0x4200000000000000000000000000000000000011,4.997682918482912
2023-09-07 00:00:13,2469043,public goods network,BaseFeeVault,0x4200000000000000000000000000000000000019,1.7676745035e-07
2023-09-07 00:00:13,2469043,public goods network,L1FeeVault,0x420000000000000000000000000000000000001A,2.8385813169094054
2023-09-07 00:00:18,2291095,opbnb,SequencerFeeVault,0x4200000000000000000000000000000000000011,111.64273346272071
2023-09-07 00:00:18,2291095,opbnb,BaseFeeVault,0x4200000000000000000000000000000000000019,1.221914274525e-06
2023-09-07 00:00:18,2291095,opbnb,L1FeeVault,0x420000000000000000000000000000000000001A,27.19182746447973
2023-09-07 01:21:41,109225462,op mainnet,SequencerFeeVault,0x4200000000000000000000000000000000000011,1186.5414005715436
2023-09-07 01:21:41,109225462,op mainnet,BaseFeeVault,0x4200000000000000000000000000000000000019,243.30583373902525
2023-09-07 01:21:41,109225462,op mainnet,L1FeeVault,0x420000000000000000000000000000000000001A,3740.3872261601073
2023-09-07 01:21:47,3630180,base,SequencerFeeVault,0x4200000000000000000000000000000000000011,1648.4692571402825
2023-09-07 01:21:47,3630180,base,BaseFeeVault,0x4200000000000000000000000000000000000019,353.5499305334061
2023-09-07 01:21:47,3630180,base,L1FeeVault,0x420000000000000000000000000000000000001A,1097.3523822195264
2023-09-07 01:21:51,3677936,zora network,SequencerFeeVault,0x4200000000000000000000000000000000000011,166.46345179983837
2023-09-07 01:21:51,3677936,zora network,BaseFeeVault,0x4200000000000000000000000000000000000019,2.0692490131527e-05
2023-09-07 01:21:51,3677936,zora network,L1FeeVault,0x420000000000000000000000000000000000001A,134.23071570741536
2023-09-07 01:21:55,2471494,public goods network,SequencerFeeVault,0x4200000000000000000000000000000000000011,4.9977144184829125
2023-09-07 01:21:55,2471494,public goods network,BaseFeeVault,0x4200000000000000000000000000000000000019,1.7676850035e-07
2023-09-07 01:21:55,2471494,public goods network,L1FeeVault,0x420000000000000000000000000000000000001A,2.838596652482335
2023-09-07 01:22:00,2295997,opbnb,SequencerFeeVault,0x4200000000000000000000000000000000000011,111.81720172309863
2023-09-07 01:22:00,2295997,opbnb,BaseFeeVault,0x4200000000000000000000000000000000000019,1.224106983973e-06
2023-09-07 01:22:00,2295997,opbnb,L1FeeVault,0x420000000000000000000000000000000000001A,27.263812185353192
2023-09-07 02:06:33,109226809,op mainnet,SequencerFeeVault,0x4200000000000000000000000000000000000011,1186.7412160642737
2023-09-07 02:06:33,109226809,op mainnet,BaseFeeVault,0x4200000000000000000000000000000000000019,243.30583537989585
