,dt,chain,network,chain_id,block_time_sec,num_raw_txs,num_blocks,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l2_num_txs_per_day,l2_num_success_txs_per_day,num_senders_per_day,l2_gas_used,l1_gas_used_on_l2,l1_gas_paid,blob_gas_paid,calldata_bytes_l2_per_day,estimated_size_user_txs,l1_gas_paid_fjord,blob_gas_paid_fjord,l1_gas_paid_user_txs,blob_gas_paid_user_txs,l1_gas_used_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,l2_gas_used_user_txs_per_day,l2_eth_fees_per_day,median_l2_eth_fees_per_tx,l1_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l1_l1gas_contrib_l2_eth_fees_per_day,l1_blobgas_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_base_fee_per_day,l2_contrib_l2_eth_fees_priority_fee_per_day,input_calldata_gas_l2_per_day,input_calldata_gas_user_txs_l2_per_day,compressedtxsize_approx_l2_per_day_ecotone,compressedtxsize_approx_user_txs_l2_per_day_ecotone,avg_l1_gas_price_on_l2,avg_blob_base_fee_on_l2,avg_l2_gas_price_gwei,avg_base_fee_gwei,equivalent_l1_tx_fee,avg_l1_fee_scalar,avg_l1_blob_fee_scalar,active_secs_per_day,l2_num_txs_per_day_per_block,num_user_txs_per_second,l2_gas_used_per_block,l2_gas_used_per_second,l2_eth_fees_per_block,l2_eth_fees_per_second,chain_name,chain_raw
0,2024-10-28,Automata,mainnet,65536,,43487,43200,43200,0,287,287,13,2984123512,11994659,671700904000000.0,0.0,8474664,749678.2563,41981982352800.0,0.0,0.0,0.0,11994659,1389864,1027304488,6.431208918168474,0.020991907172145267,6.430181353772439,0.001027564396035464,6.430181353772439,0.0,2.59908035464e-07,0.001027304488,86589588,19966164,749666.1875,749666.1875,9.572827023218004,0.00039602676004103153,0.001000253,2.53e-07,9.829485875399213,56000000.0,0.0,,0.006643518518518518,,69076.93314814815,,0.00014887057680945543,,automata,automata
1,2024-10-29,Automata,mainnet,65536,,43463,43200,43200,0,263,263,12,2924344514,11092948,621205088000000.0,0.0,8370292,693320.2879000001,38825936122400.0,0.0,0.0,0.0,11092948,1285492,951693798,7.214484454583505,0.025608578183220737,7.213532520006971,0.0009519345765308939,7.213532520006971,0.0,2.4077853089400005e-07,0.0009516937979999999,86229856,18463540,693309.25,693309.25,11.611974609545083,1.160350248949473,0.001000253,2.5300000000000006e-07,11.051262456158364,56000000.0,0.0,,0.0060879629629629626,,67693.1600462963,,0.00016700195496721076,,automata,automata
2,2024-10-30,Automata,mainnet,65536,,43460,43200,43200,0,260,260,11,2921430269,11044337,618482872000000.0,0.0,8365456,690281.9675000001,38655790180000.0,0.0,0.0,0.0,11044337,1280656,947516473,7.915088026492971,0.0261607796696384,7.914140270298303,0.0009477561946676689,7.9141402702983035,0.0,2.39721667669e-07,0.0009475164730000002,86477176,18394180,690271.0625,690271.0625,12.795852673307689,1.3426333208504369,0.0010002530000000002,2.5299999999999995e-07,12.120044199317986,56000000.0,0.0,,0.0060185185185185185,,67625.70067129629,,0.00018321963024289285,,automata,automata
3,2024-10-31,Automata,mainnet,65536,,43463,43200,43200,0,263,263,13,2925092882,11094249,621277944000000.0,0.0,8370693,693401.0478000002,38830458676800.0,0.0,0.0,0.0,11094249,1285893,951078746,6.030348450899955,0.019294002890011416,6.029397249387913,0.0009512015120405951,6.029397249387913,0.0,2.4062292273799996e-07,0.0009509608891178571,86681088,18469752,693390.5625,693390.5625,9.704683905512024,3.50398843536762,0.0010001290808370087,2.53e-07,9.224587583849488,56000000.0,0.0,,0.0060879629629629626,,67710.48337962963,,0.00013959139932638785,,automata,automata
4,2024-11-01,Automata,mainnet,65536,,43445,43200,43200,0,245,245,11,2866579395,10406363,582756328000000.0,0.0,8293044,650408.22,36422860320000.0,0.0,0.0,0.0,10406363,1208244,892536703,4.707941267907373,0.014739825353572131,4.707048505392587,0.000892762514785859,4.707048505392586,0.0,2.25811785859e-07,0.0008925367029999999,85474116,17357424,650397.6875,650397.6875,8.07708235926585,2.03749002276146,0.0010002529999999998,2.53e-07,7.209305986951721,56000000.0,0.0,,0.005671296296296297,,66356.00451388888,,0.0001089801219423003,,automata,automata
5,2024-11-02,Automata,mainnet,65536,,43451,43200,43200,0,251,251,11,2888127124,10662294,597088464000000.0,0.0,8322060,666404.2284000001,37318636790400.0,0.0,0.0,0.0,10662294,1237260,914902580,3.091413308507008,0.009352675919038695,3.0904981744566555,0.0009151340503527402,3.0904981744566555,0.0,2.3147035274e-07,0.0009149025800000002,85323348,17772804,666393.375,666393.375,5.175861812588983,1.0350877274684793,0.001000253,2.53e-07,4.7341712815431745,56000000.0,0.0,,0.005810185185185186,,66854.79453703704,,7.156049325247704e-05,,automata,automata
6,2024-11-03,Automata,mainnet,65536,,43463,43200,43200,0,262,262,12,2926638190,11130659,623316904000000.0,0.0,8375395,695677.5443000001,38957942480800.0,0.0,0.0,0.0,11130659,1290584,954970034,2.8705269999442264,0.008794485417952892,2.8695717883028085,0.0009552116414186017,2.8695717883028085,0.0,2.4160741860200004e-07,0.0009549700340000003,85758952,18536996,695666.1875,695666.1875,4.603637885918004,0.5588377835933372,0.0010002529999999998,2.53e-07,4.397418905256236,56000000.0,0.0,,0.0060648148148148145,,67746.25439814814,,6.64473842579682e-05,,automata,automata
7,2024-11-04,Automata,mainnet,65536,,43465,43200,43200,0,265,265,13,2928184175,11135464,623585984000000.0,0.0,8375384,695977.5443000002,38974742480800.0,0.0,0.0,0.0,11135464,1290584,954739039,3.5369188958788773,0.010968563545395013,3.535963934180113,0.000954961698764434,3.535963934180113,0.0,2.41559764434e-07,0.000954720139,86394884,18536948,695966.5,695966.5,5.6702815863014875,3.0492806241444517,0.0010002332153136496,2.530112989692045e-07,5.412892191662448,56000000.0,0.0,,0.0061342592592592594,,67782.04108796296,,8.187312258978883e-05,,automata,automata
