alignment_map,avg_blob_base_fee_on_l1_inbox,avg_l1_calldata_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,calldata_bytes_l1_inbox,chain_id,data_availability_data_source,data_availability_layer,dt,l1_blobgas_eth_fees_inbox,l1_blobgas_purchased_inbox,l1_blobgas_usd_fees_inbox,l1_calldata_eth_fees_inbox,l1_calldata_usd_fees_inbox,l1_eth_fees_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_gas_used_combined,l1_gas_used_inbox,l1_gas_used_output,l1_overhead_eth_fees_inbox,l1_overhead_usd_fees_inbox,l1_usd_fees_combined,l1_usd_fees_inbox,l1_usd_fees_output,name,num_l1_submissions,num_l1_txs_combined,num_l1_txs_inbox,num_l1_txs_output,output_root_data_source,output_root_layer,secs_between_l1_txs_inbox,secs_between_l1_txs_output,share_elapsed,last_updated
OP Stack fork,,349.2063971922017,9.602764161589935,8.07813406600957,2911.0,2410,ethereum,celestia,2024-06-10 00:00:00.000 UTC,,,,0.0004047824992992198,1.4903476166242269,0.01903586127399276,0.014722573901983216,0.004313287372009545,2067106,1533160.0,533946.0,0.014317791402683995,52.71563685613518,70.08855621072476,54.2059844727594,15.882571737965364,Karak,71.0,77,71.0,6.0,ethereum,ethereum,1216.9014084507041,14400.0,,2024-08-28 21:25:31.559620
OP Chain,1.015624999999999e-09,Infinity,8.054976147156248,8.187434997390751,0.0,255,ethereum,ethereum,2024-06-01 00:00:00.000 UTC,3.4078719999999985e-11,33554432.0,1.2935210074112002e-07,0.0,0.0,0.0784986122887523,0.02706471988852372,0.05143389240022858,9642052,3360000.0,6282052.0,0.027064719854445,102.69403565727256,297.90166318580873,102.69403578662464,195.20762739918408,Kroma,256.0,198,160.0,38.0,ethereum,ethereum,540.0,2273.684210526316,,2024-08-28 21:25:31.559620
OP Chain,9.46923076923077e-08,Infinity,14.7990142500625,10.229642232716941,0.0,60808,ethereum,ethereum bitcoin,2024-07-05 00:00:00.000 UTC,3.2269926399999997e-10,3407872.0,9.643404925337599e-07,0.0,0.0,0.006749235210836404,0.004972469110720264,0.0017767661001161401,509688,336000.0,173688.0,0.004972468788021,14.627906187103964,19.783236808054816,14.627907151444456,5.15532965661036,BOB (Build on Bitcoin),26.0,18,16.0,2.0,ethereum,ethereum,5400.0,43200.0,,2024-08-28 21:25:31.559620
OP Chain,1.2407812499999998e-07,Infinity,9.171869635859373,7.919840454204535,0.0,7777777,ethereum,ethereum,2024-06-27 00:00:00.000 UTC,2.081685503999999e-09,16777216.0,7.04701280550912e-06,0.0,0.0,0.030040668428963448,0.0123269948722805,0.017713673556682945,3580620,1344000.0,2236620.0,0.012326992790595,42.21948956866652,102.9231880647927,42.21949661567929,60.7036914491134,Zora,128.0,88,64.0,24.0,ethereum,ethereum,1350.0,3600.0,,2024-08-28 21:25:31.559620
OP Stack fork,,68.57478609353092,1.8869306469570748,1.9657496269971182,7872.0,169,ethereum,celestia,2024-08-26 00:00:00.000 UTC,,,,0.0002153123545043801,0.5873240826551426,0.020115055985099706,0.00782337296445838,0.012291683020641327,10399008,4146084.0,6252924.0,0.007608060609953999,20.753106272656158,54.87491121765527,21.34043035531131,33.53448086234396,Manta Pacific,192.0,264,192.0,72.0,ethereum,ethereum,450.0,1200.0,,2024-08-28 21:25:31.559620
OP Chain,,169.15512544562762,4.6433833185647195,4.820156705680858,451.0,957,ethereum,celestia,2024-06-16 00:00:00.000 UTC,,,,3.0275935260491998e-05,0.10836547391639967,0.010312480613967565,0.001102896405825492,0.009209584208142073,2148160,237520.0,1910640.0,0.001072620470565,3.839158762553929,36.948739380514716,3.947524236470328,33.00121514404439,Derive,11.0,33,11.0,22.0,ethereum,ethereum,7854.545454545455,3927.2727272727275,,2024-08-28 21:25:31.559620
OP Chain,,325.65093926307554,8.010608165285227,7.681288860941502,850.0,2702128,ethereum,altda,2024-06-01 00:00:00.000 UTC,,,,0.00010597311363612,0.40213827969515703,0.021491754031042105,0.004311629738883119,0.017180124292158986,2774860,538240.0,2236620.0,0.004205656625247,15.959408504315164,81.54551706191174,16.36154678401032,65.18397027790142,Xterio,25.0,49,25.0,24.0,ethereum,ethereum,3456.0,3600.0,,2024-08-28 21:25:31.559620
OP Stack fork,,89.65276772969216,2.4715022977239647,2.3437041938953946,2911.0,2410,ethereum,celestia,2024-06-23 00:00:00.000 UTC,,,,0.00010446043000662797,0.36455085183171154,0.005040830615639645,0.0037894753850266282,0.001251355230613017,2067190,1533268.0,533922.0,0.0036850149550199996,12.860137497860093,17.59173100105117,13.224688349691805,4.367042651359365,Karak,71.0,77,71.0,6.0,ethereum,ethereum,1216.9014084507041,14400.0,,2024-08-28 21:25:31.559620
OP Chain,,205.17199657979052,5.662296882642859,5.465630602971826,574.0,957,ethereum,celestia,2024-08-07 00:00:00.000 UTC,,,,4.7246205188772e-05,0.11465202400097249,0.0135787528224177,0.0017119614886857719,0.011866791333731927,2473510,302344.0,2171166.0,0.001664715283497,4.039752523524198,32.89868613911571,4.154404547525171,28.744281591590543,Derive,14.0,39,14.0,25.0,ethereum,ethereum,6171.428571428572,3456.0,,2024-08-28 21:25:31.559620
OP Stack fork,1.0140845070422541e-09,Infinity,8.35822502677465,7.910856010109608,0.0,62050,ethereum,ethereum,2024-06-08 00:00:00.000 UTC,9.437184e-12,9306112.0,3.4816266076160006e-08,0.0,0.0,0.030155597363417407,0.012462113524358186,0.01769348383905922,3727608,1491000.0,2236608.0,0.012462113514921,45.97850241056921,111.26197335841252,45.97850244538548,65.28347091302703,Optopia,71.0,95,71.0,24.0,ethereum,ethereum,1216.9014084507041,3600.0,,2024-08-28 21:25:31.559620
