alignment_map,avg_blob_base_fee_on_l1_inbox,avg_l1_calldata_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,calldata_bytes_l1_inbox,chain_id,data_availability_data_source,data_availability_layer,dt,l1_blobgas_eth_fees_inbox,l1_blobgas_purchased_inbox,l1_blobgas_usd_fees_inbox,l1_calldata_eth_fees_inbox,l1_calldata_usd_fees_inbox,l1_eth_fees_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_gas_used_combined,l1_gas_used_inbox,l1_gas_used_output,l1_overhead_eth_fees_inbox,l1_overhead_usd_fees_inbox,l1_usd_fees_combined,l1_usd_fees_inbox,l1_usd_fees_output,name,num_l1_submissions,num_l1_txs_combined,num_l1_txs_inbox,num_l1_txs_output,output_root_data_source,output_root_layer,secs_between_l1_txs_inbox,secs_between_l1_txs_output,share_elapsed,last_updated
Legacy OP Mainnet,,8.51329499107051,8.044048651184292,8.097061964579071,48099152,10.0,ethereum,ethereum,2022-10-30 00:00:00.000 UTC,,,,8.000139998725597,12826.643543136832,11.593589585228152,8.464377237300239,3.129212347927914,1438716052,1052253362,386462690.0,0.46423723857464133,744.1357323541692,18589.21479370969,13570.779275490991,5018.435518218697,OP Mainnet (OVM2),2762,3056,2762,294.0,ethereum,ethereum,31.281679942070962,293.8775510204082,,2024-08-22 20:54:20.250727
OP Stack fork,,54.14312958461128,52.32815802129145,,796935,,ethereum,ethereum,2023-05-23 00:00:00.000 UTC,,,,0.6653924523572983,1233.082851836652,0.6884026642238354,0.6884026642238354,,13155492,13155492,,0.023010211866536998,42.62369167975618,1275.706543516408,1275.706543516408,,Aevo,21,21,21,,,,4114.285714285715,,,2024-08-22 20:54:20.250727
OP Stack fork,,14.062740060970782,12.99411251612756,12.954170635009488,2334644,424.0,ethereum,ethereum,2023-08-26 00:00:00.000 UTC,,,,0.48439748608289446,799.7592095584364,0.5512699342734108,0.5242685719018922,0.02700136237151854,42431000,40346624,2084376.0,0.03987108581899799,65.82816373719157,910.1635990842796,865.5873732956279,44.576225788651634,Public Goods Network,146,170,146,24.0,ethereum,ethereum,591.7808219178082,3600.0,,2024-08-22 20:54:20.250727
OP Stack fork,1.5857142857142854e-09,Infinity,5.64432175067143,5.498145945811775,0,62050.0,ethereum,ethereum,2024-06-15 00:00:00.000 UTC,1.4548992000000007e-11,9175040.0,5.1607602462720004e-08,0.0,0.0,0.020594350195606174,0.008297152988035992,0.012297197207570183,3706608,1470000,2236608.0,0.008297152973486998,29.392643292543553,72.94658407157314,29.392643344151164,43.55394072742198,Optopia,70,94,70,24.0,ethereum,ethereum,1234.2857142857142,3600.0,,2024-08-22 20:54:20.250727
OP Stack fork,,8.627537827458083,8.506382950280246,8.110181582870004,99891593,81457.0,ethereum,ethereum,2024-05-13 00:00:00.000 UTC,,,,13.555098846899739,40039.24872126381,13.766001965876416,13.748667815253537,0.01733415062287871,1618413944,1616276612,2137332.0,0.19356896835378892,571.7436454702831,40662.1683246683,40610.9923667341,51.17595793420461,Blast,1081,1105,1081,24.0,ethereum,ethereum,79.92599444958371,3600.0,,2024-08-22 20:54:20.250727
OP Chain,1e-09,Infinity,8.533630776,6.103579152305177,0,1135.0,ethereum,ethereum,2024-07-19 00:00:00.000 UTC,6.5536e-13,655360.0,2.25542012928e-09,0.0,0.0,0.0031712502255818557,0.00089603123213536,0.002275218993446496,477768,105000,372768.0,0.0008960312314799999,3.081681304006706,10.894874280782432,3.0816813062621264,7.813192974520304,Lisk,5,9,5,4.0,ethereum,ethereum,17280.0,21600.0,,2024-08-22 20:54:20.250727
OP Stack fork,,15.27972483386802,14.927113936293091,,1114366,,ethereum,ethereum,2023-09-20 00:00:00.000 UTC,,,,0.2654860491419314,432.8492409797857,0.2716558596460894,0.2716558596460894,,18198820,18198820,,0.0061698105041580005,10.06170565922645,442.91094663901197,442.91094663901197,,Aevo,20,20,20,,,,4320.0,,,2024-08-22 20:54:20.250727
OP Stack fork,,26.69595278025676,22.332911143898674,21.459496709785306,34726,288.0,ethereum,ethereum,2024-02-02 00:00:00.000 UTC,,,,0.057735810983971014,133.0856688352659,0.13762003197321743,0.06886996339062101,0.06875006858259643,6287501,3083788,3203713.0,0.011134152406650001,25.66310287765964,317.3011378166644,158.74877171292553,158.55236610373885,Boba,24,47,24,23.0,ethereum,ethereum,3600.0,3756.521739130435,,2024-08-22 20:54:20.250727
OP Chain,1.000000000000003e-09,Infinity,21.84190729273739,20.07752519273031,0,8453.0,ethereum,ethereum,2024-04-17 00:00:00.000 UTC,5.151129600000019e-10,515112960.0,1.5689271528652816e-06,0.0,0.0,0.3422833423263267,0.3004354353267158,0.04184790699961087,15839316,13755000,2084316.0,0.30043543481160306,911.0647503706141,1037.9485711992731,911.0647519395413,126.88381925973187,Base,3930,679,655,24.0,ethereum,ethereum,131.9083969465649,3600.0,,2024-08-22 20:54:20.250727
Legacy OP Mainnet,,125.15174369502677,119.57919378579277,123.67825353644344,14995110,10.0,ethereum,ethereum,2022-01-23 00:00:00.000 UTC,,,,22.060022396999997,54232.88741300431,31.818950932999982,23.066384396999986,8.752566535999998,263665143,192896303,70768840.0,1.0063619999999989,2473.9913971500023,78214.59605252443,56706.87881015435,21507.71724237008,OP Mainnet (OVM2),409,461,409,52.0,ethereum,ethereum,211.24694376528117,1661.5384615384614,,2024-08-22 20:54:20.250727
OP Chain,,22.07503963371128,21.331192962887897,18.86726355895905,53639132,8453.0,ethereum,ethereum,2023-12-25 00:00:00.000 UTC,,,,18.23889598956045,41643.76140408743,18.929428739153238,18.890102947026758,0.03932579212648071,887646764,885562424,2084340.0,0.651206957466324,1486.9503375092233,43220.48254368459,43130.71174159669,89.77080208789961,Base,1421,1445,1421,24.0,ethereum,ethereum,60.80225193525686,3600.0,,2024-08-22 20:54:20.250727
OP Stack fork,,497.8452558008569,13.677322336373965,16.01449082521506,533,424.0,ethereum,ethereum,2024-05-21 00:00:00.000 UTC,,,,0.000105587829136208,0.39329979670425913,0.03721922448820687,0.0038393885076882083,0.03337983598051866,2365064,280712,2084352.0,0.003733800678552,13.907446222748385,139.22930074296934,14.300746019452646,124.9285547235167,Public Goods Network,13,37,13,24.0,ethereum,ethereum,6646.153846153846,3600.0,,2024-08-22 20:54:20.250727
OP Stack fork,,38.556287539077225,34.39926671116814,35.41889577695694,108051,288.0,ethereum,ethereum,2024-03-16 00:00:00.000 UTC,,,,0.13768028344689606,506.58280814061555,0.30085925758620846,0.15410159421782407,0.14675766336838436,8623278,4479793,4143485.0,0.016421310770928,60.48859367641781,1107.0853132525424,567.0714018170333,540.013911435509,Boba,23,47,23,24.0,ethereum,ethereum,3756.521739130435,3600.0,,2024-08-22 20:54:20.250727
OP Stack fork,1.637130801687764e-09,Infinity,10.400006533405065,9.435197876377753,0,48900.0,ethereum,ethereum,2024-07-17 00:00:00.000 UTC,1.0171187200000026e-10,62128128.0,3.513372416409599e-07,0.0,0.0,0.3676062867973172,0.1035216651352259,0.26408462166209135,37943304,9954000,27989304.0,0.10352166503351395,357.16759570479286,1267.52980203409,357.16759605613,910.36220597796,Zircuit,474,564,474,90.0,ethereum,ethereum,182.27848101265823,960.0,,2024-08-22 20:54:20.250727
OP Stack fork,,24.566123580677246,20.769341812435876,19.535812402365895,40954,288.0,ethereum,ethereum,2023-08-24 00:00:00.000 UTC,,,,0.054945575378128914,91.29013285971526,0.13181376720572976,0.06490654009948693,0.06690722710624283,6549963,3125113,3424850.0,0.009960964721357999,16.553541861917076,219.10276593528994,107.84367472163235,111.25909121365758,Boba,23,47,23,24.0,ethereum,ethereum,3756.521739130435,3600.0,,2024-08-22 20:54:20.250727
OP Chain,,55.6610550090629,53.290931461051485,52.08232121459963,2068884,255.0,ethereum,ethereum,2023-12-16 00:00:00.000 UTC,,,,1.7614359739377523,3957.5003638222934,2.1157248120296708,1.8397010093493842,0.2760238026802866,39821600,34521840,5299760.0,0.07826503541163302,175.83253965722892,4753.499117984123,4133.3329034795215,620.1662145046012,Kroma,70,96,70,26.0,ethereum,ethereum,1234.2857142857142,3323.076923076923,,2024-08-22 20:54:20.250727
OP Chain,,37.16181470212124,32.63407581248842,29.155826048618597,1358440,255.0,ethereum,ethereum,2024-04-03 00:00:00.000 UTC,,,,0.7111731994985421,2365.7885829374018,0.9698391788727085,0.8043409430190231,0.16549823585368545,30323607,24647272,5676335.0,0.093167743520481,309.47214247968526,3225.1867034532966,2675.260725417088,549.9259780362087,Kroma,143,171,143,28.0,ethereum,ethereum,604.1958041958042,3085.714285714286,,2024-08-22 20:54:20.250727
OP Chain,,18.111461255276435,17.907715350528868,17.84544314724421,76582705,10.0,ethereum,ethereum,2023-09-01 00:00:00.000 UTC,,,,21.8788567075513,35805.06686517382,22.164953821231144,22.12775271077399,0.037201110457153394,1237739332,1235654704,2084628.0,0.24889600322269195,407.32299078004513,36273.17343444082,36212.3898559539,60.78357848691452,OP Mainnet,662,686,662,24.0,ethereum,ethereum,130.51359516616313,3600.0,,2024-08-22 20:54:20.250727
OP Chain,1e-09,Infinity,6.236443790516129,6.088634533,0,1750.0,ethereum,ethereum,2024-05-17 00:00:00.000 UTC,4.0632320000000006e-12,4063232.0,1.205081604096e-08,0.0,0.0,0.005194785502295102,0.004059924911689231,0.0011348605906058699,837390,651000,186390.0,0.004059924907626,12.08530178784898,15.554071042508415,12.08530179989979,3.468769242608624,Metal,31,33,31,2.0,ethereum,ethereum,2787.0967741935483,43200.0,,2024-08-22 20:54:20.250727
OP Chain,3.1735999999999996e-05,Infinity,7.9500083272,5.220513512799999,0,1135.0,ethereum,ethereum,2024-06-26 00:00:00.000 UTC,2.0798504959999998e-08,655360.0,6.993582365736959e-05,0.0,0.0,0.00326740045698794,0.0008347716728609601,0.00243262878412698,570975,105000,465975.0,0.000834750874356,2.819569608404797,11.04023144784159,2.819639544228455,8.220591903613135,Lisk,5,10,5,5.0,ethereum,ethereum,17280.0,17280.0,,2024-08-22 20:54:20.250727
OP Chain,,25.17973057231923,24.875877860125613,30.11580668894827,80267497,10.0,ethereum,ethereum,2023-07-04 00:00:00.000 UTC,,,,31.85023329759926,62178.98071819043,32.30884198754189,32.248679098434856,0.060162889107032345,1298381278,1296383560,1997718.0,0.3984458008355998,777.746794732699,63074.08235895839,62956.72751292312,117.35484603526979,OP Mainnet,745,768,745,23.0,ethereum,ethereum,115.97315436241611,3756.521739130435,,2024-08-22 20:54:20.250727
Legacy OP Mainnet,,43.644686403123245,41.119540891130285,41.3741784909739,45827040,10.0,ethereum,ethereum,2023-05-14 00:00:00.000 UTC,,,,39.363919769334615,71091.09054685521,55.62821549701364,41.75962768985806,13.868587807155587,1350765597,1015566487,335199110.0,2.3957079205234533,4325.698765406978,100466.31359717008,75416.78931226215,25049.524284907937,OP Mainnet (OVM2),2798,3053,2798,255.0,ethereum,ethereum,30.879199428162973,338.8235294117647,,2024-08-22 20:54:20.250727
OP Stack fork,,38.01416533963285,32.668795026298206,32.68641198117311,57740,288.0,ethereum,ethereum,2023-05-21 00:00:00.000 UTC,,,,0.09626218219747347,174.7171158622934,0.22801379753665646,0.11221378268547152,0.11580001485118492,6977649,3434892,3542757.0,0.015951600487998003,28.946256554523064,413.8229915386682,203.66337241681646,210.15961912185173,Boba,23,46,23,23.0,ethereum,ethereum,3756.521739130435,3756.521739130435,,2024-08-22 20:54:20.250727
OP Chain,,19.674773707590642,19.457028085180102,18.321304976707786,80495688,10.0,ethereum,ethereum,2024-01-26 00:00:00.000 UTC,,,,24.971058011939657,56028.4027479205,25.288713496679595,25.25052039132861,0.03819310535098441,1299842964,1297758336,2084628.0,0.27946237938895496,627.0375251734444,56741.08981763986,56655.440273093904,85.64954454595919,OP Mainnet,684,708,684,24.0,ethereum,ethereum,126.3157894736842,3600.0,,2024-08-22 20:54:20.250727
Legacy OP Mainnet,,52.12127198856359,50.07996525093329,49.358732845004525,13738517,10.0,ethereum,ethereum,2022-06-30 00:00:00.000 UTC,,,,13.315783573656887,13917.79510026517,19.11136434702237,13.855917354412142,5.255446992610228,383150370,276675858,106474512.0,0.540133780755261,564.4708732998181,19986.060151823895,14482.265973564994,5503.7941782589005,OP Mainnet (OVM2),516,597,516,81.0,ethereum,ethereum,167.4418604651163,1066.6666666666667,,2024-08-22 20:54:20.250727
OP Chain,,15.536414316728088,14.48771472437295,13.987568875997189,2635605,7777777.0,ethereum,ethereum,2023-06-24 00:00:00.000 UTC,,,,0.6092229551365342,1150.4986125499431,0.6827027145936377,0.6535490402384273,0.029153674355210404,47194824,45110568,2084256.0,0.044326085101892974,83.70375249537766,1289.280965500319,1234.2023650453207,55.07860045499843,Zora,145,169,145,24.0,ethereum,ethereum,595.8620689655172,3600.0,,2024-08-22 20:54:20.250727
OP Stack fork,1.0085470085470108e-09,Infinity,10.761805651188034,3.930438717304658,0,81457.0,ethereum,ethereum,2024-07-12 00:00:00.000 UTC,9.2798976e-11,92012544.0,2.8799746965504e-07,0.0,0.0,0.03449223444566135,0.026441756577767976,0.008050477867893377,4505239,2457000,2048239.0,0.026441756484969006,82.02271939851833,107.0111773843926,82.0227196865158,24.98845769787679,Blast,702,140,117,23.0,ethereum,ethereum,738.4615384615385,3756.521739130435,,2024-08-22 20:54:20.250727
OP Stack fork,,25.321102893043573,21.722352733918463,19.769631877243594,51935,288.0,ethereum,ethereum,2023-09-07 00:00:00.000 UTC,,,,0.06351638811706735,104.10567939764141,0.1420277543856459,0.07382141730977036,0.06820633707587553,6848464,3398408,3450056.0,0.010305029192703,16.886612395972442,232.68795167830672,120.99229179361386,111.69565988469284,Boba,23,46,23,23.0,ethereum,ethereum,3756.521739130435,3756.521739130435,,2024-08-22 20:54:20.250727
Legacy OP Mainnet,,40.679994315973275,39.69884952696812,39.44031042728695,18154254,10.0,ethereum,ethereum,2022-03-23 00:00:00.000 UTC,,,,7.763078699295342,23133.09128382754,11.216789114851721,7.949934279729962,3.266854835121759,283086390,200256037,82830353.0,0.18685558043462103,556.4536048856105,33423.62732223576,23689.544888713135,9734.082433522628,OP Mainnet (OVM2),230,459,230,229.0,ethereum,ethereum,375.6521739130435,377.29257641921396,,2024-08-22 20:54:20.250727
OP Stack fork,,25.43136196996724,24.152713109670085,25.015315480423997,3604378,424.0,ethereum,ethereum,2023-11-26 00:00:00.000 UTC,,,,1.3887927225462182,2880.5334548342857,1.514870336813804,1.4627308146966942,0.052139522117109656,62646064,60561760,2084304.0,0.073938092150475,153.3119929320518,3141.926339422394,3033.8454477663377,108.08089165605638,Public Goods Network,145,169,145,24.0,ethereum,ethereum,595.8620689655172,3600.0,,2024-08-22 20:54:20.250727
OP Stack fork,,15.522826458732467,13.067833932332446,13.07131202609158,38222,288.0,ethereum,ethereum,2023-06-26 00:00:00.000 UTC,,,,0.035052153541318694,65.76952100572092,0.08634912712952063,0.04164386751252469,0.04470525961699594,6606851,3186746,3420105.0,0.006591713971205999,12.372511222315053,162.06976064637144,78.14203222803596,83.92772841833549,Boba,24,48,24,24.0,ethereum,ethereum,3600.0,3600.0,,2024-08-22 20:54:20.250727
OP Stack fork,,26.5913270547953,24.528492377942158,20.022181422182147,206862,288.0,ethereum,ethereum,2022-07-27 00:00:00.000 UTC,,,,0.1485088136293041,227.30146672107304,0.25586245098022026,0.15935751872126308,0.09650493225895716,11316734,6496833,4819901.0,0.010848705091959001,16.589375150034865,391.6331883114407,243.89084187110785,147.74234644033285,Boba,24,47,24,23.0,ethereum,ethereum,3600.0,3756.521739130435,,2024-08-22 20:54:20.250727
OP Chain,1.000000000000001e-09,Infinity,14.069087085846153,13.058087173871153,0,7777777.0,ethereum,ethereum,2024-04-16 00:00:00.000 UTC,5.111808e-11,51118080.0,1.5710327930879995e-07,0.0,0.0,0.04642179734328468,0.019204303923298083,0.027217493419986596,3449340,1365000,2084340.0,0.019204303872179997,58.93738405331948,142.48127924354208,58.93738421042276,83.5438950331193,Zora,390,89,65,24.0,ethereum,ethereum,1329.2307692307693,3600.0,,2024-08-22 20:54:20.250727
OP Chain,,46.71038779956556,45.43188814746284,45.78601912908015,66772222,8453.0,ethereum,ethereum,2024-02-22 00:00:00.000 UTC,,,,48.31766743931384,143735.3856032766,49.83589105057239,49.74045796889312,0.09543308167927735,1096920136,1094835808,2084328.0,1.4227905295792649,4232.608047579586,148251.9773001049,147967.9936508562,283.9836492487068,Base,1427,1451,1427,24.0,ethereum,ethereum,60.54660126138753,3600.0,,2024-08-22 20:54:20.250727
Legacy OP Mainnet,,25.42395695180946,24.509544521734696,24.449184053951225,13579910,10.0,ethereum,ethereum,2022-05-15 00:00:00.000 UTC,,,,6.361336463820567,13158.298745958447,9.007267368430718,6.597000400408316,2.4102669680224027,367743181,269160465,98582716.0,0.23566393658774382,487.21314659643906,18629.347676790883,13645.511892554872,4983.835784236011,OP Mainnet (OVM2),461,536,461,75.0,ethereum,ethereum,187.41865509761388,1152.0,,2024-08-22 20:54:20.250727
