delta_total_op_delegated,dt,gini_coefficient,num_delegates_to_reach_10pct,num_delegates_to_reach_25pct,num_delegates_to_reach_33pct,num_delegates_to_reach_45pct,num_delegates_to_reach_51pct,num_delegates_to_reach_75pct,num_recognized_delegates,pct_delegated,pct_delegated_100,pct_diff_total_op_delegated,total_circ,total_op_delegated,last_updated
-138137.55123145878,2024-06-22 00:00:00,0.4158592779135424,1,4,6,9,12,31,32,0.08174494590549877,8.174494590549878,-0.0015042129016736067,1121728540.0,91695638.82295412,2024-07-10 00:29:11.225077
13690.469909831882,2024-06-21 00:00:00,0.40836907511175835,1,4,6,9,12,31,31,0.08186809294714528,8.186809294714529,0.00014910103573747977,1121728540.0,91833776.37418558,2024-07-10 00:29:11.225077
-18759.931131124496,2024-06-20 00:00:00,0.40837681852601626,1,4,6,9,12,31,31,0.08185588814944099,8.185588814944099,-0.00020427010989168955,1121728540.0,91820085.90427575,2024-07-10 00:29:11.225077
136373.03619232774,2024-06-19 00:00:00,0.4086380759964596,1,4,6,9,12,31,31,0.08449691225587927,8.449691225587928,0.0014871249599879472,1086889963.0,91838845.83540687,2024-07-10 00:29:11.225077
-190000.57573233545,2024-06-18 00:00:00,0.40844037249928233,1,4,6,9,12,31,31,0.08437144137949366,8.437144137949366,-0.0020676402403174,1086889963.0,91702472.79921454,2024-07-10 00:29:11.225077
85179.79421889782,2024-06-17 00:00:00,0.40770587447603734,1,4,6,9,12,31,31,0.08454625261356552,8.454625261356552,0.0009278107533362536,1086889963.0,91892473.37494688,2024-07-10 00:29:11.225077
-35944.72693736851,2024-06-16 00:00:00,0.4077962227072731,1,4,6,9,12,31,31,0.08446788240395958,8.446788240395957,-0.0003913704220332192,1086889963.0,91807293.58072798,2024-07-10 00:29:11.225077
-77076.4137814939,2024-06-15 00:00:00,0.4143642326156156,1,4,6,9,12,31,32,0.08450095357782354,8.450095357782354,-0.0008385133799320037,1086889963.0,91843238.30766535,2024-07-10 00:29:11.225077
-58491.509108930826,2024-06-14 00:00:00,0.41396896658641347,1,4,6,9,12,31,32,0.0845718682208926,8.45718682208926,-0.0006359237688116426,1086889963.0,91920314.72144684,2024-07-10 00:29:11.225077
-13836.565568819642,2024-06-13 00:00:00,0.4142710969400688,1,4,6,9,12,31,32,0.0846256837046123,8.462568370461229,-0.0001504094800220539,1086889963.0,91978806.23055577,2024-07-10 00:29:11.225077
-144490.52231058478,2024-06-12 00:00:00,0.414139629788124,1,4,6,9,12,31,32,0.08463841412447067,8.463841412447065,-0.0015682116113946267,1086889963.0,91992642.79612459,2024-07-10 00:29:11.225077
102595.32133732736,2024-06-11 00:00:00,0.41421166983869195,1,4,6,9,12,31,32,0.08477135354541422,8.47713535454142,0.0011147480453540443,1086889963.0,92137133.31843518,2024-07-10 00:29:11.225077
-42585.42295961082,2024-06-10 00:00:00,0.4140256978594762,1,4,6,9,12,31,32,0.08467696006969001,8.467696006969001,-0.0004624973215696082,1086889963.0,92034537.99709785,2024-07-10 00:29:11.225077
19135.275430306792,2024-06-09 00:00:00,0.40691814891279765,1,4,6,9,12,31,31,0.08471614105802305,8.471614105802306,0.000207861108155486,1086889963.0,92077123.42005746,2024-07-10 00:29:11.225077
