date,op_circulating_supply
2023-01-31,214748364.8
2023-02-01,214748364.8
2023-02-02,214748364.8
2023-02-03,214748364.8
2023-02-04,214748364.8
2023-02-05,214748364.8
2023-02-06,214748364.8
2023-02-07,214748364.8
2023-02-08,214748364.8
2023-02-09,214748364.8
2023-02-10,214748364.8
2023-02-11,214748364.8
2023-02-12,214748364.8
2023-02-13,214748364.8
2023-02-14,214748364.8
2023-02-15,214748364.8
2023-02-16,214748364.8
2023-02-17,214748364.8
2023-02-18,214748364.8
2023-02-19,214748364.8
2023-02-20,214748364.8
2023-02-21,214748364.8
2023-02-22,317487381.0
2023-02-23,314844141.0
2023-02-24,314844141.0
2023-02-25,314844141.0
2023-02-26,314844141.0
2023-02-27,314844141.0
2023-02-28,314844141.0
2023-03-01,314844141.0
2023-03-02,314844141.0
2023-03-03,314844141.0
2023-03-04,314844141.0
2023-03-05,314844141.0
2023-03-06,314844141.0
2023-03-07,314844141.0
2023-03-08,314844141.0
2023-03-09,314844141.0
2023-03-10,314844141.0
2023-03-11,314844141.0
2023-03-12,314844141.0
2023-03-13,314844141.0
2023-03-14,314844141.0
2023-03-15,314844141.0
2023-03-16,314844141.0
2023-03-17,314844141.0
2023-03-18,314844141.0
2023-03-19,314844141.0
2023-03-20,314844141.0
2023-03-21,314844141.0
2023-03-22,314844141.0
2023-03-23,314844141.0
2023-03-24,314844141.0
2023-03-25,314844141.0
2023-03-26,314844141.0
2023-03-27,314844141.0
2023-03-28,314844141.0
2023-03-29,314844141.0
2023-03-30,314844141.0
2023-03-31,314844141.0
2023-04-01,314844141.0
2023-04-02,314844141.0
2023-04-03,314844141.0
2023-04-04,314844141.0
2023-04-05,314844141.0
2023-04-06,314844141.0
2023-04-07,314844141.0
2023-04-08,314844141.0
2023-04-09,314844141.0
2023-04-10,314844141.0
2023-04-11,314844141.0
2023-04-12,314844141.0
2023-04-13,314844141.0
2023-04-14,314844141.0
2023-04-15,314844141.0
2023-04-16,314844141.0
2023-04-17,314844141.0
2023-04-18,314844141.0
2023-04-19,314844141.0
2023-04-20,314844141.0
2023-04-21,314844141.0
2023-04-22,314844141.0
2023-04-23,314844141.0
2023-04-24,314844141.0
2023-04-25,314844141.0
2023-04-26,314844141.0
2023-04-27,314844141.0
2023-04-28,314844141.0
2023-04-29,314844141.0
2023-04-30,314844141.0
2023-05-01,314844141.0
2023-05-02,314844141.0
2023-05-03,314844141.0
2023-05-04,314844141.0
2023-05-05,314844141.0
2023-05-06,314844141.0
2023-05-07,314844141.0
2023-05-08,314844141.0
2023-05-09,314844141.0
2023-05-10,314844141.0
2023-05-11,314844141.0
2023-05-12,335376391.0
2023-05-13,335376391.0
2023-05-14,335376391.0
2023-05-15,335376391.0
2023-05-16,335376391.0
2023-05-17,335376391.0
2023-05-18,335376391.0
2023-05-19,335376391.0
2023-05-20,335376391.0
2023-05-21,335376391.0
2023-05-22,335376391.0
2023-05-23,335376391.0
2023-05-24,335376391.0
2023-05-25,335376391.0
2023-05-26,335376391.0
2023-05-27,335376391.0
2023-05-28,335376391.0
2023-05-29,335376391.0
2023-05-30,335376391.0
2023-05-31,644594782.0
2023-06-01,644594782.0
2023-06-02,644594782.0
2023-06-03,644594782.0
2023-06-04,644594782.0
2023-06-05,644594782.0
2023-06-06,644594782.0
2023-06-07,644594782.0
2023-06-08,644594782.0
2023-06-09,644594782.0
2023-06-10,644594782.0
2023-06-11,644594782.0
2023-06-12,644594782.0
2023-06-13,644594782.0
2023-06-14,644594782.0
2023-06-15,644594782.0
2023-06-16,644594782.0
2023-06-17,644594782.0
2023-06-18,644594782.0
2023-06-19,644594782.0
2023-06-20,644594782.0
2023-06-21,644594782.0
2023-06-22,644594782.0
2023-06-23,644594782.0
2023-06-24,644594782.0
2023-06-25,644594782.0
2023-06-26,644594782.0
2023-06-27,644594782.0
2023-06-28,644594782.0
2023-06-29,644594782.0
2023-06-30,644594782.0
2023-07-01,644594782.0
2023-07-02,644594782.0
2023-07-03,644594782.0
2023-07-04,644594782.0
2023-07-05,644594782.0
2023-07-06,644594782.0
2023-07-07,644594782.0
2023-07-08,644594782.0
2023-07-09,644594782.0
2023-07-10,644594782.0
2023-07-11,644594782.0
2023-07-12,644594782.0
2023-07-13,644594782.0
2023-07-14,644594782.0
2023-07-15,644594782.0
2023-07-16,644594782.0
2023-07-17,644594782.0
2023-07-18,644594782.0
2023-07-19,679080066.0
2023-07-20,679080066.0
2023-07-21,679080066.0
2023-07-22,679080066.0
2023-07-23,679080066.0
2023-07-24,679080066.0
2023-07-25,679080066.0
2023-07-26,679080066.0
2023-07-27,679080066.0
2023-07-28,679080066.0
2023-07-29,679080066.0
2023-07-30,679080066.0
2023-07-31,716708907.0
2023-08-01,716708907.0
2023-08-02,716708907.0
2023-08-03,716708907.0
2023-08-04,716708907.0
2023-08-05,716708907.0
2023-08-06,716708907.0
2023-08-07,716708907.0
2023-08-08,716708907.0
2023-08-09,716708907.0
2023-08-10,716708907.0
2023-08-11,716708907.0
2023-08-12,716708907.0
2023-08-13,716708907.0
2023-08-14,716708907.0
2023-08-15,716708907.0
2023-08-16,716708907.0
2023-08-17,716708907.0
2023-08-18,716708907.0
2023-08-19,716708907.0
2023-08-20,716708907.0
2023-08-21,716708907.0
2023-08-22,716708907.0
2023-08-23,716708907.0
2023-08-24,716708907.0
2023-08-25,716708907.0
2023-08-26,716708907.0
2023-08-27,716708907.0
2023-08-28,716708907.0
2023-08-29,716708907.0
2023-08-30,716708907.0
2023-08-31,798517235.0
2023-09-01,798517235.0
2023-09-02,798517235.0
2023-09-03,798517235.0
2023-09-04,798517235.0
2023-09-05,798517235.0
2023-09-06,798517235.0
2023-09-07,798517235.0
2023-09-08,798517235.0
2023-09-09,798517235.0
2023-09-10,798517235.0
2023-09-11,798517235.0
2023-09-12,798517235.0
2023-09-13,798517235.0
2023-09-14,798517235.0
2023-09-15,798517235.0
2023-09-16,798517235.0
