,timestamp_date,chain_id,num_blocks,min_block_number,max_block_number,min_block_time,max_block_time,num_user_transactions,num_success_user_transactions,num_success_event_transactions,num_success_qualified_transactions,num_senders,total_gas_used,user_gas_used,total_gas_used_per_block,user_gas_used_per_block,avg_l2_base_fee_gwei,avg_l2_priority_fee_gwei
0,2024-05-10,666666666,3656,14579710,14583365,1715299200,1715300140,30962,23685,20283,20280,10753,6720598380,6720598380,1838238.06892779,1838238.06892779,0.031058421670206247,0.6477067251877592
1,2024-05-09,666666666,27875,14551835,14579709,1715292000,1715299199,229928,174452,149150,149128,74012,50782680656,50782680656,1821800.2029058295,1821800.2029058295,0.023473737673814755,0.2845060813939468
