,to_address,chain_id,num_blocks,min_block_number,max_block_number,min_block_time,max_block_time,num_user_transactions,num_success_user_transactions,num_success_event_transactions,num_success_qualified_transactions,num_senders,total_gas_used,user_gas_used,total_gas_used_per_block,user_gas_used_per_block
5,0x228b6354d95c1d814685d0786e515c155bac7c73,666666666,3,14555785,14570703,1715293017,1715296879,3,1,1,1,1,305280,305280,101760.0,101760.0
4,0x85d171c563d40751fadb8d86772df2aaa1c3ca85,666666666,1,14566378,14566378,1715295758,1715295758,1,1,1,1,1,49412,49412,49412.0,49412.0
2,0x5320c6c857f15662523f20a547bf00d3173b126b,666666666,1,14556201,14556201,1715293124,1715293124,1,1,1,1,1,78311,78311,78311.0,78311.0
69,0xc0f92ebf83440d1300de9b0bc4f0c185cb5354af,666666666,1,14556052,14556052,1715293085,1715293085,1,1,1,1,1,49427,49427,49427.0,49427.0
29,0x9b80b5f987b9814b3e08fb51e6693fcd95abdd00,666666666,1,14558547,14558547,1715293728,1715293728,1,1,1,0,1,49356,49356,49356.0,49356.0
31,0x71e8baa8dcf81e66a3f5ec6a359d5df40f70fd44,666666666,1,14570395,14570395,1715296800,1715296800,1,1,1,0,1,47016,47016,47016.0,47016.0
34,0x9a32ed2912b88664e3e840346801fe841a23be57,666666666,1,14582475,14582475,1715299910,1715299910,1,1,1,0,1,49329,49329,49329.0,49329.0
61,0x072c2650a4a94121adab9acf0400ae2dc8831b7f,666666666,1,14553757,14553757,1715292495,1715292495,1,1,1,1,1,49422,49422,49422.0,49422.0
59,0xb8a54fac98b6e9796651ac25d6d0cb7ab4ed3ab3,666666666,1,14576066,14576066,1715298263,1715298263,1,1,0,0,1,21014,21014,21014.0,21014.0
56,0x2eab17142a19fc5a830181b09fec75c65e770f76,666666666,1,14555782,14555782,1715293016,1715293016,1,1,1,0,1,49084,49084,49084.0,49084.0
55,0x934719999fae2e6648100e22d8dfbf94c9c82fd2,666666666,1,14562203,14562203,1715294668,1715294668,1,1,1,1,1,49397,49397,49397.0,49397.0
54,0xb84065d568875bfdd7dd9841e4c0bc0b50848a34,666666666,1,14576207,14576207,1715298298,1715298298,1,1,1,1,1,49413,49413,49413.0,49413.0
53,0x50cfa255949ddd078e2549fdefcdf0a6c72feef5,666666666,1,14552802,14552802,1715292249,1715292249,1,1,0,0,1,21038,21038,21038.0,21038.0
51,0xe1417197757ff9adb9e99ae90a532275d50a3474,666666666,1,14574624,14574624,1715297891,1715297891,1,1,0,0,1,21017,21017,21017.0,21017.0
49,0x3bfdedf5c6b7b393226f19c28bc4ab7b313c550e,666666666,1,14572355,14572355,1715297305,1715297305,1,1,0,0,1,21000,21000,21000.0,21000.0
47,0x1a78fe1ed0f03de842027b7628f5c133e4c2b35c,666666666,1,14553114,14553114,1715292329,1715292329,1,1,1,1,1,49410,49410,49410.0,49410.0
46,0x82b7648f3b0bcbd5595070bfc7684b314bb59408,666666666,1,14551980,14551980,1715292038,1715292038,1,1,1,1,1,49423,49423,49423.0,49423.0
45,0xb26145160a80616dc909885aeda90af97eea349e,666666666,1,14581569,14581569,1715299678,1715299678,1,1,0,0,1,21000,21000,21000.0,21000.0
43,0x2b0da8d9f25d2d482a8689aa9ac5244a8d3dce30,666666666,1,14557483,14557483,1715293455,1715293455,1,1,1,0,1,49344,49344,49344.0,49344.0
40,0x2b3006d34359f3c23429167a659b18cc9c6f8bca,666666666,1,14581910,14581910,1715299765,1715299765,1,1,1,0,1,49331,49331,49331.0,49331.0
38,0xcd1bfb5b22e570758ad92822e09dd005f4ad379f,666666666,1,14576310,14576310,1715298326,1715298326,1,1,0,0,1,21000,21000,21000.0,21000.0
36,0xb0e123f30606c8e6b4b864876176ff748fccbcf7,666666666,1,14578098,14578098,1715298786,1715298786,1,1,0,0,1,21015,21015,21015.0,21015.0
35,0x076e6a6af6b7d303d190aed06f4aa624116d5d9e,666666666,1,14567791,14567791,1715296126,1715296126,1,1,1,1,1,54224,54224,54224.0,54224.0
116,0x1eb2adc19eb3df26d84427be11f1eb1887c6631c,666666666,1,14566070,14566070,1715295679,1715295679,1,1,1,1,1,3225311,3225311,3225311.0,3225311.0
102,0x1e1c3578419a66d17482319dc170cfc5fb431cb9,666666666,56,14555286,14574570,1715292889,1715297877,56,0,0,0,1,22078222,22078222,394253.96428571426,394253.96428571426
80,0xa3f95985231728ffcd8dcb375a244af051ae9c3f,666666666,31375,14551835,14583365,1715292000,1715300140,62609,0,0,0,2,28503499846,28503499846,908478.0827410358,908478.0827410358
100,0x00000000000000000000000000000000000a4b05,666666666,31531,14551835,14583365,1715292000,1715300140,0,0,0,0,0,0,0,0.0,0.0
27,0x20bcdaed365c9aa864ed2657f55947f50f6f3c0b,666666666,3,14555714,14563792,1715292999,1715295076,3,0,0,0,1,678649,678649,226216.33333333334,226216.33333333334
