Team,contract_address,contract_name,contract_num_by_creator,creator_address,date,days_since_contract_created,days_since_creator_first_deployed,median_calldata_gas_to_w_overhead_per_day_t28d,median_eth_fees_to_per_day_t28d,median_num_address_users_trace_growth,median_num_address_users_trace_t28d,median_num_address_users_tx_growth,median_num_address_users_tx_t28d,median_num_txs_to_t28d,median_num_txs_trace_t28d,median_trace_tx_eth_fees_per_day_t28d,token_symbol,total_calldata_gas_to_w_overhead_growth,total_calldata_gas_to_w_overhead_t28d,total_eth_fees_to_growth,total_eth_fees_to_t28d,total_trace_tx_eth_fees_growth,total_trace_tx_eth_fees_t28d,last_updated
Layer Zero,0x81855cd82374c3700ee579ad1ff0760ae039a19b,,7,0x18606e2abaa0ba15cc1d0d3b55521bd2247e4d2e,2023-05-11 00:00:00.000,14,259,0,0.0,,9710,,0,0,25763,14.354204965041143,,,0,,0.0,,213.56941024341123,2023-05-12 23:31:25.768725+00:00
Synthetix,0x913bd76f7e1572cc8278cef2d6b06e2140ca9ce2,,38,0x302d2451d9f47620374b54c521423bf0403916a2,2023-05-11 00:00:00.000,189,238,0,0.0,-646.0,1003,0.0,0,0,4644,7.215907258440071,,0.0,0,0.0,0.0,108.91120989863862,211.57639580175388,2023-05-12 23:31:25.768725+00:00
Woofi,0xd1778f9df3eee5473a9640f13682e3846f61febc,,3,0xe0774a09b55febaf93049af328901f7a5b09827b,2023-05-11 00:00:00.000,174,174,0,0.0,489.0,733,0.0,0,0,3324,5.983639579483249,,0.0,0,0.0,0.0,70.18829097315515,207.38189095926708,2023-05-12 23:31:25.768725+00:00
Woofi,0xeaf1ac8e89ea0ae13e0f03634a4ff23502527024,WooRouterV2,4,0xe0774a09b55febaf93049af328901f7a5b09827b,2023-05-11 00:00:00.000,174,174,676488,0.03713627692229123,350.0,546,87.0,87,110,3178,5.850767443810752,,14757587.0,18262040,0.8613700767108694,0.9258634176884739,70.76303639339775,206.33754431959872,2023-05-12 23:31:25.768725+00:00
Rubicon,0x9d809021d92ed6b6ceeb5053b1081fbc32ec6729,,60,0x3204ac6f848e05557c6c7876e09059882e07962f,2023-05-11 00:00:00.000,282,542,0,0.0,-82.0,24,0.0,0,0,2501,5.591336453203444,,0.0,0,0.0,0.0,-34.583041562124436,206.4893788096725,2023-05-12 23:31:25.768725+00:00
Sushi,0xc35dadb65012ec5796536bd9864ed8773abc74c4,BentoBox,1,0xf87bc5535602077d340806d71f805ea9907a843d,2023-05-11 00:00:00.000,372,372,0,0.0,297.0,855,0.0,0,0,1398,6.474538048293523,,0.0,0,0.0,0.0,85.37945653001402,201.52823818986315,2023-05-12 23:31:25.768725+00:00
Synthetix,0xf9fe3607e6d19d8dc690dd976061a91d4a0db30b,,232,0x302d2451d9f47620374b54c521423bf0403916a2,2023-05-11 00:00:00.000,85,238,0,0.0,-139.0,372,0.0,0,0,1907,6.554802566556355,,0.0,0,0.0,0.0,154.820703345414,198.43028521503035,2023-05-12 23:31:25.768725+00:00
Synthetix,0x2c15259d4886e2c0946f9ab7a5e389c86b3c3b04,,254,0x302d2451d9f47620374b54c521423bf0403916a2,2023-05-11 00:00:00.000,36,238,0,0.0,3.0,11,0.0,0,0,1422,5.8746466872697605,,0.0,0,0.0,0.0,189.70255185866475,194.03603222870308,2023-05-12 23:31:25.768725+00:00
Perpetual Protocol,0xc31bf706e2309de50727ec86ee2b607e7869fa5a,,698,0x849a19c0746fb0d335e02dec0d0b3e057e585176,2023-05-11 00:00:00.000,41,533,0,0.0,-66.0,91,0.0,0,0,2992,6.915450190074392,,0.0,0,0.0,0.0,189.65468139990077,193.3662164190942,2023-05-12 23:31:25.768725+00:00
Lido,0x92834c37df982a13bb0f8c3f6608e26f0546538e,,1,0x2c01f405e3c525c0cb867789aaf077f3553ccbb7,2023-05-11 00:00:00.000,279,279,0,0.0,58.0,847,0.0,0,0,4143,5.703410549232622,,0.0,0,0.0,0.0,61.559304263917625,193.29380116181363,2023-05-12 23:31:25.768725+00:00
