project_name,application_id,is_oss,gas_fees,transaction_count,trusted_transaction_count,trusted_transaction_share,trusted_users_onboarded,daily_active_addresses,trusted_daily_active_users,monthly_active_addresses,trusted_monthly_active_users,recurring_addresses,trusted_recurring_users,power_user_addresses,openrank_trusted_users_count,log_gas_fees,log_transaction_count,log_trusted_transaction_count
Aave,0x3061b642db56c507e265f03029735b0413a613bda43456a31e78128baeb18754,true,10.354093297184738,622906.0,57100.0,0.091667121523953857,831.0,1263.372950819672,126.94262295081967,24398.14814814815,2339.8765432098767,10650.0,1777.0,24816.0,230.0,1.055152458524768,5.7944232113433847,4.7566437140370743
Alchemix,0x12d482385e2c26d37da1f30c513d66c1fa39e9ed4980a49a51b23caa7b2ce0bc,true,0.026136803047704309,4523.0,492.0,0.10877736015918638,3.0,10.0,1.2418032786885247,206.2962962962963,27.407407407407408,103.0,13.0,599.0,10.0,0.01120526413655323,3.6555225962534177,2.69284691927723
Biconomy,0x220685a4514003f22cbf18a7ddd9c09f88c2383daed6cbfa3437b22a51c07c26,false,0.68070075856463219,3668646.0,103.0,0.0,4.0,896.41803278688519,0.33606557377049179,3634.4444444444448,8.6419753086419764,386.0,3.0,109.0,4.0,0.22549039608506391,6.5645059256214475,2.0170333392987803
0x Protocol,0x0fad18f37ecec4f4f4ca18e60c353eb11462363e8aa14562b5d96af54108d106,true,75.066082934880029,1739387.0,88370.0,0.0508052549547628,2260.0,3728.6352459016393,240.3360655737705,67667.777777777781,3766.41975308642,31404.0,3502.0,24012.0,1094.0,1.8811910525956634,6.2403964695607863,4.9463097694669917
CreateMyToken,0xdf3eb6b429b2150c71241de0c591b18c98a3528ad0e8d838d069b6fff291d803,false,1.9588143598524e-05,3.0,0.0,0.0,0.0,0.012295081967213115,0.0,0.37037037037037041,0.0,0.0,0.0,0.0,0.0,8.5069393582460576e-06,0.6020599913279624,0.0
Poster,0x8a0f263d8dca18ceca0615836a5401c9dd31c7141ee439cd7020b4907e0b6c2e,true,7.193539600482e-05,40.0,0.0,0.0,0.0,0.0040983606557377051,0.0,0.1234567901234568,0.0,0.0,0.0,0.0,0.0,3.1240021920210092e-05,1.6127838567197355,0.0
Loot2,0x7fd77f963d3383d7aa4dd67652c6554ce6f0661aad01afdbeaef33c3e5957a69,true,0.3264073119366705,75928.0,5793.0,0.07629596459804025,20.0,244.58196721311475,20.159836065573771,4734.9382716049386,290.74074074074076,713.0,0.0,7279.0,46.0,0.12267690729922852,4.8804076801710581,3.7629784908677428
Wombat Exchange,0x1d585df770de05257717b33075f6d32e79fb60ec507cff35e51a0e478a4a54a0,false,0.20347332841219198,16282.0,2019.0,0.12400196536052083,10.0,17.83606557377049,2.237704918032787,312.962962962963,43.20987654320988,78.0,9.0,682.0,5.0,0.080436469806924552,4.2117344228760274,3.3053513694466239
Ethereum Attestation Service (EAS),0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5,true,4.8070746236631141,89280.0,10664.0,0.11944444444444445,119.0,88.6311475409836,28.377049180327869,1967.7777777777778,630.61728395061732,108.0,65.0,6163.0,268.0,0.76395740695925429,4.9507590459757811,4.0279608597854475
Wormhole Foundation,0x35e2308213d675d5c25463a80fd318c2ae2478f47c4fabc854f23ac40df196c5,false,2.6142314867608922,245136.0,18815.0,0.076753312446968217,518.0,366.26229508196724,43.25,8641.9753086419751,989.25925925925935,1166.0,286.0,12977.0,108.0,0.55801596510463192,5.3894088668746072,4.2745273043960443
$ENJOY,0x3fd997714a3a9df6dce8a21992dcae361b34432d39b7fd7e04e52eaf0aeaa588,false,0.38870043523984216,435608.0,147302.0,0.33815265100732766,843.0,379.77049180327867,148.22131147540983,5252.4691358024693,1593.5802469135804,715.0,538.0,13306.0,826.0,0.14260857161699186,5.6390968440175273,5.1682115918540239
/send,0x5614d129eba060ce7d224e8e8f9f29aeddfdb572b0dd45edc81f18f5307bc01a,true,0.03274858228452094,2962.0,210.0,0.0,6.0,10.581967213114755,0.73360655737704916,254.44444444444446,14.814814814814815,53.0,8.0,216.0,6.0,0.013994607467135439,3.4717316514800509,2.3242824552976926
3DNS,0x08d4923c8047ec8856f54a1d6e0763d41eaced38e621b2f15284437918defe1f,false,0.27371233957141544,36270.0,2223.0,0.061290322580645158,68.0,60.6844262295082,6.028688524590164,1620.2469135802469,148.27160493827162,95.0,21.0,549.0,79.0,0.1050713562230273,4.5595595293464957,3.34713478291002
Account Abstraction - ERC-4337,0xb98778ca9ff41446e2bc304f7b5d27f0fa7c2bcd11df19e22d1352c06698a1f6,true,203.22877421575049,2455463.0,11.0,0.0,0.0,236.15983606557376,0.032786885245901641,420.37037037037038,0.86419753086419759,418.0,0.0,2.0,4.0,2.3101169307124607,6.3901335712446707,1.0791812460476249
Across Protocol,0x72723e07fe409557489a6643b43d9493a94c10ba68230b0527f01834cb6a550f,false,26.092793586287058,1036884.0,26676.0,0.025727082296573195,840.0,804.01229508196718,89.270491803278688,21254.444444444445,2229.2592592592596,3858.0,933.0,28947.0,321.0,1.4328537882209651,6.0157305918423374,4.4261369887864239
Aerodrome Finance,0x4288aacdda65af69c03b2c9b9d057e2b93ed1b7671e481b03c6a7b33349d2365,false,118.97895016061554,3959551.0,336960.0,0.085100558118837211,1942.0,4183.7827868852455,385.61885245901641,58219.876543209881,4374.1975308641977,37191.0,4020.0,39330.0,701.0,2.0791050574560259,6.5976460508410781,5.5275796383641218
Alien Base,0x4bf2ac1013cbae40d5fd671442d4bf276e389de415b4b070c5038b3e9851667d,false,11.843794352106354,448654.0,12642.0,0.028177615712776438,131.0,719.19262295081967,14.016393442622951,14427.407407407409,248.14814814814815,6092.0,117.0,6911.0,35.0,1.1086933432616068,5.6519125120743157,4.1018501379381256
Ambire,0xb908ea18fd164cf089649ba95887c221f5e8b93a08235dff43e33bd6617239dc,false,0.024270149649836953,1049.0,0.0,0.0,0.0,0.86475409836065575,0.0,1.9753086419753088,0.0,1.0,0.0,1.0,0.0,0.01041451623822494,3.0211892990699383,0.0
Aragon,0xa08c7ab7824d147d6cb87ffb4e86cec454a030d48b8c395bad6d64456be3d911,true,0.06509420897104902,2404.0,179.0,0.0,2.0,6.0942622950819674,0.32786885245901637,162.71604938271605,7.6543209876543212,12.0,3.0,72.0,11.0,0.027388023386729722,3.3811150807098507,2.255272505103306
Arcadia Finance,0xdd35cc4641c3c35bee5782fc0442b2a1b88a058ec0a7b90ba32c70347e4e9194,false,0.68376744285493762,4162.0,642.0,0.154252763094666,3.0,8.39344262295082,1.5040983606557377,137.03703703703704,25.185185185185187,24.0,6.0,261.0,9.0,0.22628210779349778,3.6194064108867772,2.8082109729242219
Archly,0x54c8768e4b6c2ac3d3df596b5dc9d1dc81cb879d83a65a0e50f0270fe24fa2cd,false,0.050073492422602894,5580.0,166.0,0.0,1.0,4.44672131147541,0.29918032786885246,79.506172839506178,4.6913580246913584,31.0,2.0,94.0,0.0,0.0212196954858029,3.7467120225166606,2.2227164711475833
Astaria,0xda73a17b6b38aafcdcd684f5e10dbb5aad0b114ced4bf87c91afadf362df17f3,false,0.088242136886214,3517.0,982.0,0.27921524026158656,16.0,7.0122950819672134,2.1844262295081966,97.1604938271605,26.666666666666668,23.0,15.0,227.0,36.0,0.036725537837922005,3.5462958351214424,2.9925535178321354
Aura Finance,0x32a687fa8ed3dc2679b9be5653dc7b0765a5099064501ad183d2d8a1509f4871,true,0.33155347449068817,14809.0,1086.0,0.073333783510027686,26.0,30.811475409836067,2.319672131147541,486.91358024691363,39.012345679012348,288.0,25.0,647.0,7.0,0.12435861216429299,4.1705550585212086,3.0362295440862948
Avantis,0x6371518c95cfa543514e01a77d470c695fac36691cffa3a45e992b2c0cc6ba72,false,17.643169673801879,584536.0,28243.0,0.04831695567082267,160.0,176.84836065573771,40.959016393442624,2679.6296296296296,757.16049382716051,875.0,262.0,6940.0,58.0,1.2705197521603437,5.7668120063229322,4.4509262028227417
BLOCKS,0x306977dfc31135826a031cca8ffcb1f82d8f14c9371f0362274be1dfa984f373,false,6.1716911800587475,386548.0,16426.0,0.04249407576808055,202.0,1246.7868852459017,55.094262295081968,26393.827160493827,776.17283950617286,16713.0,510.0,11902.0,69.0,0.85562158015339285,5.5872045540907571,4.2155582571411623
BMX by Morphex,0xe5c133e05956a3939b9a78f4ad5d0a897a027da60a7d5e1b6276a2266211f69f,true,2.9013826212675045,168301.0,2236.0,0.013285720227449629,12.0,58.688524590163937,3.3811475409836067,617.530864197531,47.777777777777779,437.0,32.0,869.0,20.0,0.59121854507119631,5.2260892769015692,3.34966598409663
BSX,0xc938557155993da8f33857e52d7deb04421d1bb341fc24216563aae64fe32d36,false,7.868028575285777,12494.0,180.0,0.0,1.0,5.5368852459016393,0.58606557377049184,125.80246913580247,12.839506172839506,8.0,2.0,137.0,4.0,0.94782708386384629,4.0967362604624684,2.2576785748691846
Balancer,0x1c33980ce1d1290b5300719114dbe2cade0b820cb2b45321b715fd53d7abc8d2,true,3.2618116421577987,194522.0,16127.0,0.082905789576500341,188.0,495.10245901639342,40.991803278688522,11284.320987654322,582.34567901234573,4428.0,330.0,8363.0,93.0,0.62959425143656678,5.2889709587852973,4.2075805147654313
Base Runners,0x63c40ab7a0dca87506b015935db8c37b12e5246661be84364920ec151b48a4e7,false,0.025662672549686745,1330.0,185.0,0.13909774436090225,16.0,4.2540983606557381,0.55737704918032782,109.87654320987654,13.580246913580247,6.0,1.0,294.0,7.0,0.011004550309393063,3.1241780554746752,2.2695129442179165
Base on Rarible,0x7a13acc03022c7f42347006fd95d2aeeadd0a0e7411ae6405c645814814fd093,false,0.17454544100525404,6839.0,517.0,0.075595847346103237,29.0,9.8319672131147549,1.290983606557377,203.45679012345681,32.716049382716051,9.0,1.0,312.0,24.0,0.069869823494278449,3.8350561017201161,2.7143297597452332
BaseDoge,0x69e36f30f2a21afb2eb61156ca00f303434ba8868315abec3eb8780b812fe976,false,0.026232887598776979,3306.0,349.0,0.10556563823351482,1.0,10.372950819672131,1.2336065573770492,189.87654320987656,24.320987654320987,85.0,15.0,718.0,6.0,0.011245928341006923,3.5194341949137029,2.5440680443502757
BaseSwap,0xca3f26e1c876e821d2384a5cb699c6be494f9810301c2e2be49c232656262642,false,26.53959742162726,789210.0,18204.0,0.023066104078762306,281.0,1524.0532786885246,29.78688524590164,32173.456790123459,516.04938271604942,16562.0,275.0,11359.0,62.0,1.4399575873790127,5.8971931298062161,4.260190683269963
Based Bodega,0xdbfb85445c76c4dc1f6f3992098713ba07857f3417951184bfb6a7e65f14807c,false,0.0026221915811461363,348.0,126.0,0.0,1.0,0.73770491803278693,0.28278688524590162,12.962962962962964,4.6913580246913584,5.0,1.0,48.0,3.0,0.0011373128588998153,2.5428254269591797,2.1038037209559568
Based Onchain Cubes,0xa45ebed9267cf10226c68abc98b1871bdfa611ee51050c161e316be1dbf7e696,false,0.0048406400800429274,220.0,87.0,0.0,4.0,0.77459016393442626,0.25,22.469135802469136,6.9135802469135808,3.0,3.0,74.0,7.0,0.0020971914862596007,2.3443922736851106,1.9444826721501687
