"block_number","block_timestamp","asc_block_number_rank","desc_block_number_rank","last_base_fee_per_gas_gwei","trailing_avg_base_fee_per_gas_gwei","last_l1_gas_price_gwei","trailing_avg_l1_gas_price_gwei","trailing_avg_priority_fee_paid_per_gas_gwei_1pct","trailing_avg_priority_fee_paid_per_gas_gwei_25pct","trailing_avg_priority_fee_paid_per_gas_gwei_50pct","trailing_avg_priority_fee_paid_per_gas_gwei_75pct","trailing_avg_priority_fee_paid_per_gas_gwei_99pct"
10146946,"2023-06-02 16:06:00",1019,1,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,71.2085863961333333,8.579707561416337,8.614981164208336,8.651724500450001,8.688467836691668,8.723741439483666
10146944,"2023-06-02 16:05:56",1018,2,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,71.1090783785000000,8.594354228816336,8.629627831608335,8.666371167850002,8.703114504091669,8.738388106883669
10146943,"2023-06-02 16:05:54",1017,3,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,71.1812880369000000,8.551884996131337,8.597454170483335,8.644922060433336,8.692389950383335,8.737959124735337
10146942,"2023-06-02 16:05:52",1016,4,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,71.2534976953000000,8.591385999794335,8.627379173258337,8.664872062283335,8.702364951308335,8.738358124772335
10146940,"2023-06-02 16:05:48",1015,5,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,71.3257073537000000,8.591385999794337,8.627379173258335,8.664872062283337,8.702364951308335,8.738358124772335
10146939,"2023-06-02 16:05:46",1014,6,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,71.5516352280333333,8.591385999794337,8.627379173258337,8.664872062283335,8.702364951308335,8.738358124772336
10146935,"2023-06-02 16:05:38",1013,7,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,71.5936526501333333,8.591385999794337,8.627379173258337,8.664872062283337,8.702364951308335,8.738358124772335
10146934,"2023-06-02 16:05:36",1012,8,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,71.6356700722333333,8.591239533120337,8.623717506408337,8.657548728583338,8.691379950758336,8.723857924046337
10146932,"2023-06-02 16:05:32",1011,9,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,71.6776874943333333,8.591239533120337,8.623717506408337,8.657548728583338,8.691379950758336,8.723857924046337
10146931,"2023-06-02 16:05:30",1010,10,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,71.7197049164333333,8.591239533120337,8.623717506408338,8.657548728583338,8.691379950758337,8.723857924046339
10146930,"2023-06-02 16:05:28",1009,11,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,71.7617223385333333,8.605886200520338,8.63836417380834,8.672195395983339,8.706026618158338,8.738504591446338
10146929,"2023-06-02 16:05:26",1008,12,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,71.8037397606333333,8.591239533120339,8.623717506408338,8.65754872858334,8.69137995075834,8.723857924046339
10146928,"2023-06-02 16:05:24",1007,13,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,71.5967314201000000,8.634137747953671,8.666615721241673,8.70044694341667,8.73427816559167,8.766756138879673
10146927,"2023-06-02 16:05:22",1006,14,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,71.4370070426000000,8.634284214627673,8.670277388091673,8.707770277116673,8.745263166141672,8.781256339605672
10146925,"2023-06-02 16:05:18",1005,15,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,71.2772826651000000,8.602061546361005,8.638054719825005,8.675547608850007,10.343090496025008,11.943931667713006
10146924,"2023-06-02 16:05:16",1004,16,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,70.8828843089666667,8.562161542661007,8.598154716125007,8.635647605150007,10.303190492325006,11.904031664013008
10146922,"2023-06-02 16:05:12",1003,17,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,70.4884859528333333,8.562015075987006,8.594493049275007,8.628324271450007,10.292205491775007,11.889531463287009
10146921,"2023-06-02 16:05:10",1002,18,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,69.9402219455666667,8.519116861153673,8.551594834441676,8.585426056616674,10.249307276941673,11.846633248453676
10146920,"2023-06-02 16:05:08",1001,19,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,69.4013668569666667,5.2590168648536695,5.29149483814167,5.32532606031667,6.989207280641669,8.58653325215367
10146919,"2023-06-02 16:05:06",1000,20,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,68.8625117683666667,5.2590168648536695,5.29149483814167,5.32532606031667,6.989207280641669,8.58653325215367
10146917,"2023-06-02 16:05:02",999,21,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,68.3236566797666667,5.29891686855367,5.331394841841671,5.36522606401667,7.029107284341671,8.62643325585367
10146916,"2023-06-02 16:05:00",998,22,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,67.7848015911666667,2.038816872253666,2.0712948455416655,2.1051260677166654,3.7690072880416654,5.3663332595536675
10146913,"2023-06-02 16:04:54",997,23,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,67.3228107716000000,2.038816872253666,2.0712948455416655,2.1051260677166654,3.7690072880416654,5.366333259553668
10146912,"2023-06-02 16:04:52",996,24,5.0000000000000000E-8,5.0000000000000000E-8,74.1966001880000000,66.8608199520333333,2.061817874266666,2.0887198470666655,2.1167427353999986,3.7748156218833326,5.366565592907335
