badgeholder_address,round_allocation,category_allocation,declared_COIs
0xe53e89d978ff1da716f80baa6e6d8b3fa23f2284,7500000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '42'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '33'}, {'OP_STACK_TOOLING': '25'}]",[]
0x0e6425c5666dd516993e99cafed9767830cb37f9,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '39'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '36'}, {'OP_STACK_TOOLING': '25'}]",['0xe8bfa7f5bee60dc487b7f61e9f95b933e7302383570de2339ff557f829140268']
0xc9d5dc70a2cebce15f685148bbc7d53704e53b7f,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '50'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '30'}, {'OP_STACK_TOOLING': '20'}]",[]
0x53c61cfb8128ad59244e8c1d26109252ace23d14,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '45'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '40'}, {'OP_STACK_TOOLING': '15'}]",[]
0xe422d6c46a69e989ba6468ccd0435cb0c5c243e3,8000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '45'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '40'}, {'OP_STACK_TOOLING': '15'}]",[]
0x00409fc839a2ec2e6d12305423d37cd011279c09,8000000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '45'}, {'OP_STACK_TOOLING': '30'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '25'}]",[]
0x5554672e67ba866b9861701d0e0494ab324ad19a,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '45'}, {'OP_STACK_TOOLING': '32'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '23'}]",[]
0x1d3bf13f8f7a83390d03db5e23a950778e1d1309,6900000,"[{'OP_STACK_RESEARCH_AND_DEVELOPMENT': '37.83'}, {'OP_STACK_TOOLING': '37.83'}, {'ETHEREUM_CORE_CONTRIBUTIONS': '24.34'}]",[]
0xf5f0a5135486ff2715b1dfaead54eeaffe6b8404,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '48'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '47'}, {'OP_STACK_TOOLING': '5'}]",[]
0x585639fbf797c1258eba8875c080eb63c833d252,8000000,"[{'ETHEREUM_CORE_CONTRIBUTIONS': '33.34'}, {'OP_STACK_RESEARCH_AND_DEVELOPMENT': '33.33'}, {'OP_STACK_TOOLING': '33.33'}]",[]
