"Date(UTC)","UnixTimeStamp","Value"
"1/21/2025","1737417600","60000000"
"1/22/2025","1737504000","60000000"
"1/23/2025","1737590400","60000000"
"1/24/2025","1737676800","60000000"
"1/25/2025","1737763200","60000000"
"1/26/2025","1737849600","60000000"
"1/27/2025","1737936000","60000000"
"1/28/2025","1738022400","60000000"
"1/29/2025","1738108800","60000000"
"1/30/2025","1738195200","60000000"
"1/31/2025","1738281600","60000000"
"2/1/2025","1738368000","60000000"
"2/2/2025","1738454400","60000000"
"2/3/2025","1738540800","60000000"
"2/4/2025","1738627200","60000000"
"2/5/2025","1738713600","60000000"
"2/6/2025","1738800000","60000000"
"2/7/2025","1738886400","60000000"
"2/8/2025","1738972800","60000000"
"2/9/2025","1739059200","60000000"
"2/10/2025","1739145600","60000000"
"2/11/2025","1739232000","60000000"
"2/12/2025","1739318400","60000000"
"2/13/2025","1739404800","60000000"
"2/14/2025","1739491200","60000000"
"2/15/2025","1739577600","60000000"
"2/16/2025","1739664000","60000000"
"2/17/2025","1739750400","60000000"
"2/18/2025","1739836800","60000000"
"2/19/2025","1739923200","60000000"
"2/20/2025","1740009600","60000000"
"2/21/2025","1740096000","60000000"
"2/22/2025","1740182400","60000000"
"2/23/2025","1740268800","60000000"
"2/24/2025","1740355200","60000000"
"2/25/2025","1740441600","60000000"
"2/26/2025","1740528000","60000000"
"2/27/2025","1740614400","60000000"
"2/28/2025","1740700800","60000000"
"3/1/2025","1740787200","60000000"
"3/2/2025","1740873600","60000000"
"3/3/2025","1740960000","60000000"
"3/4/2025","1741046400","60000000"
"3/5/2025","1741132800","60000000"
"3/6/2025","1741219200","60000000"
"3/7/2025","1741305600","60000000"
"3/8/2025","1741392000","60000000"
"3/9/2025","1741478400","60000000"
"3/10/2025","1741564800","60000000"
"3/11/2025","1741651200","60000000"
"3/12/2025","1741737600","60000000"
"3/13/2025","1741824000","60000000"
"3/14/2025","1741910400","60000000"
"3/15/2025","1741996800","60000000"
"3/16/2025","1742083200","60000000"
"3/17/2025","1742169600","60000000"
"3/18/2025","1742256000","60000000"
"3/19/2025","1742342400","60000000"
"3/20/2025","1742428800","60000000"
"3/21/2025","1742515200","60000000"
"3/22/2025","1742601600","60000000"
"3/23/2025","1742688000","60000000"
"3/24/2025","1742774400","60000000"
"3/25/2025","1742860800","60000000"
"3/26/2025","1742947200","60000000"
