"Date(UTC)","UnixTimeStamp","Value"
"12/20/2024","1734652800","150000000"
"12/21/2024","1734739200","150000000"
"12/22/2024","1734825600","150000000"
"12/23/2024","1734912000","150000000"
"12/24/2024","1734998400","150000000"
"12/25/2024","1735084800","150000000"
"12/26/2024","1735171200","150000000"
"12/27/2024","1735257600","150000000"
"12/28/2024","1735344000","150000000"
"12/29/2024","1735430400","150000000"
"12/30/2024","1735516800","150000000"
"12/31/2024","1735603200","150000000"
"1/1/2025","1735689600","150000000"
"1/2/2025","1735776000","150000000"
"1/3/2025","1735862400","150000000"
"1/4/2025","1735948800","150000000"
"1/5/2025","1736035200","150000000"
"1/6/2025","1736121600","150000000"
"1/7/2025","1736208000","150000000"
"1/8/2025","1736294400","150000000"
"1/9/2025","1736380800","150000000"
"1/10/2025","1736467200","150000000"
"1/11/2025","1736553600","150000000"
"1/12/2025","1736640000","150000000"
"1/13/2025","1736726400","150000000"
"1/14/2025","1736812800","150000000"
"1/15/2025","1736899200","150000000"
"1/16/2025","1736985600","150000000"
"1/17/2025","1737072000","150000000"
"1/18/2025","1737158400","150000000"
"1/19/2025","1737244800","150000000"
"1/20/2025","1737331200","150000000"
"1/21/2025","1737417600","150000000"
"1/22/2025","1737504000","150000000"
"1/23/2025","1737590400","150000000"
"1/24/2025","1737676800","150000000"
"1/25/2025","1737763200","150000000"
"1/26/2025","1737849600","150000000"
"1/27/2025","1737936000","150000000"
"1/28/2025","1738022400","150000000"
"1/29/2025","1738108800","150000000"
"1/30/2025","1738195200","150000000"
"1/31/2025","1738281600","150000000"
"2/1/2025","1738368000","150000000"
"2/2/2025","1738454400","150000000"
"2/3/2025","1738540800","150000000"
"2/4/2025","1738627200","150000000"
"2/5/2025","1738713600","150000000"
"2/6/2025","1738800000","150000000"
"2/7/2025","1738886400","150000000"
"2/8/2025","1738972800","150000000"
"2/9/2025","1739059200","150000000"
"2/10/2025","1739145600","150000000"
"2/11/2025","1739232000","150000000"
"2/12/2025","1739318400","150000000"
"2/13/2025","1739404800","150000000"
"2/14/2025","1739491200","150000000"
"2/15/2025","1739577600","150000000"
"2/16/2025","1739664000","150000000"
"2/17/2025","1739750400","150000000"
"2/18/2025","1739836800","150000000"
"2/19/2025","1739923200","150000000"
"2/20/2025","1740009600","90631005"
"2/21/2025","1740096000","30000000"
"2/22/2025","1740182400","30000000"
"2/23/2025","1740268800","30000000"
"2/24/2025","1740355200","30000000"
"2/25/2025","1740441600","30000000"
"2/26/2025","1740528000","30000000"
"2/27/2025","1740614400","30000000"
"2/28/2025","1740700800","30000000"
"3/1/2025","1740787200","30000000"
"3/2/2025","1740873600","30000000"
"3/3/2025","1740960000","30000000"
"3/4/2025","1741046400","30000000"
"3/5/2025","1741132800","30000000"
"3/6/2025","1741219200","30000000"
"3/7/2025","1741305600","30000000"
"3/8/2025","1741392000","30000000"
"3/9/2025","1741478400","30000000"
"3/10/2025","1741564800","30000000"
"3/11/2025","1741651200","30000000"
"3/12/2025","1741737600","30000000"
"3/13/2025","1741824000","30000000"
"3/14/2025","1741910400","30000000"
"3/15/2025","1741996800","30000000"
"3/16/2025","1742083200","30000000"
"3/17/2025","1742169600","30000000"
"3/18/2025","1742256000","30000000"
"3/19/2025","1742342400","30000000"
"3/20/2025","1742428800","30000000"
"3/21/2025","1742515200","30000000"
"3/22/2025","1742601600","30000000"
"3/23/2025","1742688000","30000000"
"3/24/2025","1742774400","30000000"
"3/25/2025","1742860800","30000000"
"3/26/2025","1742947200","30000000"
"3/27/2025","1743033600","30000000"
"3/28/2025","1743120000","30000000"
"3/29/2025","1743206400","30000000"
"3/30/2025","1743292800","30000000"
"3/31/2025","1743379200","30000000"
"4/1/2025","1743465600","30000000"
"4/2/2025","1743552000","30000000"
"4/3/2025","1743638400","30000000"
"4/4/2025","1743724800","30000000"
"4/5/2025","1743811200","30000000"
"4/6/2025","1743897600","30000000"
"4/7/2025","1743984000","30000000"
"4/8/2025","1744070400","30000000"
"4/9/2025","1744156800","30000000"
"4/10/2025","1744243200","30000000"
"4/11/2025","1744329600","30000000"
"4/12/2025","1744416000","30000000"
"4/13/2025","1744502400","30000000"
"4/14/2025","1744588800","30000000"
"4/15/2025","1744675200","30000000"
"4/16/2025","1744761600","30000000"
"4/17/2025","1744848000","30000000"
"4/18/2025","1744934400","30000000"
"4/19/2025","1745020800","30000000"
"4/20/2025","1745107200","30000000"
"4/21/2025","1745193600","30000000"
"4/22/2025","1745280000","30000000"
"4/23/2025","1745366400","30000000"
"4/24/2025","1745452800","30000000"
"4/25/2025","1745539200","30000000"
"4/26/2025","1745625600","30000000"
"4/27/2025","1745712000","30000000"
"4/28/2025","1745798400","30000000"
"4/29/2025","1745884800","30000000"
"4/30/2025","1745971200","30000000"
"5/1/2025","1746057600","30000000"
"5/2/2025","1746144000","30000000"
"5/3/2025","1746230400","30000000"
"5/4/2025","1746316800","30000000"
"5/5/2025","1746403200","30000000"
"5/6/2025","1746489600","30000000"
"5/7/2025","1746576000","30000000"
"5/8/2025","1746662400","30000000"
"5/9/2025","1746748800","30000000"
"5/10/2025","1746835200","30000000"
"5/11/2025","1746921600","30000000"
"5/12/2025","1747008000","30000000"
"5/13/2025","1747094400","30933071"
"5/14/2025","1747180800","33000000"
"5/15/2025","1747267200","33000000"
"5/16/2025","1747353600","33000000"
"5/17/2025","1747440000","33000000"
"5/18/2025","1747526400","33000000"
"5/19/2025","1747612800","33000000"
"5/20/2025","1747699200","33000000"
"5/21/2025","1747785600","33000000"
"5/22/2025","1747872000","33000000"
"5/23/2025","1747958400","33000000"
"5/24/2025","1748044800","33000000"
"5/25/2025","1748131200","33000000"
"5/26/2025","1748217600","33000000"
"5/27/2025","1748304000","33844436"
"5/28/2025","1748390400","36000000"
"5/29/2025","1748476800","36000000"
"5/30/2025","1748563200","36000000"
"5/31/2025","1748649600","36000000"
"6/1/2025","1748736000","36000000"
"6/2/2025","1748822400","36000000"
"6/3/2025","1748908800","36000000"
"6/4/2025","1748995200","36000000"
"6/5/2025","1749081600","36000000"
"6/6/2025","1749168000","36000000"
"6/7/2025","1749254400","36000000"
"6/8/2025","1749340800","36000000"
"6/9/2025","1749427200","36000000"
"6/10/2025","1749513600","36000000"
"6/11/2025","1749600000","36000000"
"6/12/2025","1749686400","36000000"
"6/13/2025","1749772800","36000000"
"6/14/2025","1749859200","36000000"
"6/15/2025","1749945600","36000000"
"6/16/2025","1750032000","36000000"
"6/17/2025","1750118400","36000000"
"6/18/2025","1750204800","36000000"
"6/19/2025","1750291200","36000000"
"6/20/2025","1750377600","36000000"
"6/21/2025","1750464000","36000000"
"6/22/2025","1750550400","36000000"
"6/23/2025","1750636800","36000000"
"6/24/2025","1750723200","36000000"
"6/25/2025","1750809600","36000000"
"6/26/2025","1750896000","36000000"
"6/27/2025","1750982400","36000000"
"6/28/2025","1751068800","36000000"
"6/29/2025","1751155200","36000000"
"6/30/2025","1751241600","36000000"
"7/1/2025","1751328000","36000000"
"7/2/2025","1751414400","36000000"
"7/3/2025","1751500800","36000000"
"7/4/2025","1751587200","36000000"
"7/5/2025","1751673600","36000000"
"7/6/2025","1751760000","36000000"
"7/7/2025","1751846400","36000000"
"7/8/2025","1751932800","36000000"
"7/9/2025","1752019200","36000000"
"7/10/2025","1752105600","36000000"
"7/11/2025","1752192000","36000000"
"7/12/2025","1752278400","36000000"
"7/13/2025","1752364800","36000000"
"7/14/2025","1752451200","36000000"
"7/15/2025","1752537600","36000000"
"7/16/2025","1752624000","36000000"
"7/17/2025","1752710400","36000000"
